schema_version	expected_rds_id	fine_cell_type	broad_cell_type	include	exclusion_reason
phase08_broad_cell_mapping_v1	inhibitory	Inh ALCAM TRPM3	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh CUX2 MSR1	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh ENOX2 SPHKAP	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh FBN2 EPB41L4A	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh GPC5 RIT2	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh L1 PAX6 CA4	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh L1-2 PAX6 SCGN	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh L1-6 LAMP5 CA13	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh L3-5 SST MAFB	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh L5-6 PVALB STON2	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh L5-6 SST TH	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh L6 SST NPY	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh LAMP5 NRG1 (Rosehip)	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh LAMP5 RELN	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh PTPRK FAM19A1	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh PVALB CA8 (Chandelier)	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh PVALB HTR4	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh PVALB SULF1	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh RYR3 TSHZ2	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh SGCD PDE3A	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh SORCS1 TTN	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh VIP ABI3BP	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh VIP CLSTN2	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh VIP THSD7B	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	inhibitory	Inh VIP TSHZ2	Inhibitory_neurons	TRUE	
phase08_broad_cell_mapping_v1	opcs	OPC	OPCs	TRUE	
phase08_broad_cell_mapping_v1	oligodendrocytes	Oli	Oligodendrocytes	TRUE	
phase08_broad_cell_mapping_v1	vasculature	End	Vasculature_cells	TRUE	
phase08_broad_cell_mapping_v1	vasculature	Fib FLRT2	Vasculature_cells	TRUE	
phase08_broad_cell_mapping_v1	vasculature	Fib SLC4A4	Vasculature_cells	TRUE	
phase08_broad_cell_mapping_v1	vasculature	Per	Vasculature_cells	TRUE	
phase08_broad_cell_mapping_v1	vasculature	SMC	Vasculature_cells	TRUE	
