schema_version	broad_network	driver	complex_v_target	driver_y	target_y	qualifying_calls	shortest_path_distance	driver_total_degree	driver_node_size_area	target_supporting_calls	target_node_size_area
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6V1G1	ATP5F1A	0.6856140350877192	0.27923076923076917	4	2	5	180.0	12	149.28203230275508
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6V1G1	TMEM70	0.6856140350877192	0.46846153846153843	3	2	5	180.0	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	BEX1	TMEM70	0.6210526315789473	0.46846153846153843	5	2	8	281.25	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	BEX3	TMEM70	0.45964912280701753	0.46846153846153843	1	3	7	245.0	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	BEX5	TMEM70	0.4435087719298245	0.46846153846153843	1	2	8	281.25	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	COX6B1	ATP5F1E	0.5242105263157895	0.5315384615384615	1	2	6	211.25	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	COX6B1	ATP5ME	0.5242105263157895	0.5946153846153845	1	3	6	211.25	24	177.97958971132712
phase12_kda_network_figures_v1	Excitatory_neurons	DYNLL1	ATP5F1D	0.7340350877192983	0.7207692307692308	12	3	5	180.0	26	181.9803902718557
phase12_kda_network_figures_v1	Excitatory_neurons	EIF1B	ATP5F1A	0.5726315789473684	0.27923076923076917	2	3	5	180.0	12	149.28203230275508
phase12_kda_network_figures_v1	Excitatory_neurons	EIF1B	TMEM70	0.5726315789473684	0.46846153846153843	1	3	5	180.0	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	GABARAPL2	ATP5MC3	0.7501754385964912	0.7838461538461539	15	2	11	405.0	27	183.92304845413264
phase12_kda_network_figures_v1	Excitatory_neurons	GNG3	ATP5MC2	0.6694736842105262	0.8469230769230769	7	3	6	211.25	28	185.83005244258362
phase12_kda_network_figures_v1	Excitatory_neurons	LAMTOR5	ATP5IF1	0.7985964912280701	0.6576923076923077	12	1	10	361.25	24	177.97958971132712
phase12_kda_network_figures_v1	Excitatory_neurons	LAMTOR5	ATP5MC2	0.7985964912280701	0.8469230769230769	12	2	10	361.25	28	185.83005244258362
phase12_kda_network_figures_v1	Excitatory_neurons	LDHB	ATP5F1D	0.5080701754385964	0.7207692307692308	2	3	5	180.0	26	181.9803902718557
phase12_kda_network_figures_v1	Excitatory_neurons	OST4	ATP5F1E	0.5564912280701754	0.5315384615384615	3	1	4	151.25	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	PGAM1	ATP5F1A	0.6533333333333333	0.27923076923076917	4	3	7	245.0	12	149.28203230275508
phase12_kda_network_figures_v1	Excitatory_neurons	PGAM1	ATP5F1B	0.6533333333333333	0.21615384615384603	3	2	7	245.0	9	140.0
phase12_kda_network_figures_v1	Excitatory_neurons	PRDX1	ATP5F1D	0.7663157894736842	0.7207692307692308	12	1	14	551.25	26	181.9803902718557
phase12_kda_network_figures_v1	Excitatory_neurons	PRDX1	TMEM70	0.7663157894736842	0.46846153846153843	6	3	14	551.25	22	173.80831519646858
phase12_kda_network_figures_v1	Excitatory_neurons	PSAP	ATP5PB	0.4273684210526315	0.3423076923076923	1	3	6	211.25	14	154.83314773547883
phase12_kda_network_figures_v1	Excitatory_neurons	RAN	ATP5PB	0.5403508771929824	0.3423076923076923	3	2	7	245.0	14	154.83314773547883
phase12_kda_network_figures_v1	Excitatory_neurons	RPL11	ATP5ME	0.8147368421052631	0.5946153846153845	12	3	9	320.0	24	177.97958971132712
phase12_kda_network_figures_v1	Excitatory_neurons	RPL11	ATP5PF	0.8147368421052631	0.91	14	2	9	320.0	45	214.1640786499874
phase12_kda_network_figures_v1	Excitatory_neurons	RPL15	ATP5MC3	0.6371929824561403	0.7838461538461539	7	3	6	211.25	27	183.92304845413264
phase12_kda_network_figures_v1	Excitatory_neurons	RPL6	ATP5PD	0.7824561403508772	0.40538461538461534	9	3	6	211.25	16	160.0
phase12_kda_network_figures_v1	Excitatory_neurons	RPL6	ATP5PF	0.7824561403508772	0.91	10	1	6	211.25	45	214.1640786499874
phase12_kda_network_figures_v1	Excitatory_neurons	RPLP2	ATP5ME	0.7178947368421053	0.5946153846153845	10	1	8	281.25	24	177.97958971132712
phase12_kda_network_figures_v1	Excitatory_neurons	RRAGA	ATP5F1B	0.4112280701754385	0.21615384615384603	1	3	8	281.25	9	140.0
phase12_kda_network_figures_v1	Excitatory_neurons	SAP18	ATP5PB	0.49192982456140344	0.3423076923076923	2	3	7	245.0	14	154.83314773547883
phase12_kda_network_figures_v1	Excitatory_neurons	SCAND1	ATP5MC2	0.3950877192982456	0.8469230769230769	1	2	7	245.0	28	185.83005244258362
phase12_kda_network_figures_v1	Excitatory_neurons	SSB	ATP5MG	0.4757894736842105	0.153076923076923	2	1	11	405.0	9	140.0
phase12_kda_network_figures_v1	Excitatory_neurons	UQCR10	ATP5IF1	0.6049122807017544	0.6576923076923077	2	2	7	245.0	24	177.97958971132712
phase12_kda_network_figures_v1	Excitatory_neurons	UQCR10	ATP5MC2	0.6049122807017544	0.8469230769230769	1	3	7	245.0	28	185.83005244258362
phase12_kda_network_figures_v1	Excitatory_neurons	UQCR10	ATP5MC3	0.6049122807017544	0.7838461538461539	2	1	7	245.0	27	183.92304845413264
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5IF1	0.3466666666666667	0.6576923076923077	1	2	4	151.25	24	177.97958971132712
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5MG	0.3466666666666667	0.153076923076923	1	3	4	151.25	9	140.0
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5PD	0.3466666666666667	0.40538461538461534	2	3	4	151.25	16	160.0
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5PF	0.3466666666666667	0.91	3	1	4	151.25	45	214.1640786499874
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5PF	ATP5IF1	0.28210526315789464	0.6576923076923077	1	1	10	361.25	24	177.97958971132712
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5PF	ATP5MG	0.28210526315789464	0.153076923076923	1	2	10	361.25	9	140.0
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP6V1F	ATP5F1B	0.31438596491228066	0.21615384615384603	1	2	13	500.0	9	140.0
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP6V1F	ATP5MC2	0.31438596491228066	0.8469230769230769	2	3	13	500.0	28	185.83005244258362
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7A2	ATP5F1E	0.26596491228070174	0.5315384615384615	1	1	3	125.0	22	173.80831519646858
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7C	ATP5F1E	0.29824561403508765	0.5315384615384615	1	1	16	661.25	22	173.80831519646858
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7C	ATP5IF1	0.29824561403508765	0.6576923076923077	1	3	16	661.25	24	177.97958971132712
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7C	ATP5PF	0.29824561403508765	0.91	1	2	16	661.25	45	214.1640786499874
phase12_kda_network_figures_v1	Inhibitory_neurons	CUTA	ATP5MC2	0.24982456140350873	0.8469230769230769	1	1	4	151.25	28	185.83005244258362
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5IF1	0.3628070175438596	0.6576923076923077	3	2	10	361.25	24	177.97958971132712
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5MG	0.3628070175438596	0.153076923076923	2	3	10	361.25	9	140.0
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5PD	0.3628070175438596	0.40538461538461534	1	3	10	361.25	16	160.0
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5PF	0.3628070175438596	0.91	4	1	10	361.25	45	214.1640786499874
phase12_kda_network_figures_v1	Inhibitory_neurons	NDUFA12	ATP5PD	0.23368421052631572	0.40538461538461534	1	1	7	245.0	16	160.0
phase12_kda_network_figures_v1	Inhibitory_neurons	PGAM1	ATP5F1B	0.21754385964912282	0.21615384615384603	1	1	15	605.0	9	140.0
phase12_kda_network_figures_v1	Inhibitory_neurons	RPLP1	ATP5F1E	0.33052631578947367	0.5315384615384615	6	3	7	245.0	22	173.80831519646858
phase12_kda_network_figures_v1	Inhibitory_neurons	RPS15	ATP5F1E	0.3789473684210526	0.5315384615384615	6	2	18	720.0	22	173.80831519646858
phase12_kda_network_figures_v1	Inhibitory_neurons	RPS15	ATP5PF	0.3789473684210526	0.91	6	3	18	720.0	45	214.1640786499874
phase12_kda_network_figures_v1	Microglia	RPL11	ATP5F1E	0.2014035087719298	0.5315384615384615	1	2	14	551.25	22	173.80831519646858
phase12_kda_network_figures_v1	Microglia	RPL32	ATP5F1E	0.1852631578947368	0.5315384615384615	1	2	6	211.25	22	173.80831519646858
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5IF1	0.15298245614035078	0.6576923076923077	1	3	28	720.0	24	177.97958971132712
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5MC3	0.15298245614035078	0.7838461538461539	1	3	28	720.0	27	183.92304845413264
phase12_kda_network_figures_v1	OPCs	ANKRD11	ATP5PF	0.15298245614035078	0.91	1	3	28	720.0	45	214.1640786499874
phase12_kda_network_figures_v1	OPCs	FTL	ATP5IF1	0.13684210526315788	0.6576923076923077	1	2	31	720.0	24	177.97958971132712
phase12_kda_network_figures_v1	OPCs	FTL	ATP5MC3	0.13684210526315788	0.7838461538461539	1	2	31	720.0	27	183.92304845413264
phase12_kda_network_figures_v1	OPCs	FTL	ATP5PF	0.13684210526315788	0.91	1	2	31	720.0	45	214.1640786499874
phase12_kda_network_figures_v1	OPCs	GAPDH	ATP5IF1	0.08842105263157896	0.6576923076923077	1	1	16	661.25	24	177.97958971132712
phase12_kda_network_figures_v1	OPCs	ITM2B	ATP5MC3	0.12070175438596487	0.7838461538461539	1	1	30	720.0	27	183.92304845413264
phase12_kda_network_figures_v1	OPCs	ITM2B	ATP5PF	0.12070175438596487	0.91	1	1	30	720.0	45	214.1640786499874
phase12_kda_network_figures_v1	OPCs	PKM	ATP5IF1	0.07228070175438595	0.6576923076923077	1	2	6	211.25	24	177.97958971132712
phase12_kda_network_figures_v1	OPCs	RPL18	ATP5MC2	0.10456140350877186	0.8469230769230769	1	2	17	720.0	28	185.83005244258362
phase12_kda_network_figures_v1	OPCs	RPL18	ATP5MG	0.10456140350877186	0.153076923076923	1	3	17	720.0	9	140.0
phase12_kda_network_figures_v1	OPCs	RPLP1	ATP5MG	0.056140350877192935	0.153076923076923	1	2	30	720.0	9	140.0
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MC1	0.16912280701754379	0.09	1	1	28	720.0	1	100.0
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MC2	0.16912280701754379	0.8469230769230769	2	3	28	720.0	28	185.83005244258362
phase12_kda_network_figures_v1	OPCs	RPS15	ATP5MG	0.16912280701754379	0.153076923076923	1	3	28	720.0	9	140.0
phase12_kda_network_figures_v1	Oligodendrocytes	RPL11	ATP5MC2	0.04	0.8469230769230769	1	3	11	405.0	28	185.83005244258362
