schema_version	record_type	display_order	gene	contexts	final_grade	context_count	value	share	primary_label	secondary_label	tertiary_label	evidence_id	style_key	source_rows
genetic_support_tier1_slide_summary_v1	no_direct_gene	13	RPLP1	Astrocytes + inhibitory neurons	none_found	2	2	0.0425531914893617	RPLP1	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	14	RPS13	Excitatory neurons	none_found	1	1	0.02127659574468085	RPS13	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	15	RPS15	Inhibitory neurons + opcs	none_found	2	2	0.0425531914893617	RPS15	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	no_direct_gene	16	UQCR10	Excitatory neurons	none_found	1	1	0.02127659574468085	UQCR10	NA	NA	NA	no_direct_gray	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	not_assessable_gene	1	MT-ATP6	Astrocytes + vasculature cells	not_assessable	2	2	0.0425531914893617	MT-ATP6	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	not_assessable_gene	2	MT-CO2	Astrocytes, Excitatory neurons, Inhibitory neurons, Microglia, OPCs, Oligodendrocytes, Vasculature cells	not_assessable	7	7	0.14893617021276595	MT-CO2	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	not_assessable_gene	3	MT-CO3	Astrocytes, Inhibitory neurons, OPCs, Vasculature cells	not_assessable	4	4	0.0851063829787234	MT-CO3	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	not_assessable_gene	4	MT-CYB	Excitatory neurons + inhibitory neurons	not_assessable	2	2	0.0425531914893617	MT-CYB	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	not_assessable_gene	5	MT-ND4	Microglia, OPCs, Oligodendrocytes, Vasculature cells	not_assessable	4	4	0.0851063829787234	MT-ND4	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	not_assessable_gene	6	MT-ND5	Inhibitory neurons	not_assessable	1	1	0.02127659574468085	MT-ND5	NA	NA	NA	not_assessable_open	genetic_support_evidence_summary.tsv
genetic_support_tier1_slide_summary_v1	boundary	1	NA	NA	NA	47	47	1.0	No public match ≠ no genetic role    •    Missing data ≠ negative result	Categories show what the public data search could test; they do not measure cause.	NA	NA	boundary_navy	genetic_support_evidence_summary.tsv|genetic_support_assessability.tsv
