schema_version	analysis_universe	included_mito_tiers	panel	method_branch	category	rds_id	cell_type_high_resolution	row_id	row_label	eligible	count	tested_mito_features	percent	donor_label	contrast_id	contrast_name	sex	apoe_group	group_id	terminal_status	donors_ad	donors_nci	status_message	tested_core_mito	tested_mtdna_noncoding	tested_mito_extended	up_degs	down_degs	unchanged	up_core_mito	down_core_mito	up_mtdna_noncoding	down_mtdna_noncoding	up_mito_extended	down_mito_extended	pair_id	pair_label	first_group	second_group	first_contrast_id	second_contrast_id	jointly_tested_mito_features	jointly_tested_core_mito	jointly_tested_mtdna_noncoding	jointly_tested_mito_extended	first_terminal_status	second_terminal_status	deg_rule	annotation_source	phase09_annotated_sha256
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female__e4	NA	TRUE	36	891	4.04040404040404	26/11	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	AD_vs_NCI__Female__e4	Female	e4	Female__e4	validated_complete	26	11	NA	821	0	70	36	253	602	34	239	0	0	2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male__e2	NA	TRUE	56	903	6.2015503875969	7/6	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	Male	e2	Male__e2	validated_complete	7	6	NA	834	0	69	56	179	668	54	172	0	0	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male__e33	NA	TRUE	2	873	0.229095074455899	29/53	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e33	AD_vs_NCI__Male__e33	Male	e33	Male__e33	validated_complete	29	53	NA	804	0	69	2	1	870	1	1	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male__e4	NA	TRUE	10	867	1.15340253748558	27/10	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e4	AD_vs_NCI__Male__e4	Male	e4	Male__e4	validated_complete	27	10	NA	799	0	68	10	14	843	8	13	0	0	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set2	Exc L3-4 RORB CUX2	Female__e2	NA	TRUE	115	982	11.7107942973523	8/16	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	AD_vs_NCI__Female__e2	Female	e2	Female__e2	validated_complete	8	16	NA	911	0	71	115	9	858	105	9	0	0	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set2	Exc L3-4 RORB CUX2	Female__e33	NA	TRUE	14	993	1.4098690835851	37/45	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	AD_vs_NCI__Female__e33	Female	e33	Female__e33	validated_complete	37	45	NA	922	0	71	14	19	960	13	18	0	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set2	Exc L3-4 RORB CUX2	Female__e4	NA	TRUE	2	1006	0.198807157057654	26/11	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e4	AD_vs_NCI__Female__e4	Female	e4	Female__e4	validated_complete	26	11	NA	935	0	71	2	45	959	2	37	0	0	0	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set2	Exc L3-4 RORB CUX2	Male__e2	NA	TRUE	44	988	4.45344129554656	7/6	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	AD_vs_NCI__Male__e2	Male	e2	Male__e2	validated_complete	7	6	NA	918	0	70	44	246	698	42	240	0	0	2	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set2	Exc L3-4 RORB CUX2	Male__e33	NA	TRUE	5	971	0.514933058702369	27/53	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e33	AD_vs_NCI__Male__e33	Male	e33	Male__e33	validated_complete	27	53	NA	901	0	70	5	1	965	5	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
mito_related_mast_yu_tiles_v2	all_mito_related	core_mito_protein;mtdna_noncoding;mito_extended	A	mast	upregulated	excitatory_set2	Exc L3-4 RORB CUX2	Male__e4	NA	TRUE	20	961	2.08116545265349	27/10	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e4	AD_vs_NCI__Male__e4	Male	e4	Male__e4	validated_complete	27	10	NA	891	0	70	20	10	931	18	10	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	phase08_paper_deg	validated_phase09_mitochondrial_tiers	70e4149f6ea38d3eb75c0a97c88ada8a33c71f581612497da560d916fdc47791
