schema_version	kda_run_id	analysis_tier	fine_cell_type	broad_network	signature_group	source_groups	source_contrast_ids	source_terminal_statuses	signature_direction	candidate_query_genes	effective_query_genes	exact_tested_genes	induced_network_edges	effective_background_genes	eligibility_status	terminal_status	significant_key_drivers	elapsed_seconds	message
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e2_AD_both_mito	primary	Ast CHI3L1	Astrocytes	M_e2	M_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	validated_complete	AD_both_mito	18	16	6839	6301	5947	eligible	completed_no_significant	0	0.570999999999998	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e33_AD_up_mito	primary	Ast CHI3L1	Astrocytes	M_e33	M_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	validated_complete	AD_up_mito	20	17	8434	7601	7152	eligible	completed_significant	2	0.649000000000001	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e33_AD_down_mito	primary	Ast CHI3L1	Astrocytes	M_e33	M_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	validated_complete	AD_down_mito	12	11	8434	7601	7152	eligible	completed_no_significant	0	0.435000000000002	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e33_AD_both_mito	primary	Ast CHI3L1	Astrocytes	M_e33	M_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	validated_complete	AD_both_mito	32	28	8434	7601	7152	eligible	completed_significant	1	0.962000000000003	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e4_AD_up_mito	primary	Ast CHI3L1	Astrocytes	M_e4	M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete	AD_up_mito	23	22	7181	6682	6266	eligible	completed_significant	3	0.608000000000004	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e4_AD_down_mito	primary	Ast CHI3L1	Astrocytes	M_e4	M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete	AD_down_mito	39	36	7181	6682	6266	eligible	completed_significant	5	0.965000000000003	
mitochondrial_kda_run_manifest_v1	primary_Ast_CHI3L1_M_e4_AD_both_mito	primary	Ast CHI3L1	Astrocytes	M_e4	M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete	AD_both_mito	62	58	7181	6682	6266	eligible	completed_significant	9	1.387	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_female_pool_AD_up_mito	secondary	Ast CHI3L1	Astrocytes	female_pool	F_e2;F_e33;F_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	validated_complete;validated_complete;validated_complete	AD_up_mito	72	59	7604	7070	6648	eligible	completed_no_significant	0	2.10900000000001	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_female_pool_AD_down_mito	secondary	Ast CHI3L1	Astrocytes	female_pool	F_e2;F_e33;F_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	validated_complete;validated_complete;validated_complete	AD_down_mito	76	63	7604	7070	6648	eligible	completed_significant	8	1.694	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_female_pool_AD_both_mito	secondary	Ast CHI3L1	Astrocytes	female_pool	F_e2;F_e33;F_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4	validated_complete;validated_complete;validated_complete	AD_both_mito	140	115	7604	7070	6648	eligible	completed_significant	3	2.55499999999999	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_male_pool_AD_up_mito	secondary	Ast CHI3L1	Astrocytes	male_pool	M_e2;M_e33;M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete;validated_complete;validated_complete	AD_up_mito	48	40	6520	6091	5744	eligible	completed_significant	3	1.07900000000001	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_male_pool_AD_down_mito	secondary	Ast CHI3L1	Astrocytes	male_pool	M_e2;M_e33;M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete;validated_complete;validated_complete	AD_down_mito	55	44	6520	6091	5744	eligible	completed_no_significant	0	1.146	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_male_pool_AD_both_mito	secondary	Ast CHI3L1	Astrocytes	male_pool	M_e2;M_e33;M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete;validated_complete;validated_complete	AD_both_mito	98	79	6520	6091	5744	eligible	completed_significant	4	1.601	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e2_pool_AD_up_mito	secondary	Ast CHI3L1	Astrocytes	e2_pool	F_e2;M_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	validated_complete;validated_complete	AD_up_mito	17	15	6689	6210	5859	eligible	completed_no_significant	0	0.528999999999996	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e2_pool_AD_down_mito	secondary	Ast CHI3L1	Astrocytes	e2_pool	F_e2;M_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	validated_complete;validated_complete	AD_down_mito	10	8	6689	6210	5859	eligible	completed_no_significant	0	0.216000000000008	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e2_pool_AD_both_mito	secondary	Ast CHI3L1	Astrocytes	e2_pool	F_e2;M_e2	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e2;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e2	validated_complete;validated_complete	AD_both_mito	27	23	6689	6210	5859	eligible	completed_no_significant	0	0.73599999999999	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e33_pool_AD_up_mito	secondary	Ast CHI3L1	Astrocytes	e33_pool	F_e33;M_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	validated_complete;validated_complete	AD_up_mito	49	37	8160	7457	7015	eligible	completed_significant	3	1.44999999999999	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e33_pool_AD_down_mito	secondary	Ast CHI3L1	Astrocytes	e33_pool	F_e33;M_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	validated_complete;validated_complete	AD_down_mito	34	29	8160	7457	7015	eligible	completed_no_significant	0	0.935999999999993	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e33_pool_AD_both_mito	secondary	Ast CHI3L1	Astrocytes	e33_pool	F_e33;M_e33	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e33;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	validated_complete;validated_complete	AD_both_mito	82	66	8160	7457	7015	eligible	completed_significant	1	1.926	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e4_pool_AD_up_mito	secondary	Ast CHI3L1	Astrocytes	e4_pool	F_e4;M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete;validated_complete	AD_up_mito	57	52	7116	6646	6233	eligible	completed_significant	3	1.494	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e4_pool_AD_down_mito	secondary	Ast CHI3L1	Astrocytes	e4_pool	F_e4;M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete;validated_complete	AD_down_mito	89	76	7116	6646	6233	eligible	completed_significant	5	1.73099999999999	
mitochondrial_kda_run_manifest_v1	secondary_Ast_CHI3L1_e4_pool_AD_both_mito	secondary	Ast CHI3L1	Astrocytes	e4_pool	F_e4;M_e4	astrocytes::Ast CHI3L1::AD_vs_NCI__Female__e4;astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	validated_complete;validated_complete	AD_both_mito	142	124	7116	6646	6233	eligible	completed_significant	4	2.495	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e2_AD_up_mito	primary	Ast DPP10	Astrocytes	F_e2	F_e2	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	validated_complete	AD_up_mito	9	9	6377	5983	5601	eligible	completed_no_significant	0	0.387999999999991	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e2_AD_down_mito	primary	Ast DPP10	Astrocytes	F_e2	F_e2	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	validated_complete	AD_down_mito	9	7	6377	5983	5601	eligible	completed_significant	4	0.345999999999989	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e2_AD_both_mito	primary	Ast DPP10	Astrocytes	F_e2	F_e2	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	validated_complete	AD_both_mito	18	16	6377	5983	5601	eligible	completed_significant	2	0.728999999999999	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e33_AD_up_mito	primary	Ast DPP10	Astrocytes	F_e33	F_e33	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	validated_complete	AD_up_mito	6	5	6646	6289	5882	eligible	completed_no_significant	0	0.467999999999989	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e33_AD_down_mito	primary	Ast DPP10	Astrocytes	F_e33	F_e33	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	validated_complete	AD_down_mito	7	4	6646	6289	5882	eligible	completed_no_significant	0	0.185000000000002	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e33_AD_both_mito	primary	Ast DPP10	Astrocytes	F_e33	F_e33	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	validated_complete	AD_both_mito	13	9	6646	6289	5882	eligible	completed_no_significant	0	0.753	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e4_AD_up_mito	primary	Ast DPP10	Astrocytes	F_e4	F_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	validated_complete	AD_up_mito	6	5	6976	6507	6099	eligible	completed_no_significant	0	0.521000000000001	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e4_AD_down_mito	primary	Ast DPP10	Astrocytes	F_e4	F_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	validated_complete	AD_down_mito	29	25	6976	6507	6099	eligible	completed_significant	7	0.504999999999996	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_F_e4_AD_both_mito	primary	Ast DPP10	Astrocytes	F_e4	F_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	validated_complete	AD_both_mito	35	30	6976	6507	6099	eligible	completed_significant	7	0.921000000000006	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e2_AD_up_mito	primary	Ast DPP10	Astrocytes	M_e2	M_e2	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	validated_complete	AD_up_mito	71	65	6332	5915	5562	eligible	completed_no_significant	0	1.437	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e2_AD_down_mito	primary	Ast DPP10	Astrocytes	M_e2	M_e2	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	validated_complete	AD_down_mito	31	28	6332	5915	5562	eligible	completed_significant	9	0.632000000000005	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e2_AD_both_mito	primary	Ast DPP10	Astrocytes	M_e2	M_e2	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	validated_complete	AD_both_mito	102	93	6332	5915	5562	eligible	completed_no_significant	0	1.809	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e33_AD_up_mito	primary	Ast DPP10	Astrocytes	M_e33	M_e33	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	validated_complete	AD_up_mito	6	5	6563	6160	5774	eligible	completed_significant	9	0.144000000000005	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e33_AD_down_mito	primary	Ast DPP10	Astrocytes	M_e33	M_e33	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	validated_complete	AD_down_mito	4	2	6563	6160	5774	effective_query_below_minimum	skipped_effective_query_below_minimum	0	0	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e33_AD_both_mito	primary	Ast DPP10	Astrocytes	M_e33	M_e33	astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	validated_complete	AD_both_mito	10	7	6563	6160	5774	eligible	completed_significant	6	0.224000000000004	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e4_AD_up_mito	primary	Ast DPP10	Astrocytes	M_e4	M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete	AD_up_mito	32	31	6832	6374	5979	eligible	completed_significant	11	0.814999999999998	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e4_AD_down_mito	primary	Ast DPP10	Astrocytes	M_e4	M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete	AD_down_mito	31	29	6832	6374	5979	eligible	completed_no_significant	0	0.802000000000007	
mitochondrial_kda_run_manifest_v1	primary_Ast_DPP10_M_e4_AD_both_mito	primary	Ast DPP10	Astrocytes	M_e4	M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete	AD_both_mito	63	60	6832	6374	5979	eligible	completed_significant	8	1.486	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_female_pool_AD_up_mito	secondary	Ast DPP10	Astrocytes	female_pool	F_e2;F_e33;F_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2;astrocytes::Ast DPP10::AD_vs_NCI__Female__e33;astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	validated_complete;validated_complete;validated_complete	AD_up_mito	20	15	6156	5801	5432	eligible	completed_significant	2	0.754999999999996	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_female_pool_AD_down_mito	secondary	Ast DPP10	Astrocytes	female_pool	F_e2;F_e33;F_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2;astrocytes::Ast DPP10::AD_vs_NCI__Female__e33;astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	validated_complete;validated_complete;validated_complete	AD_down_mito	43	29	6156	5801	5432	eligible	completed_significant	10	0.736000000000004	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_female_pool_AD_both_mito	secondary	Ast DPP10	Astrocytes	female_pool	F_e2;F_e33;F_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2;astrocytes::Ast DPP10::AD_vs_NCI__Female__e33;astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	validated_complete;validated_complete;validated_complete	AD_both_mito	63	44	6156	5801	5432	eligible	completed_significant	10	1.474	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_male_pool_AD_up_mito	secondary	Ast DPP10	Astrocytes	male_pool	M_e2;M_e33;M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2;astrocytes::Ast DPP10::AD_vs_NCI__Male__e33;astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete;validated_complete;validated_complete	AD_up_mito	99	86	6079	5731	5384	eligible	completed_significant	6	1.654	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_male_pool_AD_down_mito	secondary	Ast DPP10	Astrocytes	male_pool	M_e2;M_e33;M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2;astrocytes::Ast DPP10::AD_vs_NCI__Male__e33;astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete;validated_complete;validated_complete	AD_down_mito	62	53	6079	5731	5384	eligible	completed_significant	5	1.185	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_male_pool_AD_both_mito	secondary	Ast DPP10	Astrocytes	male_pool	M_e2;M_e33;M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Male__e2;astrocytes::Ast DPP10::AD_vs_NCI__Male__e33;astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete;validated_complete;validated_complete	AD_both_mito	151	130	6079	5731	5384	eligible	completed_significant	5	2.179	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e2_pool_AD_up_mito	secondary	Ast DPP10	Astrocytes	e2_pool	F_e2;M_e2	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2;astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	validated_complete;validated_complete	AD_up_mito	79	70	6004	5652	5306	eligible	completed_no_significant	0	1.52800000000001	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e2_pool_AD_down_mito	secondary	Ast DPP10	Astrocytes	e2_pool	F_e2;M_e2	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2;astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	validated_complete;validated_complete	AD_down_mito	39	33	6004	5652	5306	eligible	completed_significant	11	0.807000000000002	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e2_pool_AD_both_mito	secondary	Ast DPP10	Astrocytes	e2_pool	F_e2;M_e2	astrocytes::Ast DPP10::AD_vs_NCI__Female__e2;astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	validated_complete;validated_complete	AD_both_mito	112	97	6004	5652	5306	eligible	completed_significant	8	1.941	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e33_pool_AD_up_mito	secondary	Ast DPP10	Astrocytes	e33_pool	F_e33;M_e33	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33;astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	validated_complete;validated_complete	AD_up_mito	11	7	6370	6015	5635	eligible	completed_no_significant	0	0.519999999999996	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e33_pool_AD_down_mito	secondary	Ast DPP10	Astrocytes	e33_pool	F_e33;M_e33	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33;astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	validated_complete;validated_complete	AD_down_mito	10	6	6370	6015	5635	eligible	completed_no_significant	0	0.422000000000011	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e33_pool_AD_both_mito	secondary	Ast DPP10	Astrocytes	e33_pool	F_e33;M_e33	astrocytes::Ast DPP10::AD_vs_NCI__Female__e33;astrocytes::Ast DPP10::AD_vs_NCI__Male__e33	validated_complete;validated_complete	AD_both_mito	21	13	6370	6015	5635	eligible	completed_no_significant	0	0.653999999999996	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e4_pool_AD_up_mito	secondary	Ast DPP10	Astrocytes	e4_pool	F_e4;M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4;astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete;validated_complete	AD_up_mito	35	34	6598	6200	5821	eligible	completed_significant	11	0.893999999999991	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e4_pool_AD_down_mito	secondary	Ast DPP10	Astrocytes	e4_pool	F_e4;M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4;astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete;validated_complete	AD_down_mito	59	50	6598	6200	5821	eligible	completed_significant	7	1.02499999999999	
mitochondrial_kda_run_manifest_v1	secondary_Ast_DPP10_e4_pool_AD_both_mito	secondary	Ast DPP10	Astrocytes	e4_pool	F_e4;M_e4	astrocytes::Ast DPP10::AD_vs_NCI__Female__e4;astrocytes::Ast DPP10::AD_vs_NCI__Male__e4	validated_complete;validated_complete	AD_both_mito	91	81	6598	6200	5821	eligible	completed_significant	13	1.59899999999999	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e2_AD_up_mito	primary	Ast GRM3	Astrocytes	F_e2	F_e2	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	validated_complete	AD_up_mito	70	59	7458	7026	6593	eligible	completed_significant	10	1.181	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e2_AD_down_mito	primary	Ast GRM3	Astrocytes	F_e2	F_e2	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	validated_complete	AD_down_mito	28	23	7458	7026	6593	eligible	completed_no_significant	0	0.843000000000004	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e2_AD_both_mito	primary	Ast GRM3	Astrocytes	F_e2	F_e2	astrocytes::Ast GRM3::AD_vs_NCI__Female__e2	validated_complete	AD_both_mito	98	82	7458	7026	6593	eligible	completed_significant	9	1.76400000000001	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e33_AD_up_mito	primary	Ast GRM3	Astrocytes	F_e33	F_e33	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	validated_complete	AD_up_mito	6	6	7331	6920	6492	eligible	completed_significant	4	0.605999999999995	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e33_AD_down_mito	primary	Ast GRM3	Astrocytes	F_e33	F_e33	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	validated_complete	AD_down_mito	1	0	7331	6920	6492	effective_query_below_minimum	skipped_effective_query_below_minimum	0	0	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e33_AD_both_mito	primary	Ast GRM3	Astrocytes	F_e33	F_e33	astrocytes::Ast GRM3::AD_vs_NCI__Female__e33	validated_complete	AD_both_mito	7	6	7331	6920	6492	eligible	completed_significant	4	0.586000000000013	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e4_AD_up_mito	primary	Ast GRM3	Astrocytes	F_e4	F_e4	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	validated_complete	AD_up_mito	15	13	8345	7591	7150	eligible	completed_significant	3	0.460999999999984	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e4_AD_down_mito	primary	Ast GRM3	Astrocytes	F_e4	F_e4	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	validated_complete	AD_down_mito	30	21	8345	7591	7150	eligible	completed_no_significant	0	0.738	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_F_e4_AD_both_mito	primary	Ast GRM3	Astrocytes	F_e4	F_e4	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	validated_complete	AD_both_mito	45	34	8345	7591	7150	eligible	completed_significant	1	1.126	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_M_e2_AD_up_mito	primary	Ast GRM3	Astrocytes	M_e2	M_e2	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	validated_complete	AD_up_mito	106	95	6979	6500	6117	eligible	completed_no_significant	0	2.18099999999998	
mitochondrial_kda_run_manifest_v1	primary_Ast_GRM3_M_e2_AD_down_mito	primary	Ast GRM3	Astrocytes	M_e2	M_e2	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	validated_complete	AD_down_mito	109	94	6979	6500	6117	eligible	completed_significant	24	1.37899999999999	
