schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	tile_status	passing_context	circle_displayed	within_case_rank	aggregate_acat_q	negative_log10_aggregate_acat_q	capped_negative_log10_aggregate_acat_q	extended_reference_member
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	6	COX7C	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	6	COX7C	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	7	MT-CYB	1	Astrocytes	Astrocytes	#009E73	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	7	MT-CYB	2	Excitatory_neurons	Excitatory neurons	#E69F00	circle_displayed	TRUE	TRUE	5	1.539438400949714e-05	4.812637684261824	4.812637684261824	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	7	MT-CYB	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	circle_displayed	TRUE	TRUE	3	6.887580432997238e-08	7.161933316430119	7.161933316430119	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	7	MT-CYB	4	Microglia	Microglia	#CC79A7	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	7	MT-CYB	5	OPCs	OPCs	#56B4E9	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	7	MT-CYB	6	Oligodendrocytes	Oligodendrocytes	#F0E442	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	7	MT-CYB	7	Vasculature_cells	Vasculature	#D55E00	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
phase18_mt_evidence_atlas_v2_plot_data_v1	phase18_evidence_atlas_mt	mt_driver	8	COX6B1	1	Astrocytes	Astrocytes	#009E73	no_passing_context	FALSE	FALSE	NA	NA	NA	NA	FALSE
