kda_run_id	broad_network	background_genes	explicit_candidates	implicit_zero_overlap_candidates	published_significant_candidates	published_result_reconciliation
primary_Exc_L2_3_CBLN2_LINC02306_F_e2_AD_down_mito	Excitatory_neurons	8912	329	8583	0	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_F_e33_AD_up_mito	Excitatory_neurons	8971	78	8893	12	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_F_e33_AD_down_mito	Excitatory_neurons	8971	61	8910	7	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_up_mito	Excitatory_neurons	9040	692	8348	5	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Excitatory_neurons	9040	2121	6919	55	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_up_mito	Excitatory_neurons	9111	995	8116	4	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Excitatory_neurons	9111	1544	7567	70	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_M_e4_AD_up_mito	Excitatory_neurons	8794	120	8674	11	TRUE
primary_Exc_L2_3_CBLN2_LINC02306_M_e4_AD_down_mito	Excitatory_neurons	8794	216	8578	0	TRUE
primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito	Excitatory_neurons	9688	1170	8518	39	TRUE
primary_Exc_L3_4_RORB_CUX2_F_e2_AD_down_mito	Excitatory_neurons	9688	109	9579	13	TRUE
primary_Exc_L3_4_RORB_CUX2_F_e33_AD_up_mito	Excitatory_neurons	9730	84	9646	10	TRUE
primary_Exc_L3_4_RORB_CUX2_F_e33_AD_down_mito	Excitatory_neurons	9730	312	9418	7	TRUE
primary_Exc_L3_4_RORB_CUX2_F_e4_AD_down_mito	Excitatory_neurons	9809	867	8942	0	TRUE
primary_Exc_L3_4_RORB_CUX2_M_e2_AD_up_mito	Excitatory_neurons	9722	755	8967	3	TRUE
primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Excitatory_neurons	9722	1854	7868	81	TRUE
primary_Exc_L3_4_RORB_CUX2_M_e33_AD_up_mito	Excitatory_neurons	9618	16	9602	4	TRUE
primary_Exc_L3_4_RORB_CUX2_M_e4_AD_up_mito	Excitatory_neurons	9614	341	9273	4	TRUE
primary_Exc_L3_4_RORB_CUX2_M_e4_AD_down_mito	Excitatory_neurons	9614	136	9478	16	TRUE
primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_up_mito	Excitatory_neurons	9717	706	9011	22	TRUE
primary_Exc_L3_5_RORB_PLCH1_F_e33_AD_up_mito	Excitatory_neurons	9538	487	9051	11	TRUE
primary_Exc_L3_5_RORB_PLCH1_F_e4_AD_up_mito	Excitatory_neurons	9580	94	9486	15	TRUE
primary_Exc_L3_5_RORB_PLCH1_F_e4_AD_down_mito	Excitatory_neurons	9580	952	8628	3	TRUE
primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_up_mito	Excitatory_neurons	9445	1203	8242	3	TRUE
primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Excitatory_neurons	9445	1856	7589	66	TRUE
primary_Exc_L3_5_RORB_PLCH1_M_e33_AD_up_mito	Excitatory_neurons	9293	60	9233	11	TRUE
primary_Exc_L3_5_RORB_PLCH1_M_e33_AD_down_mito	Excitatory_neurons	9293	261	9032	0	TRUE
primary_Exc_L3_5_RORB_PLCH1_M_e4_AD_up_mito	Excitatory_neurons	9341	742	8599	3	TRUE
primary_Exc_L3_5_RORB_PLCH1_M_e4_AD_down_mito	Excitatory_neurons	9341	105	9236	3	TRUE
primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_up_mito	Excitatory_neurons	9319	485	8834	7	TRUE
primary_Exc_L4_5_RORB_GABRG1_F_e2_AD_down_mito	Excitatory_neurons	9319	364	8955	5	TRUE
primary_Exc_L4_5_RORB_GABRG1_F_e33_AD_up_mito	Excitatory_neurons	9276	247	9029	8	TRUE
primary_Exc_L4_5_RORB_GABRG1_F_e4_AD_down_mito	Excitatory_neurons	9260	1225	8035	2	TRUE
primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_up_mito	Excitatory_neurons	9109	650	8459	3	TRUE
primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Excitatory_neurons	9109	1708	7401	74	TRUE
primary_Exc_L4_5_RORB_GABRG1_M_e33_AD_down_mito	Excitatory_neurons	8865	88	8777	6	TRUE
primary_Exc_L4_5_RORB_GABRG1_M_e4_AD_up_mito	Excitatory_neurons	8955	124	8831	7	TRUE
primary_Exc_L4_5_RORB_GABRG1_M_e4_AD_down_mito	Excitatory_neurons	8955	229	8726	13	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito	Excitatory_neurons	9695	1207	8488	39	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_down_mito	Excitatory_neurons	9695	92	9603	9	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_F_e33_AD_up_mito	Excitatory_neurons	9697	140	9557	11	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito	Excitatory_neurons	9715	1482	8233	31	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_up_mito	Excitatory_neurons	9653	880	8773	1	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito	Excitatory_neurons	9653	1361	8292	46	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_M_e33_AD_up_mito	Excitatory_neurons	9559	13	9546	3	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_M_e4_AD_up_mito	Excitatory_neurons	9605	590	9015	1	TRUE
primary_Exc_L4_5_RORB_IL1RAPL2_M_e4_AD_down_mito	Excitatory_neurons	9605	196	9409	7	TRUE
primary_Exc_L5_ET_F_e33_AD_up_mito	Excitatory_neurons	9805	108	9697	13	TRUE
primary_Exc_L5_ET_M_e2_AD_up_mito	Excitatory_neurons	9788	75	9713	10	TRUE
primary_Exc_L5_ET_M_e2_AD_down_mito	Excitatory_neurons	9788	89	9699	5	TRUE
primary_Exc_L5_ET_M_e33_AD_up_mito	Excitatory_neurons	9784	1485	8299	0	TRUE
primary_Exc_L5_ET_M_e33_AD_down_mito	Excitatory_neurons	9784	1622	8162	0	TRUE
primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_up_mito	Excitatory_neurons	9669	994	8675	31	TRUE
primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_down_mito	Excitatory_neurons	9669	122	9547	0	TRUE
primary_Exc_L5_6_RORB_LINC02196_F_e33_AD_up_mito	Excitatory_neurons	9655	275	9380	10	TRUE
primary_Exc_L5_6_RORB_LINC02196_F_e33_AD_down_mito	Excitatory_neurons	9655	138	9517	0	TRUE
primary_Exc_L5_6_RORB_LINC02196_F_e4_AD_up_mito	Excitatory_neurons	9724	98	9626	23	TRUE
primary_Exc_L5_6_RORB_LINC02196_F_e4_AD_down_mito	Excitatory_neurons	9724	660	9064	0	TRUE
primary_Exc_L5_6_RORB_LINC02196_M_e2_AD_down_mito	Excitatory_neurons	9552	739	8813	14	TRUE
primary_Exc_L5_6_RORB_LINC02196_M_e33_AD_up_mito	Excitatory_neurons	9510	206	9304	13	TRUE
primary_Exc_L5_6_RORB_LINC02196_M_e33_AD_down_mito	Excitatory_neurons	9510	124	9386	1	TRUE
primary_Exc_L5_6_RORB_LINC02196_M_e4_AD_up_mito	Excitatory_neurons	9543	623	8920	11	TRUE
primary_Exc_L5_6_RORB_LINC02196_M_e4_AD_down_mito	Excitatory_neurons	9543	544	8999	4	TRUE
primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito	Excitatory_neurons	9731	1414	8317	51	TRUE
primary_Exc_L5_6_IT_Car3_F_e33_AD_up_mito	Excitatory_neurons	9705	417	9288	5	TRUE
primary_Exc_L5_6_IT_Car3_F_e33_AD_down_mito	Excitatory_neurons	9705	231	9474	0	TRUE
primary_Exc_L5_6_IT_Car3_F_e4_AD_down_mito	Excitatory_neurons	9758	1522	8236	22	TRUE
primary_Exc_L5_6_IT_Car3_M_e2_AD_up_mito	Excitatory_neurons	9678	1238	8440	15	TRUE
primary_Exc_L5_6_IT_Car3_M_e2_AD_down_mito	Excitatory_neurons	9678	938	8740	2	TRUE
primary_Exc_L5_6_IT_Car3_M_e33_AD_up_mito	Excitatory_neurons	9537	350	9187	1	TRUE
primary_Exc_L5_6_IT_Car3_M_e33_AD_down_mito	Excitatory_neurons	9537	391	9146	7	TRUE
primary_Exc_L5_6_IT_Car3_M_e4_AD_up_mito	Excitatory_neurons	9694	240	9454	4	TRUE
primary_Exc_L5_6_IT_Car3_M_e4_AD_down_mito	Excitatory_neurons	9694	152	9542	16	TRUE
primary_Exc_L5_6_NP_F_e2_AD_up_mito	Excitatory_neurons	9313	415	8898	10	TRUE
primary_Exc_L5_6_NP_F_e33_AD_up_mito	Excitatory_neurons	9131	800	8331	18	TRUE
primary_Exc_L5_6_NP_F_e33_AD_down_mito	Excitatory_neurons	9131	129	9002	0	TRUE
primary_Exc_L5_6_NP_F_e4_AD_down_mito	Excitatory_neurons	9357	178	9179	0	TRUE
primary_Exc_L5_6_NP_M_e2_AD_up_mito	Excitatory_neurons	9089	450	8639	0	TRUE
primary_Exc_L5_6_NP_M_e2_AD_down_mito	Excitatory_neurons	9089	615	8474	12	TRUE
primary_Exc_L5_6_NP_M_e33_AD_up_mito	Excitatory_neurons	9077	269	8808	5	TRUE
primary_Exc_L5_6_NP_M_e4_AD_up_mito	Excitatory_neurons	9037	43	8994	14	TRUE
primary_Exc_L5_6_NP_M_e4_AD_down_mito	Excitatory_neurons	9037	172	8865	0	TRUE
primary_Exc_L6_CT_F_e2_AD_up_mito	Excitatory_neurons	9169	87	9082	9	TRUE
primary_Exc_L6_CT_F_e33_AD_up_mito	Excitatory_neurons	9218	851	8367	18	TRUE
primary_Exc_L6_CT_F_e33_AD_down_mito	Excitatory_neurons	9218	254	8964	22	TRUE
primary_Exc_L6_CT_F_e4_AD_down_mito	Excitatory_neurons	9414	501	8913	0	TRUE
primary_Exc_L6_CT_M_e2_AD_up_mito	Excitatory_neurons	9203	776	8427	0	TRUE
primary_Exc_L6_CT_M_e2_AD_down_mito	Excitatory_neurons	9203	841	8362	0	TRUE
primary_Exc_L6_CT_M_e33_AD_up_mito	Excitatory_neurons	9017	454	8563	11	TRUE
primary_Exc_L6_CT_M_e33_AD_down_mito	Excitatory_neurons	9017	50	8967	4	TRUE
primary_Exc_L6_CT_M_e4_AD_up_mito	Excitatory_neurons	9324	83	9241	10	TRUE
primary_Exc_L6_CT_M_e4_AD_down_mito	Excitatory_neurons	9324	436	8888	0	TRUE
primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito	Excitatory_neurons	9785	1288	8497	50	TRUE
primary_Exc_L6_THEMIS_NFIA_F_e2_AD_down_mito	Excitatory_neurons	9785	80	9705	0	TRUE
primary_Exc_L6_THEMIS_NFIA_F_e33_AD_up_mito	Excitatory_neurons	9772	309	9463	11	TRUE
primary_Exc_L6_THEMIS_NFIA_F_e4_AD_down_mito	Excitatory_neurons	9832	424	9408	0	TRUE
primary_Exc_L6_THEMIS_NFIA_M_e2_AD_up_mito	Excitatory_neurons	9768	1557	8211	14	TRUE
primary_Exc_L6_THEMIS_NFIA_M_e2_AD_down_mito	Excitatory_neurons	9768	197	9571	0	TRUE
primary_Exc_L6_THEMIS_NFIA_M_e4_AD_up_mito	Excitatory_neurons	9764	550	9214	5	TRUE
primary_Exc_L6_THEMIS_NFIA_M_e4_AD_down_mito	Excitatory_neurons	9764	295	9469	0	TRUE
primary_Exc_L6b_F_e2_AD_up_mito	Excitatory_neurons	9771	225	9546	1	TRUE
primary_Exc_L6b_F_e2_AD_down_mito	Excitatory_neurons	9771	131	9640	0	TRUE
primary_Exc_L6b_F_e33_AD_up_mito	Excitatory_neurons	9686	730	8956	23	TRUE
primary_Exc_L6b_F_e33_AD_down_mito	Excitatory_neurons	9686	173	9513	0	TRUE
primary_Exc_L6b_F_e4_AD_down_mito	Excitatory_neurons	9799	1035	8764	2	TRUE
primary_Exc_L6b_M_e2_AD_up_mito	Excitatory_neurons	9707	1702	8005	3	TRUE
primary_Exc_L6b_M_e2_AD_down_mito	Excitatory_neurons	9707	811	8896	4	TRUE
primary_Exc_L6b_M_e33_AD_up_mito	Excitatory_neurons	9566	321	9245	0	TRUE
primary_Exc_L6b_M_e33_AD_down_mito	Excitatory_neurons	9566	191	9375	0	TRUE
primary_Exc_L6b_M_e4_AD_up_mito	Excitatory_neurons	9726	414	9312	1	TRUE
primary_Exc_L6b_M_e4_AD_down_mito	Excitatory_neurons	9726	386	9340	0	TRUE
primary_Exc_NRGN_F_e33_AD_up_mito	Excitatory_neurons	3661	75	3586	0	TRUE
primary_Exc_NRGN_F_e33_AD_down_mito	Excitatory_neurons	3661	149	3512	0	TRUE
primary_Exc_NRGN_F_e4_AD_down_mito	Excitatory_neurons	3720	58	3662	5	TRUE
primary_Exc_NRGN_M_e2_AD_up_mito	Excitatory_neurons	4239	786	3453	18	TRUE
primary_Exc_NRGN_M_e2_AD_down_mito	Excitatory_neurons	4239	610	3629	10	TRUE
primary_Exc_NRGN_M_e33_AD_up_mito	Excitatory_neurons	3823	494	3329	0	TRUE
primary_Exc_NRGN_M_e33_AD_down_mito	Excitatory_neurons	3823	662	3161	51	TRUE
primary_Exc_NRGN_M_e4_AD_up_mito	Excitatory_neurons	5306	420	4886	3	TRUE
primary_Exc_NRGN_M_e4_AD_down_mito	Excitatory_neurons	5306	842	4464	15	TRUE
primary_Exc_RELN_CHD7_F_e2_AD_up_mito	Excitatory_neurons	8024	349	7675	4	TRUE
primary_Exc_RELN_CHD7_F_e2_AD_down_mito	Excitatory_neurons	8024	66	7958	12	TRUE
primary_Exc_RELN_CHD7_F_e33_AD_up_mito	Excitatory_neurons	6458	639	5819	4	TRUE
primary_Exc_RELN_CHD7_F_e33_AD_down_mito	Excitatory_neurons	6458	746	5712	2	TRUE
primary_Exc_RELN_CHD7_F_e4_AD_up_mito	Excitatory_neurons	7514	1059	6455	0	TRUE
primary_Exc_RELN_CHD7_F_e4_AD_down_mito	Excitatory_neurons	7514	1217	6297	17	TRUE
primary_Exc_RELN_CHD7_M_e2_AD_up_mito	Excitatory_neurons	6472	413	6059	4	TRUE
primary_Exc_RELN_CHD7_M_e2_AD_down_mito	Excitatory_neurons	6472	450	6022	18	TRUE
primary_Exc_RELN_CHD7_M_e33_AD_up_mito	Excitatory_neurons	4676	192	4484	0	TRUE
primary_Exc_RELN_CHD7_M_e33_AD_down_mito	Excitatory_neurons	4676	321	4355	24	TRUE
primary_Exc_RELN_CHD7_M_e4_AD_up_mito	Excitatory_neurons	5873	1050	4823	23	TRUE
primary_Exc_RELN_CHD7_M_e4_AD_down_mito	Excitatory_neurons	5873	714	5159	0	TRUE
primary_Inh_ALCAM_TRPM3_F_e2_AD_up_mito	Inhibitory_neurons	8600	133	8467	9	TRUE
primary_Inh_ALCAM_TRPM3_F_e2_AD_down_mito	Inhibitory_neurons	8600	73	8527	0	TRUE
primary_Inh_ALCAM_TRPM3_F_e33_AD_up_mito	Inhibitory_neurons	8673	42	8631	10	TRUE
primary_Inh_ALCAM_TRPM3_F_e33_AD_down_mito	Inhibitory_neurons	8673	95	8578	0	TRUE
primary_Inh_ALCAM_TRPM3_F_e4_AD_down_mito	Inhibitory_neurons	8569	94	8475	6	TRUE
primary_Inh_ALCAM_TRPM3_M_e33_AD_up_mito	Inhibitory_neurons	8519	75	8444	3	TRUE
primary_Inh_ALCAM_TRPM3_M_e33_AD_down_mito	Inhibitory_neurons	8519	81	8438	2	TRUE
primary_Inh_CUX2_MSR1_F_e2_AD_up_mito	Inhibitory_neurons	6840	61	6779	10	TRUE
primary_Inh_CUX2_MSR1_F_e4_AD_down_mito	Inhibitory_neurons	6728	112	6616	17	TRUE
primary_Inh_CUX2_MSR1_M_e2_AD_up_mito	Inhibitory_neurons	7268	875	6393	0	TRUE
primary_Inh_CUX2_MSR1_M_e2_AD_down_mito	Inhibitory_neurons	7268	814	6454	13	TRUE
primary_Inh_CUX2_MSR1_M_e4_AD_down_mito	Inhibitory_neurons	6107	34	6073	5	TRUE
primary_Inh_ENOX2_SPHKAP_M_e2_AD_up_mito	Inhibitory_neurons	8308	368	7940	2	TRUE
primary_Inh_ENOX2_SPHKAP_M_e2_AD_down_mito	Inhibitory_neurons	8308	229	8079	7	TRUE
primary_Inh_ENOX2_SPHKAP_M_e33_AD_up_mito	Inhibitory_neurons	7573	71	7502	9	TRUE
primary_Inh_ENOX2_SPHKAP_M_e33_AD_down_mito	Inhibitory_neurons	7573	90	7483	6	TRUE
primary_Inh_FBN2_EPB41L4A_F_e33_AD_up_mito	Inhibitory_neurons	8615	220	8395	10	TRUE
primary_Inh_FBN2_EPB41L4A_M_e33_AD_up_mito	Inhibitory_neurons	8502	180	8322	7	TRUE
primary_Inh_L1_6_LAMP5_CA13_F_e2_AD_down_mito	Inhibitory_neurons	8538	40	8498	7	TRUE
primary_Inh_L1_6_LAMP5_CA13_F_e33_AD_up_mito	Inhibitory_neurons	8459	124	8335	9	TRUE
primary_Inh_L1_6_LAMP5_CA13_F_e33_AD_down_mito	Inhibitory_neurons	8459	195	8264	0	TRUE
primary_Inh_L1_6_LAMP5_CA13_F_e4_AD_down_mito	Inhibitory_neurons	8473	153	8320	0	TRUE
primary_Inh_L1_6_LAMP5_CA13_M_e2_AD_up_mito	Inhibitory_neurons	8526	121	8405	0	TRUE
primary_Inh_L1_6_LAMP5_CA13_M_e2_AD_down_mito	Inhibitory_neurons	8526	160	8366	13	TRUE
primary_Inh_L1_6_LAMP5_CA13_M_e33_AD_up_mito	Inhibitory_neurons	8400	19	8381	9	TRUE
primary_Inh_L1_6_LAMP5_CA13_M_e33_AD_down_mito	Inhibitory_neurons	8400	91	8309	4	TRUE
primary_Inh_L1_6_LAMP5_CA13_M_e4_AD_down_mito	Inhibitory_neurons	8261	65	8196	7	TRUE
primary_Inh_L3_5_SST_MAFB_F_e2_AD_up_mito	Inhibitory_neurons	7012	75	6937	8	TRUE
primary_Inh_L3_5_SST_MAFB_F_e33_AD_up_mito	Inhibitory_neurons	6778	122	6656	0	TRUE
primary_Inh_L3_5_SST_MAFB_F_e4_AD_up_mito	Inhibitory_neurons	6776	44	6732	5	TRUE
primary_Inh_L3_5_SST_MAFB_F_e4_AD_down_mito	Inhibitory_neurons	6776	179	6597	0	TRUE
primary_Inh_L3_5_SST_MAFB_M_e2_AD_up_mito	Inhibitory_neurons	7756	813	6943	2	TRUE
primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito	Inhibitory_neurons	7756	794	6962	23	TRUE
primary_Inh_L3_5_SST_MAFB_M_e4_AD_up_mito	Inhibitory_neurons	5977	85	5892	9	TRUE
primary_Inh_L3_5_SST_MAFB_M_e4_AD_down_mito	Inhibitory_neurons	5977	22	5955	9	TRUE
primary_Inh_L6_SST_NPY_M_e33_AD_up_mito	Inhibitory_neurons	8330	77	8253	9	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_F_e2_AD_up_mito	Inhibitory_neurons	8159	106	8053	8	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_F_e2_AD_down_mito	Inhibitory_neurons	8159	44	8115	10	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_F_e33_AD_up_mito	Inhibitory_neurons	8165	98	8067	10	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_F_e33_AD_down_mito	Inhibitory_neurons	8165	29	8136	10	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_up_mito	Inhibitory_neurons	7917	49	7868	3	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito	Inhibitory_neurons	7917	583	7334	22	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_up_mito	Inhibitory_neurons	8084	909	7175	0	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito	Inhibitory_neurons	8084	597	7487	15	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_M_e33_AD_down_mito	Inhibitory_neurons	8106	256	7850	0	TRUE
primary_Inh_LAMP5_NRG1_Rosehip_M_e4_AD_down_mito	Inhibitory_neurons	7835	515	7320	17	TRUE
primary_Inh_LAMP5_RELN_F_e4_AD_down_mito	Inhibitory_neurons	6573	77	6496	11	TRUE
primary_Inh_PVALB_CA8_Chandelier_F_e2_AD_up_mito	Inhibitory_neurons	7554	61	7493	9	TRUE
primary_Inh_PVALB_CA8_Chandelier_F_e33_AD_up_mito	Inhibitory_neurons	7894	95	7799	9	TRUE
primary_Inh_PVALB_CA8_Chandelier_F_e33_AD_down_mito	Inhibitory_neurons	7894	163	7731	12	TRUE
primary_Inh_PVALB_CA8_Chandelier_F_e4_AD_down_mito	Inhibitory_neurons	7640	306	7334	6	TRUE
primary_Inh_PVALB_CA8_Chandelier_M_e2_AD_up_mito	Inhibitory_neurons	7873	133	7740	0	TRUE
primary_Inh_PVALB_CA8_Chandelier_M_e2_AD_down_mito	Inhibitory_neurons	7873	165	7708	0	TRUE
primary_Inh_PVALB_CA8_Chandelier_M_e33_AD_down_mito	Inhibitory_neurons	7577	105	7472	14	TRUE
primary_Inh_PVALB_CA8_Chandelier_M_e4_AD_down_mito	Inhibitory_neurons	7366	71	7295	8	TRUE
primary_Inh_PVALB_HTR4_F_e2_AD_up_mito	Inhibitory_neurons	8606	476	8130	15	TRUE
primary_Inh_PVALB_HTR4_F_e2_AD_down_mito	Inhibitory_neurons	8606	294	8312	1	TRUE
primary_Inh_PVALB_HTR4_F_e33_AD_up_mito	Inhibitory_neurons	8496	99	8397	10	TRUE
primary_Inh_PVALB_HTR4_F_e33_AD_down_mito	Inhibitory_neurons	8496	59	8437	9	TRUE
primary_Inh_PVALB_HTR4_F_e4_AD_up_mito	Inhibitory_neurons	8499	161	8338	0	TRUE
primary_Inh_PVALB_HTR4_F_e4_AD_down_mito	Inhibitory_neurons	8499	747	7752	14	TRUE
primary_Inh_PVALB_HTR4_M_e2_AD_up_mito	Inhibitory_neurons	8668	981	7687	5	TRUE
primary_Inh_PVALB_HTR4_M_e2_AD_down_mito	Inhibitory_neurons	8668	522	8146	15	TRUE
primary_Inh_PVALB_HTR4_M_e33_AD_down_mito	Inhibitory_neurons	8463	41	8422	7	TRUE
primary_Inh_PVALB_HTR4_M_e4_AD_up_mito	Inhibitory_neurons	8396	67	8329	6	TRUE
primary_Inh_PVALB_HTR4_M_e4_AD_down_mito	Inhibitory_neurons	8396	489	7907	8	TRUE
primary_Inh_PVALB_SULF1_F_e2_AD_up_mito	Inhibitory_neurons	8512	118	8394	9	TRUE
primary_Inh_PVALB_SULF1_F_e33_AD_up_mito	Inhibitory_neurons	8435	76	8359	10	TRUE
primary_Inh_PVALB_SULF1_F_e33_AD_down_mito	Inhibitory_neurons	8435	91	8344	0	TRUE
primary_Inh_PVALB_SULF1_F_e4_AD_down_mito	Inhibitory_neurons	8438	303	8135	8	TRUE
primary_Inh_PVALB_SULF1_M_e2_AD_up_mito	Inhibitory_neurons	8529	326	8203	0	TRUE
primary_Inh_PVALB_SULF1_M_e2_AD_down_mito	Inhibitory_neurons	8529	399	8130	5	TRUE
primary_Inh_PVALB_SULF1_M_e33_AD_up_mito	Inhibitory_neurons	8332	63	8269	10	TRUE
primary_Inh_PVALB_SULF1_M_e33_AD_down_mito	Inhibitory_neurons	8332	103	8229	9	TRUE
primary_Inh_PVALB_SULF1_M_e4_AD_down_mito	Inhibitory_neurons	8348	114	8234	0	TRUE
primary_Inh_RYR3_TSHZ2_F_e2_AD_up_mito	Inhibitory_neurons	7169	65	7104	10	TRUE
primary_Inh_RYR3_TSHZ2_F_e33_AD_up_mito	Inhibitory_neurons	7508	83	7425	10	TRUE
