schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	network_label	network_color	context_display_order	circle_displayed	circle_display_rank	within_case_rank	evidence_tier	extended_reference_member	eligible_run_count	usable_run_count	conservative_support_count	coverage_fraction	recurrence_fraction	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	4	RPLP1	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	11	TRUE	3	3	tier1_recurrent_stable	FALSE	28	28	11	1	0.39285714285714285	7.8493832059180801e-06	0.0050432287098023665	2.2972913361928695
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	5	SELENOW	2	Excitatory_neurons	Excitatory neurons	#E69F00	12	TRUE	3	3	tier1_recurrent_stable	FALSE	97	97	14	1	0.14432989690721648	4.7430512286758335e-09	5.0029572604039337e-06	5.3007732072205318
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	6	RPS13	2	Excitatory_neurons	Excitatory neurons	#E69F00	13	TRUE	2	2	tier1_recurrent_stable	FALSE	97	95	10	0.97938144329896903	0.10526315789473684	3.8107463106629143e-09	5.0029572604039337e-06	5.3007732072205318
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	7	ATP6V1F	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	14	TRUE	4	4	tier1_recurrent_stable	FALSE	28	28	5	1	0.17857142857142858	5.4849535085158693e-05	0.019222268886662432	1.7161953520055666
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	8	APOE	1	Astrocytes	Astrocytes	#009E73	15	TRUE	4	4	tier1_recurrent_stable	FALSE	21	21	4	1	0.19047619047619047	2.0726873539087566e-05	0.012340946107657309	1.9086515442262602
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	9	RPL38	3	Inhibitory_neurons	Inhibitory neurons	#0072B2	16	TRUE	5	5	tier1_recurrent_stable	FALSE	28	26	3	0.9285714285714286	0.11538461538461539	9.132228796124589e-05	0.029337285007550243	1.5325800800222968
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	10	RPL15	1	Astrocytes	Astrocytes	#009E73	17	TRUE	3	3	tier1_recurrent_stable	FALSE	21	21	3	1	0.14285714285714285	5.1172852235879497e-06	0.0035258095190520977	2.4527411540500648
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	11	DYNLT1	2	Excitatory_neurons	Excitatory neurons	#E69F00	18	TRUE	5	5	tier1_recurrent_stable	FALSE	97	83	2	0.85567010309278346	0.024096385542168676	4.2675411735529918e-06	0.0021942274200684965	2.6587183621021042
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	12	LAPTM4A	1	Astrocytes	Astrocytes	#009E73	19	TRUE	5	5	tier1_recurrent_stable	FALSE	21	21	2	1	0.095238095238095233	2.1891696046481277e-05	0.012340946107657309	1.9086515442262602
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	13	ANKRD11	5	OPCs	OPCs	#56B4E9	20	TRUE	3	3	tier_not_assessable	FALSE	6	6	2	1	0.33333333333333331	5.2599969113844866e-07	0.00072998237136193903	3.1366876277051285
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	14	FTL	5	OPCs	OPCs	#56B4E9	21	TRUE	2	2	tier_not_assessable	FALSE	6	6	2	1	0.33333333333333331	9.7093069375369989e-08	0.00022457626946523079	3.6486361366978612
phase18_case3_sex_apoe_v1_row_annotations_v1	phase18_case3_sex_apoe	case3_not_core_mito	15	NCOA1	5	OPCs	OPCs	#56B4E9	22	TRUE	4	4	tier_not_assessable	TRUE	6	6	1	1	0.16666666666666666	4.7511386691234527e-05	0.036631279138941819	1.4361479158076182
