schema_version	analysis_tier	broad_network	fine_cell_type	planned_runs	eligible_runs	skipped_runs	failed_runs	significant_runs	no_significant_runs	candidate_query_genes	effective_query_genes	significant_key_drivers	elapsed_seconds
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L5/6 IT Car3	18	16	2	0	14	2	876	758	214	39.2999999999998
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L5/6 IT Car3	15	15	0	0	14	1	1630	1397	326	61.155
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L5/6 NP	18	15	3	0	10	5	342	290	102	17.5520000000003
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L5/6 NP	15	15	0	0	12	3	635	531	152	29.0890000000002
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L6 CT	18	16	2	0	10	6	514	452	120	24.1559999999998
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L6 CT	15	15	0	0	11	4	940	793	121	38.9939999999997
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L6 THEMIS NFIA	18	13	5	0	8	5	788	580	152	27.357
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L6 THEMIS NFIA	15	14	1	0	10	4	1461	1079	240	43.0559999999999
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc L6b	18	17	1	0	11	6	782	654	59	34.5879999999997
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc L6b	15	15	0	0	14	1	1497	1249	79	56.1969999999997
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc NRGN	18	14	4	0	10	4	1042	922	148	17.9740000000004
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc NRGN	15	15	0	0	11	4	1780	1269	174	19.2250000000004
mitochondrial_kda_qc_summary_v1	primary	Excitatory_neurons	Exc RELN CHD7	18	18	0	0	14	4	1420	1230	162	33.9980000000005
mitochondrial_kda_qc_summary_v1	secondary	Excitatory_neurons	Exc RELN CHD7	15	15	0	0	15	0	2525	1730	133	37.0419999999999
mitochondrial_kda_qc_summary_v1	primary	Vasculature_cells	Fib FLRT2	18	0	18	0	0	0	4	4	0	0
mitochondrial_kda_qc_summary_v1	secondary	Vasculature_cells	Fib FLRT2	15	0	15	0	0	0	8	4	0	0
mitochondrial_kda_qc_summary_v1	primary	Vasculature_cells	Fib SLC4A4	18	0	18	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	secondary	Vasculature_cells	Fib SLC4A4	15	0	15	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh ALCAM TRPM3	18	11	7	0	9	2	74	66	52	3.3599999999999
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh ALCAM TRPM3	15	14	1	0	12	2	145	127	81	6.2320000000002
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh CUX2 MSR1	18	10	8	0	9	1	482	428	94	9.05399999999963
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh CUX2 MSR1	15	14	1	0	12	2	951	725	85	14.6080000000002
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh ENOX2 SPHKAP	18	8	10	0	7	1	110	96	50	4.37000000000057
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh ENOX2 SPHKAP	15	11	4	0	9	2	218	186	65	7.55599999999981
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh FBN2 EPB41L4A	18	4	14	0	4	0	56	54	34	2.14600000000019
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh FBN2 EPB41L4A	15	7	8	0	7	0	97	93	55	3.97600000000011
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh GPC5 RIT2	18	0	18	0	0	0	6	6	0	0
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh GPC5 RIT2	15	1	14	0	1	0	12	12	16	0.210000000000036
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh L1 PAX6 CA4	18	0	18	0	0	0	4	4	0	0
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh L1 PAX6 CA4	15	0	15	0	0	0	8	8	0	0
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh L1-2 PAX6 SCGN	18	0	18	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh L1-2 PAX6 SCGN	15	0	15	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh L1-6 LAMP5 CA13	18	15	3	0	11	4	128	114	86	5.22199999999975
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh L1-6 LAMP5 CA13	15	14	1	0	9	5	251	221	59	9.57200000000034
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh L3-5 SST MAFB	18	13	5	0	10	3	516	444	91	9.96000000000026
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh L3-5 SST MAFB	15	15	0	0	10	5	1011	631	101	13.6939999999997
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh L5-6 PVALB STON2	18	1	17	0	1	0	12	8	16	0.173000000000002
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh L5-6 PVALB STON2	15	2	13	0	2	0	24	16	32	0.348999999999705
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh L5-6 SST TH	18	0	18	0	0	0	2	2	0	0
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh L5-6 SST TH	15	0	15	0	0	0	4	4	0	0
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh L6 SST NPY	18	2	16	0	2	0	10	10	17	0.465999999999895
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh L6 SST NPY	15	4	11	0	4	0	20	20	34	0.899000000000342
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh LAMP5 NRG1 (Rosehip)	18	16	2	0	13	3	612	532	163	16.1749999999997
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh LAMP5 NRG1 (Rosehip)	15	15	0	0	13	2	1149	967	199	24.5920000000006
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh LAMP5 RELN	18	2	16	0	2	0	18	18	21	0.472999999999956
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh LAMP5 RELN	15	4	11	0	4	0	36	36	44	0.880000000000109
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh PTPRK FAM19A1	18	1	17	0	1	0	12	12	14	0.163000000000011
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh PTPRK FAM19A1	15	3	12	0	3	0	22	22	45	0.535000000000082
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh PVALB CA8 (Chandelier)	18	14	4	0	11	3	124	118	107	5.90300000000002
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh PVALB CA8 (Chandelier)	15	14	1	0	12	2	237	217	73	9.22399999999993
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh PVALB HTR4	18	17	1	0	16	1	922	690	148	20.146
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh PVALB HTR4	15	15	0	0	14	1	1738	1266	221	31.4529999999998
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh PVALB SULF1	18	15	3	0	11	4	246	202	92	8.38099999999963
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh PVALB SULF1	15	14	1	0	13	1	474	378	88	13.8280000000004
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh RYR3 TSHZ2	18	11	7	0	10	1	144	124	102	4.69899999999984
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh RYR3 TSHZ2	15	14	1	0	13	1	273	227	151	8.36800000000017
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh SGCD PDE3A	18	0	18	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh SGCD PDE3A	15	0	15	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh SORCS1 TTN	18	2	16	0	2	0	30	30	15	0.432999999999993
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh SORCS1 TTN	15	4	11	0	4	0	57	57	29	0.809999999999945
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh VIP ABI3BP	18	8	10	0	7	1	50	48	59	1.95599999999968
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh VIP ABI3BP	15	14	1	0	12	2	97	89	127	4.63999999999987
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh VIP CLSTN2	18	8	10	0	8	0	80	76	78	3.16600000000017
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh VIP CLSTN2	15	14	1	0	14	0	153	137	142	7.16999999999985
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh VIP THSD7B	18	2	16	0	2	0	14	14	20	0.468999999999824
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh VIP THSD7B	15	4	11	0	4	0	28	28	38	0.927000000000362
mitochondrial_kda_qc_summary_v1	primary	Inhibitory_neurons	Inh VIP TSHZ2	18	4	14	0	4	0	24	20	38	0.774000000000342
mitochondrial_kda_qc_summary_v1	secondary	Inhibitory_neurons	Inh VIP TSHZ2	15	6	9	0	6	0	44	36	55	1.27400000000011
mitochondrial_kda_qc_summary_v1	primary	Microglia	Mic MKI67	18	0	18	0	0	0	2	0	0	0
mitochondrial_kda_qc_summary_v1	secondary	Microglia	Mic MKI67	15	0	15	0	0	0	4	0	0	0
mitochondrial_kda_qc_summary_v1	primary	Microglia	Mic P2RY12	18	15	3	0	13	2	360	334	47	7.98700000000031
mitochondrial_kda_qc_summary_v1	secondary	Microglia	Mic P2RY12	15	15	0	0	14	1	667	566	62	11.5200000000007
mitochondrial_kda_qc_summary_v1	primary	Microglia	Mic TPT1	18	5	13	0	4	1	58	48	21	0.95900000000006
mitochondrial_kda_qc_summary_v1	secondary	Microglia	Mic TPT1	15	9	6	0	8	1	112	88	40	1.8420000000001
mitochondrial_kda_qc_summary_v1	primary	Oligodendrocytes	Oli	18	14	4	0	7	7	196	166	77	4.66499999999996
mitochondrial_kda_qc_summary_v1	secondary	Oligodendrocytes	Oli	15	15	0	0	10	5	374	286	68	6.70800000000054
mitochondrial_kda_qc_summary_v1	primary	OPCs	OPC	18	15	3	0	11	4	554	454	98	12.289
mitochondrial_kda_qc_summary_v1	secondary	OPCs	OPC	15	15	0	0	13	2	1051	793	132	18.6580000000004
mitochondrial_kda_qc_summary_v1	primary	Vasculature_cells	Per	18	5	13	0	4	1	42	36	20	0.420999999999822
mitochondrial_kda_qc_summary_v1	secondary	Vasculature_cells	Per	15	10	5	0	8	2	84	70	39	0.814000000000078
mitochondrial_kda_qc_summary_v1	primary	Vasculature_cells	SMC	18	0	18	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	secondary	Vasculature_cells	SMC	15	0	15	0	0	0	0	0	0	0
mitochondrial_kda_qc_summary_v1	primary	T_cells	T cells	18	0	18	0	0	0	4	0	0	0
mitochondrial_kda_qc_summary_v1	secondary	T_cells	T cells	15	0	15	0	0	0	8	0	0	0
