schema_version	kda_run_id	gene	effective_member	exclusion_reason
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	MCUR1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	MGST1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	NDUFB6	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	NOCT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	POLB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	SDHAF3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	SEPTIN4	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	SFXN4	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	SLC25A12	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	SMAD1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	SPTLC2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	TOP3A	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_down_mito	VDAC3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	AASS	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	AIFM3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	AK4	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	ALDH18A1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	ANTKMT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	APEX1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	ASPNAT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	ATP5F1C	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	ATPSCKMT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	BNIP3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	BNIP3L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	COASY	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	COX19	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	CRY1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	CYC1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	DAP3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	DCXR	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	DLST	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	ECH1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	FAM162A	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	FAS	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	FASN	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	FTH1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	GATB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	GCAT	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	HAP1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	HES1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	IDI1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	LDHD	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	LONP1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MALSU1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MCUR1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MGST1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MIEF1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MRPS6	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MT-CO1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MT-ND2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	MT-ND3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	NARS2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	NDUFB6	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	NOCT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	PDK1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	PDK3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	PDK4	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	POLB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	PSAP	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	SDHAF3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	SEPTIN4	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	SFXN4	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	SLC25A12	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	SLC25A48	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	SMAD1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	SPTLC2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	TOP3A	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	TUFM	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	UNG	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	VDAC1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e33_AD_both_mito	VDAC3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	ABAT	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	AIFM3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	ALDH1L1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	BCKDHB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	BNIP3L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	CHDH	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	CHPT1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	CLYBL	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	COQ9	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	DECR1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	DMGDH	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	EPHX2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	FAM162A	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	FHIT	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	FOXRED1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	GPAM	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	GPT2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	MRPS31	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	MSRB3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	MTCH2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	NDUFC1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	PDSS2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	PRIMPOL	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	PRKN	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	PTGR3	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	QTRT1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	RHOT1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	SDHA	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	SFXN4	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	SFXN5	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	SLC25A18	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	SLC25A20	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	SLC25A48	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	SLC25A53	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	TMEM65	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_up_mito	VWA8	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	ACOT7	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	AHCYL1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	ATP5PB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	ATR	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	BCL2L1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	CASP3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	CRLS1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	FASN	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	GBF1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	GFM1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	GHITM	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	GLDC	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	GLS	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	GSR	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	GUK1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	HSPD1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	IMMP2L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	LAP3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	LETM2	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MCL1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MCUB	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MGST1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MR1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MRPL4	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MRPS6	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MT-ATP6	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MT-CO1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MT-CO3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MT-ND2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MT-ND4	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MT-ND4L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MT-ND5	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MTCH1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	MTHFD2	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	NDUFB2	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	NIT1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	NOCT	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	ODC1	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	OXCT1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	PDP1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	PNPLA8	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	POR	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	QDPR	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	RPL13	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	SEPTIN4	FALSE	not_in_effective_background
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	SLC25A25	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	SLC25A28	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	SLC25A33	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	SLC25A37	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	SLC25A44	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	TIMM23	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	TOP3A	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_down_mito	YME1L1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	ABAT	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	ACOT7	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	AHCYL1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	AIFM3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	ALDH1L1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	ATP5PB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	ATR	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	BCKDHB	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	BCL2L1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	BNIP3L	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	CASP3	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	CHDH	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	CHPT1	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	CLYBL	TRUE	
mitochondrial_kda_signature_members_v1	primary_Ast_CHI3L1_F_e4_AD_both_mito	COQ9	TRUE	
