schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	terminal_status	total_rows	assay_feature_rows	reference_only_rows	phase08_returned_rows	filtered_rows	tested_not_significant	significant_up	significant_down	not_in_expression_matrix	contrast_not_estimable	mitocarta_core_rows	mtdna_noncoding_rows	extended_tier_rows
mitochondrial_annotation_qc_v1	astrocytes	15	astrocytes::Ast GRM3::AD_vs_NCI__Female__e4	Ast GRM3	Female	e4	F_e4x	validated_complete	33564	33538	26	8349	25189	7630	250	469	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	16	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	Ast GRM3	Male	e2	M_e2x	validated_complete	33564	33538	26	6983	26555	4433	1669	881	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	17	astrocytes::Ast GRM3::AD_vs_NCI__Male__e33	Ast GRM3	Male	e33	M_e33	validated_complete	33564	33538	26	6791	26747	6592	92	107	26	0	1196	24	80
mitochondrial_annotation_qc_v1	astrocytes	18	astrocytes::Ast GRM3::AD_vs_NCI__Male__e4	Ast GRM3	Male	e4	M_e4x	validated_complete	33564	33538	26	6759	26779	6267	282	210	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set1	1	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e2	Exc L2-3 CBLN2 LINC02306	Female	e2	F_e2x	validated_complete	33564	33538	26	10468	23070	9622	531	315	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set1	2	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e33	Exc L2-3 CBLN2 LINC02306	Female	e33	F_e33	validated_complete	33564	33538	26	10586	22952	10324	90	172	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set1	3	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	Exc L2-3 CBLN2 LINC02306	Female	e4	F_e4x	validated_complete	33564	33538	26	10680	22858	7618	632	2430	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set1	4	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	Exc L2-3 CBLN2 LINC02306	Male	e2	M_e2x	validated_complete	33564	33538	26	10846	22692	8193	1418	1235	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set1	5	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e33	Exc L2-3 CBLN2 LINC02306	Male	e33	M_e33	validated_complete	33564	33538	26	10428	23110	10264	99	65	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set1	6	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e4	Exc L2-3 CBLN2 LINC02306	Male	e4	M_e4x	validated_complete	33564	33538	26	10325	23213	9829	213	283	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	1	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e2	Exc L3-4 RORB CUX2	Female	e2	F_e2x	validated_complete	33564	33538	26	11871	21667	10801	798	272	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	2	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e33	Exc L3-4 RORB CUX2	Female	e33	F_e33	validated_complete	33564	33538	26	12076	21462	11627	72	377	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	3	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Female__e4	Exc L3-4 RORB CUX2	Female	e4	F_e4x	validated_complete	33564	33538	26	12373	21165	11653	150	570	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	4	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	Exc L3-4 RORB CUX2	Male	e2	M_e2x	validated_complete	33564	33538	26	12118	21420	9046	1335	1737	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	5	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e33	Exc L3-4 RORB CUX2	Male	e33	M_e33	validated_complete	33564	33538	26	11784	21754	11682	46	56	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	6	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e4	Exc L3-4 RORB CUX2	Male	e4	M_e4x	validated_complete	33564	33538	26	11793	21745	11091	330	372	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	7	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e2	Exc L3-5 RORB PLCH1	Female	e2	F_e2x	validated_complete	33564	33538	26	12276	21262	11893	292	91	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	8	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e33	Exc L3-5 RORB PLCH1	Female	e33	F_e33	validated_complete	33564	33538	26	11713	21825	11327	210	176	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	9	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e4	Exc L3-5 RORB PLCH1	Female	e4	F_e4x	validated_complete	33564	33538	26	11827	21711	11085	139	603	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	10	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	Exc L3-5 RORB PLCH1	Male	e2	M_e2x	validated_complete	33564	33538	26	11644	21894	8696	1344	1604	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	11	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e33	Exc L3-5 RORB PLCH1	Male	e33	M_e33	validated_complete	33564	33538	26	11218	22320	10917	96	205	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	12	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e4	Exc L3-5 RORB PLCH1	Male	e4	M_e4x	validated_complete	33564	33538	26	11258	22280	10546	518	194	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	13	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e2	Exc L4-5 RORB GABRG1	Female	e2	F_e2x	validated_complete	33564	33538	26	11080	22458	10418	323	339	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	14	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e33	Exc L4-5 RORB GABRG1	Female	e33	F_e33	validated_complete	33564	33538	26	10995	22543	10695	94	206	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	15	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	Exc L4-5 RORB GABRG1	Female	e4	F_e4x	validated_complete	33564	33538	26	10995	22543	10100	80	815	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	16	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	Exc L4-5 RORB GABRG1	Male	e2	M_e2x	validated_complete	33564	33538	26	10778	22760	8467	976	1335	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	17	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e33	Exc L4-5 RORB GABRG1	Male	e33	M_e33	validated_complete	33564	33538	26	10403	23135	10207	101	95	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	18	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e4	Exc L4-5 RORB GABRG1	Male	e4	M_e4x	validated_complete	33564	33538	26	10463	23075	10061	178	224	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	19	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e2	Exc L4-5 RORB IL1RAPL2	Female	e2	F_e2x	validated_complete	33564	33538	26	11874	21664	10938	668	268	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	20	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e33	Exc L4-5 RORB IL1RAPL2	Female	e33	F_e33	validated_complete	33564	33538	26	11857	21681	11537	82	238	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	21	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	Exc L4-5 RORB IL1RAPL2	Female	e4	F_e4x	validated_complete	33564	33538	26	11934	21604	10755	63	1116	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	22	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	Exc L4-5 RORB IL1RAPL2	Male	e2	M_e2x	validated_complete	33564	33538	26	11811	21727	9873	983	955	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	23	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e33	Exc L4-5 RORB IL1RAPL2	Male	e33	M_e33	validated_complete	33564	33538	26	11548	21990	11428	44	76	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set2	24	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e4	Exc L4-5 RORB IL1RAPL2	Male	e4	M_e4x	validated_complete	33564	33538	26	11595	21943	10999	344	252	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	1	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e2	Exc L5 ET	Female	e2	F_e2x	validated_complete	33564	33538	26	14178	19360	14178	0	0	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	2	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e33	Exc L5 ET	Female	e33	F_e33	validated_complete	33564	33538	26	13173	20365	13083	57	33	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	3	excitatory_set3::Exc L5 ET::AD_vs_NCI__Female__e4	Exc L5 ET	Female	e4	F_e4x	validated_complete	33564	33538	26	13661	19877	13639	4	18	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	4	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e2	Exc L5 ET	Male	e2	M_e2x	validated_complete	33564	33538	26	13660	19878	13532	38	90	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	5	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e33	Exc L5 ET	Male	e33	M_e33	validated_complete	33564	33538	26	13054	20484	10395	1510	1149	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	6	excitatory_set3::Exc L5 ET::AD_vs_NCI__Male__e4	Exc L5 ET	Male	e4	M_e4x	validated_complete	33564	33538	26	13646	19892	13575	51	20	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	7	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e2	Exc L5-6 RORB LINC02196	Female	e2	F_e2x	validated_complete	33564	33538	26	12026	21512	11595	356	75	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	8	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e33	Exc L5-6 RORB LINC02196	Female	e33	F_e33	validated_complete	33564	33538	26	11858	21680	11527	145	186	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	9	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Female__e4	Exc L5-6 RORB LINC02196	Female	e4	F_e4x	validated_complete	33564	33538	26	12189	21349	11615	118	456	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	10	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	Exc L5-6 RORB LINC02196	Male	e2	M_e2x	validated_complete	33564	33538	26	11684	21854	11162	139	383	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	11	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e33	Exc L5-6 RORB LINC02196	Male	e33	M_e33	validated_complete	33564	33538	26	11510	22028	11233	136	141	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	12	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e4	Exc L5-6 RORB LINC02196	Male	e4	M_e4x	validated_complete	33564	33538	26	11606	21932	10925	369	312	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	13	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e2	Exc L5/6 IT Car3	Female	e2	F_e2x	validated_complete	33564	33538	26	12591	20947	12020	500	71	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	14	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e33	Exc L5/6 IT Car3	Female	e33	F_e33	validated_complete	33564	33538	26	12291	21247	11756	188	347	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	15	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e4	Exc L5/6 IT Car3	Female	e4	F_e4x	validated_complete	33564	33538	26	12579	20959	11307	135	1137	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	16	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e2	Exc L5/6 IT Car3	Male	e2	M_e2x	validated_complete	33564	33538	26	12412	21126	10903	971	538	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	17	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e33	Exc L5/6 IT Car3	Male	e33	M_e33	validated_complete	33564	33538	26	11783	21755	10911	425	447	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	18	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Male__e4	Exc L5/6 IT Car3	Male	e4	M_e4x	validated_complete	33564	33538	26	12279	21259	11994	126	159	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	19	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e2	Exc L5/6 NP	Female	e2	F_e2x	validated_complete	33564	33538	26	11426	22112	11238	121	67	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	20	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e33	Exc L5/6 NP	Female	e33	F_e33	validated_complete	33564	33538	26	11017	22521	10631	214	172	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	21	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Female__e4	Exc L5/6 NP	Female	e4	F_e4x	validated_complete	33564	33538	26	11458	22080	11213	78	167	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	22	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e2	Exc L5/6 NP	Male	e2	M_e2x	validated_complete	33564	33538	26	11068	22470	10396	246	426	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	23	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e33	Exc L5/6 NP	Male	e33	M_e33	validated_complete	33564	33538	26	10941	22597	10670	175	96	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	24	excitatory_set3::Exc L5/6 NP::AD_vs_NCI__Male__e4	Exc L5/6 NP	Male	e4	M_e4x	validated_complete	33564	33538	26	10832	22706	10580	109	143	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	25	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e2	Exc L6 CT	Female	e2	F_e2x	validated_complete	33564	33538	26	10952	22586	10745	90	117	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	26	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e33	Exc L6 CT	Female	e33	F_e33	validated_complete	33564	33538	26	11011	22527	10354	419	238	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	27	excitatory_set3::Exc L6 CT::AD_vs_NCI__Female__e4	Exc L6 CT	Female	e4	F_e4x	validated_complete	33564	33538	26	11372	22166	10919	87	366	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	28	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e2	Exc L6 CT	Male	e2	M_e2x	validated_complete	33564	33538	26	11040	22498	10136	479	425	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	29	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e33	Exc L6 CT	Male	e33	M_e33	validated_complete	33564	33538	26	10709	22829	10241	346	122	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	30	excitatory_set3::Exc L6 CT::AD_vs_NCI__Male__e4	Exc L6 CT	Male	e4	M_e4x	validated_complete	33564	33538	26	11173	22365	10860	133	180	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	31	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e2	Exc L6 THEMIS NFIA	Female	e2	F_e2x	validated_complete	33564	33538	26	12451	21087	11428	680	343	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	32	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e33	Exc L6 THEMIS NFIA	Female	e33	F_e33	validated_complete	33564	33538	26	12341	21197	11918	131	292	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	33	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e4	Exc L6 THEMIS NFIA	Female	e4	F_e4x	validated_complete	33564	33538	26	12778	20760	12019	131	628	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	34	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e2	Exc L6 THEMIS NFIA	Male	e2	M_e2x	validated_complete	33564	33538	26	12446	21092	10257	1707	482	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	35	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e33	Exc L6 THEMIS NFIA	Male	e33	M_e33	validated_complete	33564	33538	26	12109	21429	11889	102	118	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	36	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Male__e4	Exc L6 THEMIS NFIA	Male	e4	M_e4x	validated_complete	33564	33538	26	12342	21196	11621	384	337	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	37	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e2	Exc L6b	Female	e2	F_e2x	validated_complete	33564	33538	26	12691	20847	12336	208	147	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	38	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e33	Exc L6b	Female	e33	F_e33	validated_complete	33564	33538	26	12197	21341	11406	358	433	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	39	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e4	Exc L6b	Female	e4	F_e4x	validated_complete	33564	33538	26	12798	20740	11860	102	836	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	40	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e2	Exc L6b	Male	e2	M_e2x	validated_complete	33564	33538	26	12439	21099	10263	1526	650	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	41	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e33	Exc L6b	Male	e33	M_e33	validated_complete	33564	33538	26	11765	21773	10865	532	368	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	42	excitatory_set3::Exc L6b::AD_vs_NCI__Male__e4	Exc L6b	Male	e4	M_e4x	validated_complete	33564	33538	26	12447	21091	11706	335	406	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	43	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e2	Exc NRGN	Female	e2	F_e2x	validated_complete	33564	33538	26	4830	28708	4825	1	4	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	44	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e33	Exc NRGN	Female	e33	F_e33	validated_complete	33564	33538	26	4461	29077	4130	244	87	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	45	excitatory_set3::Exc NRGN::AD_vs_NCI__Female__e4	Exc NRGN	Female	e4	F_e4x	validated_complete	33564	33538	26	4552	28986	4493	28	31	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	46	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e2	Exc NRGN	Male	e2	M_e2x	validated_complete	33564	33538	26	5155	28383	1806	1652	1697	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	47	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e33	Exc NRGN	Male	e33	M_e33	validated_complete	33564	33538	26	4637	28901	1848	1450	1339	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	48	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e4	Exc NRGN	Male	e4	M_e4x	validated_complete	33564	33538	26	6308	27230	4337	1021	950	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	49	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e2	Exc RELN CHD7	Female	e2	F_e2x	validated_complete	33564	33538	26	9439	24099	9061	215	163	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	50	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e33	Exc RELN CHD7	Female	e33	F_e33	validated_complete	33564	33538	26	7584	25954	5060	1312	1212	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	51	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Female__e4	Exc RELN CHD7	Female	e4	F_e4x	validated_complete	33564	33538	26	8697	24841	6331	987	1379	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	52	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e2	Exc RELN CHD7	Male	e2	M_e2x	validated_complete	33564	33538	26	7646	25892	6623	466	557	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	53	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e33	Exc RELN CHD7	Male	e33	M_e33	validated_complete	33564	33538	26	5606	27932	4514	609	483	26	0	1196	24	80
mitochondrial_annotation_qc_v1	excitatory_set3	54	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e4	Exc RELN CHD7	Male	e4	M_e4x	validated_complete	33564	33538	26	6936	26602	3877	1789	1270	26	0	1196	24	80
mitochondrial_annotation_qc_v1	immune	1	immune::CAMs::AD_vs_NCI__Female__e2	CAMs	Female	e2	F_e2x	validated_complete	33564	33538	26	4213	29325	4213	0	0	26	0	1196	24	80
mitochondrial_annotation_qc_v1	immune	2	immune::CAMs::AD_vs_NCI__Female__e33	CAMs	Female	e33	F_e33	validated_complete	33564	33538	26	4381	29157	4380	1	0	26	0	1196	24	80
mitochondrial_annotation_qc_v1	immune	3	immune::CAMs::AD_vs_NCI__Female__e4	CAMs	Female	e4	F_e4x	validated_complete	33564	33538	26	4232	29306	4231	1	0	26	0	1196	24	80
mitochondrial_annotation_qc_v1	immune	4	immune::CAMs::AD_vs_NCI__Male__e2	CAMs	Male	e2	M_e2x	not_estimable	33564	33538	26	0	0	0	0	0	0	33564	1196	24	80
mitochondrial_annotation_qc_v1	immune	5	immune::CAMs::AD_vs_NCI__Male__e33	CAMs	Male	e33	M_e33	validated_complete	33564	33538	26	4037	29501	4027	4	6	26	0	1196	24	80
mitochondrial_annotation_qc_v1	immune	6	immune::CAMs::AD_vs_NCI__Male__e4	CAMs	Male	e4	M_e4x	validated_complete	33564	33538	26	4492	29046	4492	0	0	26	0	1196	24	80
mitochondrial_annotation_qc_v1	immune	7	immune::Mic MKI67::AD_vs_NCI__Female__e2	Mic MKI67	Female	e2	F_e2x	validated_complete	33564	33538	26	9155	24383	9155	0	0	26	0	1196	24	80
mitochondrial_annotation_qc_v1	immune	8	immune::Mic MKI67::AD_vs_NCI__Female__e33	Mic MKI67	Female	e33	F_e33	validated_complete	33564	33538	26	8126	25412	8120	4	2	26	0	1196	24	80
