schema_version	candidate_id	gene	broad_network	is_mtdna_gene	baseline_grade	best_extension_grade	best_extension_trait	best_extension_evidence_type	best_route_id	cumulative_phase19_grade	newly_biomarker_supported	traits_with_regional_signal	traits_with_magma_signal	full_phase19_complete	permitted_interpretation
phase19_endophenotype_gwas_qtl_extension_v1	GS030	MT-ND4	OPCs	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS031	MT-ND4	Oligodendrocytes	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS032	MT-ND4	Vasculature_cells	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS033	MT-ND5	Inhibitory_neurons	True	not_assessable	not_assessable	csf_abeta42	not_applicable_mtdna	NA	not_assessable	FALSE	none	none	FALSE	Nuclear endophenotype GWAS/QTL analysis is not applicable to mtDNA genes.
phase19_endophenotype_gwas_qtl_extension_v1	GS034	NCOA1	OPCs	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for NCOA1 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS035	RPL11	Astrocytes	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPL11 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS036	RPL11	Excitatory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPL11 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS037	RPL11	Microglia	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPL11 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS038	RPL11	Oligodendrocytes	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPL11 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS039	RPL15	Astrocytes	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPL15 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS040	RPL38	Inhibitory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPL38 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS041	RPLP1	Astrocytes	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPLP1 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS042	RPLP1	Inhibitory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPLP1 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS043	RPS13	Excitatory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPS13 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS044	RPS15	Inhibitory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPS15 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS045	RPS15	OPCs	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for RPS15 under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS046	SELENOW	Excitatory_neurons	False	weak	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	weak	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for SELENOW under the frozen gates.
phase19_endophenotype_gwas_qtl_extension_v1	GS047	UQCR10	Excitatory_neurons	False	none_found	none_found	csf_abeta42	assessable_no_qualifying_GWAS_signal	NA	none_found	FALSE	none	none	FALSE	No qualifying csf_abeta42 GWAS signal was found for UQCR10 under the frozen gates.
