schema_version	scope_id	context_id	endpoint_id	contrast_id	sensitivity_type	context_role	estimate	standard_error	ci_low	ci_high	p_value	model_status	failure_reason	repetition_id	primary_estimate	direction_retained	relative_magnitude	sensitivity_status	common_range_low	common_range_high	trimmed_donors	common_range_estimate	common_range_status	common_range_direction_retained	common_range_relative_magnitude	quadratic_contrast_estimate	quadratic_contrast_p_value	quadratic_shape_flag	slope_rewiring_observed	slope_sensitivity_pass
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0511213965639215	0.1955931925142	-0.334048052143094	0.436290845270937	0.794019661052176	estimated		28	0.0683703036637361	TRUE	0.747713463660343	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0462612055245309	0.193454808531961	-0.334697257263314	0.427219668312376	0.81119393659553	estimated		22	0.0683703036637361	TRUE	0.67662717650131	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0663858812705633	0.194687795247552	-0.317000625189981	0.449772387731108	0.733392450416491	estimated		43	0.0683703036637361	TRUE	0.970975375465162	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0650739078245477	0.197681443640469	-0.324207803301868	0.454355618950963	0.742283424903236	estimated		10	0.0683703036637361	TRUE	0.951786145994013	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0831404615276425	0.198142646047462	-0.307049466671978	0.473330389727263	0.675128937212522	estimated		37	0.0683703036637361	TRUE	1.21603177216457	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0812018112105413	0.195316867637395	-0.303423488187927	0.46582711060901	0.677944283096468	estimated		44	0.0683703036637361	TRUE	1.18767662068482	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.06738595994634	0.190663506038871	-0.308075765308781	0.442847685201461	0.724056793887755	estimated		18	0.0683703036637361	TRUE	0.985602759317301	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0831595178076413	0.198366209085766	-0.307470659109779	0.473789694725062	0.675403936431608	estimated		5	0.0683703036637361	TRUE	1.21631049375826	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.0751800900006123	0.192351413616338	-0.303605526146233	0.453965706147458	0.696233685782844	estimated		6	0.0683703036637361	TRUE	1.09960152247339	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
phase15_qc_normalization_v1	general	astrocytes	nci_reference_residual	general_equal_stratum_AD_minus_NCI	reference_fold_assignment	primary_confirmatory	0.064055773548888	0.185768292501297	-0.301766113655971	0.429877660753747	0.730515147956168	estimated		26	0.0683703036637361	TRUE	0.936894676728831	estimated	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
