SCN1A-AS1	C9orf57
SCN1A-AS1	PLCE1-AS2
SCN1A-AS1	DLGAP1-AS5
SCN1A-AS1	CNBD2
NOSTRIN	BCL2L2
NOSTRIN	LCMT1-AS1
MAP3K20-AS1	PCDHA10
MAP3K20-AS1	ABCB1
MAP3K20-AS1	MED4-AS1
ATP5MC3	ATP6V0B
ATP5MC3	TMEM9
ATP5MC3	SEC61G
ATP5MC3	POP7
ATP5MC3	TRMT112
ATP5MC3	PNMA1
ATP5MC3	RNF113A
LINC01117	HIF3A
LINC01117	ENOX2
PDE1A	CARMIL1
PDE1A	GRM1
PDE1A	HS3ST4
FSIP2	AC008957.1
CALCRL	FSBP
GULP1	NDST3
GULP1	PRR16
ORMDL1	WDR88
C2orf88	CGGBP1
C2orf88	FRAT2
C2orf88	MIDN
HIBCH	CD96
HIBCH	PLEKHG4B
HIBCH	SLC31A1
HIBCH	P4HA1
HIBCH	BANP
HIBCH	PARD6G-AS1
HIBCH	DLL3
HIBCH	GCNA
STAT1	HLA-E
STAT1	LRRC61
STAT1	BATF2
STAT1	NLRC5
STAT1	P2RX6
STAT1	APOL6
COQ10B	MROH8
HSPE1	HSPD1
PLCL1	SPOCK3
PLCL1	GAS1RR
PLCL1	APOE
PLCL1	PCSK2
MAIP1	ELP6
MAIP1	KLRD1
CFLAR-AS1	RERE-AS1
CFLAR-AS1	LINC01931
CFLAR-AS1	ACOX2
CFLAR-AS1	CYP51A1-AS1
CFLAR-AS1	GABRG3-AS1
CFLAR-AS1	MIR155HG
STRADB	DDX18
STRADB	GPR171
STRADB	PAICS
STRADB	NAV2-AS5
STRADB	VWA8-AS1
WDR12	SLC7A6OS
WDR12	WWOX-AS1
EEF1B2	RPS6
MAP2	SPATA21
MAP2	SLC22A4
MAP2	LINC01111
MAP2	GREB1L
MAP2	OGFR
MAP2	PQBP1
LANCL1-AS1	SAP30L-AS1
IKZF2	MAP2
IKZF2	IRS1
IKZF2	TAFA1
IKZF2	EGFR
IKZF2	LMO3
IKZF2	TOX3
IKZF2	TMEM259
CDK5R2	GABRA5
RETREG2	MAZ
RETREG2	CARMIL2
RETREG2	KCTD17
ZFAND2B	DSCAM-IT1
TUBA4A	MOAP1
PTPRN	MRPL41
PTPRN	PDIA2
TMEM198	TMBIM1
COL4A3	COL4A4
COL4A3	CORO2B
ITM2C	TMED9
ITM2C	RRAGA
ITM2C	PLEKHJ1
ITM2C	PGRMC1
C2orf72	MAP1LC3B
NCL	CAPNS1
PTMA	PUF60
ARL4C	GAP43
ARL4C	ELL2
ARL4C	HIC1
ASB18	CNOT3
COPS8	TOMM5
COPS8	FBXW5
COPS8	CHCHD1
HDAC4	KCND3
HDAC4	KLF15
HDAC4	PTPRJ
HDAC4	ZBTB16
HDAC4-AS1	CLDN20
SNED1	KIAA1211L
SNED1	PLCL1
SNED1	ARL4C
SNED1	PDGFA
SNED1	THSD7A
SNED1	BAALC-AS2
SNED1	SPHK1
ANO7	WNT4
ANO7	LINC02580
NEU4	GPC2
SUMF1	RYBP
GRM7-AS1	RPA3
GRM7-AS1	PCDH9-AS4
LMCD1-AS1	CACNA2D3
