schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	within_case_rank	signature_direction	direction_label	direction_order	signature_group	group_label	group_order	column_order	eligible_query_count	usable_query_count	explicit_query_count	implicit_query_count	missing_query_count	coverage_fraction	conservative_support_count	support_fraction	stratum_acat_p	stratum_missing_as_one_acat_p	negative_log10_stratum_acat_p	capped_negative_log10_stratum_acat_p	cell_state
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e33	APOE ε3/ε3	5	11	5	5	3	2	0	1.0	1	0.2	0.0012484230540981019	0.0012484230540981019	2.9036382200009823	2.9036382200009823	supporting_tested
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	2	Excitatory_neurons	2	Excitatory neurons	#E69F00	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	M_e4	APOE ε4	6	12	7	7	2	5	0	1.0	0	0.0	0.03340149559864298	0.03340149559864298	1.4762340866107182	1.4762340866107182	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e2	APOE ε2	1	1	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e33	APOE ε3/ε3	2	2	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	F_e4	APOE ε4	3	3	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e2	APOE ε2	4	4	1	1	0	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e33	APOE ε3/ε3	5	5	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_up_mito	AD-up mitochondrial query	1	M_e4	APOE ε4	6	6	1	1	0	1	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e2	APOE ε2	1	7	1	1	1	0	0	1.0	0	0.0	1.0	1.0	-0.0	-0.0	tested_zero_support
phase18_sex_apoe_non_mt_v1_plot_data_v1	phase18_sex_apoe_non_mt	non_mt_driver	1	RPL11	4	Microglia	3	Microglia	#CC79A7	TRUE	1	AD_down_mito	AD-down mitochondrial query	2	F_e33	APOE ε3/ε3	2	8	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	no_eligible_query
