schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	circle_display_rank	within_case_rank	evidence_tier	extended_reference_member	eligible_run_count	usable_run_count	conservative_support_count	coverage_fraction	recurrence_fraction	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	5	SELENOW	2	Excitatory_neurons	12	Excitatory neurons	#E69F00	TRUE	3	3	tier1_recurrent_stable	FALSE	97	97	14	1.0	0.14432989690721648	4.7430512286758335e-09	5.751965982889878e-06	5.240183691033884
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	6	RPS13	2	Excitatory_neurons	13	Excitatory neurons	#E69F00	TRUE	2	2	tier1_recurrent_stable	FALSE	97	95	10	0.979381443298969	0.10526315789473684	3.810746310662914e-09	5.3915709052029135e-06	5.268284678957524
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	7	ATP6V1F	3	Inhibitory_neurons	14	Inhibitory neurons	#0072B2	TRUE	4	4	tier1_recurrent_stable	FALSE	28	28	5	1.0	0.17857142857142858	5.484953508515869e-05	0.026291210484152734	1.580189417907116
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	8	APOE	1	Astrocytes	15	Astrocytes	#009E73	TRUE	4	4	tier1_recurrent_stable	FALSE	21	21	4	1.0	0.19047619047619047	2.0726873539087566e-05	0.012710318724587031	1.8958435589193308
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	9	RPL38	3	Inhibitory_neurons	16	Inhibitory neurons	#0072B2	TRUE	5	5	tier1_recurrent_stable	FALSE	28	26	3	0.9285714285714286	0.11538461538461539	9.132228796124589e-05	0.04103795315258487	1.38681430863469
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	10	RPL15	1	Astrocytes	17	Astrocytes	#009E73	TRUE	3	3	tier1_recurrent_stable	FALSE	21	21	3	1.0	0.14285714285714285	5.11728522358795e-06	0.0037138697510189543	2.4301733314539793
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	11	DYNLT1	2	Excitatory_neurons	18	Excitatory neurons	#E69F00	TRUE	5	5	tier1_recurrent_stable	FALSE	97	83	2	0.8556701030927835	0.024096385542168676	4.267541173552992e-06	0.0025876540730208103	2.5870937821840485
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	12	LAPTM4A	1	Astrocytes	19	Astrocytes	#009E73	TRUE	5	5	tier1_recurrent_stable	FALSE	21	21	2	1.0	0.09523809523809523	2.1891696046481277e-05	0.012710318724587031	1.8958435589193308
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	13	ANKRD11	5	OPCs	20	OPCs	#56B4E9	TRUE	3	3	tier_not_assessable	FALSE	6	6	2	1.0	0.3333333333333333	5.259996911384487e-07	0.0007117827820485487	3.147652521743449
phase18_sex_apoe_non_mt_v1_row_annotations_v1	phase18_sex_apoe_non_mt	non_mt_driver	14	FTL	5	OPCs	21	OPCs	#56B4E9	TRUE	2	2	tier_not_assessable	FALSE	6	6	2	1.0	0.3333333333333333	9.709306937536999e-08	0.00021897723579791776	3.6596010307361815
