SCNN1D	GALE
ZSCAN20	ZNF200
ZSCAN20	FAM156A
CSMD2	ARHGAP24
DLGAP3	CTSS
DLGAP3	WNT3
TMEM35B	THAP7-AS1
ZMYM4-AS1	PDC
ZMYM4-AS1	WDR64
ZMYM4-AS1	MAGI1-AS1
ZMYM4-AS1	PIP
ZMYM4-AS1	MEP1B
NCDN	NR2F1
NCDN	SPOCK2
NCDN	KCNIP2
C1orf216	B3GAT2
C1orf216	VASN
C1orf216	SREBF2-AS1
STK40	SIPA1L2
STK40	EEPD1
STK40	STOM
STK40	MAP3K14
LSM10	MRPL20-AS1
CDCA8	GRPEL2-AS1
C1orf122	PEX10
C1orf122	MIR133A1HG
MYCBP	TNFAIP8L1
NDUFS5	MDH1
NDUFS5	RPL10A
HPCAL4	C9orf129
EXO5	COL24A1
EXO5	GJA1
EXO5	ADAT2
EXO5	TIRAP
EXO5	ZNF600
CITED4	NINJ1
SLFNL1-AS1	DRAM1
SLFNL1	KCNC1
HIVEP3	LRP5
HIVEP3	GNG7
CCDC30	MATR3
CFAP57	ENTPD1
TMEM125	RN7SL832P
TMEM125	RBKS
TMEM125	FNDC3B
TMEM125	LAMTOR1
TMEM125	CES4A
TMEM125	SEPTIN4
TMEM125	COL9A3
TMEM125	RPS6KA3
ELOVL1	CDC42EP1
HYI	NUDT22
KDM4A-AS1	BNIP1
KDM4A-AS1	SVIL
KDM4A-AS1	PPL
KDM4A-AS1	MYH11
KDM4A-AS1	AC005253.1
AL357079.1	TMCO1-AS1
AL357079.1	MELTF-AS1
AL357079.1	TMEM250
AL357079.1	GSEC
AL357079.1	EID3
AL357079.1	BORA
AL357079.1	TTPAL
AL357079.1	SLC2A4RG
DPH2	FOXP1-AS1
DPH2	COMMD9
ATP6V0B	LAMTOR5
ATP6V0B	LAMTOR4
ATP6V0B	IKBKG
RPS8	RPL22
RPS8	DEXI
RPS8	SEPHS2
RPS8	PHB
RPS8	MRPL40
HECTD3	ADCY6
PRDX1	PSME1
FAAH	RHOXF1-AS1
CYP4X1	ARSJ
CYP4X1	TRPC3
CYP4X1	SGCG
CYP4X1	MYO5C
CYP4X1	TM6SF1
CYP4X1	SAMD10
STIL	SRRM5
SLC5A9	MYO1H
AGBL4	LY86-AS1
LRP8	MMP17
OMA1	LINC00339
LINC01135	DNAJC27-AS1
LINC01135	DNAH12
FGGY	RHCE
FGGY	LGALSL-DT
FGGY	IFT122
FGGY	DAP
FGGY	NDST1-AS1
FGGY	ZNF442
EFCAB7	ITGB1BP1
JAK1	LINC01359
JAK1	CRELD1
AL139294.1	CFLAR-AS1
AL139294.1	STX19
AL139294.1	RASGEF1B
AL139294.1	PRSS48
AL139294.1	GLRX
AL139294.1	ZNF451-AS1
AL139294.1	P4HA3
AL139294.1	DUOX1
AL139294.1	ABHD15-AS1
AL139294.1	PROCR
AL139294.1	C21orf62
AL139294.1	IL3RA
LEPR	ADCY10
LEPR	GPR137B
LEPR	C7orf61
LEPR	HR
LEPR	PTPRE
LEPR	CCDC59
LEPR	UXT-AS1
GNG12-AS1	ABRAXAS1
GNG12-AS1	ZPBP
GNG12-AS1	C12orf40
TNNI3K	ZBED5-AS1
SLC44A5	SLC16A10
SLC44A5	LRCH1
AK5	LINC01280
AK5	TRAF3IP1
AK5	ADAMTS19
AK5	WDR27
AK5	SHTN1
AK5	ZNF214
AK5	RNF125
DNAJB4	HSPD1
DNAJB4	DTWD2
DNAJB4	HIST1H4E
DNAJB4	MCMDC2
ADGRL2	ELOVL4
ADGRL2	ZNF804B
LINC01362	NHLH2
LINC01362	ZSCAN1
TTLL7	AZIN2
TTLL7	TTLL7-IT1
TTLL7	MIR181A1HG
TTLL7	FOXN2
TTLL7	MYO10
TTLL7	ANKRD6
TTLL7	DEPTOR
TTLL7	PRR5L
TTLL7-IT1	NSUN3
COL24A1	CALCRL
COL24A1	GLRB
COL24A1	SMIM17
PKN2-AS1	TEX9
LRRC8C-DT	CT69
EPHX4	STAT4
EPHX4	ARHGAP10
BTBD8	ZNF117
BTBD8	CYP7B1
BTBD8	CCDC180
RPL5	CTSL
RPL5	SLC25A5
CCDC18	SPATA1
FNBP1L	GPR63
DPYD-AS1	NUF2
DPYD-AS1	KCNJ13
DPYD-AS1	PP2D1
DPYD-AS1	FAM217A
DPYD-AS1	ENKUR
DPYD-AS1	PZP
DPYD-AS1	ART4
DPYD-AS1	C12orf56
DPYD-AS1	MPRIP-AS1
DPYD-AS1	STAP2
DPYD-AS1	IFNGR2
PLPPR5	ST8SIA4
PLPPR5	CCBE1
PLPPR4	SCN7A
PLPPR4	NREP
DPH5	TFB2M
DPH5	ZSCAN9
NTNG1	LINC02476
CYB561D1	NPW
CYB561D1	TMEM189
GPR61	AKR1C1
CSF1	RASGEF1C
SLC6A17	HK1
SLC16A4	PSMD6-AS2
LAMTOR5	BRK1
LAMTOR5	NPC2
INKA2	C6orf99
INKA2	AC011443.1
LRIG2-DT	C7orf77
PHTF1	ZNF697
PHTF1	SEMA3A
AP4B1-AS1	KIF26B-AS1
AP4B1-AS1	TH2LCRR
AP4B1-AS1	CYP51A1-AS1
AP4B1-AS1	C19orf73
ATP1A1-AS1	SUV39H2
PTGFRN	CLGN
LINC00622	RNF182
SRGAP2-AS1	LINC02788
SRGAP2-AS1	KDM6B
SRGAP2-AS1	TUBB1
SRGAP2-AS1	LINC01697
SRGAP2-AS1	OGFRP1
ITGA10	PNLDC1
ANKRD34A	AHNAK2
LINC00624	CCDC18
LINC00624	STRADB
LINC00624	JAKMIP2-AS1
LINC00624	DOCK4-AS1
LINC00624	TTC6
NBPF11	PEG10
NBPF11	TMEM168
HIST2H2BF	HIST2H2BE
BOLA1	MOGS
APH1A	TMEM35B
APH1A	IMPDH2
ENSA	CSRNP1
ENSA	SRRM2-AS1
ENSA	TRMT2B
ANXA9	LINC02603
MLLT11	SLC26A4-AS1
MLLT11	RTN4R
CELF3	SCRT1
CELF3	EPS8L2
TDRKH-AS1	AXDND1
TDRKH-AS1	C4orf46
TDRKH-AS1	HIST1H1E
TDRKH-AS1	C6orf120
S100A6	FBXO2
S100A6	DUSP1
S100A13	S100A1
ILF2	CCDC115
ILF2	POLR2G
ILF2	HSPA2
JTB	KHK
NUP210L	SLC16A4
IL6R	MCUB
PMVK	MRPL41
AL451085.2	CAMTA1-DT
AL451085.2	PSG8-AS1
EFNA3	B4GALNT1
EFNA3	PCGF2
EFNA3	KPNA2
EFNA1	C3orf62
EFNA1	PCDHB4
MTX1	CFAP100
FAM189B	AFDN-DT
HCN3	NPR2
HCN3	SLCO4A1
LMNA	MIDN
PAQR6	HIVEP1
PAQR6	RADX
CCT3	THUMPD3-AS1
TSACC	NLRC4
GPATCH4	L3MBTL4-AS1
MRPL24	MRPL2
MRPL24	DMAC1
CADM3	DRP2
ACKR1	TRIM7
PIGM	SPATA13
IGSF8	ANKRD65
IGSF8	WBP1
ARHGAP30	WDR88
KLHDC9	CRIM1-DT
KLHDC9	B3GNT4
RGS4	BHLHE40
RGS5	TMEM106A
NUF2	PTAFR
NUF2	SLC15A2
NUF2	AL391807.1
NUF2	RNF217-AS1
NUF2	QRICH2
NUF2	LENG8-AS1
PBX1	IER2
TMCO1-AS1	TMEM138
TMCO1-AS1	PAN3-AS1
TMCO1-AS1	ZNF793-AS1
TMCO1-AS1	TMEM187
ADCY10	KLRD1
CCDC181	TMEM147-AS1
METTL18	ZNF830
DNM3OS	ZRANB2-AS1
DNM3OS	OPA1-AS1
DNM3OS	IL5
DNM3OS	CYP3A5
DNM3OS	GSTK1
DNM3OS	FSD2
DNM3OS	CHODL-AS1
PIGC	PEX5L-AS2
PIGC	TSBP1
PIGC	GPX2
RABGAP1L-DT	ANKRD45
CACYBP	TCP1
CACYBP	OTUD6B-AS1
CACYBP	CRYL1
CACYBP	PIGL
ASTN1	TMEM67
BRINP2	DOP1B
RASAL2	NEGR1
SOAT1	ZFYVE28
LHX4	SLC51A
RNASEL	TRAF1
RNASEL	ZNF888
RNASEL	SEC14L6
NMNAT2	KCNG3
NMNAT2	LRRFIP1
C1orf21	GPR176
C1orf21	ZNF516
PDC	PRG4
PDC	RARRES1
PDC	TCF7
PDC	IMPG1
PDC	GPR18
PDC	IL10RB-DT
BRINP3	SCCPDH
KCNT2	MPP6
KCNT2	DOK5
CRB1	PPP1R15A
DENND1B	EPHX1
MIR181A1HG	ICK
LINC01221	LINC01673
ZNF281	BMI1
ZNF281	ZNF24
ZNF281	ZNF837
TNNT2	LINC01605
TNNT2	LRRC45
CSRP1	SCD
IPO9-AS1	ITPKB-AS1
IPO9-AS1	ORMDL1
IPO9-AS1	CA1
IPO9-AS1	IFIT3
SHISA4	AGPAT1
GPR37L1	RHNO1
GPR37L1	KIAA0586
PTPN7	TREH
PPFIA4	LINC01106
PPFIA4	KCNQ2
BTG2	EFNA1
BTG2	YPEL4
LRRN2	NCEH1
LRRN2	PITPNM3
LRRN2	CACNG8
RAB7B	LINC01877
RAB7B	SP7
RAB7B	PCCA-DT
YOD1	SHKBP1
YOD1	TCEAL1
CR2	CIC
MIR29B2CHG	BAALC-AS1
PLXNA2	LZTS1
PLXNA2	PKNOX2
PLXNA2	GNAL
LINC00467	AS3MT
PROX1-AS1	CNIH3
PROX1-AS1	AP004608.1
PROX1-AS1	NHLRC3
PROX1-AS1	LINC00893
LYPLAL1-DT	LINC01222
LYPLAL1-AS1	MARVELD3
C1orf115	ZCCHC12
SUSD4	IL12A-AS1
SUSD4	LINC00407
DNAH14	LRRC2
DNAH14	LINC02755
DNAH14	PDE4C
H3F3A	PTMA
H3F3A	ERH
H3F3A	JUND
ACBD3-AS1	BHMT2
ACBD3-AS1	NFE4
ACBD3-AS1	NRTN
PARP1	SCOC
PARP1	PSMD10
C1orf35	CSKMT
MRPL55	REEP6
GUK1	GPX4
GUK1	RASL10A
GUK1	TYMP
GUK1	TMSB4X
RNF187	MAPK3
RHOU	NECTIN3-AS1
RHOU	LINC00844
EXOC8	EXOSC6
LINC00582	ZBTB20-AS4
DISC1	KCNAB1
DISC1	THEMIS
COA6-AS1	LEXM
TARBP1	SVOPL
CHRM3	PCDH7
CHRM3	BASP1-AS1
CHRM3	DPY19L2
CHRM3	B4GALT6
WDR64	SPINK8
LINC02774	RFX8
CATSPERE	KLF3-AS1
TFB2M	CASP9
TFB2M	WDCP
TFB2M	CUL7
TFB2M	PSMG2
OR2L8	OR2L13
OR2L5	OR2L3
OR2L2	OR2L8
OR2L2	OR2L5
OR2L3	OR2M4
OR2L13	OR2M3
FAM110C	CHRNA10
MYT1L	GRIA1
MYT1L	GRIP1
MYT1L	ANKRD34C-AS1
MYT1L	CELF4
MYT1L	DSCAM
MYT1L	BID
MYT1L	MAP7D2
ADI1	OMA1
RPS7	CUTA
RPS7	DAD1
RPS7	RPL18
RPS7	SELENOM
LINC00299	LINC00298
LINC01814	CDKL4
LINC01814	MORN3
TAF1B	TTC26
PDIA6	DNAJB11
PDIA6	HSP90B1
PDIA6	EFCAB5
KCNF1	CHRM1
KCNF1	GJC1
VSNL1	BASP1
VSNL1	PRKAG2-AS1
VSNL1	PHF24
RDH14	CDK4
LINC01376	COL5A2
LINC01376	ZIC1
LINC01376	LIFR-AS1
LINC01376	MGAT1
LINC01376	HIST1H2BJ
LINC01376	HEY2
LINC01376	RFX3-AS1
LINC01376	GLIDR
LINC01376	TUBA1C
LINC01376	LIMA1
LINC01376	NHLRC3
LINC01376	ZFHX2-AS1
LINC01376	JDP2
LINC01376	SIRT7
LDAH	CNTNAP4
WDCP	RNF19B
WDCP	STIL
WDCP	DCTD
WDCP	CDKN2AIP
FKBP1B	PLA2G7
FKBP1B	DKK3
FKBP1B	RND1
SF3B6	SPP1
SF3B6	PCNA
PFN4	ELF3-AS1
CENPO	CEP19
EFR3B	HIVEP3
EFR3B	INPP5F
EFR3B	LMF1-AS1
EFR3B	PIEZO1
EFR3B	PRELID3A
KCNK3	PDPN
AGBL5	CYB561D2
OST4	S100A13
OST4	CDKN2AIPNL
OST4	ADGRB3
OST4	FMC1
OST4	INCENP
OST4	DDIT3
OST4	PITPNA-AS1
OST4	MED11
KHK	PXMP2
CGREF1	LHX6
CGREF1	SUCLA2-AS1
SLC30A3	TSPAN13
GTF3C2-AS1	LINC02271
GTF3C2-AS1	CD27
AC074117.1	NANP
RBKS	RAET1E
CLIP4	ERBIN
CLIP4	ZNF33B
EHD3	KCNC3
LINC00486	TMEM266
CRIM1-DT	LINC01798
CRIM1-DT	RPRM
CRIM1-DT	MBLAC1
CRIM1-DT	PPP1R1A
CRIM1	LIN9
CRIM1	PDLIM5
CDC42EP3	MFSD9
GALM	IMMP1L
DHX57	CCDC86
MORN2	TMEM88B
MORN2	PPM1M
MORN2	LINC01952
SOS1-IT1	CUZD1
SOS1-IT1	GDPD3
SLC8A1	RALGPS2
SLC8A1	KCNIP4
SLC8A1	GABRB2
SLC8A1	SORCS3
SLC8A1	CNTN1
PKDCC	PDE2A
SLC3A1	FAM92A
PRKCE	VSIG8
PRKCE	INTU
EPCAM	IL17D
KCNK12	MYLK
FSHR	MCF2
EML6	SMYD2
RPS27A	HAX1
CCDC85A	LNX1
VRK2	TSGA10
AC016747.2	GYPE
TMEM17	STK16
TMEM17	MKRN2OS
TMEM17	MRPL45
EHBP1	HARBI1
MDH1	CRTC2
MDH1	SST
MDH1	BEX5
LINC02245	WDR49
LINC02245	TMEM131L
SPRED2	NUDT12
SPRED2	ADAMTS2
SPRED2	PANK1
SPRED2	GRK5
SPRED2	GNG7
MEIS1-AS2	LINC01763
MEIS1-AS2	NCAM1-AS1
MEIS1-AS2	LINC00457
MEIS1-AS2	SNAI3
LINC01829	ZBED9
APLF	NCAPG2
ARHGAP25	C3
NFU1	SAMD13
NFU1	POU5F2
ADD2	ZDBF2
ADD2	SPTAN1
ANKRD53	OVCH2
EMX1	HCN3
EMX1	INA
EMX1	SLC26A10
CCT7	TMEM11
DGUOK-AS1	F10
DGUOK-AS1	PRKCA-AS1
DGUOK-AS1	SLC16A3
DGUOK-AS1	NOP53-AS1
BOLA3	FAM89B
BOLA3-AS1	SIRT4
MTHFD2	ANKRD31
MTHFD2	HACD1
MTHFD2	GAS6
WDR54	ZFAND4
WBP1	TP53I13
WBP1	ARMCX6
HTRA2	SMC2-AS1
HTRA2	STX10
HTRA2	PBDC1
LOXL3	GCC2-AS1
CTNNA2	GULP1
TMSB10	PCSK1N
TMSB10	BEX1
RETSAT	FAHD2B
SH2D6	SLC6A9
RNF181	PEX16
ST3GAL5-AS1	ST3GAL5
ST3GAL5-AS1	GOLGB1
PLGLB2	DLEU2L
PLGLB2	HTR3E-AS1
RPIA	ZNF212
AC092683.1	MATN1-AS1
COX5B	TMA7
COX5B	CHCHD2
COX5B	EDF1
COX5B	CKB
COX5B	NDUFB10
COX5B	APRT
COX5B	MICOS13
COX5B	GADD45GIP1
COX5B	SCAND1
C2orf92	MPL
KIAA1211L	KCNIP4-IT1
KIAA1211L	MAOB
TSGA10	LYSMD2
NPAS2	IQSEC3
MFSD9	CARD9
MFSD9	TDRD12
LINC01102	AGPAT4
LINC01102	DBF4B
PANTR1	GNPDA2
PANTR1	LATS2
PANTR1	LINC00926
LINC01159	TDRKH-AS1
LINC01159	TMEM177
LINC01159	LINC01878
LINC01159	GABPB1-IT1
LINC01159	MAPK6-DT
LINC01159	HEXA-AS1
FHL2	ITGA9
FBLN7	LY86
FBLN7	BRF2
FBLN7	PITPNM1
FBLN7	SCN4B
FBLN7	LINC00507
FBLN7	ZNF319
FBLN7	RTL9
DDX18	DUS3L
THORLNC	SLC26A7
DBI	VAT1
DBI	HEXIM1
CFAP221	PIGZ
CFAP221	CCDC57
GLI2	LINC01094
CNTNAP5	CHRM3
CNTNAP5	RGS7BP
CNTNAP5	MIR4500HG
HS6ST1	LINC01134
LINC01856	CRTC3-AS1
MZT2B	PLEKHJ1
AMER3	AIFM3
LYPD1	FBXL19-AS1
NCKAP5-AS2	PRR26
NCKAP5-AS2	ATP11A-AS1
NCKAP5-AS2	ZNF561-AS1
ARHGAP15	NXN
ARHGAP15	MAP3K15
ARHGAP15	SMS
LINC01931	CCP110
LINC01931	LINC00113
LINC01931	LINC00945
LINC01818	TIMM8A
NMI	PDCD2L
CACNB4	TSPAN17
CACNB4	NHS
RPRM	ASPDH
GALNT13	LIX1-AS1
GALNT13	MID1
AC009227.1	PRSS51
KCNJ3	LRFN5
ERMN	CDKN1B
ERMN	IRF2BP1
ACVR1	KBTBD2
UPP2	PDE8B
CD302	ZNF551
TBR1	PLAAT1
TBR1	PRDM1
TBR1	RSPO3
TBR1	IGFBP3
TBR1	LINC02668
TBR1	SERPING1
TBR1	PAWR
TBR1	KRT222
TBR1	DLGAP1-AS4
TBR1	NEFH
SLC4A10	CCDC85A
SLC4A10	SCN1A
SLC4A10	TRERF1
SLC4A10	ACTN1
FAP	TOP3B
KCNH7	RASAL2
KCNH7	PCLO
FIGN	FAT4
GRB14	AXIN2
SCN2A	ANKRD42
SCN2A	LMO3
TTC21B-AS1	SLC2A2
TTC21B-AS1	FAM53B-AS1
TTC21B-AS1	FBXL8
SCN1A-AS1	CHRM3-AS2
SCN7A	GPR12
LRP2	RPS6KB2
LRP2	EPS8
KLHL41	AL137003.1
KLHL41	POLR2J2
KLHL41	WDR97
KLHL23	PPTC7
GAD1	ASS1
METAP1D	AC016727.1
METAP1D	ZNF619
METAP1D	TMEM254
SCRN3	HNMT
SCRN3	ZSCAN23
SCRN3	FAM160A2
ATP5MC3	EIF1B
ATP5MC3	NDUFB4
ATP5MC3	DCTN3
ATP5MC3	SRSF9
ATP5MC3	ATP5MC1
ATP5MC3	TCEAL3
TTC30B	IQCC
TTC30B	PRSS27
TTC30B	IFI35
TTC30B	AC022211.2
TTC30A	DEF8
OSBPL6	MINDY4
OSBPL6	SORBS1
TTN	LINC01103
TTN	CC2D2A
ZNF385B	PDGFC
ZNF385B	POU6F2
ZNF385B	TOX
ZNF385B	NRP1
ZNF385B	TRHDE
DUSP19	MAMDC4
ZNF804A	SDK1
ZNF804A	ADARB1
CALCRL	CCDC9B
C2orf88	HTR3E
HIBCH	PARD6G-AS1
STAT1	DDX60
STAT1	AIF1L
STAT1	IRF9
MYO1B	EXPH5
NABP1	LINC01320
NABP1	IZUMO3
TMEFF2	TRIM2
TMEFF2	CEBPD
TMEFF2	LPAR1
TMEFF2	MKRN3
TMEFF2	FGF22
STK17B	ADRA1A
HSPE1	PCBD1
RFTN2	SPOCK1
RFTN2	ZDHHC2
RFTN2	NOL4L
LINC01877	TSPAN9
FTCDNL1	SESN2
FTCDNL1	GSTA4
C2orf69	AK6
MAIP1	RPS6KL1
KCTD18	MAGI1-IT1
NDUFB3	TRIAP1
NDUFB3	TMED1
NDUFB3	POP4
CFLAR-AS1	PCSK6-AS1
STRADB	PFN4
FAM117B	CCDC30
FAM117B	LINC02798
FAM117B	GYS2
FAM117B	LINC00158
WDR12	SMIM18
WDR12	C22orf23
RAPH1	KIAA1257
RAPH1	LNX1-AS1
RAPH1	LHFPL5
RAPH1	AP3B2
RAPH1	ZNF649-AS1
EEF1B2	PNKD
EEF1B2	EXOSC4
EEF1B2	ALKBH6
METTL21A	MCMDC2
C2orf80	PAPSS2
IDH1-AS1	FPR3
PTH2R	ACSL6
PTH2R	GPLD1
MAP2	VPS13A
MAP2	ABCD2
MAP2	SETBP1
LANCL1-AS1	CFTR
IKZF2	SGK1
IKZF2	ITGB8
IKZF2	ZBTB16
IKZF2	BBS2
IKZF2	BCL2
ABCA12	ADAM18
MARCH4	CACNA1D
MARCH4	SLC24A3
CDK5R2	VGF
GLB1L	MGAT2
STK16	ST7-AS1
STK16	LINC00526
TUBA4A	TUBB4B
TUBA4A	VCL
TUBA4A	SLC32A1
TUBA4A	SEPTIN5
PTPRN	RIMS3
PTPRN	RUSC1
PTPRN	PACSIN1
PTPRN	CPNE5
PTPRN	ACTL6B
PTPRN	DMTN
PTPRN	WNT10B
PTPRN	STX1B
PTPRN	CX3CL1
PTPRN	NDRG4
PTPRN	CENPT
PTPRN	HAPLN4
SPEG	TNFRSF14
SPEG	TNFRSF25
SPEG	CELF3
SPEG	C1orf115
SPEG	IL1RL2
SPEG	OBSL1
SPEG	PDLIM7
SPEG	RHOBTB2
SPEG	OPRK1
SPEG	RIN1
SPEG	DDN
SPEG	ZNF385A
SPEG	GLS2
SPEG	JPH4
SPEG	LINC02346
SPEG	CARMIL2
SPEG	MATK
SPEG	CAMSAP3
OBSL1	OPRL1
EPHA4	LUZP1
EPHA4	SLC4A10
EPHA4	RAPGEF4
EPHA4	FRAS1
EPHA4	CARMIL1
EPHA4	CLVS2
EPHA4	MOXD1
EPHA4	ATRNL1
EPHA4	KIAA1549L
EPHA4	NTRK3
EPHA4	PAK3
SGPP2	PLCH1
SCG2	CXCL14
DOCK10	SLC47A1
NYAP2	LYPD6
NYAP2	RBFOX1
NYAP2	KCNJ6
IRS1	CRTAC1
IRS1	PCDH20
SPHKAP	ALDH5A1
SPHKAP	ITGA8
SPHKAP	DCX
ITM2C	TMEM14A
ITM2C	NT5C3B
ITM2C	COX7A1
HTR2B	CFAP44-AS1
HTR2B	ZBTB20-AS1
HTR2B	ACKR4
HTR2B	EDRF1-AS1
HTR2B	BTBD18
HTR2B	ZNF750
HTR2B	EDDM13
HTR2B	LINC00658
HTR2B	SPIN2A
PTMA	ELOVL1
PTMA	CERS2
PTMA	CBX4
PDE6D	AVIL
PDE6D	AATF
PDE6D	NCOA5
EFHD1	ECE1
EFHD1	KLF15
EFHD1	SLC2A9
EFHD1	LRRC1
EFHD1	LPL
EFHD1	ZNF155
EFHD1	DUSP18
KCNJ13	LINC02503
KCNJ13	AC008957.1
KCNJ13	DIO2-AS1
NGEF	CACNB3
INPP5D	ADAM28
LRRFIP1	MAP3K21
HDAC4	ITGB5
HDAC4	ERGIC1
HDAC4	IGF1R
COPS9	ARL6IP4
COPS9	UQCR11
GPC1	NRSN2
ANKMY1	C9orf40
DUSP28	TAF6
CAPN10	KDM4D
SNED1	CCDC9
BOK-AS1	ZNF320
ATG4B	CCDC191
ATG4B	CORIN
ATG4B	ZMIZ1-AS1
ATG4B	RELA
ATG4B	EFS
ATG4B	SNX22
ATG4B	C17orf67
ATG4B	CHEK2
CHL1	PLPPR5
CHL1	SNTG2
CHL1	ZBBX
CHL1	KIAA0319
CHL1	ANO3
CNTN4	SH3RF3
CNTN4	CADPS
CNTN4	SYNPR
CNTN4	FGF12
CNTN4	EPHA5
CNTN4	RFPL1S
SUMF1	PBLD
SUMF1	CCNF
ITPR1	IRS1
ITPR1	TMBIM4
ITPR1	DGKH
ITPR1	TBC1D4
BHLHE40	ID2
LMCD1-AS1	NBPF11
LMCD1-AS1	LDAH
LMCD1-AS1	LINC01102
LMCD1-AS1	CCDC7
LMCD1-AS1	SF3B2
LMCD1-AS1	LINC00571
LMCD1-AS1	GLDN
LMCD1-AS1	DAPK2
LMCD1-AS1	BCAS1
LMCD1-AS1	ASPHD2
OXTR	LINC00222
OXTR	LINC02373
OXTR	KDM2B-DT
OXTR	KANK3
SRGAP3-AS4	SEMA3B-AS1
SRGAP3-AS4	EPX
THUMPD3-AS1	NDUFV2-AS1
CPNE9	ARVCF
CAMK1	SNED1
PRRT3	NT5DC2
PRRT3	NXPE1
PRRT3	BCDIN3D
EMC3	LARS2-AS1
EMC3	ENG
EMC3	BEAN1
EMC3	AC011511.2
IRAK2	ENSA
IRAK2	NRG2
IRAK2	FANCC
IRAK2	MAPKBP1
IRAK2	SMARCA1
ATP2B2	MARC2
ATP2B2	CRMP1
ATP2B2	CAMK2B
ATP2B2	CABP1
ATP2B2	USP43
ATP2B2	UNC13A
SLC6A11	LINC02043
SLC6A11	RGS20
SLC6A1	LRRC29
SLC6A1-AS1	LINC01856
SLC6A1-AS1	SRGAP3-AS4
SLC6A1-AS1	NAALADL2-AS2
SLC6A1-AS1	USP46-AS1
SLC6A1-AS1	KIRREL3-AS1
SYN2	SUSD1
RPL32	NHP2
RPL32	RAN
RPL32	CIB1
RPL32	RPL27
RPL32	PSMD8
RPL32	RPS21
RPL32	RPS4X
RPL32	IDH3G
SLC6A6	GTF2IRD1
EAF1-AS1	LINC02803
EAF1-AS1	LRRC66
EAF1-AS1	ODAPH
EAF1-AS1	LCMT2
BTD	MYOT
GALNT15	RPS6KA2
GALNT15	LAMC3
ZNF385D	PPARG
ZNF385D	FSTL5
ZNF385D	HTR2C
RPL15	HSBP1
THRB	KCNB2
LRRC3B	TRIM71
LRRC3B	CHST11
NEK10	OCA2
NEK10	CDH7
RBMS3	CCDC3
RBMS3	TMTC1
RBMS3-AS3	FNDC5
CNOT10-AS1	GPR183
ACAA1	ARL6IP4
ACAA1	PSMC3IP
ACAA1	SEPTIN4-AS1
ACAA1	ZNF576
CSRNP1	UBALD2
CSRNP1	PLEKHF1
CSRNP1	PIM3
RPSA	CCDC152
ENTPD3	ADAMTS16
ENTPD3	CCDC196
ENTPD3	GTSCR1
ZNF621	INPPL1
ZNF621	YPEL1
ZNF621	INTS6L
SS18L2	SELENOP
SS18L2	UNC79
ZNF662	MORN1
ZNF662	SPEF2
TCAIM	ANKRD7
ZKSCAN7-AS1	PTPN7
ZKSCAN7-AS1	LINC01931
ZKSCAN7-AS1	TREH
ZNF501	SMN1
ZNF501	GET4
ZNF501	DYRK4
ZNF501	HIST4H4
ZNF501	VN1R1
ZNF501	ZNF671
TMEM42	TMEM129
TMEM42	AVPI1
KIF9	SMPDL3A
ELP6	ITPRID2
SPINK8	PRSS23
TMA7	GTF3C6
TMA7	COX8A
TMA7	MESP1
TMA7	RPL17
TMA7	CSTB
COL7A1	NBPF9
PRKAR2A-AS1	GRM6
PRKAR2A-AS1	C9orf43
