schema_version	gene	route	search_date	query	terminal_status	source
human_genetic_support_tier1_v1	MT-ATP6	rare_variant	2026-08-16	FunGen AD GVC gene_name=MT-ATP6	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ATP6	mtdna	2026-08-16	registered mtDNA-specific source gene=MT-ATP6	not_assessable_source_not_registered	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO2	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=MT-CO2	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO2	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=MT-CO2	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO2	rare_variant	2026-08-16	FunGen AD GVC gene_name=MT-CO2	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO2	mtdna	2026-08-16	registered mtDNA-specific source gene=MT-CO2	not_assessable_source_not_registered	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO3	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=MT-CO3	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO3	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=MT-CO3	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO3	rare_variant	2026-08-16	FunGen AD GVC gene_name=MT-CO3	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CO3	mtdna	2026-08-16	registered mtDNA-specific source gene=MT-CO3	not_assessable_source_not_registered	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CYB	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=MT-CYB	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CYB	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=MT-CYB	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CYB	rare_variant	2026-08-16	FunGen AD GVC gene_name=MT-CYB	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-CYB	mtdna	2026-08-16	registered mtDNA-specific source gene=MT-CYB	not_assessable_source_not_registered	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND4	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=MT-ND4	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND4	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=MT-ND4	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND4	rare_variant	2026-08-16	FunGen AD GVC gene_name=MT-ND4	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND4	mtdna	2026-08-16	registered mtDNA-specific source gene=MT-ND4	not_assessable_source_not_registered	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND5	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=MT-ND5	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND5	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=MT-ND5	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND5	rare_variant	2026-08-16	FunGen AD GVC gene_name=MT-ND5	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	MT-ND5	mtdna	2026-08-16	registered mtDNA-specific source gene=MT-ND5	not_assessable_source_not_registered	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	NCOA1	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=NCOA1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	NCOA1	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=NCOA1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	NCOA1	rare_variant	2026-08-16	FunGen AD GVC gene_name=NCOA1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	NCOA1	mtdna	2026-08-16	registered mtDNA-specific source gene=NCOA1	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL11	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=RPL11	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL11	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=RPL11	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL11	rare_variant	2026-08-16	FunGen AD GVC gene_name=RPL11	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL11	mtdna	2026-08-16	registered mtDNA-specific source gene=RPL11	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL15	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=RPL15	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL15	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=RPL15	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL15	rare_variant	2026-08-16	FunGen AD GVC gene_name=RPL15	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL15	mtdna	2026-08-16	registered mtDNA-specific source gene=RPL15	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL38	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=RPL38	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL38	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=RPL38	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL38	rare_variant	2026-08-16	FunGen AD GVC gene_name=RPL38	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPL38	mtdna	2026-08-16	registered mtDNA-specific source gene=RPL38	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPLP1	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=RPLP1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPLP1	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=RPLP1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPLP1	rare_variant	2026-08-16	FunGen AD GVC gene_name=RPLP1	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPLP1	mtdna	2026-08-16	registered mtDNA-specific source gene=RPLP1	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS13	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=RPS13	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS13	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=RPS13	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS13	rare_variant	2026-08-16	FunGen AD GVC gene_name=RPS13	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS13	mtdna	2026-08-16	registered mtDNA-specific source gene=RPS13	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS15	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=RPS15	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS15	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=RPS15	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS15	rare_variant	2026-08-16	FunGen AD GVC gene_name=RPS15	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	RPS15	mtdna	2026-08-16	registered mtDNA-specific source gene=RPS15	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	SELENOW	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=SELENOW	reported_entry_found	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	SELENOW	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=SELENOW	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	SELENOW	rare_variant	2026-08-16	FunGen AD GVC gene_name=SELENOW	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	SELENOW	mtdna	2026-08-16	registered mtDNA-specific source gene=SELENOW	not_applicable	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	UQCR10	common_variant	2026-08-16	FunGen-xQTL unified AD locus target_gene=UQCR10	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	UQCR10	colocalization	2026-08-16	FunGen-xQTL ADxQTL/CL target_gene=UQCR10	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	UQCR10	rare_variant	2026-08-16	FunGen AD GVC gene_name=UQCR10	no_direct_entry_in_filtered_summary	FunGen-xQTL public snapshot
human_genetic_support_tier1_v1	UQCR10	mtdna	2026-08-16	registered mtDNA-specific source gene=UQCR10	not_applicable	FunGen-xQTL public snapshot
