schema_version	broad_network	driver	complex_v_target	qualifying_calls	ad_up_calls	ad_down_calls	fine_cell_types	shortest_path_distance	shortest_path	driver_in_degree	driver_out_degree	driver_total_degree	driver_degree_percentile	run_ids
phase12_kda_network_figures_v1	Astrocytes	RPL13	ATP5F1B	1	0	1	1	3	RPL13;RPL15;EIF4A2;ATP5F1B	1	5	6	0.9425467712733856	primary_Ast_DPP10_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	RPL15	ATP5F1B	1	0	1	1	2	RPL15;EIF4A2;ATP5F1B	1	12	13	0.9862401931200966	primary_Ast_DPP10_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	RPLP1	ATP5F1E	1	0	1	1	3	RPLP1;RPL11;COX7C;ATP5F1E	1	8	9	0.9709112854556428	primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Astrocytes	RPLP1	ATP5PF	2	1	1	1	3	RPLP1;RPL11;COX7C;ATP5PF	1	8	9	0.9709112854556428	primary_Ast_GRM3_F_e2_AD_up_mito;primary_Ast_GRM3_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	ATP5PF	ATP5PD	3	2	1	3	2	ATP5PF;NDUFB3;ATP5PD	2	4	6	0.9292213389522076	primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_M_e2_AD_up_mito;primary_Exc_NRGN_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6AP2	ATP5PB	2	1	1	2	3	ATP6AP2;RAN;SLC25A3;ATP5PB	3	11	14	0.9956900680011493	primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6AP2	TMEM70	5	1	4	5	1	ATP6AP2;TMEM70	3	11	14	0.9956900680011493	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_M_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6V1G1	ATP5F1A	4	1	3	3	2	ATP6V1G1;ARL6IP5;ATP5F1A	1	4	5	0.8979982760272005	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	ATP6V1G1	TMEM70	3	1	2	3	2	ATP6V1G1;ATP6AP2;TMEM70	1	4	5	0.8979982760272005	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_M_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	BEX1	TMEM70	5	1	4	5	2	BEX1;ATP6AP2;TMEM70	2	6	8	0.965807872809118	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_M_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	BEX3	TMEM70	1	0	1	1	3	BEX3;BEX1;ATP6AP2;TMEM70	2	5	7	0.9521118666794368	primary_Exc_NRGN_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	BEX5	TMEM70	1	1	0	1	2	BEX5;ATP6AP2;TMEM70	3	5	8	0.965807872809118	primary_Exc_L5_6_IT_Car3_M_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	COX6B1	ATP5F1E	1	0	1	1	2	COX6B1;OST4;ATP5F1E	0	6	6	0.9292213389522076	primary_Exc_L5_6_IT_Car3_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	COX6B1	ATP5ME	1	0	1	1	3	COX6B1;COX7C;RPLP2;ATP5ME	0	6	6	0.9292213389522076	primary_Exc_L5_6_IT_Car3_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	DYNLL1	ATP5F1D	12	4	8	7	3	DYNLL1;SOD1;PRDX1;ATP5F1D	2	3	5	0.8979982760272005	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito;primary_Exc_L5_6_IT_Car3_F_e4_AD_down_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	EIF1B	ATP5F1A	2	1	1	2	3	EIF1B;ATP6V1G1;ARL6IP5;ATP5F1A	2	3	5	0.8979982760272005	primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	EIF1B	TMEM70	1	0	1	1	3	EIF1B;ATP6V1G1;ATP6AP2;TMEM70	2	3	5	0.8979982760272005	primary_Exc_NRGN_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	GABARAPL2	ATP5MC3	15	4	11	9	2	GABARAPL2;CHCHD2;ATP5MC3	3	8	11	0.9864955464036012	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L5_6_NP_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_F_e4_AD_down_mito;primary_Exc_RELN_CHD7_M_e2_AD_down_mito;primary_Exc_RELN_CHD7_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	GNG3	ATP5MC2	7	3	4	5	3	GNG3;SCAND1;POP7;ATP5MC2	1	5	6	0.9292213389522076	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	LAMTOR5	ATP5IF1	12	4	8	8	1	LAMTOR5;ATP5IF1	1	9	10	0.9808447466717747	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_F_e4_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito;primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	LAMTOR5	ATP5MC2	12	4	8	7	2	LAMTOR5;POP7;ATP5MC2	1	9	10	0.9808447466717747	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_F_e4_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	LDHB	ATP5F1D	2	2	0	2	3	LDHB;SOD1;PRDX1;ATP5F1D	1	4	5	0.8979982760272005	primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	OST4	ATP5F1E	3	0	3	3	1	OST4;ATP5F1E	1	3	4	0.849918590173355	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	PGAM1	ATP5F1A	4	3	1	3	3	PGAM1;GHITM;ATP5F1B;ATP5F1A	1	6	7	0.9521118666794368	primary_Exc_L3_5_RORB_PLCH1_M_e4_AD_up_mito;primary_Exc_NRGN_M_e2_AD_up_mito;primary_Exc_RELN_CHD7_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	PGAM1	ATP5F1B	3	2	1	2	2	PGAM1;GHITM;ATP5F1B	1	6	7	0.9521118666794368	primary_Exc_NRGN_M_e2_AD_up_mito;primary_Exc_RELN_CHD7_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	PRDX1	ATP5F1D	12	4	8	9	1	PRDX1;ATP5F1D	1	13	14	0.9956900680011493	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_up_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e2_AD_up_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	PRDX1	TMEM70	6	0	6	6	3	PRDX1;DYNLRB1;ITM2B;TMEM70	1	13	14	0.9956900680011493	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	PSAP	ATP5PB	1	1	0	1	3	PSAP;RAN;SLC25A3;ATP5PB	1	5	6	0.9292213389522076	primary_Exc_L6_THEMIS_NFIA_M_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RAN	ATP5PB	3	2	1	3	2	RAN;SLC25A3;ATP5PB	3	4	7	0.9521118666794368	primary_Exc_L6_THEMIS_NFIA_M_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RPL11	ATP5ME	12	1	11	8	3	RPL11;COX7C;RPLP2;ATP5ME	0	9	9	0.9756728282731539	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e4_AD_down_mito;primary_Exc_NRGN_M_e2_AD_down_mito;primary_Exc_RELN_CHD7_F_e4_AD_down_mito;primary_Exc_RELN_CHD7_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RPL11	ATP5PF	14	4	10	10	2	RPL11;RPL6;ATP5PF	0	9	9	0.9756728282731539	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito;primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_F_e4_AD_down_mito;primary_Exc_RELN_CHD7_M_e2_AD_down_mito;primary_Exc_RELN_CHD7_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RPL15	ATP5MC3	7	1	6	6	3	RPL15;GABARAPL2;CHCHD2;ATP5MC3	1	5	6	0.9292213389522076	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RPL6	ATP5PD	9	4	5	7	3	RPL6;ATP5PF;NDUFB3;ATP5PD	1	5	6	0.9292213389522076	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito;primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito;primary_Exc_NRGN_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RPL6	ATP5PF	10	4	6	8	1	RPL6;ATP5PF	1	5	6	0.9292213389522076	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L5_6_IT_Car3_F_e2_AD_up_mito;primary_Exc_L5_6_RORB_LINC02196_F_e2_AD_up_mito;primary_Exc_L6_THEMIS_NFIA_F_e2_AD_up_mito;primary_Exc_NRGN_M_e33_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RPLP2	ATP5ME	10	1	9	6	1	RPLP2;ATP5ME	1	7	8	0.965807872809118	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito;primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito;primary_Exc_L3_4_RORB_CUX2_F_e2_AD_up_mito;primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito;primary_Exc_L4_5_RORB_IL1RAPL2_M_e2_AD_down_mito;primary_Exc_RELN_CHD7_F_e4_AD_down_mito;primary_Exc_RELN_CHD7_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	RRAGA	ATP5F1B	1	1	0	1	3	RRAGA;PGAM1;GHITM;ATP5F1B	1	7	8	0.965807872809118	primary_Exc_NRGN_M_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	SAP18	ATP5PB	2	1	1	2	3	SAP18;RAN;SLC25A3;ATP5PB	1	6	7	0.9521118666794368	primary_Exc_NRGN_M_e33_AD_down_mito;primary_Exc_RELN_CHD7_M_e4_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	SCAND1	ATP5MC2	1	1	0	1	2	SCAND1;POP7;ATP5MC2	2	5	7	0.9521118666794368	primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	SSB	ATP5MG	2	0	2	2	1	SSB;ATP5MG	0	11	11	0.9864955464036012	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito;primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	UQCR10	ATP5IF1	2	1	1	2	2	UQCR10;LAMTOR5;ATP5IF1	0	7	7	0.9521118666794368	primary_Exc_L6b_M_e2_AD_up_mito;primary_Exc_NRGN_M_e4_AD_down_mito
phase12_kda_network_figures_v1	Excitatory_neurons	UQCR10	ATP5MC2	1	1	0	1	3	UQCR10;LAMTOR5;POP7;ATP5MC2	0	7	7	0.9521118666794368	primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_up_mito
phase12_kda_network_figures_v1	Excitatory_neurons	UQCR10	ATP5MC3	2	2	0	2	1	UQCR10;ATP5MC3	0	7	7	0.9521118666794368	primary_Exc_L3_5_RORB_PLCH1_F_e2_AD_up_mito;primary_Exc_RELN_CHD7_F_e33_AD_up_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5IF1	1	0	1	1	2	ATP5MC3;ATP5PF;ATP5IF1	1	3	4	0.899154400250548	primary_Inh_PVALB_HTR4_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5MG	1	0	1	1	3	ATP5MC3;ATP5PF;NDUFA12;ATP5MG	1	3	4	0.899154400250548	primary_Inh_RYR3_TSHZ2_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5PD	2	0	2	1	3	ATP5MC3;ATP5PF;NDUFA12;ATP5PD	1	3	4	0.899154400250548	primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5MC3	ATP5PF	3	0	3	1	1	ATP5MC3;ATP5PF	1	3	4	0.899154400250548	primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5PF	ATP5IF1	1	0	1	1	1	ATP5PF;ATP5IF1	2	8	10	0.9751539826704249	primary_Inh_PVALB_HTR4_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP5PF	ATP5MG	1	0	1	1	2	ATP5PF;NDUFA12;ATP5MG	2	8	10	0.9751539826704249	primary_Inh_RYR3_TSHZ2_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP6V1F	ATP5F1B	1	0	1	1	2	ATP6V1F;PGAM1;ATP5F1B	1	12	13	0.9874725963044159	primary_Inh_RYR3_TSHZ2_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	ATP6V1F	ATP5MC2	2	0	2	2	3	ATP6V1F;PRDX5;CUTA;ATP5MC2	1	12	13	0.9874725963044159	primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7A2	ATP5F1E	1	0	1	1	1	COX7A2;ATP5F1E	0	3	3	0.8585447332706964	primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7C	ATP5F1E	1	0	1	1	1	COX7C;ATP5F1E	1	15	16	0.9922747677210565	primary_Inh_PVALB_HTR4_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7C	ATP5IF1	1	0	1	1	3	COX7C;LAMTOR5;ATP5PF;ATP5IF1	1	15	16	0.9922747677210565	primary_Inh_PVALB_HTR4_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	COX7C	ATP5PF	1	0	1	1	2	COX7C;LAMTOR5;ATP5PF	1	15	16	0.9922747677210565	primary_Inh_LAMP5_NRG1_Rosehip_M_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	CUTA	ATP5MC2	1	0	1	1	1	CUTA;ATP5MC2	1	3	4	0.899154400250548	primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5IF1	3	0	3	3	2	LAMTOR5;ATP5PF;ATP5IF1	1	9	10	0.9751539826704249	primary_Inh_CUX2_MSR1_M_e2_AD_down_mito;primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito;primary_Inh_PVALB_HTR4_F_e4_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5MG	2	0	2	2	3	LAMTOR5;ATP5PF;NDUFA12;ATP5MG	1	9	10	0.9751539826704249	primary_Inh_CUX2_MSR1_M_e2_AD_down_mito;primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5PD	1	0	1	1	3	LAMTOR5;ATP5PF;NDUFA12;ATP5PD	1	9	10	0.9751539826704249	primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	LAMTOR5	ATP5PF	4	0	4	3	1	LAMTOR5;ATP5PF	1	9	10	0.9751539826704249	primary_Inh_CUX2_MSR1_M_e2_AD_down_mito;primary_Inh_L3_5_SST_MAFB_M_e2_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_F_e4_AD_down_mito;primary_Inh_LAMP5_NRG1_Rosehip_M_e2_AD_down_mito
phase12_kda_network_figures_v1	Inhibitory_neurons	NDUFA12	ATP5PD	1	0	1	1	1	NDUFA12;ATP5PD	1	6	7	0.953857396387932	primary_Inh_LAMP5_NRG1_Rosehip_M_e4_AD_down_mito
