schema_version	broad_network	key_driver	mean_of_log_score	mean_of_log_score_standardized	ranking_runs	eligible_directional_runs	ranking_coverage_fraction	primary_directional_significant_runs	primary_directional_recurrence_fraction	mtDNA_encoded	in_degree	out_degree	total_degree	degree_percentile	node_size_area
phase12_kda_network_figures_v1	Excitatory_neurons	DIP2C	0.031382132434443	0.00597951923576954	133	133	1.0	0	0.0	FALSE	1	14	15	0.9966478306675606	484.0
phase12_kda_network_figures_v1	Excitatory_neurons	ALDH5A1	0.0313777466491519	0.00597868357275119	131	133	0.984962406015038	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	AC063944.1	0.0313045074485092	0.00596472865079136	113	133	0.849624060150376	0	0.0	FALSE	3	5	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	TSEN54	0.0312997254483803	0.00596381749340537	122	133	0.917293233082707	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	TGOLN2	0.0311497857267914	0.00593524813307526	133	133	1.0	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	SLC35A1	0.0310716716001894	0.00592036434773729	116	133	0.87218045112782	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	CNTN1	0.0310347243668882	0.00591332445990639	133	133	1.0	0	0.0	FALSE	1	10	11	0.9864955464036012	324.0
phase12_kda_network_figures_v1	Excitatory_neurons	MAPK8IP2	0.031027642196463	0.00591197503043797	131	133	0.984962406015038	0	0.0	FALSE	2	4	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	MTFMT	0.0309873448550063	0.00590429681644491	126	133	0.947368421052632	0	0.0	FALSE	2	2	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	PCMTD1	0.0309498676746044	0.00589715595303851	133	133	1.0	0	0.0	FALSE	1	6	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	CALR	0.0308849955932196	0.00588479529337603	131	133	0.984962406015038	0	0.0	FALSE	1	5	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	RYR1	0.030877614433883	0.00588338889486797	120	133	0.902255639097744	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	TMEM143	0.0308732242975293	0.00588255240280265	114	133	0.857142857142857	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	CHD4	0.030847537594785	0.00587765808488197	99	133	0.744360902255639	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	ZFYVE27	0.0307276986233268	0.00585482409052146	131	133	0.984962406015038	1	0.00763358778625954	FALSE	2	1	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	MTG2	0.0307079628759903	0.00585106366152328	124	133	0.932330827067669	0	0.0	FALSE	2	1	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	SETD2	0.0306715004016203	0.00584411613916052	133	133	1.0	0	0.0	FALSE	2	10	12	0.9904223733358873	361.0
phase12_kda_network_figures_v1	Excitatory_neurons	FAM204A	0.0306700578581392	0.00584384127840937	133	133	1.0	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	UBL3	0.030655294132325	0.00584102821327807	133	133	1.0	0	0.0	FALSE	2	5	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	PUM1	0.0306352733681827	0.00583721347747087	133	133	1.0	0	0.0	FALSE	1	5	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	DLG1	0.0305644521704694	0.00582371927930217	133	133	1.0	0	0.0	FALSE	1	4	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	ADARB1	0.0305500153001346	0.00582096849287771	133	133	1.0	0	0.0	FALSE	1	15	16	0.9975098170673307	529.0
phase12_kda_network_figures_v1	Excitatory_neurons	PMPCB	0.0304275674776501	0.00579763741072599	133	133	1.0	0	0.0	FALSE	2	4	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	PIP5K1A	0.0304108629026078	0.00579445453817902	133	133	1.0	0	0.0	FALSE	2	3	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	ZEB1-AS1	0.0304086660530465	0.0057940359527232	113	133	0.849624060150376	0	0.0	FALSE	1	8	9	0.9756728282731539	256.0
phase12_kda_network_figures_v1	Excitatory_neurons	SAP30	0.0303394791109819	0.00578085314394487	108	133	0.81203007518797	0	0.0	FALSE	1	11	12	0.9904223733358873	361.0
phase12_kda_network_figures_v1	Excitatory_neurons	AUH	0.0302765204954586	0.00576885707409954	133	133	1.0	0	0.0	FALSE	2	5	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	METTL6	0.0302172512815935	0.00575756397905141	128	133	0.962406015037594	0	0.0	FALSE	1	8	9	0.9756728282731539	256.0
phase12_kda_network_figures_v1	Excitatory_neurons	SV2A	0.0301273445033788	0.00574043323400455	133	133	1.0	0	0.0	FALSE	1	5	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	NUP133	0.0300333105938735	0.00572251610960658	128	133	0.962406015037594	0	0.0	FALSE	2	3	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	DMXL2	0.0299464698354312	0.0057059695608136	133	133	1.0	0	0.0	FALSE	1	6	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	ARMH1	0.0299308993655828	0.00570300277950379	120	133	0.902255639097744	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	PPP6R2	0.0299041771177385	0.00569791114988487	133	133	1.0	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	MICAL3	0.0298990960274223	0.0056969430041622	133	133	1.0	0	0.0	FALSE	2	7	9	0.9756728282731539	256.0
phase12_kda_network_figures_v1	Excitatory_neurons	GNPDA2	0.0298804925440134	0.00569339831556821	126	133	0.947368421052632	0	0.0	FALSE	2	3	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	ABHD13	0.0298390124992809	0.00568549475050944	124	133	0.932330827067669	0	0.0	FALSE	1	7	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	VCP	0.0298019648320015	0.00567843572609163	133	133	1.0	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	SYT7	0.0297972510938356	0.00567753757526984	133	133	1.0	0	0.0	FALSE	2	4	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	PIN1	0.0297671933420615	0.0056718104021629	133	133	1.0	0	0.0	FALSE	2	2	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	AL603839.3	0.0296772458300277	0.00565467189573606	118	133	0.887218045112782	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	MOB4	0.0295547085943917	0.00563132377689442	127	133	0.954887218045113	0	0.0	FALSE	3	5	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	AKT3	0.029441966355426	0.00560984198664362	133	133	1.0	0	0.0	FALSE	1	3	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	RORA	0.0293315408833474	0.00558880163077258	133	133	1.0	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	DNA2	0.0292876047206916	0.00558043007953096	120	133	0.902255639097744	0	0.0	FALSE	3	2	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	CCDC3	0.0292154102103983	0.0055666742117958	133	133	1.0	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	SAC3D1	0.0289391054690221	0.00551402739056894	78	133	0.586466165413534	0	0.0	FALSE	2	4	6	0.9292213389522076	169.0
phase12_kda_network_figures_v1	Excitatory_neurons	ARHGDIA	0.0289246912510599	0.00551128092030426	131	133	0.984962406015038	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	LCMT1	0.0289229438371691	0.00551094796985882	133	133	1.0	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	RAPGEF5	0.028743828605866	0.00547681953791643	133	133	1.0	0	0.0	FALSE	0	4	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	AF241726.2	0.028712970268806	0.00547093982211256	122	133	0.917293233082707	0	0.0	FALSE	2	2	4	0.849918590173355	121.0
phase12_kda_network_figures_v1	Excitatory_neurons	OPCML	0.0286537796898351	0.00545966171007627	133	133	1.0	0	0.0	FALSE	1	6	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	GUF1	0.0285451062352024	0.00543895518180733	118	133	0.887218045112782	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	PKN2	0.0285323981166147	0.00543653378996264	133	133	1.0	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	STMN1	0.0285296920373523	0.00543601817640333	133	133	1.0	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	EPHX4	0.0285036434593665	0.00543105490714636	133	133	1.0	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	EIF4A3	0.0284209642212572	0.00541530129015725	89	133	0.669172932330827	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	SH3GL1	0.0283223040376649	0.00539650268025313	131	133	0.984962406015038	0	0.0	FALSE	2	6	8	0.965807872809118	225.0
phase12_kda_network_figures_v1	Excitatory_neurons	SMIM10L2B	0.0283140293306731	0.00539492602609392	119	133	0.894736842105263	0	0.0	FALSE	2	7	9	0.9756728282731539	256.0
phase12_kda_network_figures_v1	Excitatory_neurons	SNRNP40	0.0283049569552937	0.00539319738502057	122	133	0.917293233082707	0	0.0	FALSE	1	2	3	0.7729144717938895	100.0
phase12_kda_network_figures_v1	Excitatory_neurons	RPL34	0.0280812551842019	0.00535057347964659	133	133	1.0	0	0.0	FALSE	3	2	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	MRPS30	0.0278679713654905	0.00530993460020374	127	133	0.954887218045113	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	SLC30A6	0.0276890651439784	0.00527584599277194	124	133	0.932330827067669	0	0.0	FALSE	1	4	5	0.8979982760272005	144.0
phase12_kda_network_figures_v1	Excitatory_neurons	FAM169A	0.0276446992025157	0.0052673925519185	133	133	1.0	0	0.0	FALSE	2	7	9	0.9756728282731539	256.0
phase12_kda_network_figures_v1	Excitatory_neurons	ZBTB41	0.0274250248550603	0.00522553602770178	133	133	1.0	0	0.0	FALSE	1	6	7	0.9521118666794368	196.0
phase12_kda_network_figures_v1	Excitatory_neurons	ASTN1	0.0272255377172317	0.00518752595364367	133	133	1.0	0	0.0	FALSE	1	11	12	0.9904223733358873	361.0
phase12_kda_network_figures_v1	Excitatory_neurons	INTS8	0.027203707113934	0.00518336637294533	126	133	0.947368421052632	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
phase12_kda_network_figures_v1	Excitatory_neurons	PLEKHA7	0.0270341659409375	0.00515106217222521	129	133	0.969924812030075	0	0.0	FALSE	1	1	2	0.6445742744947802	81.0
