schema_version	query_order	query_id	background_id	contrast_id	broad_cell_type	group_id	sex	apoe_group	deg_tier	tier_order	tier_role	query_mode	query_mode_order	structural_status	structurally_available	query_size	upregulated_query_genes	downregulated_query_genes	query_status
broad_deg_pathway_ora_query_manifest_v1	36	Astrocytes::AD_vs_NCI__Male__e2::exploratory::AD_down_mito	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	Male	e2	exploratory	3	hypothesis_generation_only	AD_down_mito	3	validated_complete	TRUE	1	0	1	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	37	Astrocytes::AD_vs_NCI__Male__e33::strict::AD_any_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	strict	1	confirmatory_thresholded_companion	AD_any_mito	1	validated_complete	TRUE	4	1	3	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	38	Astrocytes::AD_vs_NCI__Male__e33::strict::AD_up_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	strict	1	confirmatory_thresholded_companion	AD_up_mito	2	validated_complete	TRUE	1	1	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	39	Astrocytes::AD_vs_NCI__Male__e33::strict::AD_down_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	strict	1	confirmatory_thresholded_companion	AD_down_mito	3	validated_complete	TRUE	3	0	3	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	40	Astrocytes::AD_vs_NCI__Male__e33::relaxed::AD_any_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	relaxed	2	prespecified_sensitivity	AD_any_mito	1	validated_complete	TRUE	6	1	5	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	41	Astrocytes::AD_vs_NCI__Male__e33::relaxed::AD_up_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	relaxed	2	prespecified_sensitivity	AD_up_mito	2	validated_complete	TRUE	1	1	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	42	Astrocytes::AD_vs_NCI__Male__e33::relaxed::AD_down_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	relaxed	2	prespecified_sensitivity	AD_down_mito	3	validated_complete	TRUE	5	0	5	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	43	Astrocytes::AD_vs_NCI__Male__e33::exploratory::AD_any_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	exploratory	3	hypothesis_generation_only	AD_any_mito	1	validated_complete	TRUE	12	2	10	eligible_for_pathway_testing
broad_deg_pathway_ora_query_manifest_v1	44	Astrocytes::AD_vs_NCI__Male__e33::exploratory::AD_up_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	exploratory	3	hypothesis_generation_only	AD_up_mito	2	validated_complete	TRUE	2	2	0	query_below_minimum
broad_deg_pathway_ora_query_manifest_v1	45	Astrocytes::AD_vs_NCI__Male__e33::exploratory::AD_down_mito	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	Male	e33	exploratory	3	hypothesis_generation_only	AD_down_mito	3	validated_complete	TRUE	10	0	10	eligible_for_pathway_testing
