summary_group	analysis_profile	pathway_collection	collection_order	collection_role	pathway_id	pathway_name	hierarchy	hierarchy_depth	level_1	level_2	pathway_scope	schema_version	summary_group_type	broad_cell_type	sex	apoe_group	analysis_method	deg_tier	query_mode	structural_contrasts	available_contrasts	testable_records	positive_records	negative_records	locally_significant_records	globally_significant_records	median_effect	minimum_effect	maximum_effect	significant_secondary_groups	signal_confined_to_one_secondary_group	gene_union	gene_union_count	recurrent_genes	recurrent_gene_count
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Fission	Fission	Mitochondrial dynamics and surveillance > Fission	2	Mitochondrial dynamics and surveillance	Fission	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.09238578813686	-1.47436711088987	1.02162046900876	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Fusion	Fusion	Mitochondrial dynamics and surveillance > Fusion	2	Mitochondrial dynamics and surveillance	Fusion	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	2	2	0	0	-0.205978999546851	-1.35869030633242	1.41860279419349	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Immune response	Immune response	Signaling > Immune response	2	Signaling	Immune response	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	2	2	0	0	0	0.609484316468812	0.584996879593019	0.633971753344605	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Intramitochondrial membrane interactions	Intramitochondrial membrane interactions	Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions	2	Mitochondrial dynamics and surveillance	Intramitochondrial membrane interactions	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.10213215516137	-1.49958575802801	0.791435407101671	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Lipid metabolism	Lipid metabolism	Metabolism > Lipid metabolism	2	Metabolism	Lipid metabolism	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	3	1	0	0	0.966036441998584	-0.932201613679169	1.2232071387048	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Metabolism	Metabolism	Metabolism	1	Metabolism	NA	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	0	4	0	0	-1.0160429243308	-1.10602708576068	-0.79906189466874	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Metals and cofactors	Metals and cofactors	Metabolism > Metals and cofactors	2	Metabolism	Metals and cofactors	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-0.788464073498146	-1.07986633598727	0.798422347373479	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Mitochondrial central dogma	Mitochondrial central dogma	Mitochondrial central dogma	1	Mitochondrial central dogma	NA	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-1.16077625434367	-1.27317237418307	0.792790995449896	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Mitochondrial dynamics and surveillance	Mitochondrial dynamics and surveillance	Mitochondrial dynamics and surveillance	1	Mitochondrial dynamics and surveillance	NA	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	1	3	0	0	-0.938404380524993	-1.08865921028147	0.933950321764262	0	FALSE		0		0
Female::e2	composition_adjusted	mitocarta_broad_46	2	primary_expanded	Mitophagy	Mitophagy	Mitochondrial dynamics and surveillance > Mitophagy	2	Mitochondrial dynamics and surveillance	Mitophagy	broad_program	broad_deg_pathway_sex_apoe_summary_v1	sex_apoe	NA	Female	e2	GSEA	NA	NA	7	4	4	3	1	0	0	0.886576821893366	-0.839414701554645	1.11868286582359	0	FALSE		0		0
