schema_version	class_order	case_id	case_label	broad_network	network_display_order	display_network	network_color	slot_rank	slot_status	total_passing_candidate_count	displayed_candidate_count	current_symbol	display_rank	is_core_mito	is_mtdna_gene	extended_reference_member	coverage_fraction	conservative_support_count	aggregate_acat_p	aggregate_acat_q	negative_log10_acat_q	capped_negative_log10_acat_q	display_score	evidence_tier	selected_network_count_within_class	sector_start_degrees	sector_end_degrees	sector_mid_degrees	source_call_key_driver_returns_sha256
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	OPCs	5	OPCs	#56B4E9	5	unused_display_slot	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-152.857142857143	-161.142857142857	-157	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Oligodendrocytes	6	Oligodendrocytes	#F0E442	1	ranked_candidate	2	2	MT-CO2	1	TRUE	TRUE	FALSE	1	1	2.01165734373071e-17	9.31799681616067e-14	13.0306774422806	13.0306774422806	0.868711829485373	tier_not_assessable	7	-167.142857142857	-175.428571428571	-171.285714285714	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Oligodendrocytes	6	Oligodendrocytes	#F0E442	2	ranked_candidate	2	2	MT-ND4	2	TRUE	TRUE	FALSE	1	1	4.90867554356515e-07	0.00113684925588969	2.94429711814034	2.94429711814034	0.196286474542689	tier_not_assessable	4	-176.428571428571	-184.714285714286	-180.571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Oligodendrocytes	6	Oligodendrocytes	#F0E442	3	unused_display_slot	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-185.714285714286	-194	-189.857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Oligodendrocytes	6	Oligodendrocytes	#F0E442	4	unused_display_slot	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-195	-203.285714285714	-199.142857142857	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Oligodendrocytes	6	Oligodendrocytes	#F0E442	5	unused_display_slot	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-204.285714285714	-212.571428571429	-208.428571428571	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Vasculature_cells	7	Vasculature	#D55E00	1	ranked_candidate	4	4	MT-CO3	1	TRUE	TRUE	FALSE	1	1	6.44023572893537e-18	2.37387088968558e-14	13.6245429051885	13.6245429051885	0.908302860345898	tier_not_assessable	4	-218.571428571429	-226.857142857143	-222.714285714286	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Vasculature_cells	7	Vasculature	#D55E00	2	ranked_candidate	4	4	MT-CO2	2	TRUE	TRUE	FALSE	1	1	4.98048731380665e-10	9.17903811934565e-07	6.0372028265708	6.0372028265708	0.402480188438053	tier_not_assessable	7	-227.857142857143	-236.142857142857	-232	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Vasculature_cells	7	Vasculature	#D55E00	3	ranked_candidate	4	4	MT-ATP6	3	TRUE	TRUE	TRUE	1	1	3.25477573958788e-07	0.000399903445870697	3.39804485364047	3.39804485364047	0.226536323576031	tier_not_assessable	2	-237.142857142857	-245.428571428571	-241.285714285714	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Vasculature_cells	7	Vasculature	#D55E00	4	ranked_candidate	4	4	MT-ND4	4	TRUE	TRUE	FALSE	1	1	1.61811905796573e-06	0.00149109671191542	2.82649418747318	2.82649418747318	0.188432945831545	tier_not_assessable	4	-246.428571428571	-254.714285714286	-250.571428571429	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
phase18_two_case_circular_plot_data_v1	1	mt_driver	MT driver	Vasculature_cells	7	Vasculature	#D55E00	5	unused_display_slot	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-255.714285714286	-264	-259.857142857143	b917f70e6edcdf030f63e88ba8fbc5b22b80714599c12c80ea449e8c38bd51d8
