schema_version	figure_id	case_id	atlas_display_order	current_symbol	network_order	broad_network	context_display_order	network_label	network_color	circle_displayed	circle_display_rank	within_case_rank	evidence_tier	extended_reference_member	eligible_run_count	usable_run_count	conservative_support_count	coverage_fraction	recurrence_fraction	aggregate_acat_p	aggregate_acat_q	negative_log10_aggregate_acat_q
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	2	MT-ND4	6	Oligodendrocytes	11	Oligodendrocytes	#F0E442	TRUE	2	2	tier_not_assessable	FALSE	2	2	1	1.0	0.5	4.908675543565154e-07	0.0011368492558896898	2.9442971181403386
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	2	MT-ND4	7	Vasculature_cells	12	Vasculature	#D55E00	TRUE	4	4	tier_not_assessable	FALSE	1	1	1	1.0	1.0	1.6181190579657328e-06	0.0014910967119154228	2.8264941874731795
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	3	MT-CO3	1	Astrocytes	13	Astrocytes	#009E73	TRUE	2	2	tier1_recurrent_stable	FALSE	21	21	4	1.0	0.19047619047619047	5.4830548762413115e-12	1.5917308305728527e-08	7.798130371699121
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	3	MT-CO3	3	Inhibitory_neurons	14	Inhibitory neurons	#0072B2	TRUE	2	2	tier1_recurrent_stable	FALSE	28	28	8	1.0	0.2857142857142857	2.1270788685467672e-11	6.887580432997238e-08	7.161933316430119
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	3	MT-CO3	5	OPCs	15	OPCs	#56B4E9	TRUE	1	1	tier_not_assessable	FALSE	6	6	3	1.0	0.5	1.9131145593670764e-12	6.472066554338819e-09	8.188957025383194
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	3	MT-CO3	7	Vasculature_cells	16	Vasculature	#D55E00	TRUE	1	1	tier_not_assessable	FALSE	1	1	1	1.0	1.0	6.440235728935366e-18	2.373870889685576e-14	13.624542905188465
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	4	MT-ATP6	1	Astrocytes	17	Astrocytes	#009E73	TRUE	3	3	tier1_recurrent_stable	TRUE	21	21	2	1.0	0.09523809523809523	5.338816564270003e-08	7.749292243037909e-05	4.110737960587792
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	4	MT-ATP6	2	Excitatory_neurons	18	Excitatory neurons	#E69F00	FALSE	NA	11	tier1_recurrent_stable	TRUE	97	97	22	1.0	0.2268041237113402	1.4782855903379792e-05	0.005704166534717775	2.2438078036237243
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	4	MT-ATP6	7	Vasculature_cells	19	Vasculature	#D55E00	TRUE	3	3	tier_not_assessable	TRUE	1	1	1	1.0	1.0	3.254775739587875e-07	0.0003999034458706969	3.398044853640468
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	5	COX4I1	1	Astrocytes	20	Astrocytes	#009E73	TRUE	5	5	tier2_localized_or_unstable	FALSE	21	21	2	1.0	0.09523809523809523	3.7721949708478125e-06	0.0031287662858203425	2.5046268767929094
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	5	COX4I1	2	Excitatory_neurons	21	Excitatory neurons	#E69F00	TRUE	3	3	tier1_recurrent_stable	FALSE	97	97	19	1.0	0.1958762886597938	7.179509480568631e-12	1.5236713995136778e-08	7.8171086844173265
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	5	COX4I1	3	Inhibitory_neurons	22	Inhibitory neurons	#0072B2	FALSE	NA	11	tier1_recurrent_stable	FALSE	28	26	2	0.9285714285714286	0.07692307692307693	4.045594937929284e-05	0.020777019716936823	1.6824167480836503
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	6	COX7C	1	Astrocytes	23	Astrocytes	#009E73	TRUE	4	4	tier2_localized_or_unstable	FALSE	21	21	2	1.0	0.09523809523809523	4.4258502523388936e-07	0.0005139297313015923	3.2890962572579587
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	6	COX7C	2	Excitatory_neurons	24	Excitatory neurons	#E69F00	FALSE	NA	6	tier1_recurrent_stable	FALSE	97	97	17	1.0	0.17525773195876287	2.149985484559209e-08	2.027914086491458e-05	4.692950448033492
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	6	COX7C	3	Inhibitory_neurons	25	Inhibitory neurons	#0072B2	TRUE	5	5	tier1_recurrent_stable	FALSE	28	28	6	1.0	0.21428571428571427	4.338803513629411e-09	6.239199452599093e-06	5.20487113076992
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	7	MT-CYB	2	Excitatory_neurons	26	Excitatory neurons	#E69F00	TRUE	5	5	tier1_recurrent_stable	FALSE	97	97	29	1.0	0.29896907216494845	1.4507606558602559e-08	1.539438400949714e-05	4.812637684261824
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	7	MT-CYB	3	Inhibitory_neurons	27	Inhibitory neurons	#0072B2	TRUE	3	3	tier1_recurrent_stable	FALSE	28	28	8	1.0	0.2857142857142857	2.873816592349334e-11	6.887580432997238e-08	7.161933316430119
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	8	COX6B1	2	Excitatory_neurons	28	Excitatory neurons	#E69F00	TRUE	4	4	tier1_recurrent_stable	FALSE	97	97	23	1.0	0.23711340206185566	3.5096060985169647e-10	5.958609234062103e-07	6.224855094698579
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	9	UQCR10	2	Excitatory_neurons	29	Excitatory neurons	#E69F00	TRUE	2	2	tier1_recurrent_stable	FALSE	97	97	23	1.0	0.23711340206185566	6.50694993955256e-14	2.761874901843084e-10	9.558795996528438
phase18_sex_apoe_mt_v1_row_annotations_v1	phase18_sex_apoe_mt	mt_driver	10	MT-ND5	3	Inhibitory_neurons	30	Inhibitory neurons	#0072B2	TRUE	4	4	tier1_recurrent_stable	FALSE	28	28	8	1.0	0.2857142857142857	1.4975022127202945e-09	2.6917602273647295e-06	5.569963628166533
