schema_version	manifest_row	contrast_id	broad_cell_type	group_id	terminal_status	signature_tier	direction	tested_genes	deg_genes	core_mito_deg_genes	mtdna_deg_genes
broad_deg_filter_funnel_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	validated_complete	relaxed	AD_down	19742	391	18	0
broad_deg_filter_funnel_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	validated_complete	exploratory	AD_up	19742	88	2	0
broad_deg_filter_funnel_v1	3	Astrocytes::AD_vs_NCI__Female__e4	Astrocytes	F_e4	validated_complete	exploratory	AD_down	19742	628	33	0
broad_deg_filter_funnel_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	validated_complete	strict	AD_up	19742	2	0	0
broad_deg_filter_funnel_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	validated_complete	strict	AD_down	19742	3	1	0
broad_deg_filter_funnel_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	validated_complete	relaxed	AD_up	19742	2	0	0
broad_deg_filter_funnel_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	validated_complete	relaxed	AD_down	19742	3	1	0
broad_deg_filter_funnel_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	validated_complete	exploratory	AD_up	19742	3	0	0
broad_deg_filter_funnel_v1	4	Astrocytes::AD_vs_NCI__Male__e2	Astrocytes	M_e2	validated_complete	exploratory	AD_down	19742	14	1	0
broad_deg_filter_funnel_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	validated_complete	strict	AD_up	19742	111	1	0
broad_deg_filter_funnel_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	validated_complete	strict	AD_down	19742	28	3	0
broad_deg_filter_funnel_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	validated_complete	relaxed	AD_up	19742	134	1	0
broad_deg_filter_funnel_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	validated_complete	relaxed	AD_down	19742	76	5	0
broad_deg_filter_funnel_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	validated_complete	exploratory	AD_up	19742	196	2	0
broad_deg_filter_funnel_v1	5	Astrocytes::AD_vs_NCI__Male__e33	Astrocytes	M_e33	validated_complete	exploratory	AD_down	19742	232	10	0
broad_deg_filter_funnel_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	validated_complete	strict	AD_up	19742	1	0	0
broad_deg_filter_funnel_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	validated_complete	strict	AD_down	19742	1	0	0
broad_deg_filter_funnel_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	validated_complete	relaxed	AD_up	19742	2	0	0
broad_deg_filter_funnel_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	validated_complete	relaxed	AD_down	19742	1	0	0
broad_deg_filter_funnel_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	validated_complete	exploratory	AD_up	19742	2	0	0
broad_deg_filter_funnel_v1	6	Astrocytes::AD_vs_NCI__Male__e4	Astrocytes	M_e4	validated_complete	exploratory	AD_down	19742	2	0	0
broad_deg_filter_funnel_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	validated_complete	strict	AD_up	26509	3	0	0
broad_deg_filter_funnel_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	validated_complete	strict	AD_down	26509	83	0	0
broad_deg_filter_funnel_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	validated_complete	relaxed	AD_up	26509	5	0	0
broad_deg_filter_funnel_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	validated_complete	relaxed	AD_down	26509	110	1	0
broad_deg_filter_funnel_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	validated_complete	exploratory	AD_up	26509	11	0	0
broad_deg_filter_funnel_v1	7	Excitatory_neurons::AD_vs_NCI__Female__e2	Excitatory_neurons	F_e2	validated_complete	exploratory	AD_down	26509	131	1	0
broad_deg_filter_funnel_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	validated_complete	strict	AD_up	26509	42	2	2
broad_deg_filter_funnel_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	validated_complete	strict	AD_down	26509	10	0	0
broad_deg_filter_funnel_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	validated_complete	relaxed	AD_up	26509	72	2	2
broad_deg_filter_funnel_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	validated_complete	relaxed	AD_down	26509	17	0	0
broad_deg_filter_funnel_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	validated_complete	exploratory	AD_up	26509	186	7	3
broad_deg_filter_funnel_v1	8	Excitatory_neurons::AD_vs_NCI__Female__e33	Excitatory_neurons	F_e33	validated_complete	exploratory	AD_down	26509	42	0	0
broad_deg_filter_funnel_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	validated_complete	strict	AD_up	26509	9	0	0
broad_deg_filter_funnel_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	validated_complete	strict	AD_down	26509	61	3	0
broad_deg_filter_funnel_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	validated_complete	relaxed	AD_up	26509	11	0	0
broad_deg_filter_funnel_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	validated_complete	relaxed	AD_down	26509	79	3	0
broad_deg_filter_funnel_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	validated_complete	exploratory	AD_up	26509	19	0	0
broad_deg_filter_funnel_v1	9	Excitatory_neurons::AD_vs_NCI__Female__e4	Excitatory_neurons	F_e4	validated_complete	exploratory	AD_down	26509	113	3	0
broad_deg_filter_funnel_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	validated_complete	strict	AD_up	26509	2	0	0
broad_deg_filter_funnel_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	validated_complete	strict	AD_down	26509	126	2	0
broad_deg_filter_funnel_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	validated_complete	relaxed	AD_up	26509	7	0	0
broad_deg_filter_funnel_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	validated_complete	relaxed	AD_down	26509	194	3	0
broad_deg_filter_funnel_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	validated_complete	exploratory	AD_up	26509	27	2	0
broad_deg_filter_funnel_v1	10	Excitatory_neurons::AD_vs_NCI__Male__e2	Excitatory_neurons	M_e2	validated_complete	exploratory	AD_down	26509	286	4	0
broad_deg_filter_funnel_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	validated_complete	strict	AD_up	26509	474	7	0
broad_deg_filter_funnel_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	validated_complete	strict	AD_down	26509	13	0	0
broad_deg_filter_funnel_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	validated_complete	relaxed	AD_up	26509	605	12	0
broad_deg_filter_funnel_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	validated_complete	relaxed	AD_down	26509	33	1	0
broad_deg_filter_funnel_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	validated_complete	exploratory	AD_up	26509	794	17	0
broad_deg_filter_funnel_v1	11	Excitatory_neurons::AD_vs_NCI__Male__e33	Excitatory_neurons	M_e33	validated_complete	exploratory	AD_down	26509	78	2	0
broad_deg_filter_funnel_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	validated_complete	strict	AD_up	26509	1	0	0
broad_deg_filter_funnel_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	validated_complete	strict	AD_down	26509	2	0	0
broad_deg_filter_funnel_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	validated_complete	relaxed	AD_up	26509	1	0	0
broad_deg_filter_funnel_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	validated_complete	relaxed	AD_down	26509	3	0	0
broad_deg_filter_funnel_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	validated_complete	exploratory	AD_up	26509	1	0	0
broad_deg_filter_funnel_v1	12	Excitatory_neurons::AD_vs_NCI__Male__e4	Excitatory_neurons	M_e4	validated_complete	exploratory	AD_down	26509	4	0	0
broad_deg_filter_funnel_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	validated_complete	strict	AD_up	23136	1	0	0
broad_deg_filter_funnel_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	validated_complete	strict	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	validated_complete	relaxed	AD_up	23136	1	0	0
broad_deg_filter_funnel_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	validated_complete	relaxed	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	validated_complete	exploratory	AD_up	23136	1	0	0
broad_deg_filter_funnel_v1	13	Inhibitory_neurons::AD_vs_NCI__Female__e2	Inhibitory_neurons	F_e2	validated_complete	exploratory	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	validated_complete	strict	AD_up	23136	10	0	0
broad_deg_filter_funnel_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	validated_complete	strict	AD_down	23136	3	0	0
broad_deg_filter_funnel_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	validated_complete	relaxed	AD_up	23136	12	0	0
broad_deg_filter_funnel_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	validated_complete	relaxed	AD_down	23136	3	0	0
broad_deg_filter_funnel_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	validated_complete	exploratory	AD_up	23136	21	1	1
broad_deg_filter_funnel_v1	14	Inhibitory_neurons::AD_vs_NCI__Female__e33	Inhibitory_neurons	F_e33	validated_complete	exploratory	AD_down	23136	5	0	0
broad_deg_filter_funnel_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	validated_complete	strict	AD_up	23136	7	0	0
broad_deg_filter_funnel_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	validated_complete	strict	AD_down	23136	28	3	0
broad_deg_filter_funnel_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	validated_complete	relaxed	AD_up	23136	10	0	0
broad_deg_filter_funnel_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	validated_complete	relaxed	AD_down	23136	37	3	0
broad_deg_filter_funnel_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	validated_complete	exploratory	AD_up	23136	12	0	0
broad_deg_filter_funnel_v1	15	Inhibitory_neurons::AD_vs_NCI__Female__e4	Inhibitory_neurons	F_e4	validated_complete	exploratory	AD_down	23136	64	3	0
broad_deg_filter_funnel_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	validated_complete	strict	AD_up	23136	1	0	0
broad_deg_filter_funnel_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	validated_complete	strict	AD_down	23136	40	0	0
broad_deg_filter_funnel_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	validated_complete	relaxed	AD_up	23136	2	0	0
broad_deg_filter_funnel_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	validated_complete	relaxed	AD_down	23136	52	0	0
broad_deg_filter_funnel_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	validated_complete	exploratory	AD_up	23136	10	0	0
broad_deg_filter_funnel_v1	16	Inhibitory_neurons::AD_vs_NCI__Male__e2	Inhibitory_neurons	M_e2	validated_complete	exploratory	AD_down	23136	92	1	0
broad_deg_filter_funnel_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	validated_complete	strict	AD_up	23136	0	0	0
broad_deg_filter_funnel_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	validated_complete	strict	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	validated_complete	relaxed	AD_up	23136	0	0	0
broad_deg_filter_funnel_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	validated_complete	relaxed	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	validated_complete	exploratory	AD_up	23136	1	0	0
broad_deg_filter_funnel_v1	17	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	validated_complete	exploratory	AD_down	23136	1	0	0
broad_deg_filter_funnel_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	validated_complete	strict	AD_up	23136	0	0	0
broad_deg_filter_funnel_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	validated_complete	strict	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	validated_complete	relaxed	AD_up	23136	0	0	0
broad_deg_filter_funnel_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	validated_complete	relaxed	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	validated_complete	exploratory	AD_up	23136	0	0	0
broad_deg_filter_funnel_v1	18	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	validated_complete	exploratory	AD_down	23136	0	0	0
broad_deg_filter_funnel_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	validated_complete	strict	AD_up	15728	1	0	0
broad_deg_filter_funnel_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	validated_complete	strict	AD_down	15728	0	0	0
broad_deg_filter_funnel_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	validated_complete	relaxed	AD_up	15728	1	0	0
broad_deg_filter_funnel_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	validated_complete	relaxed	AD_down	15728	0	0	0
broad_deg_filter_funnel_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	validated_complete	exploratory	AD_up	15728	1	0	0
broad_deg_filter_funnel_v1	19	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	validated_complete	exploratory	AD_down	15728	0	0	0
broad_deg_filter_funnel_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	validated_complete	strict	AD_up	15728	5	0	0
broad_deg_filter_funnel_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	validated_complete	strict	AD_down	15728	3	0	0
broad_deg_filter_funnel_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	validated_complete	relaxed	AD_up	15728	10	0	0
broad_deg_filter_funnel_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	validated_complete	relaxed	AD_down	15728	4	0	0
broad_deg_filter_funnel_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	validated_complete	exploratory	AD_up	15728	16	1	1
broad_deg_filter_funnel_v1	20	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	validated_complete	exploratory	AD_down	15728	7	0	0
broad_deg_filter_funnel_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	validated_complete	strict	AD_up	15728	0	0	0
broad_deg_filter_funnel_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	validated_complete	strict	AD_down	15728	2	0	0
broad_deg_filter_funnel_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	validated_complete	relaxed	AD_up	15728	0	0	0
broad_deg_filter_funnel_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	validated_complete	relaxed	AD_down	15728	2	0	0
broad_deg_filter_funnel_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	validated_complete	exploratory	AD_up	15728	3	0	0
broad_deg_filter_funnel_v1	21	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	validated_complete	exploratory	AD_down	15728	5	0	0
broad_deg_filter_funnel_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	validated_complete	strict	AD_up	15728	1	0	0
broad_deg_filter_funnel_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	validated_complete	strict	AD_down	15728	3	0	0
broad_deg_filter_funnel_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	validated_complete	relaxed	AD_up	15728	2	0	0
broad_deg_filter_funnel_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	validated_complete	relaxed	AD_down	15728	4	0	0
broad_deg_filter_funnel_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	validated_complete	exploratory	AD_up	15728	20	1	0
broad_deg_filter_funnel_v1	22	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	validated_complete	exploratory	AD_down	15728	16	1	0
broad_deg_filter_funnel_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	validated_complete	strict	AD_up	15728	1	0	0
broad_deg_filter_funnel_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	validated_complete	strict	AD_down	15728	1	0	0
broad_deg_filter_funnel_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	validated_complete	relaxed	AD_up	15728	2	0	0
broad_deg_filter_funnel_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	validated_complete	relaxed	AD_down	15728	1	0	0
broad_deg_filter_funnel_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	validated_complete	exploratory	AD_up	15728	3	0	0
broad_deg_filter_funnel_v1	23	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	validated_complete	exploratory	AD_down	15728	3	0	0
broad_deg_filter_funnel_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	validated_complete	strict	AD_up	15728	0	0	0
broad_deg_filter_funnel_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	validated_complete	strict	AD_down	15728	5	0	0
broad_deg_filter_funnel_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	validated_complete	relaxed	AD_up	15728	0	0	0
broad_deg_filter_funnel_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	validated_complete	relaxed	AD_down	15728	6	0	0
broad_deg_filter_funnel_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	validated_complete	exploratory	AD_up	15728	0	0	0
broad_deg_filter_funnel_v1	24	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	validated_complete	exploratory	AD_down	15728	20	0	0
broad_deg_filter_funnel_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	validated_complete	strict	AD_up	18378	4	0	0
broad_deg_filter_funnel_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	validated_complete	strict	AD_down	18378	0	0	0
broad_deg_filter_funnel_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	validated_complete	relaxed	AD_up	18378	5	0	0
broad_deg_filter_funnel_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	validated_complete	relaxed	AD_down	18378	0	0	0
broad_deg_filter_funnel_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	validated_complete	exploratory	AD_up	18378	5	0	0
broad_deg_filter_funnel_v1	25	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	validated_complete	exploratory	AD_down	18378	0	0	0
broad_deg_filter_funnel_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	validated_complete	strict	AD_up	18378	0	0	0
broad_deg_filter_funnel_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	validated_complete	strict	AD_down	18378	1	0	0
broad_deg_filter_funnel_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	validated_complete	relaxed	AD_up	18378	0	0	0
broad_deg_filter_funnel_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	validated_complete	relaxed	AD_down	18378	2	0	0
broad_deg_filter_funnel_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	validated_complete	exploratory	AD_up	18378	0	0	0
broad_deg_filter_funnel_v1	26	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	validated_complete	exploratory	AD_down	18378	2	0	0
broad_deg_filter_funnel_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	validated_complete	strict	AD_up	18378	3	0	0
broad_deg_filter_funnel_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	validated_complete	strict	AD_down	18378	186	5	0
broad_deg_filter_funnel_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	validated_complete	relaxed	AD_up	18378	11	1	0
broad_deg_filter_funnel_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	validated_complete	relaxed	AD_down	18378	236	6	0
broad_deg_filter_funnel_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	validated_complete	exploratory	AD_up	18378	52	3	0
broad_deg_filter_funnel_v1	27	OPCs::AD_vs_NCI__Female__e4	OPCs	F_e4	validated_complete	exploratory	AD_down	18378	426	21	0
broad_deg_filter_funnel_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	validated_complete	strict	AD_up	18378	0	0	0
broad_deg_filter_funnel_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	validated_complete	strict	AD_down	18378	2	0	0
broad_deg_filter_funnel_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	validated_complete	relaxed	AD_up	18378	0	0	0
broad_deg_filter_funnel_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	validated_complete	relaxed	AD_down	18378	2	0	0
broad_deg_filter_funnel_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	validated_complete	exploratory	AD_up	18378	0	0	0
broad_deg_filter_funnel_v1	28	OPCs::AD_vs_NCI__Male__e2	OPCs	M_e2	validated_complete	exploratory	AD_down	18378	2	0	0
broad_deg_filter_funnel_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	validated_complete	strict	AD_up	18378	1	0	0
broad_deg_filter_funnel_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	validated_complete	strict	AD_down	18378	0	0	0
broad_deg_filter_funnel_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	validated_complete	relaxed	AD_up	18378	2	0	0
broad_deg_filter_funnel_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	validated_complete	relaxed	AD_down	18378	0	0	0
broad_deg_filter_funnel_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	validated_complete	exploratory	AD_up	18378	6	0	0
broad_deg_filter_funnel_v1	29	OPCs::AD_vs_NCI__Male__e33	OPCs	M_e33	validated_complete	exploratory	AD_down	18378	0	0	0
broad_deg_filter_funnel_v1	30	OPCs::AD_vs_NCI__Male__e4	OPCs	M_e4	validated_complete	strict	AD_up	18378	0	0	0
broad_deg_filter_funnel_v1	30	OPCs::AD_vs_NCI__Male__e4	OPCs	M_e4	validated_complete	strict	AD_down	18378	0	0	0
