schema_version	scope	signature_group	broad_network	stage_order	stage_id	input_count	retained_count	removed_at_stage
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	OPCs	3	relaxed_run_support	6328	2	6326
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	OPCs	4	category_q_at_most_0_10	2	0	2
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Oligodendrocytes	1	input_non_mt_units	5424	5424	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Oligodendrocytes	2	coverage_at_least_0_50	5424	4747	677
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Oligodendrocytes	3	relaxed_run_support	4747	0	4747
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Oligodendrocytes	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Vasculature_cells	1	input_non_mt_units	4385	4385	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Vasculature_cells	2	coverage_at_least_0_50	4385	3612	773
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Vasculature_cells	3	relaxed_run_support	3612	0	3612
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e33	Vasculature_cells	4	category_q_at_most_0_10	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Astrocytes	1	input_non_mt_units	6931	6931	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Astrocytes	2	coverage_at_least_0_50	6931	5636	1295
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Astrocytes	3	relaxed_run_support	5636	9	5627
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Astrocytes	4	category_q_at_most_0_10	9	0	9
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Excitatory_neurons	1	input_non_mt_units	9101	9101	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Excitatory_neurons	2	coverage_at_least_0_50	9101	8667	434
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Excitatory_neurons	3	relaxed_run_support	8667	40	8627
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Excitatory_neurons	4	category_q_at_most_0_10	40	0	40
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Inhibitory_neurons	1	input_non_mt_units	8330	8330	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Inhibitory_neurons	2	coverage_at_least_0_50	8330	7146	1184
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Inhibitory_neurons	3	relaxed_run_support	7146	16	7130
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Inhibitory_neurons	4	category_q_at_most_0_10	16	1	15
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Microglia	1	input_non_mt_units	5157	5157	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Microglia	2	coverage_at_least_0_50	5157	4308	849
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Microglia	3	relaxed_run_support	4308	5	4303
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Microglia	4	category_q_at_most_0_10	5	1	4
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	OPCs	1	input_non_mt_units	6982	6982	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	OPCs	2	coverage_at_least_0_50	6982	6481	501
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	OPCs	3	relaxed_run_support	6481	7	6474
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	OPCs	4	category_q_at_most_0_10	7	0	7
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Oligodendrocytes	1	input_non_mt_units	5424	5424	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Oligodendrocytes	2	coverage_at_least_0_50	5424	4836	588
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Oligodendrocytes	3	relaxed_run_support	4836	2	4834
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Oligodendrocytes	4	category_q_at_most_0_10	2	0	2
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Vasculature_cells	1	input_non_mt_units	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Vasculature_cells	2	coverage_at_least_0_50	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Vasculature_cells	3	relaxed_run_support	0	0	0
phase20_sex_apoe_non_mt_kda_v2_filter_funnel_v1	category	M_e4	Vasculature_cells	4	category_q_at_most_0_10	0	0	0
