source	target	weight	celltype	type
ABCA6	AC104041.1	0.708	T_cells	directed
ABCA7	IFT140	0.517	Inhibitory_neurons	directed
ABCA7	SLC35E2A	0.818	Astrocytes	directed
ABCA8	SLC9A9	0.862	Vasculature_cells	directed
ABCA8	WNT5B	0.863	Vasculature_cells	directed
ABCA9	ABCA10	0.605	Excitatory_neurons	directed
ABCA9	ABCA6	0.737	Inhibitory_neurons	directed
ABCA9	CDKL1	0.927	Vasculature_cells	directed
ABCA9	FMO2	0.902	Vasculature_cells	directed
ABCA9	IQCH-AS1	0.918	Vasculature_cells	directed
ABCA9	OAF	0.932	Vasculature_cells	directed
ABCA9	SPATA6	0.899	Vasculature_cells	directed
ABCA9	TGFBR3	0.747	Vasculature_cells	directed
ABCA9	ZNF420	0.944	Vasculature_cells	directed
ABCA9-AS1	AC009716.1	0.599	T_cells	directed
ABCA9-AS1	AC011481.1	0.628	T_cells	directed
ABCA9-AS1	AC096642.1	0.709	T_cells	directed
ABCA9-AS1	C16orf87	0.942	T_cells	directed
ABCA9-AS1	CRELD1	0.94	T_cells	directed
ABCA9-AS1	KCNMA1-AS1	0.326	T_cells	directed
ABCA9-AS1	MYADM	0.95	T_cells	directed
ABCA9-AS1	POU3F1	0.678	T_cells	directed
ABCA9-AS1	RPP30	0.508	T_cells	directed
ABCA9-AS1	SLC1A5	0.943	T_cells	directed
ABCA9-AS1	TBC1D19	0.93	T_cells	directed
ABCA9-AS1	TRAF2	0.932	T_cells	directed
ABCA9-AS1	WDFY3-AS1	0.324	T_cells	directed
ABCB1	AC104365.1	0.340426	CAMs	directed
ABCB1	ADGRF5	0.874	Vasculature_cells	directed
ABCB1	AL109811.1	0.553191	CAMs	directed
ABCB1	GAD1	0.931104	CAMs	directed
ABCB1	HEG1	0.671	Vasculature_cells	directed
ABCB1	IL1R1	0.378926	CAMs	directed
ABCB1	LAMA3	0.936	Vasculature_cells	directed
ABCB1	LCORL	0.94	Vasculature_cells	directed
ABCB1	MFHAS1	0.941	Vasculature_cells	directed
ABCB1	PALMD	0.668	Vasculature_cells	directed
ABCB1	SLC7A1	0.434	Vasculature_cells	directed
ABCB1	SLC7A5	0.233	Vasculature_cells	directed
ABCB1	SPOCK2	0.736	Vasculature_cells	directed
ABCB1	SPRYD4	0.918946	CAMs	directed
ABCB1	ST8SIA6	0.637	Vasculature_cells	directed
ABCB1	SYNE1	0.621	Vasculature_cells	directed
ABCB1	TBC1D4	0.521	Vasculature_cells	directed
ABCB1	TMEM254	0.925025	CAMs	directed
ABCB1	VSIG10L	0.583587	CAMs	directed
ABCB10	ECHDC1	0.808	Inhibitory_neurons	directed
ABCB10	EEFSEC	0.761	Excitatory_neurons	directed
ABCB11	AC004554.2	0.328267	CAMs	directed
ABCB11	AC007344.1	0.334347	CAMs	directed
ABCB11	AC007370.1	0.327254	CAMs	directed
ABCB11	AC012213.1	0.333333	CAMs	directed
ABCB11	AC026333.4	0.333333	CAMs	directed
ABCB11	AC090809.1	0.288754	CAMs	directed
ABCB11	AC091167.7	0.330294	CAMs	directed
ABCB11	AC103409.1	0.33232	CAMs	directed
ABCB11	AC121761.1	0.33232	CAMs	directed
ABCB11	AL118558.4	0.340426	CAMs	directed
ABCB11	AL121992.1	0.33232	CAMs	directed
ABCB11	ANKRD30A	0.330294	CAMs	directed
ABCB11	BCO1	0.336373	CAMs	directed
ABCB11	DNAI2	0.333333	CAMs	directed
ABCB11	FREM3	0.331307	CAMs	directed
ABCB11	HMCN1	0.326241	CAMs	directed
ABCB11	LINC02428	0.336373	CAMs	directed
ABCB11	NXPH3	0.336373	CAMs	directed
ABCB11	PYCARD-AS1	0.331307	CAMs	directed
ABCB11	SYNE4	0.329281	CAMs	directed
ABCB5	LRRIQ1	0.805471	CAMs	directed
ABCB8	CGREF1	0.903	Excitatory_neurons	directed
ABCB8	CRCP	0.945	Inhibitory_neurons	directed
ABCB8	DLST	0.947	Inhibitory_neurons	directed
ABCB8	DNAJB12	0.946	Inhibitory_neurons	directed
ABCB8	FADS1	0.776	Inhibitory_neurons	directed
ABCB8	FKBP14	0.905	Excitatory_neurons;Inhibitory_neurons	directed
ABCB8	L3MBTL2	0.886	Oligodendrocytes	directed
ABCB8	LAP3	0.96	Inhibitory_neurons	directed
ABCB8	MFSD4B	0.341	Excitatory_neurons	directed
ABCB8	MZF1	0.752	Excitatory_neurons	directed
ABCB8	PHYKPL	0.587	Inhibitory_neurons	directed
ABCB8	PPIG	0.909	Excitatory_neurons	directed
ABCB8	PRR3	0.903	Excitatory_neurons	directed
ABCB8	TBC1D9B	0.5	Inhibitory_neurons	directed
ABCB8	TMEM242	0.911	Oligodendrocytes	directed
ABCB8	UBAC1	0.951	Inhibitory_neurons	directed
ABCB8	UQCC2	0.941	Inhibitory_neurons	directed
ABCB8	VPS9D1	0.723	Excitatory_neurons	directed
ABCB8	WDR73	0.87	Oligodendrocytes	directed
ABCB8	ZNF454	0.956	Inhibitory_neurons	directed
ABCB9	ABCA3	0.734	Inhibitory_neurons	directed
ABCB9	BEAN1	0.896	Excitatory_neurons	directed
ABCB9	CEMIP	0.901722	CAMs	directed
ABCB9	CRTAC1	0.956	Inhibitory_neurons	directed
ABCB9	EML2	0.968	Inhibitory_neurons	directed
ABCB9	GRIK5	0.954	Inhibitory_neurons	directed
ABCB9	HPF1	0.961	Inhibitory_neurons	directed
ABCB9	KCND3	0.742655	CAMs	directed
ABCB9	MIAT	0.969	Inhibitory_neurons	directed
ABCB9	MINK1	0.966	Inhibitory_neurons	directed
ABCB9	MYH14	0.967	Inhibitory_neurons	directed
ABCB9	POLR2F	0.958	Inhibitory_neurons	directed
ABCB9	PPARA	0.963	Inhibitory_neurons	directed
ABCB9	RAB40B	0.966	Inhibitory_neurons	directed
ABCB9	RBKS	0.838906	CAMs	directed
ABCB9	RTN4RL1	0.366	Excitatory_neurons	directed
ABCB9	SH2B3	0.445	Excitatory_neurons	directed
ABCB9	SLC39A14	0.975	Inhibitory_neurons	directed
ABCB9	TANGO2	0.969	Inhibitory_neurons	directed
ABCB9	THUMPD1	0.957	Inhibitory_neurons	directed
ABCB9	TMEM38A	0.968	Inhibitory_neurons	directed
ABCB9	UBE2O	0.814	Excitatory_neurons;Inhibitory_neurons	directed
ABCB9	ZNF101	0.894	Excitatory_neurons	directed
ABCB9	ZNF487	0.954	Inhibitory_neurons	directed
ABCB9	ZNF500	0.924	Excitatory_neurons	directed
ABCC1	PDZD2	0.582	Inhibitory_neurons	directed
ABCC1	SGK3	0.854	Inhibitory_neurons	directed
ABCC1	TACC2	0.781	Astrocytes	directed
ABCC12	KIAA1217	0.806	T_cells	directed
ABCC3	LARP7	0.803	T_cells	directed
ABCC4	AC008014.1	0.938	Microglia	directed
ABCC4	COL18A1	0.947	Microglia	directed
ABCC4	DAGLB	0.934	Microglia	directed
ABCC4	KCNIP1	0.947	Microglia	directed
ABCC4	OXR1	0.756	Microglia	directed
ABCC4	PTS	0.951	Microglia	directed
ABCC4	SPNS2	0.938	Vasculature_cells	directed
ABCC4	ZEB1	0.928	Microglia	directed
ABCC5	AC016723.1	0.929	Excitatory_neurons	directed
ABCC5	PEX6	0.786	OPCs	directed
ABCC5	POMT2	0.796	Inhibitory_neurons	directed
ABCC5	RBM5	0.752	Excitatory_neurons	directed
ABCC5	TJAP1	0.893	Astrocytes	directed
ABCC6	AC107068.1	0.885	T_cells	directed
ABCC6	FAM160A2	0.847	T_cells	directed
ABCC8	NOL3	0.568	Astrocytes	directed
ABCC8	SLC2A1-AS1	0.85	T_cells	directed
ABCC8	SPTB	0.595	T_cells	directed
ABCC9	BMPER	0.82	Astrocytes	directed
ABCC9	GPR137	0.829787	CAMs	directed
ABCC9	LPL	0.869	Vasculature_cells	directed
ABCC9	PCDH18	0.77	Vasculature_cells	directed
ABCD2	PTPN4	0.234	Inhibitory_neurons	directed
ABCD2	ZFAND6	0.612	Excitatory_neurons	directed
ABCD4	ACTL6B	0.758	Excitatory_neurons	directed
ABCD4	CTNNA1	0.91	Inhibitory_neurons	directed
ABCD4	GLS2	0.801	Excitatory_neurons	directed
ABCD4	HAUS5	0.87	Excitatory_neurons	directed
ABCD4	LYPD5	0.956	Inhibitory_neurons	directed
ABCD4	MAST1	0.398	Excitatory_neurons	directed
ABCD4	MRPS5	0.859	Excitatory_neurons	directed
ABCD4	NAPEPLD	0.912	Inhibitory_neurons	directed
ABCD4	SLC26A11	0.912	Inhibitory_neurons	directed
ABCD4	ZNF83	0.924	Inhibitory_neurons	directed
ABCE1	AC002310.4	0.964	Excitatory_neurons	directed
ABCE1	ATF2	0.965	Excitatory_neurons	directed
ABCE1	EXOC5	0.834	Excitatory_neurons	directed
ABCF1	COA7	0.375	Excitatory_neurons	directed
ABCF2	BMP8B	0.585613	CAMs	directed
ABCF3	IKBKG	0.683	Excitatory_neurons	directed
ABCG2	AFAP1L2	0.755	Vasculature_cells	directed
ABCG2	ARHGAP18	0.773	Vasculature_cells	directed
ABCG2	DENND2C	0.934	Vasculature_cells	directed
ABCG2	EML1	0.775	Vasculature_cells	directed
ABCG2	LMO2	0.765	Vasculature_cells	directed
ABCG2	MIR181A1HG	0.95	Vasculature_cells	directed
ABCG4	HPRT1	0.748734	CAMs	directed
ABCG8	AC073878.1	0.771023	CAMs	directed
ABHD1	RNF128	0.826748	CAMs	directed
ABHD10	TXNRD2	0.541	T_cells	directed
ABHD12	MCUB	0.868	Microglia	directed
ABHD12	PTPDC1	0.942	Microglia	directed
ABHD12B	AL139384.1	0.841945	CAMs	directed
ABHD13	ABHD11	0.903	Excitatory_neurons	directed
ABHD13	AC138123.1	0.903	Excitatory_neurons	directed
ABHD13	ANKRD46	0.912	Excitatory_neurons	directed
ABHD13	PPP4R2	0.763	Excitatory_neurons	directed
ABHD13	TDP2	0.669	Excitatory_neurons	directed
ABHD13	ZNF415	0.8535	Excitatory_neurons;Inhibitory_neurons	directed
ABHD13	ZNF706	0.505	Excitatory_neurons	directed
ABHD14A	AC002470.1	0.592705	CAMs	directed
ABHD14A	AC091059.1	0.806484	CAMs	directed
ABHD14A	MCM8-AS1	0.317123	CAMs	directed
ABHD14A-ACY1	AC005046.1	0.471125	CAMs	directed
ABHD14A-ACY1	AC009318.3	0.357649	CAMs	directed
ABHD14A-ACY1	AC011825.4	0.825735	CAMs	directed
ABHD14A-ACY1	AC096746.1	0.967579	CAMs	directed
ABHD14A-ACY1	AC099568.2	0.416413	CAMs	directed
ABHD14A-ACY1	AC112719.2	0.965552	CAMs	directed
ABHD14A-ACY1	AC137810.1	0.967579	CAMs	directed
ABHD14A-ACY1	AL136088.1	0.965552	CAMs	directed
ABHD14A-ACY1	AOX1	0.812563	CAMs	directed
ABHD14A-ACY1	ATP2A1	0.981763	CAMs	directed
ABHD14A-ACY1	C9orf152	0.969605	CAMs	directed
ABHD14A-ACY1	ETV7	0.962513	CAMs	directed
ABHD14A-ACY1	GAS6-DT	0.971631	CAMs	directed
ABHD14A-ACY1	ISPD-AS1	0.93921	CAMs	directed
ABHD14A-ACY1	LINC00636	0.896657	CAMs	directed
ABHD14A-ACY1	LMX1B	0.783181	CAMs	directed
ABHD14A-ACY1	MYO15A	0.971631	CAMs	directed
ABHD14A-ACY1	NHLRC1	0.941236	CAMs	directed
ABHD14A-ACY1	PIP5KL1	0.964539	CAMs	directed
ABHD14A-ACY1	PRTG	0.963526	CAMs	directed
ABHD14A-ACY1	RAB6C	0.937183	CAMs	directed
ABHD14A-ACY1	RTKN2	0.29382	CAMs	directed
ABHD14A-ACY1	SLC16A8	0.969605	CAMs	directed
ABHD14A-ACY1	SPATA21	0.964539	CAMs	directed
ABHD14B	CDH1	0.56535	CAMs	directed
ABHD14B	SUSD4	0.849037	CAMs	directed
ABHD15	TMEM138	0.77	T_cells	directed
ABHD15-AS1	AC023389.1	0.916	Oligodendrocytes	directed
ABHD15-AS1	AC026316.5	0.857	Inhibitory_neurons	directed
ABHD15-AS1	IL3RA	0.8885	Inhibitory_neurons;Oligodendrocytes	directed
ABHD15-AS1	KIAA0556	0.925	Oligodendrocytes	directed
ABHD15-AS1	KRI1	0.905	Inhibitory_neurons	directed
ABHD15-AS1	MPP2	0.795	Excitatory_neurons	directed
ABHD15-AS1	RNF213	0.905	Inhibitory_neurons	directed
ABHD15-AS1	SLC7A14	0.877	Oligodendrocytes	directed
ABHD16A	KIF23	0.763931	CAMs	directed
ABHD16A	MRPL38	0.285714	CAMs	directed
ABHD17A	BLCAP	0.83	OPCs	directed
ABHD17A	BOD1L1	0.97	Excitatory_neurons	directed
ABHD17A	C12orf49	0.936	Oligodendrocytes	directed
ABHD17A	CARNS1	0.449	Oligodendrocytes	directed
ABHD17A	GNAI2	0.616	Oligodendrocytes	directed
ABHD17A	LZTS2	0.934	Oligodendrocytes	directed
ABHD17A	MATK	0.526	T_cells	directed
ABHD17A	METRN	0.915	Oligodendrocytes	directed
ABHD17A	SCAMP4	0.639	Oligodendrocytes	directed
ABHD17A	TBC1D10B	0.929	Oligodendrocytes	directed
ABHD17A	USP5	0.914	Oligodendrocytes	directed
ABHD17B	LGALS8	0.168	Vasculature_cells	directed
ABHD17C	CSRNP2	0.761	Excitatory_neurons	directed
ABHD17C	KCNIP1	0.847011	CAMs	directed
ABHD18	DHX57	0.614	Oligodendrocytes	directed
ABHD18	EXOSC10	0.882	Excitatory_neurons	directed
ABHD18	GLE1	0.527	OPCs	directed
ABHD18	MYO3B	0.848	Inhibitory_neurons	directed
ABHD18	RABEPK	0.792	Oligodendrocytes	directed
ABHD18	SETDB1	0.933	Excitatory_neurons	directed
ABHD18	TMEM87A	0.885	Excitatory_neurons	directed
ABHD18	VMP1	0.867	Inhibitory_neurons	directed
ABHD2	AAGAB	0.94	OPCs	directed
ABHD2	AK2	0.938	OPCs	directed
ABHD2	BCAT1	0.83	Oligodendrocytes	directed
ABHD2	CCND2	0.933	OPCs	directed
ABHD2	CTTNBP2NL	0.95	OPCs	directed
ABHD2	FAR2	0.852	Oligodendrocytes	directed
ABHD2	GBA2	0.945	OPCs	directed
ABHD2	IL1RAP	0.552	OPCs	directed
ABHD2	LZTR1	0.929	OPCs	directed
ABHD2	MCTP1	0.609	Excitatory_neurons	directed
ABHD2	RIPK1	0.944	OPCs	directed
ABHD2	SLC6A1	0.394	Astrocytes	directed
ABHD2	SRGAP2	0.394	Oligodendrocytes	directed
ABHD2	ST3GAL6	0.221	Oligodendrocytes	directed
ABHD2	TTL	0.778	OPCs	directed
ABHD2	YIPF6	0.946	OPCs	directed
ABHD3	C11orf80	0.93	Microglia	directed
ABHD3	CASP1	0.943	Microglia	directed
ABHD3	CLIC2	0.926	Microglia	directed
ABHD3	EDA	0.747	Oligodendrocytes	directed
ABHD3	ELOVL5	0.765	Excitatory_neurons	directed
ABHD3	FGFR1	0.378	Inhibitory_neurons	directed
ABHD3	KTN1	0.719	Microglia	directed
ABHD3	LINC01572	0.608	Oligodendrocytes	directed
ABHD3	NDUFV2-AS1	0.858	Oligodendrocytes	directed
ABHD3	PLOD3	0.834	Inhibitory_neurons	directed
ABHD3	PRKRA	0.907	Microglia	directed
ABHD3	SORBS1	0.507	Oligodendrocytes	directed
ABHD3	SPATS2L	0.908	Microglia	directed
ABHD3	TMEM161A	0.85	Inhibitory_neurons	directed
ABHD4	LGALSL	0.457953	CAMs	directed
ABHD4	POLR3GL	0.87538	CAMs	directed
ABHD4	SPATA22	0.847011	CAMs	directed
ABHD6	SGF29	0.84	T_cells	directed
ABI1	DNER	0.777	Inhibitory_neurons	directed
ABI1	PRRC1	0.812	OPCs	directed
ABI1	ZMYM4	0.749	Astrocytes	directed
ABI2	ADCY1	0.575	Excitatory_neurons	directed
ABL1	AC016727.1	0.893	Excitatory_neurons	directed
ABL1	ADIPOR2	0.841	Excitatory_neurons	directed
ABL1	DTX2	0.972	Excitatory_neurons	directed
ABL1	FAM168B	0.896	Oligodendrocytes	directed
ABL1	H2AFY2	0.858	Excitatory_neurons	directed
ABL1	KIF3B	0.839	OPCs	directed
ABL1	NUDT12	0.856	OPCs	directed
ABL1	PCGF3	0.909	Vasculature_cells	directed
ABL1	PITRM1	0.819	Microglia	directed
ABL1	RABL2B	0.912	Oligodendrocytes	directed
ABL1	SLC36A1	0.91	Oligodendrocytes	directed
ABL1	UCK2	0.694	Excitatory_neurons	directed
ABL1	ZNF444	0.903	Oligodendrocytes	directed
ABL1	ZNF710	0.899	Excitatory_neurons	directed
ABL2	HECTD1	0.304	OPCs	directed
ABL2	KDM3B	0.354	Oligodendrocytes	directed
ABL2	RNF185	0.797	Excitatory_neurons	directed
ABLIM1	ANP32A	0.982	Astrocytes	directed
ABLIM1	ARMC8	0.61	Excitatory_neurons	directed
ABLIM1	ATXN1	0.49	Astrocytes	directed
ABLIM1	B4GALT1	0.924	Excitatory_neurons	directed
ABLIM1	BCAS4	0.988	Astrocytes	directed
ABLIM1	C1orf159	0.974	Astrocytes	directed
ABLIM1	CNKSR2	0.97	Astrocytes	directed
ABLIM1	CTTNBP2NL	0.904	Inhibitory_neurons	directed
ABLIM1	DAPK1	0.677	Excitatory_neurons	directed
ABLIM1	DDHD2	0.444	Vasculature_cells	directed
ABLIM1	DNAJC6	0.985	Astrocytes	directed
ABLIM1	DZIP1	0.812	Astrocytes	directed
ABLIM1	FAM160A1	0.899	Excitatory_neurons	directed
ABLIM1	FARP1	0.451	Astrocytes	directed
ABLIM1	FHOD3	0.978	Astrocytes	directed
ABLIM1	FUBP3	0.981	Astrocytes	directed
ABLIM1	FUNDC2	0.987	Astrocytes	directed
ABLIM1	KIAA1211L	0.643	Excitatory_neurons	directed
ABLIM1	KLF3	0.868	Vasculature_cells	directed
ABLIM1	LDLRAD4	0.65	Astrocytes	directed
ABLIM1	LONP2	0.981	Astrocytes	directed
ABLIM1	MAMDC2-AS1	0.981	Astrocytes	directed
ABLIM1	MARK4	0.298	Astrocytes	directed
ABLIM1	MAU2	0.978	Astrocytes	directed
ABLIM1	MYLK	0.925	Astrocytes	directed
ABLIM1	NSD2	0.968	Astrocytes	directed
ABLIM1	NTRK2	0.831	Inhibitory_neurons	directed
ABLIM1	NUP93	0.859	Excitatory_neurons	directed
ABLIM1	PLEKHH1	0.976	Astrocytes	directed
ABLIM1	POLB	0.983	Astrocytes	directed
ABLIM1	RHOBTB1	0.859	Vasculature_cells	directed
ABLIM1	RNF168	0.897	Inhibitory_neurons	directed
ABLIM1	RNF170	0.859	Vasculature_cells	directed
ABLIM1	SEPT11	0.976	Astrocytes	directed
ABLIM1	SFSWAP	0.724	Astrocytes	directed
