schema_version	record_type	artifact_id	path	sha256	bytes
phase13_figure_manifest_v1	output	phase13_gene_support_mtdna_oxphos_13	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mtdna_oxphos_13.png	faf5830987c2fcf7668c439dc959203fde6b6d6dc5506a91d9db18a8431a634d	184526
phase13_figure_manifest_v1	output	phase13_gene_support_nuclear_oxphos_structural_86	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_nuclear_oxphos_structural_86.svg	389a55a4b0464ef27e982fca7bfe878ec4daaf218957a1f17343a397ce7ed8fe	1812836
phase13_figure_manifest_v1	output	phase13_gene_support_nuclear_oxphos_structural_86	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_nuclear_oxphos_structural_86.pdf	eed35cd2c96dcc294a796fff99cd17ab5fea195301325b74958b441599bad3e1	68437
phase13_figure_manifest_v1	output	phase13_gene_support_nuclear_oxphos_structural_86	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_nuclear_oxphos_structural_86.png	336340fd01f25e44756a22bab8a0f681a182640ed2cfc1e16b722de81f5ad5a8	554138
phase13_figure_manifest_v1	output	phase13_gene_support_mitochondrial_translation_155	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mitochondrial_translation_155.svg	dc07872b3f8155cda84c0910e225c38cc8ebbd0d0691618a83e08cf78c7e5d86	3054463
phase13_figure_manifest_v1	output	phase13_gene_support_mitochondrial_translation_155	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mitochondrial_translation_155.pdf	694ac267a4847384260b460cebd4b7285e1d10b16f4299f8ee4cd852458903ca	89163
phase13_figure_manifest_v1	output	phase13_gene_support_mitochondrial_translation_155	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mitochondrial_translation_155.png	443672e99c097c49ac7e594c7596e6aa2c287672ed39e807c3787fece44b0dca	926383
phase13_figure_manifest_v1	output	phase13_gene_support_mib_micos_inner_membrane_19	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mib_micos_inner_membrane_19.svg	be0f0a6a4c6a8890562b297ee105c9f1e92354ddf5ab5c9046a42b1db50fd7a4	518409
phase13_figure_manifest_v1	output	phase13_gene_support_mib_micos_inner_membrane_19	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mib_micos_inner_membrane_19.pdf	02ad0e2eee8be8c295e18ec681370738796a12b1d716112ccaf46c623020c264	37342
phase13_figure_manifest_v1	output	phase13_gene_support_mib_micos_inner_membrane_19	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_mib_micos_inner_membrane_19.png	375a064634f2d52c6d578151ca424b3f172a87525f47bf9f815013ea86c642fd	214084
phase13_figure_manifest_v1	output	phase13_gene_support_atlas_caption	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_atlas_caption.md	dede338902a1493db10d9d7968f430639792c7543bdb5edf9e2520a2c6db90b3	600
phase13_figure_manifest_v1	output	phase13_gene_support_atlas_methods	results/figures/analysis/phase13_respiratory_modifier/gene_support_atlas/phase13_gene_support_atlas_methods.md	1b32ec3a316998f550671d218b3ef51dcd1281f5cdd55107ad088777d0ab2c33	546
