schema_version	network	gene	included_reason	directed_depth_from_lamtor5	upstream_depth_to_lamtor5	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	MAML1	all_direct_outgoing	1.0		False	True	5	1.0	0	0.0	1	0.2	False	False	mastermind like transcriptional coactivator 1	up_only	2	0	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	MRPL50	query_hit_meeting_display_threshold	3.0		False	False	3	0.6	1	0.2	1	0.2	True	True	mitochondrial ribosomal protein L50	mixed	1	2	1	1	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	MRPS14	query_hit_meeting_display_threshold	2.0		False	False	3	0.6	2	0.4	1	0.2	True	True	mitochondrial ribosomal protein S14	down_only	0	3	1	1	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFA12	shortest_path_connector	2.0		False	False	5	1.0	0	0.0	1	0.2	False	True	NADH:ubiquinone oxidoreductase subunit A12	not_deg	0	0	1	6	1	4
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFB1	query_hit_meeting_display_threshold	3.0		False	False	5	1.0	1	0.2	1	0.2	True	True	NADH:ubiquinone oxidoreductase subunit B1	down_only	0	5	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFB2	query_hit_meeting_display_threshold	2.0		False	False	5	1.0	2	0.4	1	0.2	True	True	NADH:ubiquinone oxidoreductase subunit B2	down_only	0	4	1	4	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFB4	query_hit_meeting_display_threshold	3.0		False	False	5	1.0	1	0.2	1	0.2	True	True	NADH:ubiquinone oxidoreductase subunit B4	mixed	1	4	1	1	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFB9	query_hit_meeting_display_threshold	3.0		False	False	5	1.0	2	0.4	1	0.2	True	True	NADH:ubiquinone oxidoreductase subunit B9	down_only	0	3	1	3	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	NDUFS3	query_hit_meeting_display_threshold	2.0		False	False	5	1.0	1	0.2	1	0.2	True	True	NADH:ubiquinone oxidoreductase core subunit S3	down_only	0	4	2	2	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	PAICS	query_hit_meeting_display_threshold	3.0		False	False	5	1.0	1	0.2	1	0.2	True	True	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	down_only	0	1	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	PFDN4	all_direct_outgoing	1.0		False	True	4	0.8	0	0.0	1	0.2	False	False	prefoldin subunit 4	down_only	0	2	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	POLR2K	all_direct_outgoing	1.0		False	True	3	0.6	0	0.0	1	0.2	False	False	RNA polymerase II, I and III subunit K	mixed	1	4	1	3	1	2
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	PYURF	all_direct_outgoing	1.0		False	True	4	0.8	0	0.0	1	0.2	False	True	PIGY upstream open reading frame	not_deg	0	0	1	1	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	RAB11A	shortest_path_connector	2.0		False	False	5	1.0	0	0.0	1	0.2	False	False	RAB11A, member RAS oncogene family	down_only	0	6	3	6	2	1
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	RPS15	upstream_context		2.0	False	False	0	0.0	0	0.0	1	0.2	False	False	ribosomal protein S15	mixed	1	9	1	17	0	1
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	SOD1	query_hit_meeting_display_threshold	2.0		False	False	5	1.0	3	0.6	1	0.2	True	True	superoxide dismutase 1	mixed	1	5	2	6	1	2
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	SPCS2	all_direct_outgoing	1.0		False	True	5	1.0	0	0.0	1	0.2	False	False	signal peptidase complex subunit 2	down_only	0	2	1	0	1	0
phase18_lamtor5_inhibitory_consensus_v1	Inhibitory_neurons	SRP14	shortest_path_connector	2.0		False	False	3	0.6	0	0.0	1	0.2	False	False	signal recognition particle 14	mixed	3	4	2	15	1	1
