schema_version	rds_id	source_rds	projid	nuclei	fine_cell_types	raw_counts	xist_counts	uty_counts	xist_cpm	uty_cpm
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	01211411	385	9	1996912	3	218	1.50231958143373	109.168556250851
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	02899847	195	9	1107696	0	161	0	145.346737733096
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	03713990	755	9	20314567	1	3710	0.0492257600174299	182.627569664665
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	03889845	2017	9	14098408	11130	12	789.450837286025	0.851159932383855
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	06107196	171	8	5061243	0	1090	0	215.362115590972
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	06804844	477	9	3059074	0	512	0	167.370910282
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	07253015	398	9	9419980	7024	6	745.649141505608	0.636944027482012
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	07265221	793	9	19885263	19617	14	986.509456777112	0.704038965941763
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	07311370	401	9	10752362	1	2001	0.0930028211475767	186.098645116301
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	08109170	401	9	10226831	5040	8	492.8212854989	0.782256008728412
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	08132197	127	9	2221863	1459	2	656.6561484664	0.900145508521452
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	09650662	122	8	2006716	1712	2	853.135172092115	0.996653238425368
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	09841821	374	9	10551082	2	1826	0.189554019199168	173.062819528841
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	10100574	1062	9	17249823	1	2978	0.0579716093318755	172.639452590325
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	10100862	762	9	17549821	5	3388	0.284903190750493	193.050402052534
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	10101291	82	7	738055	0	87	0	117.877393961155
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	10101327	153	9	3132952	0	280	0	89.3725789606735
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	10101589	345	9	4423223	0	642	0	145.143032580541
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	10202345	420	9	10905450	37	1530	3.39279901333737	140.296824065032
rds_donor_inventory_v1	excitatory_set3	data/processed/Excitatory_neurons_set3.rds	10203224	151	9	3626967	114	605	31.4312206314532	166.806039316046
