schema_version	network	gene	minimum_upstream_depth	minimum_downstream_depth	is_core_mitocarta	in_degree_full	out_degree_full
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	NA	2	FALSE	2	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RWDD1	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	S100A6	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SELENOM	NA	3	FALSE	2	5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SKP2	NA	3	FALSE	2	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	NA	2	TRUE	2	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC47A1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SMDT1	NA	1	TRUE	1	1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SNAPC4	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SNHG21	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SNRPB2	NA	3	FALSE	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SNRPD1	NA	3	FALSE	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SPTLC1	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SRP14	NA	1	FALSE	2	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	STAT5B	NA	3	FALSE	2	3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	TFPT	NA	3	FALSE	2	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	TMCO1	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	TMEM258	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	TXNRD1	NA	3	TRUE	1	2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRFS1	NA	3	TRUE	1	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	NA	2	TRUE	1	4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	ZNF230	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	AKTIP	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	AP003108.2	NA	3	FALSE	1	3
phase18_rpl11_deep_dive_v1	Astrocytes	ARL8A	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	NA	2	TRUE	1	7
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5ME	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5MG	NA	3	TRUE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PD	NA	2	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	NA	2	TRUE	1	13
phase18_rpl11_deep_dive_v1	Astrocytes	BCAP31	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	C19orf12	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	C2orf74	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	C8orf59	NA	2	FALSE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	CCM2	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	CCT6A	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	CD151	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	CHPF	NA	3	FALSE	1	3
phase18_rpl11_deep_dive_v1	Astrocytes	CLU	NA	3	FALSE	2	13
phase18_rpl11_deep_dive_v1	Astrocytes	COMMD6	NA	2	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	COPS9	NA	2	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	COX5B	NA	3	TRUE	2	4
phase18_rpl11_deep_dive_v1	Astrocytes	COX6C	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	NA	1	TRUE	1	15
phase18_rpl11_deep_dive_v1	Astrocytes	CTSB	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	CWC15	NA	1	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	CYB5R3	NA	3	TRUE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	DOPEY2	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	DYNLL1	NA	2	FALSE	1	1
phase18_rpl11_deep_dive_v1	Astrocytes	EIF3G	NA	3	FALSE	1	2
phase18_rpl11_deep_dive_v1	Astrocytes	EMC10	NA	3	FALSE	1	0
phase18_rpl11_deep_dive_v1	Astrocytes	EPHX1	NA	3	FALSE	2	1
