schema_version	network	source	target
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PFDN5	AC084033.3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	BAG1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	LRPAP1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	LSM3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	MRPL21
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	PINK1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	RAB33A
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	RPS19BP1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	S100A6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	SELENOM
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	TFPT
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	UQCRFS1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	APOO
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	STAT5B
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	COX7C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL30
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPL6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS23
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	RPS27A
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	SMDT1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	SRP14
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	COX20
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	CTSL
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	RSL24D1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	RWDD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	TMCO1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL32	FAU
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL32	RPL35A
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL32	RPS14
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL35A	LSM3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL35A	RPS4X
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	ATP5PF
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	CISD2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	COX17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	MRPS18C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	SNAPC4
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL7	RPL23A
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL7	RPS6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	ATP5ME
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	MRPL24
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NDUFA1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NDUFS5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NENF
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	RPL38
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	SLC47A1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	NDUFB9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	PSMB6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	RPS14
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	RPS9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	SLC25A5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS14	NAA38
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	NHP2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPL13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPL18
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPL19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPL8
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPLP1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPS14
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	RPS19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS23	RPL37
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	BAIAP2L1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	EEF1B2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	MECOM
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	PFDN5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPL10A
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPL12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPL19
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPL32
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPL7
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPS12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	RPS4X
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS4X	COMMD6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS4X	RPL10
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS4X	RPL14
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS4X	RPL36AL
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS4X	RPS7
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS6	RPL23A
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	EPB41L4A-AS1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	TXNRD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	ASNSD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	CISD2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	CSTF1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	FUNDC2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	MOAP1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	NRN1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	PDHB
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SMDT1	KRT10
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SRP14	BCAS2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SRP14	MYL12B
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SRP14	PCBD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	ATP5MD
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	DPM3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	SNRPB2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	SPTLC1
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	ATP5ME
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	COX6C
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	EIF3G
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	MT3
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	NDUFC1
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	TMA7
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5F1E	ZNF721
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	ATP5MG
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	ESD
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	FAM200B
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	FO393400.1
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	GATAD2B
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	GTF3A
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	NACA
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	NDUFAF4
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	NVL
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	PCBD1
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	PRKRIP1
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	RPS27L
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	SRI
phase18_rpl11_deep_dive_v1	Astrocytes	C8orf59	DOPEY2
phase18_rpl11_deep_dive_v1	Astrocytes	C8orf59	REXO2
phase18_rpl11_deep_dive_v1	Astrocytes	COPS9	SYNCRIP
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	ATP5F1E
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	ATP5PD
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	ATP5PF
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	C8orf59
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	CCM2
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	COMMD6
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	COPS9
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	DYNLL1
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	LAMTOR5
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	NDUFB4
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	RPL27
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	RPL35A
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	SSB
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	TOMM7
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	UQCRB
phase18_rpl11_deep_dive_v1	Astrocytes	DYNLL1	UQCRH
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	COX5B
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	FLYWCH2
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	MRPS7
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	RTRAF
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	SMYD4
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	SYF2
phase18_rpl11_deep_dive_v1	Astrocytes	LAMTOR5	ZNF496
phase18_rpl11_deep_dive_v1	Astrocytes	MARCKSL1	GORASP2
phase18_rpl11_deep_dive_v1	Astrocytes	MARCKSL1	LAMTOR1
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFB4	AKTIP
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFB4	EPHX1
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFB4	ZNF432
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	ISCA1
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	MARCKSL1
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	PPT1
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	PSAP
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	SF3B6
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	SRP14
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	ARL8A
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	BCAP31
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	CD151
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	CHPF
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	CLU
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	CTSB
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	CYB5R3
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	EMC10
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	HSPBP1
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	LAMP1
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	LGALS3BP
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	LMAN2
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	P4HB
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	PCBP1
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	RETREG2
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	RHBDD2
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	RIC8A
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	RPN2
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TMBIM6
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TMEM120A
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TMEM59L
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TMEM9
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TPP1
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TPRG1L
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TSPAN7
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	TXNDC12
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	UBQLN2
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	YIPF2
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	COX7C
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	CWC15
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	PRDX1
phase18_rpl11_deep_dive_v1	Astrocytes	RPL27	C2orf74
phase18_rpl11_deep_dive_v1	Astrocytes	RPL27	NDUFB7
phase18_rpl11_deep_dive_v1	Astrocytes	RPL27	UBA52
phase18_rpl11_deep_dive_v1	Astrocytes	RPL27	VPS4A
phase18_rpl11_deep_dive_v1	Astrocytes	RPL32	RPL35A
phase18_rpl11_deep_dive_v1	Astrocytes	RPLP1	RPL11
phase18_rpl11_deep_dive_v1	Astrocytes	RPLP1	RPL27
phase18_rpl11_deep_dive_v1	Astrocytes	RPS25	RPL32
phase18_rpl11_deep_dive_v1	Astrocytes	RPS25	RPLP1
phase18_rpl11_deep_dive_v1	Astrocytes	SRP14	MAGED2
phase18_rpl11_deep_dive_v1	Astrocytes	SRP14	MRPL4
phase18_rpl11_deep_dive_v1	Astrocytes	SRP14	PLEKHJ1
phase18_rpl11_deep_dive_v1	Astrocytes	SRP14	SELENOP
phase18_rpl11_deep_dive_v1	Astrocytes	SRP14	SRP9
phase18_rpl11_deep_dive_v1	Astrocytes	SSB	C19orf12
phase18_rpl11_deep_dive_v1	Astrocytes	SSB	CCT6A
phase18_rpl11_deep_dive_v1	Astrocytes	TMBIM6	LAMP1
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	AP003108.2
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	RAD54L2
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	RNF121
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	RPL32
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	RPS24
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	SLIRP
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	ZZEF1
