schema_version	network	gene	included_reason	directed_depth_from_rpl11	upstream_depth_to_rpl11	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold	is_recurrent_query_hit	is_core_mitocarta	is_cytosolic_ribosomal	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display	x	y
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFB9	recurrent_query_hit	2	NA	FALSE	FALSE	19	0.95	13	0.65	4	TRUE	TRUE	FALSE	mixed	6	11	1	3	1	1	2.35	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS5	recurrent_query_hit	3	NA	FALSE	FALSE	19	0.95	16	0.8	4	TRUE	TRUE	FALSE	mixed	14	12	2	2	1	0	4.37	-3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	NDUFS6	recurrent_query_hit	3	NA	FALSE	FALSE	17	0.85	8	0.4	4	TRUE	TRUE	FALSE	mixed	5	6	1	0	1	0	3.65	1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PDHB	recurrent_query_hit	3	NA	FALSE	FALSE	16	0.8	6	0.3	4	TRUE	TRUE	FALSE	mixed	2	9	3	1	1	0	3.65	4.65
phase18_rpl11_deep_dive_v1	Excitatory_neurons	PSMB6	shortest_path_connector	2	NA	FALSE	FALSE	17	0.85	0	0	4	FALSE	FALSE	FALSE	mixed	6	9	2	11	1	2	2.35	1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL10A	shortest_path_connector	2	NA	FALSE	FALSE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	1	11	1	2	1	1	2.35	6.2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	driver	0	NA	FALSE	FALSE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	2	10	0	9	0	9	0	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL13	recurrent_query_hit	3	NA	FALSE	FALSE	19	0.95	14	0.7	4	TRUE	TRUE	TRUE	mixed	4	11	1	5	1	0	3.65	-1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL30	all_direct_outgoing|shortest_path_connector	1	NA	FALSE	TRUE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	1	4	1	5	1	1	1.15	-4.65
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL5	all_direct_outgoing	1	NA	FALSE	TRUE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	4	3	1	0	1	0	1.15	-3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL6	all_direct_outgoing|shortest_path_connector	1	NA	FALSE	TRUE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	4	10	1	5	1	1	1.15	-1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	shortest_path_connector	2	NA	FALSE	FALSE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	10	14	1	7	1	4	2.35	-7.75
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS12	recurrent_query_hit	2	NA	FALSE	FALSE	18	0.9	6	0.3	4	TRUE	TRUE	TRUE	mixed	3	8	1	0	1	0	2.35	7.75
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	all_direct_outgoing|shortest_path_connector	1	NA	FALSE	TRUE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	4	10	1	5	1	4	1.15	0
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	shortest_path_connector	2	NA	FALSE	FALSE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	10	13	1	8	1	1	2.35	-6.2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS23	all_direct_outgoing	1	NA	FALSE	TRUE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	4	11	1	1	1	0	1.15	1.55
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	all_direct_outgoing|shortest_path_connector	1	NA	FALSE	TRUE	20	1	0	0	4	FALSE	FALSE	TRUE	mixed	2	14	1	11	1	2	1.15	3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	shortest_path_connector	2	NA	FALSE	FALSE	20	1	0	0	4	FALSE	FALSE	TRUE	down_only	0	10	1	2	1	1	2.35	3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	shortest_path_connector	2	NA	FALSE	FALSE	19	0.95	0	0	4	FALSE	FALSE	FALSE	mixed	1	7	2	4	1	1	2.35	-3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	recurrent_query_hit	2	NA	FALSE	FALSE	20	1	11	0.55	4	TRUE	TRUE	FALSE	mixed	9	8	2	3	1	1	2.35	4.65
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SMDT1	all_direct_outgoing|recurrent_query_hit	1	NA	FALSE	TRUE	18	0.9	9	0.45	4	TRUE	TRUE	FALSE	mixed	4	8	1	1	1	0	1.15	4.65
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SRP14	all_direct_outgoing	1	NA	FALSE	TRUE	20	1	0	0	4	FALSE	FALSE	FALSE	mixed	9	10	2	3	1	0	1.15	6.2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	TXNRD1	recurrent_query_hit	3	NA	FALSE	FALSE	19	0.95	9	0.45	4	TRUE	TRUE	FALSE	down_only	0	9	1	2	1	0	4.37	3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRFS1	recurrent_query_hit	3	NA	FALSE	FALSE	16	0.8	7	0.35	4	TRUE	TRUE	FALSE	mixed	2	11	1	4	1	0	3.65	3.1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	recurrent_query_hit	2	NA	FALSE	FALSE	19	0.95	16	0.8	4	TRUE	TRUE	FALSE	mixed	14	14	1	4	1	0	2.35	-4.65
