schema_version	network	gene	minimum_upstream_depth	minimum_downstream_depth	network_role	is_rpl11	is_upstream_context	is_core_mitocarta	is_cytosolic_ribosomal	is_required_intermediate	supporting_run_count	supporting_run_fraction	supporting_fine_cell_type_count	supporting_groups	supporting_directions	phase08_paper_deg_any	phase08_up_count	phase08_down_count	phase08_deg_class	in_degree_full	out_degree_full	total_degree_full	local_display_degree	shortest_path_count_from_rpl11	x	y
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPLP2	NA	2	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	10	14	mixed	1	7	8	5	4	2	-3.9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS12	NA	2	downstream	FALSE	FALSE	TRUE	TRUE	FALSE	6	0.3	5	F_e4|M_e2	AD_down_mito	TRUE	3	8	mixed	1	0	1	1	1	2	3.9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS13	NA	1	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	4	10	mixed	1	5	6	5	7	1	0.39
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS15	NA	2	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	10	13	mixed	1	8	9	2	1	2	-3.12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS27A	NA	1	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	2	14	mixed	1	11	12	3	2	1	1.17
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPS9	NA	2	downstream	FALSE	FALSE	FALSE	TRUE	TRUE	0	0	0			TRUE	0	10	down_only	1	2	3	2	1	2	1.56
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RSL24D1	NA	2	downstream	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0			TRUE	1	7	mixed	2	4	6	2	1	2	-1.56
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SLC25A5	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	11	0.55	10	F_e2|F_e33|F_e4|M_e2|M_e33	AD_down_mito|AD_up_mito	TRUE	9	8	mixed	2	3	5	2	2	2	2.34
phase18_rpl11_deep_dive_v1	Excitatory_neurons	SMDT1	NA	1	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	9	0.45	8	F_e2|F_e33|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	4	8	mixed	1	1	2	1	1	1	1.95
phase18_rpl11_deep_dive_v1	Excitatory_neurons	TXNRD1	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	9	0.45	8	F_e4|M_e2|M_e33	AD_down_mito	TRUE	0	9	down_only	1	2	3	1	1	3	3.51
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRFS1	NA	3	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	7	0.35	6	F_e2|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	2	11	mixed	1	4	5	1	1	3	2.73
phase18_rpl11_deep_dive_v1	Excitatory_neurons	UQCRQ	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	16	0.8	10	F_e2|F_e4|M_e2	AD_down_mito|AD_up_mito	TRUE	14	14	mixed	1	4	5	1	1	2	-2.34
phase18_rpl11_deep_dive_v1	Astrocytes	ATP5PF	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	2	0.666666666666667	1	F_e2|M_e2	AD_down_mito|AD_up_mito	TRUE	2	1	mixed	1	13	14	1	1	2	-1.56
phase18_rpl11_deep_dive_v1	Astrocytes	COX7C	NA	1	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	3	1	2	F_e2|M_e2|M_e4	AD_down_mito|AD_up_mito	TRUE	1	2	mixed	1	15	16	5	5	1	-1.25
phase18_rpl11_deep_dive_v1	Astrocytes	NDUFB4	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	2	0.666666666666667	1	F_e2|M_e2	AD_down_mito|AD_up_mito	TRUE	1	2	mixed	1	3	4	1	1	2	-0.78
phase18_rpl11_deep_dive_v1	Astrocytes	PRDX1	NA	1	downstream	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0			TRUE	3	3	mixed	1	6	7	2	1	1	1.25
phase18_rpl11_deep_dive_v1	Astrocytes	PSAP	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	3	1	2	F_e2|M_e2|M_e4	AD_down_mito|AD_up_mito	TRUE	3	2	mixed	1	28	29	1	1	2	1.56
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	NA	NA	driver	TRUE	FALSE	FALSE	TRUE	FALSE	0	0	0			TRUE	1	1	mixed	1	3	4	3	6	0	0
phase18_rpl11_deep_dive_v1	Astrocytes	RPLP1	1	NA	upstream	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0			TRUE	2	2	mixed	1	8	9	2	0	-1	0
phase18_rpl11_deep_dive_v1	Astrocytes	RPS25	2	NA	upstream	FALSE	TRUE	FALSE	TRUE	FALSE	0	0	0			TRUE	3	1	mixed	0	6	6	1	0	-2	0
phase18_rpl11_deep_dive_v1	Astrocytes	TOMM7	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	2	0.666666666666667	2	F_e2|M_e4	AD_down_mito|AD_up_mito	TRUE	1	1	mixed	1	0	1	1	1	2	0
phase18_rpl11_deep_dive_v1	Astrocytes	UQCRB	NA	2	downstream	FALSE	FALSE	TRUE	FALSE	FALSE	2	0.666666666666667	1	F_e2|M_e2	AD_down_mito|AD_up_mito	TRUE	1	1	mixed	1	7	8	1	1	2	0.78
