schema_version	broad_network	kda_run_id	fine_cell_type	signature_group	sex	apoe_group	signature_direction	final_layer	final_run_q	hit_gene
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	COX7C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	UQCRQ
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	SLC25A5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	NDUFB9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	SMDT1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	ATP5PF
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	RPS12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	APOO
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	NDUFS6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	NDUFS5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	ATP5ME
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	NDUFA1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	FUNDC2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	PINK1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	MRPL21
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	UQCRFS1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	RPL13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	TXNRD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	NDUFB3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_F_e4_AD_down_mito	Exc L2-3 CBLN2 LINC02306	F_e4	Female	e4	AD_down_mito	3	1.69883894803261e-09	NDUFA12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	COX7C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	UQCRQ
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	SLC25A5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	NDUFB9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	SMDT1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	ATP5PF
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	RPS12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	APOO
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	PDHB
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	NDUFS5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	ATP5ME
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	NDUFA1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	FUNDC2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	MRPL21
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	UQCRFS1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	RPL13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	TXNRD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	NDUFB3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L2_3_CBLN2_LINC02306_M_e2_AD_down_mito	Exc L2-3 CBLN2 LINC02306	M_e2	Male	e2	AD_down_mito	3	3.15271000664045e-11	NDUFA12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	COX7C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	UQCRQ
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	SLC25A5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	NDUFB9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	SMDT1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	ATP5PF
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	RPS12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	APOO
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	PDHB
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	NDUFS5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	MRPL24
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	ATP5ME
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	NDUFA1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	MRPS18C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	FUNDC2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	MRPL21
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	UQCRFS1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	RPL13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	TXNRD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	NDUFB3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_4_RORB_CUX2_M_e2_AD_down_mito	Exc L3-4 RORB CUX2	M_e2	Male	e2	AD_down_mito	3	1.02953291813603e-11	NDUFA12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	COX7C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	UQCRQ
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	SLC25A5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	NDUFB9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	SMDT1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	ATP5PF
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	RPS12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	PDHB
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	NDUFS5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	MRPL24
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	ATP5ME
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	NDUFA1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	MRPS18C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	FUNDC2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	UQCRFS1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	RPL13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	TXNRD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	NDUFB3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L3_5_RORB_PLCH1_M_e2_AD_down_mito	Exc L3-5 RORB PLCH1	M_e2	Male	e2	AD_down_mito	3	1.06056571628509e-09	NDUFA12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	COX7C
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	UQCRQ
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	SLC25A5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	NDUFB9
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	SMDT1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	ATP5PF
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	RPS12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	APOO
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	PDHB
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	NDUFS6
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	NDUFS5
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	ATP5ME
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	NDUFA1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	FUNDC2
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	UQCRFS1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	RPL13
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	TXNRD1
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	NDUFB3
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_GABRG1_M_e2_AD_down_mito	Exc L4-5 RORB GABRG1	M_e2	Male	e2	AD_down_mito	3	3.44873654316334e-10	NDUFA12
phase18_rpl11_deep_dive_v1	Excitatory_neurons	primary_Exc_L4_5_RORB_IL1RAPL2_F_e4_AD_down_mito	Exc L4-5 RORB IL1RAPL2	F_e4	Female	e4	AD_down_mito	3	0.000756607548414459	COX7C
