schema_version	network	target_gene	null_model	feature	target_value	control_median	source_median	source_robust_scale	absolute_standardized_difference	balance_status
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	log1p_counts_per_nucleus	0.429179587795415	0.740187624377309	0.603595529227462	0.452337721292373	0.687557154626223	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	topology_expression	detected_fraction	0.326139969134323	0.503976112650135	0.441287156235921	0.256420461451454	0.693533357319381	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	out_degree	9	3	3	2.2239	2.69796303790638	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	total_degree	9	4	4	1.4826	3.37245379738298	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	log_layer1_size	2.39789527279837	1.6094379124341	1.6094379124341	0.414843183596529	1.90061544106535	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	log_layer2_size	3.8286413964891	2.19722457733622	2.24990483516513	0.772029757410116	2.11315276839289	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	log_layer3_size	4.75359019110636	2.70805020110221	2.77063177257921	1.16281497994953	1.75912765596891	residual_difference
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	coverage_fraction	1	1	1	0.0152843266871986	0	balanced
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	log1p_counts_per_nucleus	0.429179587795415	0.454322065039081	0.452191188113	0.145500958335614	0.172799392741265	balanced
phase18_rpl11_deep_dive_v1	Excitatory_neurons	RPL11	ribosomal	detected_fraction	0.326139969134323	0.337528637021558	0.336398972422189	0.0856421318405337	0.132979733718453	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology	out_degree	3	4	2	1.4826	0.674490759476595	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology	total_degree	4	5	4	2.9652	0.337245379738298	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology	log_layer1_size	1.6094379124341	1.79175946922805	1.38629436111989	0.42651744061701	0.427465654230233	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology	log_layer2_size	3.25809653802148	2.484906649788	1.6094379124341	0.757350069795457	1.02091479101904	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology	log_layer3_size	4.68213122712422	2.77258872223978	1.79175946922805	1.02766000989817	1.85814616360682	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology	coverage_fraction	0.952380952380952	1	1	1	0.0476190476190477	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	out_degree	3	4	2	1.4826	0.674490759476595	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	total_degree	4	5	4	2.9652	0.337245379738298	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	log_layer1_size	1.6094379124341	1.79175946922805	1.38629436111989	0.42651744061701	0.427465654230233	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	log_layer2_size	3.25809653802148	2.19722457733622	1.6094379124341	0.757350069795457	1.40076828800158	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	log_layer3_size	4.68213122712422	2.39789527279837	1.79175946922805	1.02766000989817	2.22275454170118	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	coverage_fraction	0.952380952380952	1	1	1	0.0476190476190477	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	log1p_counts_per_nucleus	0.159282174635067	0.365343806365482	0.509294597529296	0.366625311613606	0.562049659974343	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	topology_expression	detected_fraction	0.146190775485096	0.290255285574827	0.391413364714693	0.239592394923708	0.601289995601089	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	out_degree	3	5	5	5.1891	0.385423291129483	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	total_degree	4	6	6	5.1891	0.385423291129483	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	log_layer1_size	1.6094379124341	1.94591014905531	1.94591014905531	0.81440128958967	0.413152877975847	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	log_layer2_size	3.25809653802148	2.63905732961526	2.70582302592752	1.32158281948054	0.468407427276895	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	log_layer3_size	4.68213122712422	2.77258872223978	3.42506308307275	1.63228450197359	1.16985887115611	residual_difference
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	coverage_fraction	0.952380952380952	0.952380952380952	0.952380952380952	0.0706	0	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	log1p_counts_per_nucleus	0.159282174635067	0.160809101251844	0.160045637943456	0.0397388869838371	0.0384239905208793	balanced
phase18_rpl11_deep_dive_v1	Astrocytes	RPL11	ribosomal	detected_fraction	0.146190775485096	0.14627101191511	0.146230893700103	0.0314744446970406	0.00254925641377019	balanced
