schema_version	rds_id	manifest_row	contrast_id	cell_type_high_resolution	sex	apoe_group	yu_stratum	yu_contrast	contrast_name	analysis_population	cells_ad	cells_nci	donors_ad	donors_nci	tested_genes	paper_degs	latent_vars	min_pct	logfc_threshold	design_rank	design_columns	model_status	message
yu_mast_model_diagnostics_v2	inhibitory	41	inhibitory::Inh L1-2 PAX6 SCGN::AD_vs_NCI__Male__e33	Inh L1-2 PAX6 SCGN	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	97	254	23	49	10868	0	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	42	inhibitory::Inh L1-2 PAX6 SCGN::AD_vs_NCI__Male__e4	Inh L1-2 PAX6 SCGN	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	106	39	23	9	11061	1	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	43	inhibitory::Inh L1-6 LAMP5 CA13::AD_vs_NCI__Female__e2	Inh L1-6 LAMP5 CA13	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	173	621	8	16	10582	53	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	44	inhibitory::Inh L1-6 LAMP5 CA13::AD_vs_NCI__Female__e33	Inh L1-6 LAMP5 CA13	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	1540	1741	37	45	10323	186	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	45	inhibitory::Inh L1-6 LAMP5 CA13::AD_vs_NCI__Female__e4	Inh L1-6 LAMP5 CA13	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	941	505	26	11	10413	160	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	46	inhibitory::Inh L1-6 LAMP5 CA13::AD_vs_NCI__Male__e2	Inh L1-6 LAMP5 CA13	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	265	220	7	6	10621	139	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	47	inhibitory::Inh L1-6 LAMP5 CA13::AD_vs_NCI__Male__e33	Inh L1-6 LAMP5 CA13	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	924	2302	27	53	10188	130	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	48	inhibitory::Inh L1-6 LAMP5 CA13::AD_vs_NCI__Male__e4	Inh L1-6 LAMP5 CA13	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	892	335	26	10	9874	87	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	49	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Female__e2	Inh L3-5 SST MAFB	Female	e2	F_e2x	F_e2x_AD_vs_F_e2x_NCI	AD_vs_NCI__Female__e2	yu_all_cohort_included_nuclei	168	916	8	16	7932	28	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	50	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Female__e33	Inh L3-5 SST MAFB	Female	e33	F_e33	F_e33_AD_vs_F_e33_NCI	AD_vs_NCI__Female__e33	yu_all_cohort_included_nuclei	1924	3338	35	45	7614	90	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	51	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Female__e4	Inh L3-5 SST MAFB	Female	e4	F_e4x	F_e4x_AD_vs_F_e4x_NCI	AD_vs_NCI__Female__e4	yu_all_cohort_included_nuclei	1075	850	25	11	7610	190	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	52	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Male__e2	Inh L3-5 SST MAFB	Male	e2	M_e2x	M_e2x_AD_vs_M_e2x_NCI	AD_vs_NCI__Male__e2	yu_all_cohort_included_nuclei	364	292	7	6	8917	2014	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	53	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Male__e33	Inh L3-5 SST MAFB	Male	e33	M_e33	M_e33_AD_vs_M_e33_NCI	AD_vs_NCI__Male__e33	yu_all_cohort_included_nuclei	1276	4114	27	52	7854	37	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
yu_mast_model_diagnostics_v2	inhibitory	54	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Male__e4	Inh L3-5 SST MAFB	Male	e4	M_e4x	M_e4x_AD_vs_M_e4x_NCI	AD_vs_NCI__Male__e4	yu_all_cohort_included_nuclei	1267	410	26	10	6685	89	nCount_RNA;age_death_scaled;pmi_scaled	0.1	0	5	5	fitted	
