schema_version	check_id	stage_id	scope_type	scope_id	blocking	passed	observed	expected	details
phase13_checks_v1	full_transcriptome_normalization__opcs	primary_models	context	opcs	TRUE	TRUE	33538	>273	
phase13_checks_v1	design_full_rank__oligodendrocytes	primary_models	context	oligodendrocytes	TRUE	TRUE	15	15	
phase13_checks_v1	full_transcriptome_normalization__oligodendrocytes	primary_models	context	oligodendrocytes	TRUE	TRUE	33538	>273	
phase13_checks_v1	design_full_rank__vasculature	primary_models	context	vasculature	TRUE	TRUE	15	15	
phase13_checks_v1	full_transcriptome_normalization__vasculature	primary_models	context	vasculature	TRUE	TRUE	33538	>273	
phase13_checks_v1	primary_test_rows	primary_models	global	phase13	TRUE	TRUE	196	196	
phase13_checks_v1	camera_test_rows	camera	global	phase13	TRUE	TRUE	196	196	
phase13_checks_v1	module_stratum_rows	primary_models	global	phase13	TRUE	TRUE	168	168	
phase13_checks_v1	stability_summary_rows	stability	global	phase13	TRUE	TRUE	196	196	
phase13_checks_v1	bootstrap_repetition_success	stability	global	phase13	TRUE	TRUE	1000	950	
phase13_checks_v1	balance_repetition_success	stability	global	phase13	TRUE	TRUE	1000	950	
phase13_checks_v1	gate_rows_terminal	gate	global	phase13	TRUE	TRUE	196	196	
