schema_version	input_id	source_phase	rds_id	path	bytes	sha256	validation_status
phase13_input_inventory_v1	excitatory_set1__qc_status	04	excitatory_set1	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/excitatory_set1_qc_status.tsv	1334	b0b8d850c6afa36999ab827890a2419e5be188f05ac2737159dc2389c1ac8e14	validated_complete
phase13_input_inventory_v1	excitatory_set2__counts	07	excitatory_set2	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set2.pseudobulk_counts.rds	93588252	be9fae812c787512b8a4ffe21a234a731e6e047023e5f0b05d46bd19e213f064	validated_complete
phase13_input_inventory_v1	excitatory_set2__samples	07	excitatory_set2	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set2.pseudobulk_samples.tsv	377007	8516121325c3629a5a3400e45171de8f27d61c40e874844dfc36f4c8a2d6b940	validated_complete
phase13_input_inventory_v1	excitatory_set2__conservation	07	excitatory_set2	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set2.pseudobulk_count_conservation.tsv	998	3fbd7fea6295d035f1f45916967af14eec390cfbdd8ec07f6af43aff346166a9	validated_complete
phase13_input_inventory_v1	excitatory_set2__manifest	07	excitatory_set2	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set2.pseudobulk_manifest.tsv	902	d62e39ba9c1dede7002287af34640baa090c2e558c1bf1578fc4e1e9cc5c1d99	validated_complete
phase13_input_inventory_v1	excitatory_set2__status	07	excitatory_set2	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set2.pseudobulk_status.tsv	1326	28a9e91bb86e88f89d3a12b4fa7c16d597f1a741a825e761b489ceb6cc331d30	validated_complete
phase13_input_inventory_v1	excitatory_set2__qc	04	excitatory_set2	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/excitatory_set2_cell_qc.tsv.gz	17359920	8f5215c280f352bc34d4c43f0e14ad5c3bed43d35442cae9f18b59aaa495ed85	validated_complete
phase13_input_inventory_v1	excitatory_set2__qc_status	04	excitatory_set2	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/excitatory_set2_qc_status.tsv	1334	8d88bc28d154164cd08a83664f0962894c3cf2c25b562c25ad44d0bb60f9ddf1	validated_complete
phase13_input_inventory_v1	excitatory_set3__counts	07	excitatory_set3	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set3.pseudobulk_counts.rds	150916068	5596bc2b2122d6487b6db84aa72acc83d8af5c845ec7ae2d0486ee46e0641571	validated_complete
phase13_input_inventory_v1	excitatory_set3__samples	07	excitatory_set3	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set3.pseudobulk_samples.tsv	840526	4335788a7bdd9da61d52a1d0561cd810009022294f8062932b9b8648d0c5f309	validated_complete
phase13_input_inventory_v1	excitatory_set3__conservation	07	excitatory_set3	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set3.pseudobulk_count_conservation.tsv	998	2fff1fee6549b2a4e95e9e2dc8109168ba7fb7f3e9b3e4dc8e9a1887975363d5	validated_complete
phase13_input_inventory_v1	excitatory_set3__manifest	07	excitatory_set3	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set3.pseudobulk_manifest.tsv	903	be9ff56595963b27beff04ce0e99e3209333313261c1776ad5ea18aed831de1a	validated_complete
phase13_input_inventory_v1	excitatory_set3__status	07	excitatory_set3	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Excitatory_neurons_set3.pseudobulk_status.tsv	1326	8a6c3db8006eb78f855004676c9cf443afd56562e4a1fdda5c14f5750fc06839	validated_complete
phase13_input_inventory_v1	excitatory_set3__qc	04	excitatory_set3	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/excitatory_set3_cell_qc.tsv.gz	13134160	e0f843bb717a333436f68f4b6f6fa78e66f196a031fa87622ca10fce1aaba47d	validated_complete
phase13_input_inventory_v1	excitatory_set3__qc_status	04	excitatory_set3	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/excitatory_set3_qc_status.tsv	1335	c80182fc62fc89b42b85869b3175fd11b0d9ffb6f169bbb6565a082fcf74fe53	validated_complete
phase13_input_inventory_v1	inhibitory__counts	07	inhibitory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Inhibitory_neurons.pseudobulk_counts.rds	295910710	1609b58d73c211b6e1eb12fb1995ac9f138980eb5a2ee72b2f1e04cb53728bb5	validated_complete
phase13_input_inventory_v1	inhibitory__samples	07	inhibitory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Inhibitory_neurons.pseudobulk_samples.tsv	2237677	b7e9c3f3aab1c59d6b5d396e9e24803970217841db17a67a3e55a378df97dcff	validated_complete
phase13_input_inventory_v1	inhibitory__conservation	07	inhibitory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Inhibitory_neurons.pseudobulk_count_conservation.tsv	943	2f693e01ab5513bf6c1f5cc0b5593b7ef0082462b7dd0457aedb455328707ae2	validated_complete
phase13_input_inventory_v1	inhibitory__manifest	07	inhibitory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Inhibitory_neurons.pseudobulk_manifest.tsv	859	bd96565805b9f53b440b00d3a4d4df707910f063ae6c69b72f37cb176fa48be4	validated_complete
phase13_input_inventory_v1	inhibitory__status	07	inhibitory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Inhibitory_neurons.pseudobulk_status.tsv	1317	4fa6d819cc76bd5f735079188188616b2dbc35f7ba164ee91c06bdce2a8d0125	validated_complete
phase13_input_inventory_v1	inhibitory__qc	04	inhibitory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/inhibitory_cell_qc.tsv.gz	13867969	c0390c32e55e62e354aca70d0a86441a258a8638a3075e0c908bc467e99dfb08	validated_complete
phase13_input_inventory_v1	inhibitory__qc_status	04	inhibitory	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/inhibitory_qc_status.tsv	1326	c4b882d314910db1f8923acf586b054a5c075fda2c97d1f8ad3edd47feaac95b	validated_complete
phase13_input_inventory_v1	immune__counts	07	immune	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Immune_cells.pseudobulk_counts.rds	25866212	28185fe58580d85e9f4b12e5466c63bd9b62e173bf5ba8a2d0883c187402869d	validated_complete
phase13_input_inventory_v1	immune__samples	07	immune	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Immune_cells.pseudobulk_samples.tsv	350272	df39a2e64119000443a48ec0cdaa9e84800538409dbcb0c6209c471f4d090756	validated_complete
phase13_input_inventory_v1	immune__conservation	07	immune	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Immune_cells.pseudobulk_count_conservation.tsv	891	3096b8168fbe7890d74561d011aae211ea564a94209067e952b6ee9fdbb86c65	validated_complete
phase13_input_inventory_v1	immune__manifest	07	immune	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Immune_cells.pseudobulk_manifest.tsv	809	40cb0b4d672c0de2c1215838f753cfbf372f07286aa255f8494ebae7446f1730	validated_complete
phase13_input_inventory_v1	immune__status	07	immune	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Immune_cells.pseudobulk_status.tsv	1303	69081ee3f2958ce0184df2aefb0245ac6c66e454d3f63cd2d281f479d624aa96	validated_complete
phase13_input_inventory_v1	immune__qc	04	immune	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/immune_cell_qc.tsv.gz	3253717	6610139dbfbc73357dec464e656722c9eb3a29d3fe679aa0d97578f634b1d40b	validated_complete
phase13_input_inventory_v1	immune__qc_status	04	immune	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/immune_qc_status.tsv	1313	6e06e088898ce3a646d15cbb98af72c27020cf93bda0445fb465b293d190f5f1	validated_complete
phase13_input_inventory_v1	opcs__counts	07	opcs	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/OPCs.pseudobulk_counts.rds	19935548	84e1555f4a211fbd9206c02ed950704fd3768de5e0e5a34dd15283c00aee5388	validated_complete
phase13_input_inventory_v1	opcs__samples	07	opcs	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/OPCs.pseudobulk_samples.tsv	79386	d006db1132c106e8208023078ee12d1cd087a02404a31902dc99fc84b3eeeddf	validated_complete
phase13_input_inventory_v1	opcs__conservation	07	opcs	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/OPCs.pseudobulk_count_conservation.tsv	865	92afdcc4b3ef66c60f55ae2fc3e5a1ba5b199c09897a766e03f0e890b2415ee3	validated_complete
phase13_input_inventory_v1	opcs__manifest	07	opcs	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/OPCs.pseudobulk_manifest.tsv	752	71033adaa847e020c912d82a55ab1172cf8f3dc633c53725a008eca1b557bc73	validated_complete
phase13_input_inventory_v1	opcs__status	07	opcs	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/OPCs.pseudobulk_status.tsv	1292	9a6c8f2d0738e1e108d1dfeddd820438c20884c5bf8d1a428efc99234e2d113e	validated_complete
phase13_input_inventory_v1	opcs__qc	04	opcs	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/opcs_cell_qc.tsv.gz	3544069	c797faa750430b76e9829125a8f495c670c43d64c4b77663248737b8b3a98129	validated_complete
phase13_input_inventory_v1	opcs__qc_status	04	opcs	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/opcs_qc_status.tsv	1303	ef106dc9b6fec603c94855c307c055b3c3315bb67ec252dcba20baff2ee38b2e	validated_complete
phase13_input_inventory_v1	oligodendrocytes__counts	07	oligodendrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Oligodendrocytes.pseudobulk_counts.rds	24234991	bd415a266a085b85b5325965e9c2492f01871b7cddbbc0607044db3ef5035adb	validated_complete
phase13_input_inventory_v1	oligodendrocytes__samples	07	oligodendrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Oligodendrocytes.pseudobulk_samples.tsv	89564	25702e543c9df5af55aa3ce4aa01bd5f754e380479d35d4dbe89e53a33808868	validated_complete
phase13_input_inventory_v1	oligodendrocytes__conservation	07	oligodendrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Oligodendrocytes.pseudobulk_count_conservation.tsv	1003	daba8bcc6c1e62edc9a80e94e87899bcdb54ea3493512b0f9071811d2c47e1ae	validated_complete
phase13_input_inventory_v1	oligodendrocytes__manifest	07	oligodendrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Oligodendrocytes.pseudobulk_manifest.tsv	861	56ed7bfed7f6cc902456e4f4f24e40a2fcfcd1284df83f1872c51a05c18545b1	validated_complete
phase13_input_inventory_v1	oligodendrocytes__status	07	oligodendrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Oligodendrocytes.pseudobulk_status.tsv	1318	04e9fae53f1d32334ac04141206a107adc4519149efcbe71bbedce5d2207a837	validated_complete
phase13_input_inventory_v1	oligodendrocytes__qc	04	oligodendrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/oligodendrocytes_cell_qc.tsv.gz	24373127	844fe63a2eee4f58c93458a2f64f2c95a8ff99736f3116f02719c0a853c2bc37	validated_complete
phase13_input_inventory_v1	oligodendrocytes__qc_status	04	oligodendrocytes	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/oligodendrocytes_qc_status.tsv	1331	470a0129f19034ab2c7ebf5f5539e56a45427a1b4ac34a5f58e04a84808ba788	validated_complete
phase13_input_inventory_v1	vasculature__counts	07	vasculature	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Vasculature_cells.pseudobulk_counts.rds	19557609	13a2405f8b7926cd583d43300c93bc56ade3021117a6f8311d38c905ebab1585	validated_complete
phase13_input_inventory_v1	vasculature__samples	07	vasculature	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Vasculature_cells.pseudobulk_samples.tsv	352731	c1733a3d4fd79d4f259c1278fbc37a9a304c1cf7a583c8a1f288165404aa4fe4	validated_complete
phase13_input_inventory_v1	vasculature__conservation	07	vasculature	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Vasculature_cells.pseudobulk_count_conservation.tsv	944	56521e126b9372eda9e302d6f213e8e45f0bfb6a01308298a50c78e2dd6136d3	validated_complete
phase13_input_inventory_v1	vasculature__manifest	07	vasculature	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Vasculature_cells.pseudobulk_manifest.tsv	854	d7ba6f234a593a621ee3612a4444532dba8f7aa2dec174ff3936ac56214f38db	validated_complete
phase13_input_inventory_v1	vasculature__status	07	vasculature	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/07_pseudobulk/Vasculature_cells.pseudobulk_status.tsv	1311	4cd60bd752a9b85ad9d2bd207d76f7a56b4e456debddd28386049df5947f5bce	validated_complete
phase13_input_inventory_v1	vasculature__qc	04	vasculature	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/vasculature_cell_qc.tsv.gz	735220	67caf08af0325c542eff482133de055a08c1d66525798da81839591f8360d33d	validated_complete
phase13_input_inventory_v1	vasculature__qc_status	04	vasculature	/sc/arion/work/zhuane01/alzheimer/results/minerva_production/04_qc/vasculature_qc_status.tsv	1322	641367edd64ae34d2e4cbbc865e9ee0d471c0d4bc5f9f4e9a640a4f2b1bbe69d	validated_complete
