schema_version	context_id	module_id	stratum_order	stratum_id	estimate	robust_se	ci_low	ci_high	p_value	model_status	failure_reason
phase13_module_stratum_v1	astrocytes	mib_micos_inner_membrane_19	5	Male__e33	-0.78721392671394	0.490946646992524	-1.75400447262182	0.179576619193936	0.110061085842605	estimated	
phase13_module_stratum_v1	astrocytes	mib_micos_inner_membrane_19	6	Male__e4	-0.50369686764053	0.35066710309606	-1.19424367575293	0.186849940471873	0.152105812032178	estimated	
phase13_module_stratum_v1	excitatory_neurons	mtdna_oxphos_13	1	Female__e2	0.241643817933644	0.339538840296249	-0.426952299799818	0.910239935667107	0.477299517173784	estimated	
phase13_module_stratum_v1	excitatory_neurons	mtdna_oxphos_13	2	Female__e33	0.607100449344175	0.212608197846091	0.188447268005102	1.02575363068325	0.00464378376158902	estimated	
phase13_module_stratum_v1	excitatory_neurons	mtdna_oxphos_13	3	Female__e4	0.0518377067507132	0.307201793417032	-0.553082561752819	0.656757975254245	0.866131132586284	estimated	
phase13_module_stratum_v1	excitatory_neurons	mtdna_oxphos_13	4	Male__e2	-0.474067714378038	0.731132054963123	-1.9137617802243	0.965626351468226	0.517297011540822	estimated	
phase13_module_stratum_v1	excitatory_neurons	mtdna_oxphos_13	5	Male__e33	0.307439693189552	0.24738463413058	-0.179692812247252	0.794572198626356	0.215075947792191	estimated	
phase13_module_stratum_v1	excitatory_neurons	mtdna_oxphos_13	6	Male__e4	0.388330792871836	0.410965507113468	-0.420913717531422	1.19757530327509	0.345575427266956	estimated	
phase13_module_stratum_v1	excitatory_neurons	nuclear_oxphos_structural_86	1	Female__e2	-0.00484127460839714	0.78939307381671	-1.55925886070559	1.5495763114888	0.995111381525159	estimated	
phase13_module_stratum_v1	excitatory_neurons	nuclear_oxphos_structural_86	2	Female__e33	-0.105009173897367	0.171699677072496	-0.443108159588071	0.233089811793337	0.541345873476382	estimated	
phase13_module_stratum_v1	excitatory_neurons	nuclear_oxphos_structural_86	3	Female__e4	-0.055576760554555	0.325129634969269	-0.695799279754084	0.584645758644974	0.864406070075765	estimated	
phase13_module_stratum_v1	excitatory_neurons	nuclear_oxphos_structural_86	4	Male__e2	-0.429806952439418	0.748192457829311	-1.90309516943891	1.04348126456007	0.566152963987187	estimated	
phase13_module_stratum_v1	excitatory_neurons	nuclear_oxphos_structural_86	5	Male__e33	0.0285628595902038	0.258334827635939	-0.480132000420602	0.537257719601009	0.912046387749071	estimated	
phase13_module_stratum_v1	excitatory_neurons	nuclear_oxphos_structural_86	6	Male__e4	0.0345829673141875	0.50621796132041	-0.962226008561652	1.03139194319003	0.945586311502869	estimated	
