schema_version	context_id	group_id	nucleus_threshold	donors	nuclei	total_umi_count	median_nuclei	median_percent_mt	severe_qc_profiles
phase13_qc_summary_v1	excitatory_neurons	AD__Female__e2	50	8	11203	221501167	1271.5	3.14865513107669	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Female__e33	50	45	112596	2138802755	1868	2.08289785686941	0
phase13_qc_summary_v1	excitatory_neurons	AD__Female__e33	50	37	94077	1547048820	2164	2.66515684072283	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Female__e4	50	11	34061	631603769	2270	2.73889377823389	0
phase13_qc_summary_v1	excitatory_neurons	AD__Female__e4	50	25	52345	983704802	1809	2.22948428295449	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Male__e2	50	6	15477	143114858	1951.5	2.10963129393598	0
phase13_qc_summary_v1	excitatory_neurons	AD__Male__e2	50	7	13579	269261518	1971	2.53758097084544	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Male__e33	50	53	154635	2593190747	2337	2.10553199129507	1
phase13_qc_summary_v1	excitatory_neurons	AD__Male__e33	50	28	86387	1023543456	1826	2.19107471537756	0
phase13_qc_summary_v1	excitatory_neurons	NCI__Male__e4	50	10	21899	371016571	2321	2.79078878138968	0
phase13_qc_summary_v1	excitatory_neurons	AD__Male__e4	50	27	60873	950800093	2066	2.27147907183165	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Female__e2	20	16	12733	116880977	740	2.63461777101753	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Female__e2	20	8	3590	41259973	449	3.40499617243259	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Female__e33	20	45	41837	453929939	798	2.54290509907636	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Female__e33	20	37	29875	283419422	654	3.25930863958111	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Female__e4	20	11	11232	115095733	665	2.80485428875051	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Female__e4	20	26	17215	174048618	580	2.76794379556643	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Male__e2	20	6	4294	21614616	522.5	2.29909755645265	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Male__e2	20	7	4928	58133949	814	2.57894055424024	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Male__e33	20	53	54893	531080272	969	2.70867670616273	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Male__e33	20	27	19935	195668327	609	2.64707656721496	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Male__e4	20	10	7275	60885711	749	3.04381850773267	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Male__e4	20	27	19160	178089299	761	2.1057901131938	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Female__e2	50	16	12733	116880977	740	2.63461777101753	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Female__e2	50	8	3590	41259973	449	3.40499617243259	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Female__e33	50	45	41837	453929939	798	2.54290509907636	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Female__e33	50	37	29875	283419422	654	3.25930863958111	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Female__e4	50	11	11232	115095733	665	2.80485428875051	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Female__e4	50	24	17155	173882435	603.5	2.53692910203427	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Male__e2	50	6	4294	21614616	522.5	2.29909755645265	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Male__e2	50	7	4928	58133949	814	2.57894055424024	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Male__e33	50	51	54824	530443669	996	2.55025244582401	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Male__e33	50	27	19935	195668327	609	2.64707656721496	0
phase13_qc_summary_v1	inhibitory_neurons	NCI__Male__e4	50	10	7275	60885711	749	3.04381850773267	0
phase13_qc_summary_v1	inhibitory_neurons	AD__Male__e4	50	26	19138	177873865	766	2.17553004736706	0
phase13_qc_summary_v1	immune_cells	NCI__Female__e2	20	14	2689	6876603	219.5	0.84756450046486	0
phase13_qc_summary_v1	immune_cells	AD__Female__e2	20	7	1141	2986038	146	1.0829374577294	0
phase13_qc_summary_v1	immune_cells	NCI__Female__e33	20	45	10252	32313386	219	0.864090504783056	0
phase13_qc_summary_v1	immune_cells	AD__Female__e33	20	37	7489	22588404	195	1.10661153080988	1
phase13_qc_summary_v1	immune_cells	NCI__Female__e4	20	11	2980	9906055	251	0.769359559605194	0
phase13_qc_summary_v1	immune_cells	AD__Female__e4	20	26	5905	18023209	209.5	1.02365229122958	2
phase13_qc_summary_v1	immune_cells	NCI__Male__e2	20	5	415	529275	62	1.17271151296781	0
phase13_qc_summary_v1	immune_cells	AD__Male__e2	20	7	1289	3141717	107	0.935555126455903	0
phase13_qc_summary_v1	immune_cells	NCI__Male__e33	20	51	12459	32385098	201	0.796160800502907	0
phase13_qc_summary_v1	immune_cells	AD__Male__e33	20	25	4545	12010206	150	0.899178246103854	0
phase13_qc_summary_v1	immune_cells	NCI__Male__e4	20	10	1901	4501204	133	1.27854318768176	0
phase13_qc_summary_v1	immune_cells	AD__Male__e4	20	26	4705	13821515	137	0.9789786908643	0
phase13_qc_summary_v1	immune_cells	NCI__Female__e2	50	12	2617	6669035	249.5	0.863135204653115	0
phase13_qc_summary_v1	immune_cells	AD__Female__e2	50	6	1103	2925374	151.5	1.09323247865847	0
phase13_qc_summary_v1	immune_cells	NCI__Female__e33	50	42	10137	32040170	223.5	0.860977602214451	0
phase13_qc_summary_v1	immune_cells	AD__Female__e33	50	32	7316	22420572	206	1.03001339919895	0
phase13_qc_summary_v1	immune_cells	NCI__Female__e4	50	11	2980	9906055	251	0.769359559605194	0
phase13_qc_summary_v1	immune_cells	AD__Female__e4	50	26	5905	18023209	209.5	1.02365229122958	2
phase13_qc_summary_v1	immune_cells	NCI__Male__e2	50	4	393	380689	73.5	1.18607387185118	0
phase13_qc_summary_v1	immune_cells	AD__Male__e2	50	5	1244	3076035	259	0.874426727024575	0
phase13_qc_summary_v1	immune_cells	NCI__Male__e33	50	48	12359	32256020	204.5	0.769805131265737	0
phase13_qc_summary_v1	immune_cells	AD__Male__e33	50	24	4520	11976850	154	0.898735289350005	0
phase13_qc_summary_v1	immune_cells	NCI__Male__e4	50	9	1880	4477347	150	1.12025705921579	0
phase13_qc_summary_v1	immune_cells	AD__Male__e4	50	23	4606	13687324	169	0.966514564851252	0
phase13_qc_summary_v1	opcs	NCI__Female__e2	20	15	3716	22995953	244	0.655977017994843	0
phase13_qc_summary_v1	opcs	AD__Female__e2	20	8	1325	11572139	119.5	0.615806748632994	0
phase13_qc_summary_v1	opcs	NCI__Female__e33	20	45	10650	80896087	201	0.540314611793025	0
phase13_qc_summary_v1	opcs	AD__Female__e33	20	37	8923	62891984	192	0.700973665651634	1
phase13_qc_summary_v1	opcs	NCI__Female__e4	20	11	2760	24414704	236	0.471921729636041	0
phase13_qc_summary_v1	opcs	AD__Female__e4	20	24	5225	40658799	196	0.638952881521341	0
phase13_qc_summary_v1	opcs	NCI__Male__e2	20	5	1391	4347033	207	0.86763662721362	0
phase13_qc_summary_v1	opcs	AD__Male__e2	20	7	1320	8646620	134	0.545745208651072	0
phase13_qc_summary_v1	opcs	NCI__Male__e33	20	53	14431	88372695	229	0.592695042650871	1
phase13_qc_summary_v1	opcs	AD__Male__e33	20	28	4871	34171247	168	0.606993968899901	1
phase13_qc_summary_v1	opcs	NCI__Male__e4	20	10	2083	12471889	226	0.529384654119688	0
phase13_qc_summary_v1	opcs	AD__Male__e4	20	25	5095	36392414	197	0.664230940120124	0
phase13_qc_summary_v1	opcs	NCI__Female__e2	50	14	3683	22668655	252	0.695585455770406	0
phase13_qc_summary_v1	opcs	AD__Female__e2	50	7	1302	11350898	138	0.616589172389968	0
phase13_qc_summary_v1	opcs	NCI__Female__e33	50	44	10608	80737393	202.5	0.537919288573607	0
phase13_qc_summary_v1	opcs	AD__Female__e33	50	36	8884	62745227	194	0.679678680154047	1
phase13_qc_summary_v1	opcs	NCI__Female__e4	50	11	2760	24414704	236	0.471921729636041	0
phase13_qc_summary_v1	opcs	AD__Female__e4	50	24	5225	40658799	196	0.638952881521341	0
phase13_qc_summary_v1	opcs	NCI__Male__e2	50	5	1391	4347033	207	0.86763662721362	0
phase13_qc_summary_v1	opcs	AD__Male__e2	50	5	1235	8357049	178	0.505048207596307	0
phase13_qc_summary_v1	opcs	NCI__Male__e33	50	52	14384	88264770	230	0.592106056071724	1
phase13_qc_summary_v1	opcs	AD__Male__e33	50	24	4721	33652779	175	0.588981407740479	1
phase13_qc_summary_v1	opcs	NCI__Male__e4	50	8	2008	12226175	282.5	0.547879212804002	0
phase13_qc_summary_v1	opcs	AD__Male__e4	50	25	5095	36392414	197	0.664230940120124	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Female__e2	20	17	21373	70314609	1340	1.21037275557989	0
phase13_qc_summary_v1	oligodendrocytes	AD__Female__e2	20	8	11733	60965057	1347	1.13235184913775	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Female__e33	20	45	75904	325734822	1510	1.11786195293439	0
phase13_qc_summary_v1	oligodendrocytes	AD__Female__e33	20	37	67094	260663492	1493	1.29569194586026	1
phase13_qc_summary_v1	oligodendrocytes	NCI__Female__e4	20	11	27181	121250800	2018	1.28968009920196	0
phase13_qc_summary_v1	oligodendrocytes	AD__Female__e4	20	26	45666	201697820	1325.5	1.11676995712078	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Male__e2	20	6	5807	13571907	698.5	1.4703526339727	0
phase13_qc_summary_v1	oligodendrocytes	AD__Male__e2	20	7	9717	33973863	1068	1.05495933093339	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Male__e33	20	53	94184	325480900	1410	1.24005202506662	0
phase13_qc_summary_v1	oligodendrocytes	AD__Male__e33	20	28	35863	145837540	777	1.25255950220592	1
phase13_qc_summary_v1	oligodendrocytes	NCI__Male__e4	20	10	15559	57574113	1425.5	1.18628480205466	0
phase13_qc_summary_v1	oligodendrocytes	AD__Male__e4	20	27	37526	156203695	1324	1.24930053395074	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Female__e2	50	17	21373	70314609	1340	1.21037275557989	0
phase13_qc_summary_v1	oligodendrocytes	AD__Female__e2	50	8	11733	60965057	1347	1.13235184913775	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Female__e33	50	45	75904	325734822	1510	1.11786195293439	0
phase13_qc_summary_v1	oligodendrocytes	AD__Female__e33	50	37	67094	260663492	1493	1.29569194586026	1
phase13_qc_summary_v1	oligodendrocytes	NCI__Female__e4	50	11	27181	121250800	2018	1.28968009920196	0
phase13_qc_summary_v1	oligodendrocytes	AD__Female__e4	50	26	45666	201697820	1325.5	1.11676995712078	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Male__e2	50	6	5807	13571907	698.5	1.4703526339727	0
phase13_qc_summary_v1	oligodendrocytes	AD__Male__e2	50	7	9717	33973863	1068	1.05495933093339	0
phase13_qc_summary_v1	oligodendrocytes	NCI__Male__e33	50	53	94184	325480900	1410	1.24005202506662	0
phase13_qc_summary_v1	oligodendrocytes	AD__Male__e33	50	28	35863	145837540	777	1.25255950220592	1
phase13_qc_summary_v1	oligodendrocytes	NCI__Male__e4	50	10	15559	57574113	1425.5	1.18628480205466	0
phase13_qc_summary_v1	oligodendrocytes	AD__Male__e4	50	26	37492	156133055	1331.5	1.26042819423129	0
phase13_qc_summary_v1	vasculature	NCI__Female__e2	20	10	519	1466825	34.5	1.27193153228476	0
phase13_qc_summary_v1	vasculature	AD__Female__e2	20	3	206	494560	29	1.42985951543003	0
phase13_qc_summary_v1	vasculature	NCI__Female__e33	20	35	1875	5521892	49	1.48341153510775	0
phase13_qc_summary_v1	vasculature	AD__Female__e33	20	29	1969	5878455	41	1.56893658139653	0
phase13_qc_summary_v1	vasculature	NCI__Female__e4	20	9	600	2118095	49	1.14962918132942	0
phase13_qc_summary_v1	vasculature	AD__Female__e4	20	19	940	3004029	40	1.6404788857171	0
phase13_qc_summary_v1	vasculature	NCI__Male__e2	20	3	252	345240	63	2.91817059043169	0
phase13_qc_summary_v1	vasculature	AD__Male__e2	20	4	229	575253	34.5	0.937396103017306	0
phase13_qc_summary_v1	vasculature	NCI__Male__e33	20	39	3141	8865746	56	1.31741630355192	0
phase13_qc_summary_v1	vasculature	AD__Male__e33	20	20	977	2895017	48	1.48300627809208	0
phase13_qc_summary_v1	vasculature	NCI__Male__e4	20	6	434	1193257	80	1.26848976237523	0
phase13_qc_summary_v1	vasculature	AD__Male__e4	20	21	1034	3213145	38	1.80409289991632	0
phase13_qc_summary_v1	vasculature	NCI__Female__e2	50	4	331	900402	81.5	1.17954793061959	0
phase13_qc_summary_v1	vasculature	AD__Female__e2	50	1	155	343810	155	1.42985951543003	0
phase13_qc_summary_v1	vasculature	NCI__Female__e33	50	16	1287	3323510	69.5	1.39431479282544	0
phase13_qc_summary_v1	vasculature	AD__Female__e33	50	14	1494	4133865	90.5	1.56986848221335	0
phase13_qc_summary_v1	vasculature	NCI__Female__e4	50	4	410	1423890	108	1.08776908108743	0
phase13_qc_summary_v1	vasculature	AD__Female__e4	50	7	582	1767283	74	1.6404788857171	0
phase13_qc_summary_v1	vasculature	NCI__Male__e2	50	2	216	301929	108	2.32008861668933	0
phase13_qc_summary_v1	vasculature	AD__Male__e2	50	1	137	280853	137	0.534087227125934	0
phase13_qc_summary_v1	vasculature	NCI__Male__e33	50	25	2703	7322323	105	1.2589928057554	0
phase13_qc_summary_v1	vasculature	AD__Male__e33	50	9	611	1689776	65	1.36016275943379	0
phase13_qc_summary_v1	vasculature	NCI__Male__e4	50	4	360	1023280	88	1.13876982582963	0
phase13_qc_summary_v1	vasculature	AD__Male__e4	50	4	437	1345012	86.5	1.53237710474232	0
