schema_version	network	gene	included_reason	directed_depth_from_selenow	upstream_depth_to_selenow	is_direct_incoming_neighbor	is_direct_outgoing_neighbor	supporting_neighborhood_occurrence_count	supporting_neighborhood_occurrence_fraction	query_hit_occurrence_count	query_hit_occurrence_fraction	query_hit_display_threshold_count	query_hit_display_threshold_fraction	is_query_hit_meeting_display_threshold	is_core_mitocarta	hgnc_name	phase08_deg_class	phase08_up_count	phase08_down_count	in_degree_full	out_degree_full	in_degree_display	out_degree_display
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	GUK1	query_hit_meeting_display_threshold	3.0		False	False	11	0.7857142857142857	8	0.5714285714285714	4	0.2857142857142857	True	True	guanylate kinase 1	mixed	4	10	2	3	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	LAGE3	all_direct_outgoing	1.0		False	True	14	1.0	0	0.0	4	0.2857142857142857	False	False	L antigen family member 3	mixed	8	15	1	8	1	5
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	LAMTOR5	upstream_context		2.0	False	False	0	0.0	0	0.0	4	0.2857142857142857	False	False	late endosomal/lysosomal adaptor, MAPK and MTOR activator 5	mixed	10	10	1	9	0	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	MIEN1	shortest_path_connector	2.0		False	False	13	0.9285714285714286	0	0.0	4	0.2857142857142857	False	False	migration and invasion enhancer 1	mixed	12	11	2	6	1	2
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	MRPL34	query_hit_meeting_display_threshold	3.0		False	False	10	0.7142857142857143	6	0.42857142857142855	4	0.2857142857142857	True	True	mitochondrial ribosomal protein L34	mixed	8	4	2	6	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	MRPL4	query_hit_meeting_display_threshold	3.0		False	False	10	0.7142857142857143	6	0.42857142857142855	4	0.2857142857142857	True	True	mitochondrial ribosomal protein L4	mixed	3	5	2	3	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	MRPS34	query_hit_meeting_display_threshold	3.0		False	False	10	0.7142857142857143	8	0.5714285714285714	4	0.2857142857142857	True	True	mitochondrial ribosomal protein S34	mixed	4	10	1	6	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	NDUFB11	query_hit_meeting_display_threshold	2.0		False	False	14	1.0	13	0.9285714285714286	4	0.2857142857142857	True	True	NADH:ubiquinone oxidoreductase subunit B11	mixed	14	9	2	2	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	PRELID1	all_direct_outgoing|query_hit_meeting_display_threshold	1.0		False	True	14	1.0	14	1.0	4	0.2857142857142857	True	True	PRELI domain containing 1	mixed	10	9	1	7	1	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	PSEN1	all_direct_outgoing	1.0		False	True	14	1.0	0	0.0	4	0.2857142857142857	False	False	presenilin 1	down_only	0	1	2	1	1	0
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	PSMD8	shortest_path_connector	2.0		False	False	14	1.0	0	0.0	4	0.2857142857142857	False	False	proteasome 26S subunit, non-ATPase 8	mixed	5	11	2	1	1	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	SELENOM	shortest_path_connector	2.0		False	False	14	1.0	0	0.0	4	0.2857142857142857	False	False	selenoprotein M	mixed	5	14	2	5	1	3
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	SELENOW	driver	0.0		False	False	14	1.0	0	0.0	4	0.2857142857142857	False	False	selenoprotein W	mixed	4	16	1	7	1	7
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	SLC25A4	query_hit_meeting_display_threshold	2.0		False	False	14	1.0	11	0.7857142857142857	4	0.2857142857142857	True	True	solute carrier family 25 member 4	mixed	12	11	2	8	1	1
phase18_selenow_excitatory_consensus_v1	Excitatory_neurons	STRAP	all_direct_outgoing	1.0		False	True	14	1.0	0	0.0	4	0.2857142857142857	False	False	serine/threonine kinase receptor associated protein	mixed	2	4	1	0	1	0
