schema_version	report_type	summary_scope	broad_network	case_id	filter_number	filter_name	ordered_funnel_step	counting_unit	input_n	pass_n	fail_n	cumulative_remaining_n	input_distinct_gene_n	pass_distinct_gene_n	fail_distinct_gene_n	remaining_distinct_gene_n	explicit_n	implicit_n	absent_n	invalid_n	not_testable_n	failure_reason
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case2_core_mito_not_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	605	2	603	2	605	2	603	2	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case2_core_mito_not_in_query	4	coverage	4	gene_broad_network_case_aggregate	605	437	168	437	605	437	168	437	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case2_core_mito_not_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	605	2	603	2	605	2	603	2	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case3_not_core_mito	3	conservative_support	3	gene_broad_network_case_aggregate	6881	21	6860	21	6881	21	6860	21	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case3_not_core_mito	4	coverage	4	gene_broad_network_case_aggregate	21	19	2	19	21	19	2	19	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Astrocytes	case3_not_core_mito	5	aggregate_evidence	5	gene_broad_network_case_aggregate	19	5	14	5	19	5	14	5	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case3_not_core_mito	3	conservative_support	3	gene_broad_network_case_aggregate	6881	21	6860	21	6881	21	6860	21	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case3_not_core_mito	4	coverage	4	gene_broad_network_case_aggregate	6881	5365	1516	5365	6881	5365	1516	5365	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Astrocytes	case3_not_core_mito	5	aggregate_evidence	5	gene_broad_network_case_aggregate	6881	5	6876	5	6881	5	6876	5	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Excitatory_neurons	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	10700	156	10544	156	9926	136	9813	136	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Excitatory_neurons	ALL	4	coverage	4	gene_broad_network_case_aggregate	156	151	5	151	136	131	5	131	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network	Excitatory_neurons	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	151	49	102	49	131	40	97	40	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Excitatory_neurons	ALL	3	conservative_support	3	gene_broad_network_case_aggregate	10700	156	10544	156	9926	136	9813	136	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Excitatory_neurons	ALL	4	coverage	4	gene_broad_network_case_aggregate	10700	9255	1445	9255	9926	8586	1445	8586	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network	Excitatory_neurons	ALL	5	aggregate_evidence	5	gene_broad_network_case_aggregate	10700	49	10651	49	9926	40	9896	40	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case1_core_mito_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	774	39	735	39	774	39	735	39	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case1_core_mito_in_query	4	coverage	4	gene_broad_network_case_aggregate	39	39	0	39	39	39	0	39	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case1_core_mito_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	39	19	20	19	39	19	20	19	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case1_core_mito_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	774	39	735	39	774	39	735	39	NA	NA	NA	0	0	no_conservative_support
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case1_core_mito_in_query	4	coverage	4	gene_broad_network_case_aggregate	774	774	0	774	774	774	0	774	NA	NA	NA	0	0	coverage_below_0_80
mitochondrial_key_driver_selection_v1_filter_funnel_v1	independent_gate	broad_network_case	Excitatory_neurons	case1_core_mito_in_query	5	aggregate_evidence	5	gene_broad_network_case_aggregate	774	19	755	19	774	19	755	19	NA	NA	NA	0	0	acat_q_above_0_05_or_not_testable
mitochondrial_key_driver_selection_v1_filter_funnel_v1	sequential_candidate_funnel	broad_network_case	Excitatory_neurons	case2_core_mito_not_in_query	3	conservative_support	3	gene_broad_network_case_aggregate	825	24	801	24	825	24	801	24	NA	NA	NA	0	0	no_conservative_support
