schema_version	broad_network	case_order	case_id	list_status	total_passing_candidate_count	displayed_candidate_count	display_rank	current_symbol	aggregate_acat_p	aggregate_acat_q	coverage_numerator	coverage_denominator	coverage_fraction	conservative_support_count	evidence_tier	empty_result_reason
mitochondrial_key_driver_selection_v1_top5_v1	CAMs	3	case3_not_core_mito	not_testable_no_included_runs	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	broad_network_has_zero_included_runs
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	1	case1_core_mito_in_query	ranked_candidates	19	5	1	MT-CO2	3.44299385893705e-25	3.18649081644624e-21	34	34	1.0	32	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	1	case1_core_mito_in_query	ranked_candidates	19	5	2	UQCR10	1.2074752555648106e-14	5.587591745126161e-11	18	18	1.0	18	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	1	case1_core_mito_in_query	ranked_candidates	19	5	3	COX4I1	1.5543293261888636e-12	3.5963294784694833e-09	21	21	1.0	15	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	1	case1_core_mito_in_query	ranked_candidates	19	5	4	COX6B1	9.045487817302094e-11	1.395266495818848e-07	25	25	1.0	20	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	1	case1_core_mito_in_query	ranked_candidates	19	5	5	MT-CYB	4.865112408820681e-09	5.002957260403934e-06	32	32	1.0	21	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	1	MT-CO2	2.2944062779896115e-11	4.246946020558771e-08	63	63	1.0	9	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	2	MT-CYB	5.979508051105632e-07	0.0003952881929498759	65	65	1.0	8	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	3	COX4I1	3.4539362373240593e-06	0.0021310786584289444	76	76	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	4	MT-ND4L	3.803704624230536e-06	0.0021942274200684965	66	66	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	5	UQCR10	7.070776839242077e-06	0.002617601585887417	79	79	1.0	5	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	3	case3_not_core_mito	ranked_candidates	21	5	1	RPL11	6.503322187746793e-13	2.0062748949198854e-09	97	97	1.0	20	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	3	case3_not_core_mito	ranked_candidates	21	5	2	RPS13	3.810746310662914e-09	5.002957260403934e-06	95	97	0.979381443298969	10	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	3	case3_not_core_mito	ranked_candidates	21	5	3	SELENOW	4.7430512286758335e-09	5.002957260403934e-06	97	97	1.0	14	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	3	case3_not_core_mito	ranked_candidates	21	5	4	LAMTOR5	4.082987826979987e-06	0.0021942274200684965	93	97	0.9587628865979382	12	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Excitatory_neurons	3	case3_not_core_mito	ranked_candidates	21	5	5	DYNLT1	4.267541173552992e-06	0.0021942274200684965	83	97	0.8556701030927835	2	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	1	case1_core_mito_in_query	ranked_candidates	12	5	1	MT-CO2	1.853939668014416e-22	1.4293874840391146e-18	5	5	1.0	5	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	1	case1_core_mito_in_query	ranked_candidates	12	5	2	MT-CO3	3.0404139855877804e-12	1.1720795914440893e-08	4	4	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	1	case1_core_mito_in_query	ranked_candidates	12	5	3	MT-CYB	5.131816550747508e-12	1.3188768535421097e-08	5	5	1.0	5	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	1	case1_core_mito_in_query	ranked_candidates	12	5	4	MT-ND5	3.7441254000963624e-10	7.216801708685738e-07	7	7	1.0	5	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	1	case1_core_mito_in_query	ranked_candidates	12	5	5	COX7C	1.5495771446427578e-09	2.3894479570391327e-06	10	10	1.0	5	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	1	MT-CO3	3.2044361569715225e-08	4.117700461708407e-05	24	24	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	2	MT-ND5	1.1369237318875937e-05	0.00628488254475477	21	21	1.0	3	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	3	MT-CO2	3.3672433857809134e-05	0.015271439120218144	23	23	1.0	3	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	4	ATP5PF	3.806857947514046e-05	0.015642741305068295	22	22	1.0	4	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	2	case2_core_mito_not_in_query	ranked_candidates	9	5	5	ATP5MC3	3.854890853389074e-05	0.015642741305068295	22	23	0.9565217391304348	6	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	3	case3_not_core_mito	ranked_candidates	5	5	1	RPS15	1.285122422488673e-06	0.0011009215419319632	28	28	1.0	11	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	3	case3_not_core_mito	ranked_candidates	5	5	2	LAMTOR5	5.181466066139895e-06	0.003631736669994417	26	28	0.9285714285714286	5	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	3	case3_not_core_mito	ranked_candidates	5	5	3	RPLP1	7.84938320591808e-06	0.0050432287098023665	28	28	1.0	11	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	3	case3_not_core_mito	ranked_candidates	5	5	4	ATP6V1F	5.484953508515869e-05	0.01922226888666243	28	28	1.0	5	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Inhibitory_neurons	3	case3_not_core_mito	ranked_candidates	5	5	5	RPL38	9.132228796124589e-05	0.029337285007550243	26	28	0.9285714285714286	3	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Microglia	1	case1_core_mito_in_query	ranked_candidates	2	2	1	MT-CO2	7.832890024363838e-19	3.1832865059014636e-15	2	2	1.0	2	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Microglia	1	case1_core_mito_in_query	ranked_candidates	2	2	2	MT-ND4	3.239908122998623e-06	0.0065834933059332025	3	3	1.0	3	tier1_recurrent_stable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Microglia	2	case2_core_mito_not_in_query	ranked_candidates	1	1	1	MT-CO2	2.7058204845192916e-05	0.027491136122716003	4	4	1.0	1	tier2_localized_or_unstable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Microglia	3	case3_not_core_mito	ranked_candidates	1	1	1	RPL11	8.039825966182713e-06	0.010891284242188848	6	6	1.0	1	tier2_localized_or_unstable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	1	case1_core_mito_in_query	ranked_candidates	4	4	1	MT-CO3	6.37704853340537e-13	2.212516988664993e-09	2	2	1.0	2	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	1	case1_core_mito_in_query	ranked_candidates	4	4	2	MT-CO2	1.7497132270475178e-07	0.00030353150206206814	2	2	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	1	case1_core_mito_in_query	ranked_candidates	4	4	3	MT-ND4	8.233249520973088e-06	0.009521753071005376	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	1	case1_core_mito_in_query	ranked_candidates	4	4	4	PSAP	5.667903368149704e-05	0.0393295814715908	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	2	case2_core_mito_not_in_query	ranked_candidates	2	2	1	MT-ND4	1.0592159755910167e-05	0.010499856649465806	5	5	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	2	case2_core_mito_not_in_query	ranked_candidates	2	2	2	MT-CO2	3.635382148062667e-05	0.031532395906758555	4	4	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	3	case3_not_core_mito	ranked_candidates	4	4	1	RPS15	5.864252183499891e-16	4.069204590130574e-12	6	6	1.0	2	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	3	case3_not_core_mito	ranked_candidates	4	4	2	FTL	9.709306937536999e-08	0.0002245762694652308	6	6	1.0	2	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	3	case3_not_core_mito	ranked_candidates	4	4	3	ANKRD11	5.259996911384487e-07	0.000729982371361939	6	6	1.0	2	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	OPCs	3	case3_not_core_mito	ranked_candidates	4	4	4	NCOA1	4.751138669123453e-05	0.03663127913894182	6	6	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Oligodendrocytes	1	case1_core_mito_in_query	ranked_candidates	2	2	1	MT-CO2	1.0058286718653573e-17	4.7022490409705454e-14	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Oligodendrocytes	1	case1_core_mito_in_query	ranked_candidates	2	2	2	MT-ND4	2.4543377717833065e-07	0.0005737014541543478	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Oligodendrocytes	2	case2_core_mito_not_in_query	no_passing_candidate	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_gene_passed_all_three_candidate_gates
mitochondrial_key_driver_selection_v1_top5_v1	Oligodendrocytes	3	case3_not_core_mito	ranked_candidates	1	1	1	RPL11	1.8158810685601265e-05	0.028297479985061973	2	2	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	T_cells	1	case1_core_mito_in_query	not_testable_no_included_runs	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	broad_network_has_zero_included_runs
mitochondrial_key_driver_selection_v1_top5_v1	T_cells	2	case2_core_mito_not_in_query	not_testable_no_included_runs	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	broad_network_has_zero_included_runs
mitochondrial_key_driver_selection_v1_top5_v1	T_cells	3	case3_not_core_mito	not_testable_no_included_runs	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	broad_network_has_zero_included_runs
mitochondrial_key_driver_selection_v1_top5_v1	Vasculature_cells	1	case1_core_mito_in_query	ranked_candidates	4	4	1	MT-CO3	6.440235728935366e-18	2.373870889685576e-14	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Vasculature_cells	1	case1_core_mito_in_query	ranked_candidates	4	4	2	MT-CO2	4.980487313806649e-10	9.179038119345654e-07	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Vasculature_cells	1	case1_core_mito_in_query	ranked_candidates	4	4	3	MT-ATP6	3.254775739587875e-07	0.0003999034458706969	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Vasculature_cells	1	case1_core_mito_in_query	ranked_candidates	4	4	4	MT-ND4	1.6181190579657328e-06	0.0014910967119154228	1	1	1.0	1	tier_not_assessable	NA
mitochondrial_key_driver_selection_v1_top5_v1	Vasculature_cells	2	case2_core_mito_not_in_query	no_passing_candidate	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_gene_passed_all_three_candidate_gates
mitochondrial_key_driver_selection_v1_top5_v1	Vasculature_cells	3	case3_not_core_mito	no_passing_candidate	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_gene_passed_all_three_candidate_gates
