schema_version	library	pathway	pathway_url	background_definition	background_gene_count	displayed_mapped_gene_count	pathway_background_gene_count	overlap_gene_count	overlap_genes	fold_enrichment	raw_hypergeometric_p	bh_fdr	selected_representative	pathway_code	pathway_display_label	pathway_color	selection_rule
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_OXIDATIVE_PHOSPHORYLATION	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_OXIDATIVE_PHOSPHORYLATION	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	98	10	ATP5ME;ATP5PF;COX7C;NDUFA1;NDUFB3;NDUFB9;NDUFS5;NDUFS6;UQCRFS1;UQCRQ	20.8643457382953	1.92582068209349e-11	1.59476293626695e-09	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_PARKINSONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_PARKINSONS_DISEASE	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	99	10	ATP5PF;COX7C;NDUFA1;NDUFB3;NDUFB9;NDUFS5;NDUFS6;SLC25A5;UQCRFS1;UQCRQ	20.6535947712418	2.13540948807176e-11	1.68794413625308e-09	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	92	9	PSMB6;RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS27A	20.002557544757	3.34351484317607e-10	2.52798796186225e-08	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_HUNTINGTONS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_HUNTINGTONS_DISEASE	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	134	10	ATP5PF;COX7C;NDUFA1;NDUFB3;NDUFB9;NDUFS5;NDUFS6;SLC25A5;UQCRFS1;UQCRQ	15.2589991220369	4.47108519318279e-10	3.23967381289369e-08	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	386	14	PSMB6;RPL10A;RPL11;RPL13;RPL30;RPL5;RPL6;RPLP2;RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	7.41603169765315	1.05428856315322e-09	7.33363124529382e-08	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	110	9	COX7C;NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6;UQCRFS1;UQCRQ	16.7294117647059	1.68474299005724e-09	1.12683386911905e-07	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_ALZHEIMERS_DISEASE	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_ALZHEIMERS_DISEASE	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	115	9	ATP5PF;COX7C;NDUFA1;NDUFB3;NDUFB9;NDUFS5;NDUFS6;UQCRFS1;UQCRQ	16.0020460358056	2.50998050034579e-09	1.6166133667042e-07	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	50	7	NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS6;UQCRFS1;UQCRQ	28.6258823529412	2.98875927507299e-09	1.85623299262569e-07	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	121	9	COX7C;NDUFA1;NDUFA12;NDUFB3;NDUFB9;NDUFS5;NDUFS6;UQCRFS1;UQCRQ	15.2085561497326	3.95361224474827e-09	2.37080403228181e-07	FALSE	NA	NA	NA	NA
phase18_rpl11_deep_dive_v1	MSigDB C2:CP v2026.1 Hs symbols	REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	all excitatory Bayesian-network genes represented in MSigDB C2:CP	6952	34	31	6	RPS12;RPS13;RPS15;RPS23;RPS27A;RPS9	39.5749525616698	5.80420130407268e-09	3.36450202259413e-07	FALSE	NA	NA	NA	NA
