PIK3CD-AS2	GDPD4
ZBTB20-AS5	PLAT
ZBTB20-AS2	LINC02352
POLQ	TTK
POLQ	MCM10
POLQ	WEE1
POLQ	CDCA5
POLQ	PKMYT1
POLQ	SLFN13
ITGB5-AS1	KCNIP2-AS1
ALDH1L1	ACSBG1
COL6A6	TSHR
COL6A6	C21orf62
RBP2	ITFG1-AS1
SLC9A9-AS1	TSACC
CP	FAM177B
CP	LINC02576
CP	C11orf42
CP	OLFML1
CP	AC010331.1
ANKUB1	DPYD-AS1
ANKUB1	DIRC3-AS1
ANKUB1	STX19
ANKUB1	ST7-AS2
ANKUB1	PRKAG2-AS1
ANKUB1	KCNMA1-AS1
ANKUB1	SBNO1-AS1
ANKUB1	GPX2
ANKUB1	MRTFA-AS1
P2RY12	CX3CR1
P2RY12	CYSLTR1
SLC7A14-AS1	LINC00609
CHRD	YPEL4
SST	GPR22
SST	FAM226B
BCL6	TBC1D8
BCL6	PIM1
BCL6	PPA1
BCL6	MPEG1
BCL6	IL21R
BCL6	SCO2
TPRG1	EMILIN2
TFRC	HIF1A
SLC51A	LINC02231
AC092535.4	RNF212
NSG1	RAB3A
CLNK	ABCA13
AC006160.1	SNHG8
NCAPG	IQGAP3
UCHL1	KLHDC9
UCHL1	TAGLN3
UCHL1	UNC5A
UCHL1	NPY
UCHL1	GOLGA7B
UCHL1	FBXL16
UCHL1	SYNGR3
UCHL1	TGFBR3L
UCHL1	ICAM5
OCIAD1-AS1	ARAP1-AS2
CCNG2	IQGAP2
WDFY3-AS1	SATL1
CENPE	CENPU
CENPE	LINC01572
ARHGEF38	KDM4A-AS1
ARHGEF38	TSTD1
ARHGEF38	SPDYE21P
ARHGEF38	RTL8A
LINC02263	LINC01202
LINC02263	SLC22A9
LINC02263	LINC02822
PDE5A	KCNJ13
PDE5A	DENND6A-AS1
PDE5A	FAT2
PDE5A	INSL6
PDE5A	PLCG1-AS1
IL15	LINC02432
IL15	DRAM1
HHIP	LINC01411
TIGD4	MMP2
FHDC1	MIA
C4orf45	TP53TG5
SAP30	PLIN2
SCRG1	KLHL6-AS1
NEIL3	RRM2
NEIL3	E2F7
NEIL3	CENPM
LINC01098	SLC30A10
LINC01098	USP2-AS1
LINC01098	AK7
CENPU	GINS1
ACSL1	SH3PXD2B
LINC02112	LINC02224
FBXL7	ZNF462
LINC02217	LINC02263
LINC02217	MRAP2
LINC02217	MEIS3
ITGA2	COL4A5
CENPK	CDCA8
CENPK	BUB1
CENPK	ZWINT
CENPK	FANCA
CD180	SNHG26
CD180	BAG3
ANKDD1B	BAALC-AS1
RPS23	RPLP1
RPS23	RPL26
MEF2C-AS2	TMEM269
MEF2C-AS2	EFCAB14-AS1
MEF2C-AS2	C6orf226
MEF2C-AS2	DOCK4-AS1
MEF2C-AS2	LINC01375
MEF2C-AS2	KCNQ1OT1
MEF2C-AS2	BCL2L14
MEF2C-AS2	COX14
MEF2C-AS2	GPR18
MEF2C-AS2	LINC02316
MEF2C-AS2	UBOX5-AS1
MEF2C-AS2	OVOL2
LIX1-AS1	LINC01340
LMNB1	ADGRE1
ADAMTS19	SLC28A2
ADAMTS19	PPP1R14A
TH2LCRR	RHD
TH2LCRR	MAGI1-AS1
TH2LCRR	G2E3-AS1
TGFBI	PTPN22
TGFBI	ANXA1
PKD2L2	SLC27A2
CD14	PRELID1
CD14	FUOM
CD14	MIR22HG
ARHGAP26-AS1	SLC5A9
ARHGAP26-AS1	DNAJB7
INSYN2B	FLG
INSYN2B	C1orf147
INSYN2B	TRIM17
INSYN2B	FOXP1-AS1
INSYN2B	ANKUB1
INSYN2B	TBL1XR1-AS1
INSYN2B	WWC2-AS1
INSYN2B	GJB7
INSYN2B	SLC26A5
INSYN2B	ENO4
INSYN2B	LIPE
INSYN2B	TTC3-AS1
INSYN2B	MTCP1
SH3PXD2B	PEBP4
DUSP1	RGS1
DUSP1	ARL4C
DUSP1	FTH1
UNC5A	SPEG
UNC5A	SGPP2
UNC5A	CRMP1
UNC5A	GRIK4
UNC5A	LAMA5
PRELID1	PPP1R14B
FAM153A	LRRC2
FAM153A	GCNT4
LTC4S	HNRNPA1P48
GFPT2	COL26A1
GFPT2	GPR176
FAM217A	RBM5-AS1
FAM217A	NOL4L-DT
FAM217A	LCA5L
HIST1H4B	HIST1H2AM
HIST1H1C	HIST1H2BC
HIST1H1C	HIST1H1D
HIST1H1C	HIST1H2BJ
HIST1H1C	HIST1H2AG
HIST1H1C	HIST1H2AH
HIST1H1C	HIST1H3H
HIST1H1C	HIST1H1B
HIST1H2BC	HIST2H3D
HIST1H2BC	HIST2H2AA4
HIST1H2BC	HIST2H2AC
HIST1H2BC	HIST1H2AE
HIST1H2BC	PCF11-AS1
HIST1H2AC	HIST3H2A
HIST1H2AC	HIST1H4B
HIST1H2AC	HIST1H2BD
HIST1H2AC	HIST1H3D
HIST1H2AC	HIST1H4E
HIST1H2AC	HIST1H2BH
HIST1H2AC	UBC
HIST1H1E	HIST1H2BF
HIST1H1E	HIST1H2BK
HIST1H1E	HIST1H2AI
HIST1H2BD	HIST2H2BE
HIST1H3D	HIST3H2BB
HIST1H2BF	HIST1H2BB
HIST1H4E	TBXA2R
HIST1H2BG	HIST2H2BF
HIST1H2BG	HIST2H2BE
HIST1H2BG	HIST1H2AD
HIST1H2AE	HIST2H2AB
HIST1H2AE	HIST1H2BG
HIST1H1D	HIST1H1E
HIST1H1D	HIST1H2BL
HIST1H1D	GPR183
HIST1H4H	MYOCOS
HIST1H4H	AL353759.1
HIST1H2AG	HIST1H2AK
HIST1H2AH	LINC01238
HIST1H2AH	ZBTB20-AS4
HIST1H2BL	HIST1H2AL
HIST1H3H	HIST1H2AL
HIST1H2AK	HIST1H2BE
HIST1H2AK	HIST1H3J
MOG	MOBP
MDC1-AS1	LNCOC1
MDC1-AS1	NUCB1-AS1
ATP6V1G2	SLC25A22
HSPA1A	HSPA1B
TSBP1	MATN4
HLA-DQB1	HLA-DQA1
FKBP5	MAP3K6
FKBP5	ZBTB16
PPIL1	MYC
PPIL1	HYOU1
PPIL1	SLC7A1
PIM1	LINC00921
PIM1	ADGRE2
PIM1	BCL3
LRFN2	DLGAP3
LRFN2	CFAP46
LRFN2	ABCC8
HCRTR2	PDE11A
HCRTR2	CLNK
HCRTR2	ANGPTL5
ZNF451-AS1	CNOT10-AS1
ZNF451-AS1	LINC02585
ZNF451-AS1	B4GALT4-AS1
ZNF451-AS1	OCIAD1-AS1
ZNF451-AS1	PLN
ZNF451-AS1	CPHXL
ZNF451-AS1	EPN2-AS1
AL391807.1	HHIP
AL391807.1	TENM3-AS1
AL391807.1	LURAP1L
AL391807.1	OPALIN
AL391807.1	ZNF233
AL391807.1	MEIS3
PRDM1	CXCR4
RNF217-AS1	ANKDD1B
RNF217-AS1	LINC01277
OPRM1	C16orf91
CNKSR3	LINC01821
AMZ1	MKNK1-AS1
AMZ1	ACKR4
AMZ1	LPP-AS1
AMZ1	SLC51A
AMZ1	GNRHR
AMZ1	PRKG1-AS1
AMZ1	C17orf64
AMZ1	RAB37
RPA3	CLDN20
NPY	OPRK1
NPY	TMEM179
ELMO1-AS1	LYSMD1
ELMO1-AS1	AL606489.1
ELMO1-AS1	CP
ELMO1-AS1	CFTR
ELMO1-AS1	LACTB2-AS1
ELMO1-AS1	NEK5
SNHG15	IL1B
ZPBP	TKTL1
SPDYE21P	AC011443.1
CLDN4	NCMAP
SPDYE5	LINC02250
SPDYE5	AANAT
SPDYE5	TCF4-AS1
SEMA3E	SLC26A3
SEMA3E	LINC01609
SEMA3E	POTEG
SEMA3E	GREM1
SEMA3E	AGBL1
PEG10	ATP6V1G2
PEG10	CCKBR
PEG10	C11orf87
TAC1	SH3TC2
CYP3A5	FAM217A
CYP3A5	SCUBE3
CYP3A5	ZNF451-AS1
CYP3A5	EDNRB-AS1
CYP3A5	BICRA-AS1
CYP3A5	SPIN2A
CYP3A7	PRKX-AS1
COL26A1	KCNIP4-IT1
RASA4	RASA4B
NAMPT	SH3BP5
NAMPT	P2RY12
NAMPT	TFRC
NAMPT	GUCY1A1
NAMPT	ADAMTSL2
NAMPT	MAP2K6
NAMPT	FCAR
NAMPT	GK
SLC26A3	LINC01098
SLC26A3	IZUMO3
SLC26A3	GPC4
DOCK4-AS1	MUSK
DOCK4-AS1	CHAD
AC002066.1	CNTNAP3C
AC002066.1	LINC01435
CFTR	APOBEC2
CFTR	SLC13A4
HILPDA	ADM
SLC13A4	LARS2-AS1
SLC13A4	ASB14
SLC13A4	COL6A6
LINC00996	CD274
PRKAG2-AS1	SCRG1
PRKAG2-AS1	STARD13-AS
HTR5A-AS1	PDC
LINC01006	LINC01170
ANGPT2	PP2D1
ANGPT2	ARHGAP31-AS1
PRSS51	DPP10-AS3
PRSS51	CRPPA-AS1
LGI3	RPRML
NEFM	CTXN3
NEFM	PEG10
NEFM	NAP1L2
NEFL	C2orf80
NEFL	NEFM
NEFL	SYT5
NEFL	CHGB
STMN4	TMEM246
ESCO2	KIF15
ESCO2	MYBL2
ESCO2	KIF4A
PLAT	MUSK
FAM110B	LINC01141
RAD54B	NCAPG
ESRP1	NEUROD1
CTHRC1	FZD6
LINC01608	LRP2
LINC01608	KCNH8
LINC01608	SLC7A14-AS1
LINC01608	CDH19
LINC01608	LINC00320
LINC01608	SHROOM4
LINC01609	TOX2
SQLE	LDLR
PVT1	NAV2
LY6H	CPNE7
MINCR	DMKN
RPS6	RPS4X
RPS6	RPL36A
ACER2	CXCL13
ACER2	PTCHD4
HINT2	SOX15
MELK	ZNF367
MELK	KIF23
MELK	PRC1
MELK	ZNF726
ANXA1	EMP2
PCA3	GLRA2
OMD	FSIP2
OMD	CFAP100
ECM2	NUF2
ECM2	DIO2-AS1
ZNF367	RAD51
SHOC1	TET2-AS1
SHOC1	GK-AS1
C9orf147	LINC01579
C9orf147	BICRA-AS1
LHX6	TIMP3
HSPA5	LINC02008
HSPA5	PPIL1
HSPA5	HYOU1
HSPA5	SDF2L1
SLC2A6	LINC01470
DIPK1B	SULT1A3
LINC02649	LINC02656
LINC02642	MICOS10
LINC02642	LINC01845
LINC02642	ASCL4
CELF2-AS2	RBMS3-AS3
MCM10	CDCA7
MCM10	SGO1
AL157392.2	ITGA10
AL157392.2	HDAC4-AS1
AL157392.2	LINC00861
AL157392.2	LINC02742
AL157392.2	PLET1
AL157392.2	ITCH-AS1
AL157392.2	WWC3-AS1
GAD2	GAD1
GAD2	CXCL14
GAD2	NPTX2
GAD2	LHX6
GAD2	PRMT8
GAD2	ABCA10
GAD2	VSTM2B
CXCL12	SLCO4A1
SRGN	RGS1
SRGN	CEBPD
PPA1	WNT5B
SPOCK2	GFPT2
SPOCK2	DIRAS2
KCNMA1-AS1	KCNMA1-AS3
SNCG	LINC00634
LINC01375	FAM186A
LINC01375	LINC00173
LINC01375	RASL10A
CC2D2B	LINC02763
OPALIN	CARNS1
LINC01435	ACSBG2
ENO4	ITPKB-AS1
ENO4	RNF32
ENO4	LATS2-AS1
ENO4	MACROD2-AS1
ENO4	KIZ-AS1
BAG3	SAXO1
FAM53B-AS1	LIMD1-AS1
FAM53B-AS1	PHACTR2-AS1
MKI67	ASPM
MKI67	EXO1
MKI67	ESPL1
MKI67	DIAPH3
MKI67	TOP2A
MKI67	KIF18B
NKX6-2	APOD
NKX6-2	LINC00844
CALY	CORT
CALY	RGS4
CALY	RBM24
CALY	DIRAS2
CALY	B4GALNT1
CALY	BAIAP3
CALY	RASD1
CALY	MIR7-3HG
CALY	SLC32A1
CALY	KCNJ4
CALY	MAPK12
CALY	PCSK1N
CALY	MAGEE1
SPRN	CHRNB2
IFITM3	IFITM2
IFITM3	SERPINA1
TSPAN32	C11orf21
KCNQ1OT1	ZRANB2-AS1
KCNQ1OT1	NCKAP5-AS1
KCNQ1OT1	AC026412.3
KCNQ1OT1	PTPRB
MMP26	FAM25G
MMP26	LINC00544
ABCC8	SOX1-OT
KCNA4	MNS1
PRRG4	LINC01736
LDLRAD3	IL1R2
LDLRAD3	CD163
ALKBH3-AS1	IL20RB-AS1
PRDM11	AZIN2
PRDM11	LINC00996
PRDM11	PLXDC1
PRDM11	ARL5C
SYT13	C1orf115
SYT13	CHRM1
MPEG1	SH3PXD2B
MPEG1	PLD4
MS4A6E	MS4A14
MS4A14	GPNMB
TMEM132A	CDK5R2
MYRF	FBXL7
FTH1	RNF181
AHNAK	IL27RA
GNG3	SULT4A1
SLC22A10	NME5
PRDX5	TMEM256
PRDX5	SELENOM
ZNRD2	RRP9
CARNS1	FOLH1
CARNS1	MAG
P4HA3	SLC9A9-AS1
P4HA3	DEUP1
DEUP1	BACH1-AS1
C11orf65	SLC8A1-AS1
C11orf65	AC016747.2
C11orf65	CFLAR-AS1
C11orf65	ZBTB20-AS5
C11orf65	ITGB5-AS1
C11orf65	SPDYE1
C11orf65	FMC1
C11orf65	LINC01003
C11orf65	AL157392.2
C11orf65	DGAT2L6
C11orf87	ADAM29
C11orf87	RASGRF2-AS1
BCO2	KIF26B
BCO2	C12orf42
PLET1	MEP1B
PLET1	TSPAN16
PLET1	GAGE10
TMPRSS4	SMIM35
RPS25	TMSB10
RPS25	AIF1
RPS25	RPL19
USP2-AS1	LINC01739
LINC02712	LINC01645
LINC02712	TANC1
LINC02712	BANK1
LINC02712	TGFBI
LINC02712	TES
LINC02712	LINC02444
ADAMTS8	MYOM2
SLC6A13	JAML
FKBP4	CC2D2B
FKBP4	CCT6B
PRMT8	ST6GAL2
PRMT8	CCDC148
PRMT8	STAT4
PRMT8	DCX
GAU1	FAM151A
CDCA3	GTSE1
CD163	CD163L1
SLC2A3	GLUL
SLC2A3	ID2
SLC2A3	DDIT4
SLC2A3	FOS
SLC2A3	GADD45B
A2ML1-AS1	CELA2B
BCL2L14	TACR1
BCL2L14	LRRC19
BCL2L14	EDRF1-AS1
BCL2L14	BTBD18
BCL2L14	CCDC198
BCL2L14	CLEC11A
SLCO1A2	ITGA2
SLCO1A2	CD22
ARNTL2	CDH6
LYZ	TCN2
LINC02444	ZDHHC19
GLIPR1L1	FOXN3-AS2
GLIPR1L1	BEAN1
GLIPR1L1	ALOX12
E2F7	RECQL4
AC027288.3	KAZN-AS1
AC027288.3	TRIM46
AC027288.3	CACNA2D3-AS1
AC027288.3	SST
AC027288.3	LNX1-AS1
AC027288.3	LINC00710
AC027288.3	PPFIA2-AS1
AC027288.3	PCDH9-AS2
AC027288.3	GABRG3-AS1
AC027288.3	LARP6
AC027288.3	MYO15A
AC027288.3	SNAP25-AS1
PPFIA2-AS1	ACKR4
PPFIA2-AS1	LINC00638
LINC02822	LINC01378
LINC02397	CLEC1A
LINC02397	HPN
DRAM1	ARG2
HSP90B1	MANF
HSP90B1	PDIA4
HSP90B1	CALR
ALDH1L2	DAB2IP
WSCD2	GREM2
WSCD2	TTBK1
UBC	CYCS
FGF9	MCHR2
FGF9	ADAMTS8
SLC7A1	SNHG4
SLC7A1	METTL1
HSPH1	HSPB1
HSPH1	BAG3
HSPH1	DNAJA4
HSPH1	DNAJB1
DLEU7	MOGAT1
DLEU7	LINC01375
DLEU7	RNASEH2B-AS1
FAM124A	EIF5A2
PCDH8	NUDT11
LINC00558	LINC02112
LINC00558	AC002066.1
DIAPH3	NCAPH
DIAPH3	HJURP
DIAPH3	NEIL3
DIAPH3	KNL1
PCDH9-AS2	MARCKSL1
PCDH9-AS2	AL139294.1
PCDH9-AS2	PKP4-AS1
PCDH9-AS2	CCDC192
MYCBP2-AS1	PFN4
MYCBP2-AS1	CAV3
MYCBP2-AS1	AC012568.1
EDNRB-AS1	CTBP1-AS
GPR183	LINC02649
GPR183	LINC01480
PCCA-AS1	WDFY3-AS1
LINC00676	MYO16-AS1
POTEG	NGF
POTEG	LMOD3
POTEG	HCRTR2
POTEG	ESRP1
POTEG	MMP26
CPNE6	FADS6
G2E3-AS1	CFAP44-AS1
WDHD1	CENPI
GPX2	CKMT2
CCDC196	PRMT5-AS1
SLC10A1	FAM209A
FOS	RGS2
FOS	DUSP1
FOS	CITED2
FOS	TEX14
FOS	PPP1R15A
BATF	CCR5
BATF	LMNB1
CHGA	GABRA5
CHGA	ELFN2
SERPINA1	SECTM1
SYNE3	TPRG1
SYNE3	TNFRSF13C
HSP90AA1	HSPE1
CKB	CELF3
CKB	FNDC4
CKB	STMN4
CKB	LY6H
CKB	TMEM151A
CKB	MT3
CKB	EEF1A2
CKB	PCP4
PLD4	OLFML3
PLD4	LTC4S
PLD4	ACY3
CRIP2	SDR16C5
LINC02250	ADAMTS19
LINC02250	PRKCQ
LINC02250	SLC38A4
GABRA5	LRFN2
GABRG3-AS1	ARL4D
GABRG3-AS1	HIPK4
GREM1	TARID
GPR176	MOXD1
KNL1	AURKA
SPINT1	TEX29
CKMT1B	HPCA
CKMT1B	TMEM8B
AC051619.4	LINC00653
GLDN	CYP19A1
USP3-AS1	ZMYM4-AS1
USP3-AS1	ANGPTL1
USP3-AS1	PDE5A
USP3-AS1	NCOA7-AS1
USP3-AS1	RPA3
USP3-AS1	GCNT7
USP3-AS1	ZNF630-AS1
USP3-AS1	DIAPH2-AS1
USP3-AS1	ALG13-AS1
PCLAF	EME1
RPLP1	RPS10
RPLP1	RPL39
NRG4	NBPF3
NRG4	CSNKA2IP
CFAP161	MSH4
CFAP161	WNT5A-AS1
FANCI	RAD54B
FANCI	ORC6
ARHGDIG	CNIH2
PDIA2	COL7A1
PDIA2	GNB3
FBXL16	ADGRA1
FBXL16	GPRASP2
BAIAP3	KCNJ9
BAIAP3	CAMKV
SYNGR3	SLC6A17
SYNGR3	INA
PKMYT1	CKAP2L
PKMYT1	SPC25
PKMYT1	CENPE
PKMYT1	BIRC5
PKMYT1	TPX2
REXO5	AURKB
HS3ST4	RND3
HS3ST4	BCO2
ATP2A1	LINC02731
ITFG1-AS1	SPIN2B
MT3	TUBB2B
MT3	CRYAB
MT1X	MT2A
CES4A	LINC01090
CES4A	PRSS23
CES4A	STYK1
DPEP2	LINC02580
DPEP2	CCNG2
DPEP2	NHSL1
DPEP2	PYCR1
DPEP2	FOXO4
CPHXL	FIGNL2
CPNE7	KCNF1
FANCA	ORC1
FANCA	WDHD1
TUBB3	BEND5
TUBB3	ASS1
TUBB3	DIPK1B
TUBB3	TTC9B
TUBB3	PNCK
FAM157C	TMEM163
FAM157C	MYO1G
FAM157C	LINC01001
NLRP1	TIGD4
NLRP1	ANKRD55
NLRP1	LDLRAD3
NLRP1	BCO2
NLRP1	LINC02284
NLRP1	DPEP2
NLRP1	MMP28
ALOX15B	SAP30
RPL26	RPS4X
EPN2-AS1	BDNF
RPL23A	RPL32
RPL23A	RPS18
RPL23A	RPS6
RPL23A	RPS25
ABHD15-AS1	AP003392.1
ABHD15-AS1	LDLRAD4-AS1
CCL3	CCL4
CCL4	CCL4L2
PLXDC1	SLAMF8
PLXDC1	CLDN4
CDC6	POC1A
TOP2A	CENPF
TOP2A	HMMR
TOP2A	CDCA2
TOP2A	CDCA3
TOP2A	KIF23
KRT222	TTC25
CCDC200	PIK3CD-AS2
CCDC200	KCNMB1
CCDC200	MDC1-AS1
CCDC200	SPDYE3
CCDC200	MLANA
CCDC200	OMD
CCDC200	ASPN
CCDC200	CD69
CCDC200	CCDC196
CCDC200	CBR3
CCDC200	NCF4-AS1
KIF18B	E2F2
KIF18B	KIF14
KIF18B	KIF24
KIF18B	MELK
KIF18B	CDC6
ARL17B	DND1
ARL17B	KANSL1-AS1
ARL17B	LRRC37A
RPRML	CELF2-AS2
CHAD	PRR7
SEPTIN4	KIAA1257
BRIP1	XRCC2
BRIP1	RAD51AP1
BRIP1	NUSAP1
BRIP1	WDR62
PRKCA-AS1	AC006160.1
PRKCA-AS1	GAU1
PRKCA-AS1	TCF4-AS2
PRKCA-AS1	LARGE-AS1
FAM20A	THBS1
FAM20A	LINC01482
ABCA9	INHBA-AS1
ABCA9	CHRM2
ABCA9	TOX3
ABCA10	C1orf21
ABCA10	LINC01811
SLC25A19	LINC02513
SLC25A19	IL4I1
AANAT	LINC02669
SOCS3	RHOU
SOCS3	FOSL2
SOCS3	SNHG15
SOCS3	APCDD1
SOCS3	HAMP
SOCS3	OSM
SOCS3	LIMK2
SOCS3	PIM3
RNF213-AS1	AC005253.1
PYCR1	LSR
COLEC12	PMP22
COLEC12	SIGLEC1
TYMS	KIFC1
TYMS	TPX2
NDC80	CDC25C
DLGAP1-AS5	LINC00903
LDLRAD4-AS1	LINC02196
B4GALT6	KCNA1
TCF4-AS1	TCF4-AS2
LINC01909	GLDN
GADD45B	CDKN1A
GADD45B	AC007032.1
GADD45B	BCL2A1
MIR7-3HG	LINC02153
UHRF1	KIF11
UHRF1	FANCI
UHRF1	TK1
TUBB4A	TBR1
TUBB4A	CHGA
TUBB4A	CTXN1
TUBB4A	LAMP5
CTXN1	CERS1
ICAM5	TMEM74B
CALR	CDK2AP2
DNAJB1	HSP90AA1
ADGRE2	PVT1
ADGRE2	GLIPR2
ADGRE2	BATF
ADGRE2	RORA-AS1
ADGRE2	CD93
VSTM2B	SPHKAP
HAMP	S100A8
HAMP	SPATA18
HAMP	SLC7A5
HAMP	FAM157C
HAMP	SEMA6B
AC011443.1	LINC01364
AC011443.1	URB1-AS1
ZFP36	RHOB
ZFP36	PRRG4
ZFP36	JUNB
TTC9B	FBXO2
TTC9B	L1CAM
HIPK4	LRTM1
HIPK4	POPDC3
PSG8	CR1L
ZNF233	DEPP1
GEMIN7-AS1	TTC21B-AS1
GEMIN7-AS1	EGOT
GEMIN7-AS1	SMIM18
HIF3A	ALDH1L1
HIF3A	TPD52L1
HIF3A	LRP4
MEIS3	CKMT1B
BICRA-AS1	LINC02259
SHANK1	PTPN3
CLEC11A	SPATA21
CLEC11A	PCA3
SIGLEC7	RGS16
SIGLEC7	PLP2
LENG9	ELF3-AS1
LENG9	ZEB2-AS1
SYT5	LINC01963
EDDM13	LRRC74A
