feature_index	source_symbol	ensembl_id	mapping_status	gencode_mapping_method	eligible_donors_detected	unique_count_values	expression_filter_pass	annotation_filter_pass	network_filter_pass	residual_variance	selected_network_gene	exclusion_reason	discretization_pass	discretization_exclusion_reason	center_low	center_middle	center_high	final_node_order
33140	KIZ-AS1	ENSG00000232712	phase18_exact	phase18	77	48	TRUE	TRUE	TRUE	1.1734425742709	TRUE		TRUE		-3.20328901046804	-0.759532615685124	0.687745932310277	4496
33149	LINC01727	ENSG00000279082	phase18_exact	phase18	27	14	TRUE	TRUE	TRUE	1.65839797732964	TRUE		TRUE		-1.66494040477582	-0.18839372669411	1.23979973961391	4497
33165	THBD	ENSG00000178726	phase18_exact	phase18	57	36	TRUE	TRUE	TRUE	4.02132849776894	TRUE		TRUE		-2.45452428124099	0.0729406455285488	2.35304164398388	4498
33166	CD93	ENSG00000125810	phase18_exact	phase18	78	66	TRUE	TRUE	TRUE	0.905458000226881	TRUE		TRUE		-1.26265066399396	0.0142706863234475	1.17169029246354	4499
33194	LINC01721	ENSG00000230133	phase18_exact	phase18	33	13	TRUE	TRUE	TRUE	1.69139886984313	TRUE		TRUE		-1.90978750616495	0.203920647896051	1.55140089185533	4500
33197	SYNDIG1	ENSG00000101463	phase18_exact	phase18	78	77	TRUE	TRUE	TRUE	0.714103169157305	TRUE		TRUE		-1.37669041553028	-0.0732420030594388	0.797951184033626	4501
33201	CST7	ENSG00000077984	phase18_exact	phase18	58	14	TRUE	TRUE	TRUE	1.32832868865484	TRUE		TRUE		-2.72190841454033	-0.189482071984933	1.16495901187809	4502
33216	GINS1	ENSG00000101003	phase18_exact	phase18	77	41	TRUE	TRUE	TRUE	1.08870033814035	TRUE		TRUE		-4.68296676105539	-0.467053803373354	1.03835766406382	4503
33217	NINL	ENSG00000101004	phase18_exact	phase18	76	32	TRUE	TRUE	TRUE	0.799957314363636	TRUE		TRUE		-3.56086084865302	-0.577844736828479	0.508068490751743	4504
33230	MIR663AHG	ENSG00000227195	exact	unique_symbol	38	16	TRUE	TRUE	TRUE	2.65974746076577	TRUE		TRUE		-2.17282310644968	-0.169027247230343	1.72529778161254	4505
33233	LINC01597	ENSG00000205611	phase18_exact	phase18	73	33	TRUE	TRUE	TRUE	1.40500823229045	TRUE		TRUE		-3.8468364264719	-0.771301480011161	0.705041504675067	4506
33257	TPX2	ENSG00000088325	phase18_exact	phase18	47	19	TRUE	TRUE	TRUE	2.2377877024272	TRUE		TRUE		-1.28257078588074	0.399958358919185	2.91597842979708	4507
33263	XKR7	ENSG00000260903	phase18_exact	phase18	47	12	TRUE	TRUE	TRUE	1.03310748207662	TRUE		TRUE		-2.38913948423594	-0.333564420440873	0.820922729300658	4508
33281	NOL4L-DT	ENSG00000204393	phase18_exact	phase18	48	11	TRUE	TRUE	TRUE	1.35309621401608	TRUE		TRUE		-2.30200265848935	-0.384632142802345	0.876265608363116	4509
33283	C20orf203	ENSG00000198547	phase18_exact	phase18	60	19	TRUE	TRUE	TRUE	1.13324072300994	TRUE		TRUE		-1.89907827348632	-0.269103003303988	0.85727859391543	4510
