node_order	source_symbol
1112	EEF1AKMT4
1113	CAMK2N2
1114	ECE2
1115	THPO
1116	CHRD
1117	LINC02054
1118	LINC02069
1119	LIPH
1120	IGF2BP2
1121	LINC02043
1122	RPL39L
1123	RTP4
1124	SST
1125	BCL6
1126	LPP-AS2
1127	LPP-AS1
1128	TPRG1-AS1
1129	TPRG1
1130	TP63
1131	P3H2-AS1
1132	CLDN16
1133	OSTN
1134	FGF12-AS1
1135	PLAAT1
1136	ATP13A5
1137	OPA1-AS1
1138	LINC02028
1139	HES1
1140	FAM43A
1141	XXYLT1-AS2
1142	ACAP2-IT1
1143	APOD
1144	MUC20
1145	TFRC
1146	ZDHHC19
1147	SLC51A
1148	TM4SF19-AS1
1149	TM4SF19
1150	LINC01063
1151	CEP19
1152	MELTF-AS1
1153	LMLN-AS1
1154	ZNF732
1155	TMEM271
1156	SLC26A1
1157	FGFRL1
1158	RNF212
1159	AC092535.4
1160	SPON2
1161	CTBP1-AS
1162	FGFR3
1163	HTT-AS
1164	MSANTD1
1165	LINC02600
1166	ADRA2C
1167	NSG1
1168	MSX1
1169	EVC2
1170	EVC
1171	CRMP1
1172	JAKMIP1
1173	CCDC96
1174	LINC02447
1175	AFAP1-AS1
1176	CLNK
1177	LINC02360
1178	LINC01182
1179	C1QTNF7
1180	BST1
1181	CD38
1182	PROM1
1183	AC006160.1
1184	NCAPG
1185	KCNIP4-IT1
1186	LGI2
1187	SEPSECS-AS1
1188	LINC02357
1189	LINC02506
1190	PTTG2
1191	LINC02513
1192	LINC01258
1193	KLB
1194	UCHL1
1195	DCAF4L1
1196	BEND4
1197	YIPF7
1198	GABRG1
1199	CORIN
1200	NIPAL1
1201	CNGA1
1202	OCIAD1-AS1
1203	OCIAD2
1204	LRRC66
1205	SPATA18
1206	USP46-AS1
1207	LINC01618
1208	ERVMER34-1
1209	LNX1-AS1
1210	PDGFRA
1211	KIT
1212	SRD5A3-AS1
1213	ARL9
1214	IGFBP7
1215	EPHA5-AS1
1216	GNRHR
1217	TMPRSS11D
1218	TMPRSS11A
1219	UGT2B17
1220	SULT1B1
1221	SULT1E1
1222	NPFFR2
1223	ADAMTS3
1224	BTC
1225	CDKL2
1226	PPEF2
1227	FAM47E
1228	STBD1
1229	CCDC158
1230	CCNG2
1231	CXCL13
1232	ANXA3
1233	NAA11
1234	ANTXR2
1235	PRDM8
1236	FGF5
1237	PRKG2
1238	PLAC8
1239	WDFY3-AS1
1240	SLC10A6
1241	C4orf36
1242	HSD17B13
1243	AC093895.1
1244	MEPE
1245	SPP1
1246	ABCG2
1247	PPM1K-DT
1248	NAP1L5
1249	TIGD2
1250	MMRN1
1251	GRID2
1252	BMPR1B
1253	LINC02267
1254	STPG2
1255	STPG2-AS1
1256	EMCN
1257	BANK1
1258	SLC39A8
1259	BDH2
1260	CENPE
1261	LINC02428
1262	TACR3
1263	CXXC4
1264	TET2-AS1
1265	ARHGEF38
1266	NPNT
1267	DKK2
1268	SGMS2
1269	LEF1
1270	ETNPPL
1271	CFI
1272	RRH
1273	LRIT3
1274	EGF
1275	ENPEP
1276	ARSJ
1277	NDST4
1278	LINC02263
1279	LINC01378
1280	SNHG8
1281	PRSS12
1282	METTL14-DT
1283	MYOZ2
1284	PDE5A
1285	MAD2L1
1286	PRDM5
1287	TNIP3
1288	CCNA2
1289	TRPC3
