schema_version	case_id	current_symbol	selected_network_count_within_case	anchor_broad_network	target_broad_network	anchor_sector_mid_degrees	target_sector_mid_degrees	anchor_negative_log10_acat_q	target_negative_log10_acat_q	link_rule
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-ND4	4	Oligodendrocytes	OPCs	-180.571428571429	-138.428571428571	3.24131404931503	2.02128308533686	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case1_core_mito_in_query	MT-ND4	4	Oligodendrocytes	Vasculature_cells	-180.571428571429	-250.571428571429	3.24131404931503	2.82649418747318	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case2_core_mito_not_in_query	MT-CO2	5	Excitatory_neurons	Astrocytes	34.4285714285714	85.8571428571429	7.37192325893455	5.77864766843438	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case2_core_mito_not_in_query	MT-CO2	5	Excitatory_neurons	Inhibitory_neurons	34.4285714285714	-35.5714285714286	7.37192325893455	1.81612003481524	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case2_core_mito_not_in_query	MT-CO2	5	Excitatory_neurons	Microglia	34.4285714285714	-68.4285714285714	7.37192325893455	1.56080731175236	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case2_core_mito_not_in_query	MT-CO2	5	Excitatory_neurons	OPCs	34.4285714285714	-129.142857142857	7.37192325893455	1.50124302926629	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case3_not_core_mito	LAMTOR5	2	Excitatory_neurons	Inhibitory_neurons	6.57142857142856	-26.2857142857143	2.6587183621021	2.43988564883882	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case3_not_core_mito	RPL11	4	Excitatory_neurons	Astrocytes	34.4285714285714	85.8571428571429	8.69760956126202	4.65666055886039	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case3_not_core_mito	RPL11	4	Excitatory_neurons	Microglia	34.4285714285714	-68.4285714285714	8.69760956126202	1.96292090753422	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case3_not_core_mito	RPL11	4	Excitatory_neurons	Oligodendrocytes	34.4285714285714	-171.285714285714	8.69760956126202	1.54825223858568	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case3_not_core_mito	RPLP1	2	Astrocytes	Inhibitory_neurons	76.5714285714286	-35.5714285714286	2.71978150493443	2.29729133619287	highest_uncapped_evidence_to_each_other_occurrence
phase18_three_case_circular_links_v1	case3_not_core_mito	RPS15	2	OPCs	Inhibitory_neurons	-119.857142857143	-17	11.3904904742826	2.95824363027451	highest_uncapped_evidence_to_each_other_occurrence
