schema_version	route_id	candidate_id	gene	priority_tier	signature_group	sex	apoe_group	broad_network	qtl_type	context_match	sex_apoe_match	qtl_finemapping_rows	source_significant_rows	credible_set_95_rows	min_qtl_p	min_qtl_fdr	max_pip	qtl_signal	evidence_state
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0006_eQTL	GS19B0167	RPS15	P2	F_e2	Female	e2	Astrocytes	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	14	1	2	1.290294425557271e-07	0.0053760117240843	0.906688809587406	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0006_sQTL	GS19B0167	RPS15	P2	F_e2	Female	e2	Astrocytes	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	181	55	26	4.57697341338813e-22	7.46504363723604e-19	1.0	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0007_eQTL	GS19B0013	ATG101	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	6	0	0	5.338648306762508e-05	0.3289273038516234	0.0308733598853277	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0007_sQTL	GS19B0013	ATG101	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	72	8	3	3.34325405383396e-08	8.558730377814938e-05	0.99919112231448	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0008_eQTL	GS19B0015	ATP6V0B	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	11	7	3	9.365953819854689e-22	1.8821820796379978e-17	0.999999999997609	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0008_sQTL	GS19B0015	ATP6V0B	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	651	52	22	6.20409945728268e-21	2.9310640203089798e-18	0.996952621570816	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0009_eQTL	GS19B0029	BTF3	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	6	0	0	4.4867941725439826e-05	0.209392370754868	0.109534162636399	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0009_sQTL	GS19B0029	BTF3	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	5	0	0	9.56408734234369e-05	0.0637317006982076	0.0780340464062196	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0010_eQTL	GS19B0051	DYNLL1	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	376	218	120	1.0671927016722015e-27	4.820903868082072e-24	0.999819450541374	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0010_sQTL	GS19B0051	DYNLL1	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	588	386	328	2.39635276018779e-64	3.0968133933819053e-61	0.885610773980354	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0011_eQTL	GS19B0072	GABARAPL2	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	2	0	0	3.45495844672528e-06	0.0754079230582259	0.432426339787444	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0011_sQTL	GS19B0072	GABARAPL2	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0012_eQTL	GS19B0076	GAPDH	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	61	54	53	3.7357344758199544e-22	5.2241224909597515e-18	0.561182674369675	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0012_sQTL	GS19B0076	GAPDH	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	18	1	1	1.98925445171384e-07	0.0003990444430137	0.991949909240759	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0013_eQTL	GS19B0080	GNG3	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	5	0	0	1.4629950405293927e-05	0.1671032935292672	0.32630473412539	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0013_sQTL	GS19B0080	GNG3	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0014_eQTL	GS19B0099	LAGE3	P1	F_e2	Female	e2	Excitatory_neurons	eQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0014_sQTL	GS19B0099	LAGE3	P1	F_e2	Female	e2	Excitatory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0015_eQTL	GS19B0100	LAMTOR5	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	14	0	0	1.8805001543091977e-06	0.024765322416677	0.712729330627408	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0015_sQTL	GS19B0100	LAMTOR5	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0016_eQTL	GS19B0116	MT3	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	15	0	0	5.033099710193046e-06	0.0086408279144518	0.334723329584711	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0016_sQTL	GS19B0116	MT3	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0017_eQTL	GS19B0142	PRDX1	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	91	35	0	6.261903521055831e-07	0.0004647163762877	0.0650946513777315	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0017_sQTL	GS19B0142	PRDX1	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	62	14	2	2.36631982436276e-07	0.0001284911664628	0.999193532541212	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0018_eQTL	GS19B0143	PSMB6	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	1	0	0	3.468792443792942e-05	0.7269058158194659	0.0307532428000593	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0018_sQTL	GS19B0143	PSMB6	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0019_eQTL	GS19B0147	RABAC1	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	2	0	0	1.5093602780560405e-05	0.5796382631419986	0.0328452038826855	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0019_sQTL	GS19B0147	RABAC1	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	41	15	12	1.42787746423904e-06	0.0004079024728546	0.993369719974085	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0020_eQTL	GS19B0153	RPL11	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	13	0	0	2.996634281141102e-06	0.0221889003726564	0.146557138499193	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0020_sQTL	GS19B0153	RPL11	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	24	0	0	6.74739674781547e-06	0.0133058663866921	0.3875816278342	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0021_eQTL	GS19B0155	RPL29	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	10	2	2	5.288550058386568e-09	0.0001385282802293	0.995621399258727	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0021_sQTL	GS19B0155	RPL29	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	53	2	0	4.07833395906777e-06	0.0106311291523563	0.395462112307797	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0022_eQTL	GS19B0157	RPL36	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	14	1	0	2.598343619270738e-07	0.0176061165298165	0.926001634399234	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0022_sQTL	GS19B0157	RPL36	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	583	54	81	3.860729726382981e-09	8.666693422979033e-06	0.999999460488203	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0023_eQTL	GS19B0158	RPL36AL	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	226	119	118	3.6104188093116586e-77	7.737488550235815e-73	0.880863142001478	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0023_sQTL	GS19B0158	RPL36AL	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	423	120	410	4.1865653794706895e-30	3.793278319617257e-27	0.997964119411668	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0024_eQTL	GS19B0160	RPL6	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	14	0	0	4.06040602755175e-05	0.0633546494349755	0.0633589718176442	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0024_sQTL	GS19B0160	RPL6	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	69	5	5	5.824867760277971e-09	2.021229112816456e-06	1.0	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0025_eQTL	GS19B0164	RPLP2	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	13	2	0	5.142785322364805e-07	0.0100664781802423	0.394232837031249	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0025_sQTL	GS19B0164	RPLP2	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	232	51	35	3.3862079634685e-13	9.047947678387831e-10	0.999948509519617	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0026_eQTL	GS19B0166	RPS13	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	3	0	0	2.0346062274779532e-05	0.2592995332970919	0.0835649378487138	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0026_sQTL	GS19B0166	RPS13	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	5	0	0	3.4509525359644e-05	0.1004572283219236	0.0787115722173299	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0027_eQTL	GS19B0167	RPS15	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	16	2	2	2.5541534462296066e-08	0.0005320940166857	0.499178767287041	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0027_sQTL	GS19B0167	RPS15	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	181	55	26	4.57697341338813e-22	7.46504363723604e-19	1.0	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0028_eQTL	GS19B0182	SELENOM	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	73	15	14	6.675897705645483e-08	6.297874998063308e-05	0.335117254950211	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0028_sQTL	GS19B0182	SELENOM	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	124	47	94	6.622821436124871e-09	1.6869977288150838e-06	0.654786247105222	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0029_eQTL	GS19B0183	SELENOW	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	20	5	17	7.819566078600616e-08	0.001919167244809	0.22941352586347	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0029_sQTL	GS19B0183	SELENOW	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	383	98	23	1.38210350814771e-08	2.411054390594405e-05	0.999990448163491	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0030_eQTL	GS19B0207	TMEM147	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	28	0	0	4.680471686959206e-06	0.1078848723844096	0.29317560717266	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0030_sQTL	GS19B0207	TMEM147	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	61	11	6	7.461483088883061e-09	3.262160406459674e-05	0.998221750622366	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0031_eQTL	GS19B0210	TPI1	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	11	0	0	1.2133703850898282e-06	0.0253740014929984	0.935463777846103	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0031_sQTL	GS19B0210	TPI1	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	467	45	165	8.26863442699091e-21	7.719481086516594e-18	0.512007634839382	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0032_eQTL	GS19B0224	WDR82	P2	F_e2	Female	e2	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	2	0	0	6.04654115938795e-06	0.1297285405746684	0.358397916595691	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0032_sQTL	GS19B0224	WDR82	P2	F_e2	Female	e2	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	27	2	2	1.34188239366609e-07	0.0003211124568042	0.959909420295695	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0033_eQTL	GS19B0014	ATP6AP2	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0033_sQTL	GS19B0014	ATP6AP2	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0034_eQTL	GS19B0072	GABARAPL2	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	4	0	0	3.021655770711535e-05	0.2288618977084529	0.0447945703123873	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0034_sQTL	GS19B0072	GABARAPL2	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0035_eQTL	GS19B0077	GATAD1	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	4	0	0	2.2183486951253677e-05	0.2467003887547743	0.109565000898777	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0035_sQTL	GS19B0077	GATAD1	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	53	8	10	9.98325885756379e-10	1.3685904689330572e-06	0.84696840464006	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0036_eQTL	GS19B0139	PLCG2	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	7	0	0	5.3924431805213875e-06	0.1438154449478389	0.154417828854244	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0036_sQTL	GS19B0139	PLCG2	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	230	56	27	1.80862625640026e-143	1.6386153882986357e-140	1.0	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0037_eQTL	GS19B0154	RPL15	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	4	0	0	2.0541452005551492e-06	0.0655806396729236	0.534380610178183	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0037_sQTL	GS19B0154	RPL15	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	45	14	7	4.79093636683973e-07	0.0001934845628519	0.586925553332968	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0038_eQTL	GS19B0163	RPLP1	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	12	0	0	5.026686781478635e-06	0.0736652548463219	0.267718404476816	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0038_sQTL	GS19B0163	RPLP1	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	47	6	5	8.113557240253101e-24	1.921290354491934e-20	0.999999999990953	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0039_eQTL	GS19B0167	RPS15	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	19	0	0	3.906535119387882e-06	0.097652030514876	0.119668275306465	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0039_sQTL	GS19B0167	RPS15	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	181	55	26	4.57697341338813e-22	7.46504363723604e-19	1.0	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0040_eQTL	GS19B0197	SYN1	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0040_sQTL	GS19B0197	SYN1	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0041_eQTL	GS19B0203	TCEAL7	P2	F_e2	Female	e2	Inhibitory_neurons	eQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0041_sQTL	GS19B0203	TCEAL7	P2	F_e2	Female	e2	Inhibitory_neurons	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0042_eQTL	GS19B0135	PGK1	P2	F_e33	Female	e33	Astrocytes	eQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0042_sQTL	GS19B0135	PGK1	P2	F_e33	Female	e33	Astrocytes	sQTL	no_released_finemapping	unavailable_public_source_not_stratified	0	0	0	NA	NA	NA	False	no_released_candidate_finemapping
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0043_eQTL	GS19B0046	CUTA	P2	F_e33	Female	e33	Excitatory_neurons	eQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	238	89	119	6.802909569885941e-18	5.227219655308959e-13	0.661376973355335	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0043_sQTL	GS19B0046	CUTA	P2	F_e33	Female	e33	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	575	85	361	4.87784260707089e-70	2.074813859148222e-67	0.99999621773988	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0044_eQTL	GS19B0052	DYNLT1	P2	F_e33	Female	e33	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	12	0	0	2.665746909178555e-06	0.0182556057608326	0.0905310779718204	False	released_finemapping_no_source_significant_signal
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0044_sQTL	GS19B0052	DYNLT1	P2	F_e33	Female	e33	Excitatory_neurons	sQTL	bulk_brain_fallback	unavailable_public_source_not_stratified	80	19	5	3.20385933078289e-07	0.0006756088044305	0.947477967682031	True	source_significant
phase19b_sex_apoe_kda_combo_v2_qtl_coverage	QTL19B0045_eQTL	GS19B0054	EDF1	P2	F_e33	Female	e33	Excitatory_neurons	eQTL	exact_broad_lineage	unavailable_public_source_not_stratified	7	0	0	3.728446201099841e-06	0.1015703314103618	0.286194140806192	False	released_finemapping_no_source_significant_signal
