SCARNA9	C8orf86
PLET1	LIFR-AS1
THY1	KIF1A
THY1	SCG3
HSPA8	PCBD1
CLMP	XYLT1
NRGN	ATP1B1
NRGN	SNCB
NRGN	SLC17A7
CCDC15	TMEM179B
ST3GAL4	C21orf58
VWF	SLC7A1
TPI1	HES4
C12orf57	ARL2
C1S	PCOLCE
C1S	C1R
YBX3	F11R
YBX3	FOSL2
YBX3	CEBPD
YBX3	SCARF1
YBX3	HLF
YBX3	MID1
APOLD1	RIMKLB
ABCC9	EDNRA
FAIM2	TAGLN3
RPL41	RPS27A
RPL41	RPS18
RPL41	POLR2L
RPL41	LAMTOR1
RPL41	EIF5A
RPL41	RPL19
RPL41	MYL12A
RPL41	ATP5F1E
RPL41	RPS4X
TIMELESS	MYLK4
NDUFA4L2	ITM2C
NDUFA4L2	CYBA
NDUFA4L2	NDUFB7
NDUFA4L2	EMP3
NDUFA4L2	COX4I2
METTL1	CFAP47
LNCOG	CSMD2
LNCOG	PKP2
ANO4	PPP2R2B
NFYB	PRMT1
CUX2	FAM135B
TPCN1	TARBP1
TPCN1	BDNF-AS
TPCN1	PAPLN
TESC	MELTF
TESC	PTGDR2
TESC	RASL12
TMEM132B	SYT14
TMEM132B	TMEM132D
TNFRSF19	KCNIP1
TNFRSF19	LRRK1
TNFRSF19	ACSM5
SLC7A1	SLC39A10
SLC7A1	HEG1
TRPC4	IL17RD
TRPC4	S1PR3
FREM2	PTGIR
SMIM2-AS1	ITGAL
GPC5	PDE1C
ABCC4	SPNS2
COL4A1	IL1RL2
COL4A1	COL4A2
COL4A1	GABRE
COL4A2	ADAMTS4
POTEG	LINC02551
RNASE1	ITM2A
PRMT5-AS1	ODF3L2
PSME1	CREB3
NFKBIA	CDC42EP2
NFKBIA	TCEAL9
CLEC14A	PODXL
RPL36AL	COPS9
RPL36AL	MRPS18C
ADAM20	LINC02289
FOS	DUSP1
FOS	FOSL1
FOS	EMP1
FLRT2	STK32B
FLRT2	CPED1
IFI27	LY6E
HSP90AA1	HSPA1B
HSP90AA1	MLIP
CKB	THY1
CKB	NRGN
CKB	MT3
CKB	TMEM59L
CRIP2	BST2
ATP10A	RHOBTB1
GCHFR	XK
DLL4	TNFRSF10D
RORA-AS1	IPO9-AS1
MEGF11	PTPRZ1
RPLP1	OST4
RPLP1	SELENOK
RPLP1	PRDX5
RPLP1	CDK2AP2
RPLP1	HIGD1B
RPLP1	SERTAD1
RPLP1	RPS5
RPLP1	RPL39
NTRK3	PTK7
NTRK3-AS1	TRO
LINC00924	IQGAP2
HBA2	HBB
HBA2	HBA1
NDUFB10	DPM3
NDUFB10	TSR3
SLC9A3R2	PAXX
SLC9A3R2	CD151
LINC01290	HIF3A
ACSM5	TSPAN18
ACSM5	ZNF730
IL4R	SLC26A2
GDPD3	PBLD
MT3	BEX2
MT2A	NFKBIA
MT2A	MT1E
MT2A	MT1M
MT2A	MT1X
MT1A	MT1M
CDH1	FGF18
CDH1	HMSD
CDH1	FAM209A
MARVELD3	BEND4
MARVELD3	PANO1
MARVELD3	LINC02757
MARVELD3	FAM71E1
MLKL	ACSL5
