sensitivity_id	method_branch	rds_id	cell_type_high_resolution	contrast_id	contrast_name	entity_type	entity	primary_effect	sensitivity_effect	primary_fdr	sensitivity_fdr	terminal_status	bad_primary_effect	bad_sensitivity_effect	bad_primary_fdr	bad_sensitivity_fdr
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MUTYH			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	UQCRH			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	NSUN4			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ATPAF1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	NRDC			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	COA7			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ECHDC2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	SCP2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	CPT2			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MRPL37			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ACOT11			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	DAB1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	AK4			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	CRYZ			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	ACADM			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
global_vs_within_contrast_fdr	pseudobulk	astrocytes	Ast GRM3	astrocytes::Ast.GRM3::AD_effect_heterogeneity_across_sex_APOE	AD_effect_heterogeneity_across_sex_APOE	gene	MIGA1			0.999860214293211	1	validated_complete	TRUE	TRUE	FALSE	FALSE
