schema_version	rds_id	cell_type_high_resolution	donors	groups	design_columns	design_rank	residual_df	dispersion	converged	model_status	message
mito_fraction_diagnostics_v1	inhibitory	Inh L5-6 SST TH	43	10	AD__Female__e33;AD__Female__e4;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	12	31	928.844146083182	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh L6 SST NPY	0	0		0	NA	NA	NA	not_fit_no_eligible_contrasts	
mito_fraction_diagnostics_v1	inhibitory	Inh LAMP5 NRG1 (Rosehip)	237	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	223	2670.08373677827	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh LAMP5 RELN	112	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	98	860.756605173646	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh PTPRK FAM19A1	148	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	134	1241.5475159038	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh PVALB CA8 (Chandelier)	201	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	187	2722.1165091543	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh PVALB HTR4	245	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	231	15594.5312852204	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh PVALB SULF1	226	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	212	7295.10712812682	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh RYR3 TSHZ2	217	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	203	1743.21581062094	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh SGCD PDE3A	0	0		0	NA	NA	NA	not_fit_no_eligible_contrasts	
mito_fraction_diagnostics_v1	inhibitory	Inh SORCS1 TTN	129	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	115	1263.7474589581	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh VIP ABI3BP	195	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	181	780.185245980882	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh VIP CLSTN2	209	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	195	1666.95363090993	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh VIP THSD7B	140	11	AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	13	127	1375.93844988235	TRUE	fitted	
mito_fraction_diagnostics_v1	inhibitory	Inh VIP TSHZ2	172	12	AD__Female__e2;AD__Female__e33;AD__Female__e4;AD__Male__e2;AD__Male__e33;AD__Male__e4;NCI__Female__e2;NCI__Female__e33;NCI__Female__e4;NCI__Male__e2;NCI__Male__e33;NCI__Male__e4;age_death_scaled;pmi_scaled	14	158	876.881955118695	TRUE	fitted	
