schema_version	route_id	candidate_id	gene	broad_network	case_id	qtl_type	status	evidence_status	qtl_finemapping_rows	qtl_cs95_rows	qtl_max_pip	context_match	reason
human_genetic_support_tier2_coloc_v1	T2R013	GS007	COX7C	Astrocytes	mt_driver	eQTL	not_assessable	unassessed	2	0	0.837958334706651	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R014	GS007	COX7C	Astrocytes	mt_driver	sQTL	not_assessable	unassessed	117	0	0.382267558052559	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R015	GS008	COX7C	Inhibitory_neurons	mt_driver	eQTL	not_assessable	unassessed	2	0	0.042955136541611	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R016	GS008	COX7C	Inhibitory_neurons	mt_driver	sQTL	not_assessable	unassessed	117	0	0.382267558052559	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R017	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	12	0	0.0905310779718204	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R018	GS009	DYNLT1	Excitatory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	80	5	0.947477967682031	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R019	GS010	FTL	OPCs	non_mt_driver	eQTL	not_assessable	unassessed	2	0	0.0463359929629653	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R020	GS010	FTL	OPCs	non_mt_driver	sQTL	not_assessable	unassessed	24	0	0.866333716555631	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R021	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	14	0	0.712729330627408	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R022	GS011	LAMTOR5	Excitatory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	0	0	NA	not_measured_or_no_released_finemapping	no_released_candidate_QTL_finemapping_and_full_regional_QTL_unavailable
human_genetic_support_tier2_coloc_v1	T2R023	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	14	0	0.345572786493606	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R024	GS012	LAMTOR5	Inhibitory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	0	0	NA	not_measured_or_no_released_finemapping	no_released_candidate_QTL_finemapping_and_full_regional_QTL_unavailable
human_genetic_support_tier2_coloc_v1	T2R025	GS013	LAPTM4A	Astrocytes	non_mt_driver	eQTL	not_assessable	unassessed	5	0	0.0584112650756959	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R026	GS013	LAPTM4A	Astrocytes	non_mt_driver	sQTL	not_assessable	unassessed	154	85	0.923007862056035	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R027	GS034	NCOA1	OPCs	non_mt_driver	eQTL	not_assessable	unassessed	18	6	0.698594445951619	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R028	GS034	NCOA1	OPCs	non_mt_driver	sQTL	not_assessable	unassessed	2079	305	0.999989000865101	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R029	GS035	RPL11	Astrocytes	non_mt_driver	eQTL	not_assessable	unassessed	208	104	0.93890535166986	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R030	GS035	RPL11	Astrocytes	non_mt_driver	sQTL	not_assessable	unassessed	24	0	0.3875816278342	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R031	GS036	RPL11	Excitatory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	13	0	0.146557138499193	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R032	GS036	RPL11	Excitatory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	24	0	0.3875816278342	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R033	GS037	RPL11	Microglia	non_mt_driver	eQTL	not_assessable	unassessed	115	68	0.93890535166986	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R034	GS037	RPL11	Microglia	non_mt_driver	sQTL	not_assessable	unassessed	24	0	0.3875816278342	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R035	GS038	RPL11	Oligodendrocytes	non_mt_driver	eQTL	not_assessable	unassessed	4	0	0.791777046473639	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R036	GS038	RPL11	Oligodendrocytes	non_mt_driver	sQTL	not_assessable	unassessed	24	0	0.3875816278342	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R037	GS039	RPL15	Astrocytes	non_mt_driver	eQTL	not_assessable	unassessed	5	0	0.0358809267250715	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R038	GS039	RPL15	Astrocytes	non_mt_driver	sQTL	not_assessable	unassessed	45	7	0.586925553332968	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R039	GS040	RPL38	Inhibitory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	6	0	0.0817021058485907	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R040	GS040	RPL38	Inhibitory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	84	2	0.498305618935441	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R041	GS041	RPLP1	Astrocytes	non_mt_driver	eQTL	not_assessable	unassessed	229	0	0.486557581941617	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R042	GS041	RPLP1	Astrocytes	non_mt_driver	sQTL	not_assessable	unassessed	47	5	0.999999999990953	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R043	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	12	0	0.267718404476816	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R044	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	47	5	0.999999999990953	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R045	GS043	RPS13	Excitatory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	3	0	0.0835649378487138	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R046	GS043	RPS13	Excitatory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	5	0	0.0787115722173299	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R047	GS044	RPS15	Inhibitory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	19	0	0.119668275306465	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R048	GS044	RPS15	Inhibitory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	181	26	1	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R049	GS045	RPS15	OPCs	non_mt_driver	eQTL	not_assessable	unassessed	26	0	0.0736881131864511	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R050	GS045	RPS15	OPCs	non_mt_driver	sQTL	not_assessable	unassessed	181	26	1	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R051	GS046	SELENOW	Excitatory_neurons	non_mt_driver	eQTL	not_assessable	unassessed	20	17	0.22941352586347	exact	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R052	GS046	SELENOW	Excitatory_neurons	non_mt_driver	sQTL	not_assessable	unassessed	383	23	0.999990448163491	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R053	GS047	UQCR10	Excitatory_neurons	mt_driver	eQTL	not_assessable	unassessed	232	136	0.105411694137622	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
human_genetic_support_tier2_coloc_v1	T2R054	GS047	UQCR10	Excitatory_neurons	mt_driver	sQTL	not_assessable	unassessed	209	161	0.95614033898531	bulk_brain_fallback	released_QTL_finemapping_available_but_matching_AD_H0_H4_or_custom_inputs_absent
