schema_version	comparison_id	candidate_id	gene	qtl_type	raw_gwas_variants	raw_qtl_variants	shared_variants	lead_or_proxy_retained_gwas	lead_or_proxy_retained_qtl	terminal_status
human_genetic_support_tier2_coloc_v1	T2R022	GS011	LAMTOR5	sQTL	14712	0	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R023	GS012	LAMTOR5	eQTL	14712	14	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R024	GS012	LAMTOR5	sQTL	14712	0	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R025	GS013	LAPTM4A	eQTL	16045	5	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R026	GS013	LAPTM4A	sQTL	16045	154	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R027	GS034	NCOA1	eQTL	15153	18	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R028	GS034	NCOA1	sQTL	15153	2079	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R029	GS035	RPL11	eQTL	14435	208	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R030	GS035	RPL11	sQTL	14435	24	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R031	GS036	RPL11	eQTL	14435	13	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R032	GS036	RPL11	sQTL	14435	24	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R033	GS037	RPL11	eQTL	14435	115	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R034	GS037	RPL11	sQTL	14435	24	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R035	GS038	RPL11	eQTL	14435	4	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R036	GS038	RPL11	sQTL	14435	24	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R037	GS039	RPL15	eQTL	17466	5	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R038	GS039	RPL15	sQTL	17466	45	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R039	GS040	RPL38	eQTL	17184	6	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R040	GS040	RPL38	sQTL	17184	84	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R041	GS041	RPLP1	eQTL	14632	229	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R042	GS041	RPLP1	sQTL	14632	47	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R043	GS042	RPLP1	eQTL	14632	12	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R044	GS042	RPLP1	sQTL	14632	47	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R045	GS043	RPS13	eQTL	13612	3	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R046	GS043	RPS13	sQTL	13612	5	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R047	GS044	RPS15	eQTL	20114	19	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R048	GS044	RPS15	sQTL	20114	181	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R049	GS045	RPS15	eQTL	20114	26	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R050	GS045	RPS15	sQTL	20114	181	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R051	GS046	SELENOW	eQTL	15241	20	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R052	GS046	SELENOW	sQTL	15241	383	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R053	GS047	UQCR10	eQTL	15669	232	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
human_genetic_support_tier2_coloc_v1	T2R054	GS047	UQCR10	sQTL	15669	209	NA	NA	NA	not_run_no_compatible_full_regional_qtl_and_ld
