rds_id	canonical_symbol	human_gene_id	description	synonyms	sub_mito_localization	mito_pathways	duplicate_canonical_symbol	mapped_feature	match_type	tested	measured
astrocytes	ABCD3	5825	ATP binding cassette subfamily D member 3	ABC43|CBAS5|PMP70|PXMP1|ZWS2	Membrane	Small molecule transport > ABC transporters	FALSE	ABCD3	canonical	TRUE	TRUE
astrocytes	ABHD10	55347	abhydrolase domain containing 10, depalmitoylase	-	Matrix	Metabolism > Detoxification > Xenobiotic metabolism	FALSE	ABHD10	canonical	TRUE	TRUE
astrocytes	ABHD11	83451	abhydrolase domain containing 11	PP1226|WBSCR21	Matrix	Metabolism > Carbohydrate metabolism > TCA-associated	FALSE	ABHD11	canonical	TRUE	TRUE
astrocytes	ACAA1	30	acetyl-CoA acyltransferase 1	ACAA|PTHIO|THIO	unknown	Metabolism > Lipid metabolism	FALSE	ACAA1	canonical	TRUE	TRUE
astrocytes	ACAA2	10449	acetyl-CoA acyltransferase 2	DSAEC	Matrix	Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism	FALSE	ACAA2	canonical	TRUE	TRUE
astrocytes	ACACA	31	acetyl-CoA carboxylase alpha	ACAC|ACACAD|ACC|ACC1|ACCA	Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis | Metabolism > Vitamin metabolism > Biotin utilizing proteins	FALSE	ACACA	canonical	TRUE	TRUE
astrocytes	ACACB	32	acetyl-CoA carboxylase beta	ACC2|ACCB|HACC275	MOM	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Vitamin metabolism > Biotin utilizing proteins	FALSE	ACACB	canonical	TRUE	TRUE
astrocytes	ACAD10	80724	acyl-CoA dehydrogenase family member 10	-	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACAD10	canonical	TRUE	TRUE
astrocytes	ACAD11	84129	acyl-CoA dehydrogenase family member 11	ACAD-11	MIM	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACAD11	canonical	TRUE	TRUE
astrocytes	ACAD8	27034	acyl-CoA dehydrogenase family member 8	ACAD-8|ARC42|IBDH	Matrix	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	FALSE	ACAD8	canonical	TRUE	TRUE
astrocytes	ACAD9	28976	acyl-CoA dehydrogenase family member 9	MC1DN20|NPD002	MIM	OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors	FALSE	ACAD9	canonical	TRUE	TRUE
astrocytes	ACADL	33	acyl-CoA dehydrogenase long chain	ACAD4|LCAD	MIM	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACADL	canonical	TRUE	TRUE
astrocytes	ACADM	34	acyl-CoA dehydrogenase medium chain	ACAD1|MCAD|MCADH	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACADM	canonical	TRUE	TRUE
astrocytes	ACADS	35	acyl-CoA dehydrogenase short chain	ACAD3|SCAD	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACADS	canonical	TRUE	TRUE
astrocytes	ACADSB	36	acyl-CoA dehydrogenase short/branched chain	2-MEBCAD|ACAD7|SBCAD	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	FALSE	ACADSB	canonical	TRUE	TRUE
astrocytes	ACADVL	37	acyl-CoA dehydrogenase very long chain	ACAD6|LCACD|VLCAD	MIM	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACADVL	canonical	TRUE	TRUE
astrocytes	ACAT1	38	acetyl-CoA acetyltransferase 1	ACAT|MAT|T2|THIL	Matrix	Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism	FALSE	ACAT1	canonical	TRUE	TRUE
astrocytes	ACCS	84680	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACS|PHACS	unknown	0	FALSE	ACCS	canonical	TRUE	TRUE
astrocytes	ACLY	47	ATP citrate lyase	ACL|ATPCL|CLATP	Matrix	Metabolism > Carbohydrate metabolism > TCA-associated	FALSE	ACLY	canonical	TRUE	TRUE
astrocytes	ACO2	50	aconitase 2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	Matrix	Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins	FALSE	ACO2	canonical	TRUE	TRUE
astrocytes	ACOD1	730249	aconitate decarboxylase 1	CAD|IRG1	Matrix	Metabolism > Carbohydrate metabolism > Itaconate metabolism | Signaling > Immune response	FALSE	ACOD1;CAD	canonical;unique_synonym	TRUE	TRUE
astrocytes	ACOT11	26027	acyl-CoA thioesterase 11	BFIT|STARD14|THEA|THEM1	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACOT11	canonical	TRUE	TRUE
astrocytes	ACOT13	55856	acyl-CoA thioesterase 13	HT012|PNAS-27|THEM2	Matrix	Metabolism > Lipid metabolism	FALSE	ACOT13	canonical	TRUE	TRUE
astrocytes	ACOT2	10965	acyl-CoA thioesterase 2	CTE-IA|CTE1A|MTE1|PTE2|PTE2A|ZAP128	Matrix	Metabolism > Lipid metabolism	FALSE	ACOT2	canonical	TRUE	TRUE
astrocytes	ACOT7	11332	acyl-CoA thioesterase 7	ACH1|ACT|BACH|CTE-II|LACH|LACH1|hBACH	Matrix	Metabolism > Lipid metabolism	FALSE	ACOT7	canonical	TRUE	TRUE
astrocytes	ACOT9	23597	acyl-CoA thioesterase 9	ACATE2|CGI-16|MT-ACT48|MTACT48	MIM	Metabolism > Lipid metabolism	FALSE	ACOT9	canonical	TRUE	TRUE
astrocytes	ACP6	51205	acid phosphatase 6, lysophosphatidic	ACPL1|LPAP|PACPL1	IMS	Metabolism > Lipid metabolism > Phospholipid metabolism	FALSE	ACP6	canonical	TRUE	TRUE
astrocytes	ACSF2	80221	acyl-CoA synthetase family member 2	ACSMW|AVYV493	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSF2	canonical	TRUE	TRUE
astrocytes	ACSF3	197322	acyl-CoA synthetase family member 3	-	Matrix	Metabolism > Lipid metabolism > Type II fatty acid synthesis	FALSE	ACSF3	canonical	TRUE	TRUE
astrocytes	ACSL1	2180	acyl-CoA synthetase long chain family member 1	ACS1|FACL1|FACL2|LACS|LACS1|LACS2	MOM	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSL1	canonical	TRUE	TRUE
astrocytes	ACSL6	23305	acyl-CoA synthetase long chain family member 6	ACS2|FACL6|LACS 6|LACS2|LACS5	MOM	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSL6	canonical	TRUE	TRUE
astrocytes	ACSM1	116285	acyl-CoA synthetase medium chain family member 1	BUCS1|MACS1	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSM1	canonical	TRUE	TRUE
astrocytes	ACSM2A	123876	acyl-CoA synthetase medium chain family member 2A	A-923A4.1|ACSM2	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Detoxification > Xenobiotic metabolism	FALSE	ACSM2A	canonical	TRUE	TRUE
astrocytes	ACSM2B	348158	acyl-CoA synthetase medium chain family member 2B	ACSM2|HXMA|HYST1046	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSM2B	canonical	TRUE	TRUE
astrocytes	ACSM3	6296	acyl-CoA synthetase medium chain family member 3	SA|SAH	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSM3	canonical	TRUE	TRUE
astrocytes	ACSM4	341392	acyl-CoA synthetase medium chain family member 4	-	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSM4	canonical	TRUE	TRUE
astrocytes	ACSM5	54988	acyl-CoA synthetase medium chain family member 5	-	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Detoxification > Xenobiotic metabolism	FALSE	ACSM5	canonical	TRUE	TRUE
astrocytes	ACSS1	84532	acyl-CoA synthetase short chain family member 1	ACAS2L|ACECS1|AceCS2L	MIM	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	ACSS1	canonical	TRUE	TRUE
astrocytes	ACSS3	79611	acyl-CoA synthetase short chain family member 3	-	Matrix	Metabolism > Lipid metabolism	FALSE	ACSS3	canonical	TRUE	TRUE
astrocytes	ADCK1	57143	aarF domain containing kinase 1	-	unknown	0	FALSE	ADCK1	canonical	TRUE	TRUE
astrocytes	ADCK2	90956	aarF domain containing kinase 2	AARF	MIM	0	FALSE	ADCK2	canonical	TRUE	TRUE
astrocytes	ADCK5	203054	aarF domain containing kinase 5	-	unknown	0	FALSE	ADCK5	canonical	TRUE	TRUE
astrocytes	ADCY10	55811	adenylate cyclase 10	HCA2|HEL-S-7a|SAC|SACI|Sacy|hsAC	Membrane	Signaling > cAMP-PKA signaling	FALSE	ADCY10	canonical	TRUE	TRUE
astrocytes	ADHFE1	137872	alcohol dehydrogenase iron containing 1	ADH8|HMFT2263|HOT	Matrix	Metabolism > Amino acid metabolism > GABA metabolism	FALSE	ADHFE1	canonical	TRUE	TRUE
astrocytes	AFG1L	246269	AFG1 like ATPase	AFG1|LACE1|c222389	MIM	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	FALSE	AFG1L	canonical	TRUE	TRUE
astrocytes	AFG3L2	10939	AFG3 like matrix AAA peptidase subunit 2	OPA12|SCA28|SPAX5	MIM	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	FALSE	AFG3L2	canonical	TRUE	TRUE
astrocytes	AGK	55750	acylglycerol kinase	CATC5|CTRCT38|MTDPS10|MULK	MIM	Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway | Metabolism > Lipid metabolism > Phospholipid metabolism	FALSE	AGK	canonical	TRUE	TRUE
astrocytes	AGMAT	79814	agmatinase	-	Matrix	Metabolism > Amino acid metabolism	FALSE	AGMAT	canonical	TRUE	TRUE
astrocytes	AGPAT4	56895	1-acylglycerol-3-phosphate O-acyltransferase 4	1-AGPAT4|LPAAT-delta|dJ473J16.2	MOM	Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism	FALSE	AGPAT4	canonical	TRUE	TRUE
astrocytes	AGPAT5	55326	1-acylglycerol-3-phosphate O-acyltransferase 5	1AGPAT5|LPAATE	MOM	Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism	FALSE	AGPAT5	canonical	TRUE	TRUE
astrocytes	AGXT	189	alanine--glyoxylate and serine--pyruvate aminotransferase	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	Matrix	Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism	FALSE	AGT;AGXT	canonical;unique_synonym	TRUE	TRUE
astrocytes	AGXT2	64902	alanine--glyoxylate aminotransferase 2	AGT2|BAIBA|DAIBAT	Matrix	Metabolism > Amino acid metabolism > Glyoxylate metabolism	FALSE	AGXT2	canonical	TRUE	TRUE
astrocytes	AHCYL1	10768	adenosylhomocysteinase like 1	DCAL|IRBIT|PPP1R78|PRO0233|XPVKONA	MOM	Mitochondrial dynamics and surveillance > Organelle contact sites	FALSE	AHCYL1	canonical	TRUE	TRUE
astrocytes	AIFM1	9131	apoptosis inducing factor mitochondria associated 1	AIF|AUNX1|CMT2D|CMTX4|COWCK|COXPD6|DFNX5|NADMR|NAMSD|PDCD8|SEMDHL	MIM	Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis	FALSE	AIFM1	canonical	TRUE	TRUE
astrocytes	AIFM2	84883	apoptosis inducing factor mitochondria associated 2	AMID|FSP1|PRG3	Membrane	Metabolism > Detoxification > ROS and glutathione metabolism | Mitochondrial dynamics and surveillance > Apoptosis	FALSE	AIFM2;PRG3	canonical;unique_synonym	TRUE	TRUE
astrocytes	AIFM3	150209	apoptosis inducing factor mitochondria associated 3	AIFL	MIM	Metabolism > Metals and cofactors > Fe-S-containing proteins | Mitochondrial dynamics and surveillance > Apoptosis	FALSE	AIFM3	canonical	TRUE	TRUE
astrocytes	AK2	204	adenylate kinase 2	ADK2	IMS	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	FALSE	AK2	canonical	TRUE	TRUE
astrocytes	AK3	50808	adenylate kinase 3	AK3L1|AK6|AKL3L|AKL3L1|FIX	Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	FALSE	AK3;AK6	canonical;unique_synonym	TRUE	TRUE
astrocytes	AK4	205	adenylate kinase 4	AK 4|AK3|AK3L1|AK3L2	Matrix	Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing	FALSE	AK4	canonical	TRUE	TRUE
astrocytes	AKAP1	8165	A-kinase anchoring protein 1	AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17	MOM	Signaling > cAMP-PKA signaling	FALSE	AKAP1	canonical	TRUE	TRUE
astrocytes	AKAP10	11216	A-kinase anchoring protein 10	AKAP-10|D-AKAP-2|D-AKAP2|PRKA10	MOM	Signaling > cAMP-PKA signaling	FALSE	AKAP10	canonical	TRUE	TRUE
astrocytes	AKR1B10	57016	aldo-keto reductase family 1 member B10	AKR1B11|AKR1B12|ALDRLn|ARL-1|ARL1|HIS|HSI	unknown	Metabolism > Vitamin metabolism > Vitamin A metabolism | Metabolism > Detoxification > Xenobiotic metabolism	FALSE	AKR1B10;ARL1	canonical;unique_synonym	TRUE	TRUE
astrocytes	AKR7A2	8574	aldo-keto reductase family 7 member A2	AFAR|AFAR1|AFB1-AR1|AKR7	Matrix	Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > Xenobiotic metabolism	FALSE	AKR7A2	canonical	TRUE	TRUE
astrocytes	ALAS1	211	5'-aminolevulinate synthase 1	ALAS|ALAS-H|ALAS3|ALASH|MIG4	Matrix	Metabolism > Metals and cofactors > Heme synthesis and processing	FALSE	ALAS1	canonical	TRUE	TRUE
astrocytes	ALAS2	212	5'-aminolevulinate synthase 2	ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA	Matrix	Metabolism > Metals and cofactors > Heme synthesis and processing	FALSE	ALAS2	canonical	TRUE	TRUE
astrocytes	ALDH18A1	5832	aldehyde dehydrogenase 18 family member A1	ADCL3|ARCL3A|GSAS|P5CS|PYCS|SPG9|SPG9A|SPG9B	Matrix	Metabolism > Amino acid metabolism > Proline metabolism	FALSE	ALDH18A1	canonical	TRUE	TRUE
astrocytes	ALDH1B1	219	aldehyde dehydrogenase 1 family member B1	ALDH5|ALDHX	Matrix	Metabolism > Detoxification > Xenobiotic metabolism	FALSE	ALDH1B1	canonical	TRUE	TRUE
astrocytes	ALDH1L1	10840	aldehyde dehydrogenase 1 family member L1	10-FTHFDH|10-fTHF|FDH|FTHFD	Matrix	Metabolism > Vitamin metabolism > Folate and 1-C metabolism	FALSE	ALDH1L1	canonical	TRUE	TRUE
astrocytes	ALDH1L2	160428	aldehyde dehydrogenase 1 family member L2	mtFDH	Matrix	Metabolism > Vitamin metabolism > Folate and 1-C metabolism	FALSE	ALDH1L2	canonical	TRUE	TRUE
astrocytes	ALDH2	217	aldehyde dehydrogenase 2 family member	ALDH-E2|ALDHI|ALDM	Matrix	Metabolism > Detoxification > Xenobiotic metabolism	FALSE	ALDH2	canonical	TRUE	TRUE
astrocytes	ALDH3A2	224	aldehyde dehydrogenase 3 family member A2	ALDH10|FALDH|SLS	Membrane	Metabolism > Detoxification > ROS and glutathione metabolism	FALSE	ALDH3A2	canonical	TRUE	TRUE
astrocytes	ALDH4A1	8659	aldehyde dehydrogenase 4 family member A1	ALDH4|P5CD|P5CDh	Matrix	Metabolism > Amino acid metabolism > Proline metabolism | Metabolism > Amino acid metabolism > Glyoxylate metabolism	FALSE	ALDH4A1	canonical	FALSE	TRUE
astrocytes	ALDH5A1	7915	aldehyde dehydrogenase 5 family member A1	SSADH|SSDH	Matrix	Metabolism > Amino acid metabolism > GABA metabolism	FALSE	ALDH5A1	canonical	TRUE	TRUE
astrocytes	ALDH6A1	4329	aldehyde dehydrogenase 6 family member A1	MMSADHA|MMSDH	MIM	Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism	FALSE	ALDH6A1	canonical	TRUE	TRUE
astrocytes	ALDH7A1	501	aldehyde dehydrogenase 7 family member A1	ATQ1|EPD|PDE	Matrix	Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism	FALSE	ALDH7A1	canonical	TRUE	TRUE
astrocytes	ALDH9A1	223	aldehyde dehydrogenase 9 family member A1	ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH	Matrix	Metabolism > Amino acid metabolism > GABA metabolism | Metabolism > Detoxification > ROS and glutathione metabolism	FALSE	ALDH9A1	canonical	TRUE	TRUE
astrocytes	ALKBH1	8846	alkB homolog 1, histone H2A dioxygenase	ABH|ABH1|ALKBH|alkB|hABH	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications	FALSE	ALKBH1	canonical	TRUE	TRUE
astrocytes	ALKBH7	84266	alkB homolog 7	ABH7|SPATA11|UNQ6002	Matrix	0	FALSE	ALKBH7	canonical	TRUE	TRUE
astrocytes	AMACR	23600	alpha-methylacyl-CoA racemase	AMACRD|CBAS4|P504S|RACE|RM	Matrix	Metabolism > Lipid metabolism > Fatty acid oxidation	FALSE	AMACR	canonical	TRUE	TRUE
astrocytes	AMT	275	aminomethyltransferase	GCE|GCST|GCVT|NKH	Matrix	Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system | Metabolism > Vitamin metabolism > Folate and 1-C metabolism	FALSE	AMT	canonical	TRUE	TRUE
astrocytes	ANGEL2	90806	angel homolog 2	Ccr4d|KIAA0759L	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications	FALSE	ANGEL2	canonical	TRUE	TRUE
astrocytes	ANTKMT	65990	adenine nucleotide translocase lysine methyltransferase	ANT-KMT|C16orf24|FAM173A	MIM	Metabolism > Nucleotide metabolism	FALSE	FAM173A	unique_synonym	TRUE	TRUE
astrocytes	APEX1	328	apurinic/apyrimidinic endodeoxyribonuclease 1	APE|APE1|APEN|APEX|APX|HAP1|REF1	Matrix	Mitochondrial central dogma > mtDNA maintenance > mtDNA repair	FALSE	APEX1;HAP1	canonical;unique_synonym	TRUE	TRUE
astrocytes	APOO	79135	apolipoprotein O	FAM121B|MIC26|MICOS26|Mic23|My025	MIM	Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex	FALSE	APOO	canonical	TRUE	TRUE
astrocytes	APOOL	139322	apolipoprotein O like	CXorf33|FAM121A|MICOS27|Mic27|UNQ8193	MIM	Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex	FALSE	APOOL	canonical	TRUE	TRUE
astrocytes	ARF5	381	ADP ribosylation factor 5	-	unknown	0	FALSE	ARF5	canonical	TRUE	TRUE
astrocytes	ARG2	384	arginase 2	-	Matrix	Metabolism > Amino acid metabolism	FALSE	ARG2	canonical	TRUE	TRUE
astrocytes	ARL2	402	ADP ribosylation factor like GTPase 2	ARFL2	IMS	Mitochondrial dynamics and surveillance > Fusion	FALSE	ARL2	canonical	TRUE	TRUE
astrocytes	ARMC10	83787	armadillo repeat containing 10	PNAS-112|PNAS112|PSEC0198|SVH	MOM	Mitochondrial dynamics and surveillance > Fission | Mitochondrial dynamics and surveillance > Trafficking	FALSE	ARMC10	canonical	TRUE	TRUE
astrocytes	ARMCX1	51309	armadillo repeat containing X-linked 1	ALEX1|GASP7	MOM	Mitochondrial dynamics and surveillance > Trafficking	FALSE	ARMCX1	canonical	TRUE	TRUE
astrocytes	ARMCX2	9823	armadillo repeat containing X-linked 2	ALEX2|GASP9	Membrane	0	FALSE	ARMCX2	canonical	TRUE	TRUE
astrocytes	ARMCX3	51566	armadillo repeat containing X-linked 3	ALEX3|GASP6|dJ545K15.2	MOM	Mitochondrial dynamics and surveillance > Trafficking	FALSE	ARMCX3	canonical	TRUE	TRUE
astrocytes	ARMCX6	54470	armadillo repeat containing X-linked 6	GASP10	Membrane	0	FALSE	ARMCX6	canonical	TRUE	TRUE
astrocytes	ATAD1	84896	ATPase family AAA domain containing 1	AFDC1|FNP001|HKPX4|Msp1|THORASE	MOM	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	FALSE	ATAD1	canonical	TRUE	TRUE
astrocytes	ATAD3A	55210	ATPase family AAA domain containing 3A	HAYOS|PHRINL	MIM	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial dynamics and surveillance > Organelle contact sites | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions	FALSE	ATAD3A	canonical	TRUE	TRUE
astrocytes	ATAD3B	83858	ATPase family AAA domain containing 3B	AAA-TOB3|TOB3	MIM	Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial dynamics and surveillance > Organelle contact sites | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions	FALSE	ATAD3B	canonical	TRUE	TRUE
astrocytes	ATP23	91419	ATP23 metallopeptidase and ATP synthase assembly factor homolog	KUB3|XRCC6BP1	IMS	Protein import, sorting and homeostasis > Protein homeostasis > Proteases	FALSE	ATP23	canonical	TRUE	TRUE
astrocytes	ATP5F1A	498	ATP synthase F1 subunit alpha	ATP5A|ATP5A1|ATP5AL2|ATPM|COXPD22|HEL-S-123m|MC5DN4|MOM2|OMR|ORM|hATP1	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5F1A	canonical	TRUE	TRUE
astrocytes	ATP5F1B	506	ATP synthase F1 subunit beta	ATP5B|ATPMB|ATPSB|HEL-S-271	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5F1B	canonical	TRUE	TRUE
astrocytes	ATP5F1C	509	ATP synthase F1 subunit gamma	ATP5C|ATP5C1|ATP5CL1	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5F1C	canonical	TRUE	TRUE
astrocytes	ATP5F1D	513	ATP synthase F1 subunit delta	ATP5D|MC5DN5	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5F1D	canonical	TRUE	TRUE
astrocytes	ATP5F1E	514	ATP synthase F1 subunit epsilon	ATP5E|ATPE|MC5DN3	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5F1E	canonical	TRUE	TRUE
astrocytes	ATP5IF1	93974	ATP synthase inhibitory factor subunit 1	ATPI|ATPIF1|ATPIP|IP	Matrix	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5IF1	canonical	TRUE	TRUE
astrocytes	ATP5MC1	516	ATP synthase membrane subunit c locus 1	ATP5A|ATP5G|ATP5G1	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5MC1	canonical	TRUE	TRUE
astrocytes	ATP5MC2	517	ATP synthase membrane subunit c locus 2	ATP5A|ATP5G2	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5MC2	canonical	TRUE	TRUE
astrocytes	ATP5MC3	518	ATP synthase membrane subunit c locus 3	ATP5G3|P3	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5MC3	canonical	TRUE	TRUE
astrocytes	ATP5MD	84833	ATP synthase membrane subunit DAPIT	DAPIT|HCVFTP2|MC5DN6|USMG5|bA792D24.4	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation	FALSE	ATP5MD	canonical	TRUE	TRUE
astrocytes	ATP5ME	521	ATP synthase membrane subunit e	ATP5I|ATP5K	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation	FALSE	ATP5ME	canonical	TRUE	TRUE
astrocytes	ATP5MF	9551	ATP synthase membrane subunit f	ATP5J2|ATP5JL	MIM	OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits	FALSE	ATP5MF	canonical	TRUE	TRUE
