alias	canonical_symbol	alias_type	canonical_targets	duplicate_alias	feature_present_rds	selected_mapping_rds
AK 4	AK4	synonym	1	FALSE	0	0
AK2	AK2	canonical	1	FALSE	9	0
AK3	AK3	canonical	2	TRUE	9	0
AK3	AK4	synonym	2	TRUE	9	0
AK3L1	AK3	synonym	2	TRUE	0	0
AK3L1	AK4	synonym	2	TRUE	0	0
AK3L2	AK4	synonym	1	FALSE	0	0
AK4	AK4	canonical	1	FALSE	9	0
AK6	AK3	synonym	1	FALSE	9	9
AKAP	AKAP1	synonym	1	FALSE	0	0
AKAP-10	AKAP10	synonym	1	FALSE	0	0
AKAP1	AKAP1	canonical	1	FALSE	9	0
AKAP10	AKAP10	canonical	1	FALSE	9	0
AKAP121	AKAP1	synonym	1	FALSE	0	0
AKAP149	AKAP1	synonym	1	FALSE	0	0
AKAP84	AKAP1	synonym	1	FALSE	0	0
AKGDH	OGDH	synonym	1	FALSE	0	0
AKIP	AURKAIP1	synonym	1	FALSE	0	0
AKL3L	AK3	synonym	1	FALSE	0	0
AKL3L1	AK3	synonym	1	FALSE	0	0
AKR1B10	AKR1B10	canonical	1	FALSE	9	0
AKR1B11	AKR1B10	synonym	1	FALSE	0	0
AKR1B12	AKR1B10	synonym	1	FALSE	0	0
AKR7	AKR7A2	synonym	1	FALSE	0	0
AKR7A2	AKR7A2	canonical	1	FALSE	9	0
ALAS	ALAS1	synonym	1	FALSE	0	0
ALAS-E	ALAS2	synonym	1	FALSE	0	0
ALAS-H	ALAS1	synonym	1	FALSE	0	0
ALAS1	ALAS1	canonical	1	FALSE	9	0
ALAS2	ALAS2	canonical	1	FALSE	9	0
ALAS3	ALAS1	synonym	1	FALSE	0	0
ALASE	ALAS2	synonym	1	FALSE	0	0
ALASH	ALAS1	synonym	1	FALSE	0	0
ALD	ABCD1	synonym	1	FALSE	0	0
ALDH-E2	ALDH2	synonym	1	FALSE	0	0
ALDH10	ALDH3A2	synonym	1	FALSE	0	0
ALDH18A1	ALDH18A1	canonical	1	FALSE	9	0
ALDH1B1	ALDH1B1	canonical	1	FALSE	9	0
ALDH1L1	ALDH1L1	canonical	1	FALSE	9	0
ALDH1L2	ALDH1L2	canonical	1	FALSE	9	0
ALDH2	ALDH2	canonical	1	FALSE	9	0
ALDH3A2	ALDH3A2	canonical	1	FALSE	9	0
ALDH4	ALDH4A1	synonym	2	TRUE	0	0
ALDH4	ALDH9A1	synonym	2	TRUE	0	0
ALDH4A1	ALDH4A1	canonical	1	FALSE	9	0
ALDH5	ALDH1B1	synonym	1	FALSE	0	0
ALDH5A1	ALDH5A1	canonical	1	FALSE	9	0
ALDH6A1	ALDH6A1	canonical	1	FALSE	9	0
ALDH7	ALDH9A1	synonym	1	FALSE	0	0
ALDH7A1	ALDH7A1	canonical	1	FALSE	9	0
ALDH9	ALDH9A1	synonym	1	FALSE	0	0
ALDH9A1	ALDH9A1	canonical	1	FALSE	9	0
ALDHI	ALDH2	synonym	1	FALSE	0	0
ALDHX	ALDH1B1	synonym	1	FALSE	0	0
ALDL1	ABCD2	synonym	1	FALSE	0	0
ALDM	ALDH2	synonym	1	FALSE	0	0
ALDOS	CYP11B2	synonym	1	FALSE	0	0
ALDP	ABCD1	synonym	1	FALSE	0	0
ALDR	ABCD2	synonym	1	FALSE	0	0
ALDRLn	AKR1B10	synonym	1	FALSE	0	0
ALDRP	ABCD2	synonym	1	FALSE	0	0
ALEX1	ARMCX1	synonym	1	FALSE	0	0
ALEX2	ARMCX2	synonym	1	FALSE	0	0
ALEX3	ARMCX3	synonym	1	FALSE	0	0
ALKBH	ALKBH1	synonym	1	FALSE	0	0
ALKBH1	ALKBH1	canonical	1	FALSE	9	0
ALKBH7	ALKBH7	canonical	1	FALSE	9	0
ALPS2B	CASP8	synonym	1	FALSE	0	0
ALR	GFER	synonym	1	FALSE	0	0
ALS	SOD1	synonym	1	FALSE	0	0
ALS1	SOD1	synonym	1	FALSE	0	0
ALS2CR1	NIF3L1	synonym	1	FALSE	0	0
ALT2	GPT2	synonym	1	FALSE	0	0
AMACR	AMACR	canonical	1	FALSE	9	0
AMACRD	AMACR	synonym	1	FALSE	0	0
AMID	AIFM2	synonym	1	FALSE	0	0
AMN	ABCD1	synonym	1	FALSE	9	9
AMOXAD	DHTKD1	synonym	1	FALSE	0	0
