shortlist_rank	priority_tier	gene	context_effect_rank	contrast_id	rds_id	cell_type	sex	apoe_group	yu_stratum	logFC	fdr	cells_ad	cells_nci	donors_ad	donors_nci
12	B	FIS1	12	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Female	e4	F_e4x	-0.688557	1.08621e-12	6768	4054	26	11
12	B	FIS1	13	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e2	M_e2x	-0.673076	3.02441e-05	732	581	7	6
12	B	FIS1	14	opcs::OPC::AD_vs_NCI__Male__e2	opcs	OPC	Male	e2	M_e2x	-0.664283	0.00899067	1320	1404	7	6
12	B	FIS1	15	excitatory_set3::Exc L6b::AD_vs_NCI__Female__e4	excitatory_set3	Exc L6b	Female	e4	F_e4x	-0.589208	0.00191374	1520	846	25	11
12	B	FIS1	16	inhibitory::Inh LAMP5 NRG1 (Rosehip)::AD_vs_NCI__Female__e4	inhibitory	Inh LAMP5 NRG1 (Rosehip)	Female	e4	F_e4x	-0.563181	0.0382432	1329	914	24	11
12	B	FIS1	17	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e2	M_e2x	-0.560176	4.52098e-29	4010	3277	7	6
12	B	FIS1	18	inhibitory::Inh LAMP5 NRG1 (Rosehip)::AD_vs_NCI__Male__e4	inhibitory	Inh LAMP5 NRG1 (Rosehip)	Male	e4	M_e4x	-0.556954	0.0212112	1537	575	26	10
12	B	FIS1	19	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L3-5 RORB PLCH1	Female	e4	F_e4x	-0.485444	0.0242049	2439	1115	26	11
12	B	FIS1	20	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e4	excitatory_set3	Exc L5/6 IT Car3	Female	e4	F_e4x	-0.432305	0.0134081	1113	561	25	11
12	B	FIS1	21	excitatory_set3::Exc L6 THEMIS NFIA::AD_vs_NCI__Female__e4	excitatory_set3	Exc L6 THEMIS NFIA	Female	e4	F_e4x	-0.421774	3.8515e-08	4415	1837	25	11
12	B	FIS1	22	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e2	excitatory_set3	Exc L5/6 IT Car3	Female	e2	F_e2x	0.399503	0.0114872	174	699	8	16
13	B	SLIRP	1	excitatory_set3::Exc RELN CHD7::AD_vs_NCI__Male__e2	excitatory_set3	Exc RELN CHD7	Male	e2	M_e2x	-1.69088	0.0254653	202	673	7	6
13	B	SLIRP	2	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Female__e4	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Female	e4	F_e4x	-1.22382	5.99169e-59	15950	14571	26	11
13	B	SLIRP	3	inhibitory::Inh LAMP5 NRG1 (Rosehip)::AD_vs_NCI__Male__e2	inhibitory	Inh LAMP5 NRG1 (Rosehip)	Male	e2	M_e2x	-1.10214	0.0119133	420	333	7	6
13	B	SLIRP	4	excitatory_set3::Exc NRGN::AD_vs_NCI__Male__e2	excitatory_set3	Exc NRGN	Male	e2	M_e2x	-1.06571	5.25152e-08	545	1905	7	6
13	B	SLIRP	5	inhibitory::Inh PVALB SULF1::AD_vs_NCI__Male__e2	inhibitory	Inh PVALB SULF1	Male	e2	M_e2x	-1.03268	0.000707157	331	368	7	6
13	B	SLIRP	6	inhibitory::Inh L3-5 SST MAFB::AD_vs_NCI__Male__e2	inhibitory	Inh L3-5 SST MAFB	Male	e2	M_e2x	-0.922482	0.000123175	364	292	7	6
13	B	SLIRP	7	excitatory_set3::Exc L5/6 IT Car3::AD_vs_NCI__Female__e4	excitatory_set3	Exc L5/6 IT Car3	Female	e4	F_e4x	-0.896007	0.0447744	1113	561	25	11
13	B	SLIRP	8	excitatory_set2::Exc L3-4 RORB CUX2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-4 RORB CUX2	Male	e2	M_e2x	-0.661531	2.51983e-06	2069	3140	7	6
13	B	SLIRP	9	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Female	e4	F_e4x	-0.65713	0.00997135	6768	4054	26	11
13	B	SLIRP	10	immune::Mic P2RY12::AD_vs_NCI__Male__e4	immune	Mic P2RY12	Male	e4	M_e4x	0.629023	0.0185358	4158	1439	27	10
13	B	SLIRP	11	excitatory_set2::Exc L3-5 RORB PLCH1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L3-5 RORB PLCH1	Male	e2	M_e2x	-0.609945	1.29178e-06	732	581	7	6
13	B	SLIRP	12	excitatory_set1::Exc L2-3 CBLN2 LINC02306::AD_vs_NCI__Male__e2	excitatory_set1	Exc L2-3 CBLN2 LINC02306	Male	e2	M_e2x	-0.59648	4.23165e-24	4010	3277	7	6
13	B	SLIRP	13	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB GABRG1	Male	e2	M_e2x	-0.565709	9.42886e-07	1249	1339	7	6
13	B	SLIRP	14	excitatory_set2::Exc L4-5 RORB GABRG1::AD_vs_NCI__Female__e4	excitatory_set2	Exc L4-5 RORB GABRG1	Female	e4	F_e4x	-0.559252	0.0302518	4249	2234	25	11
13	B	SLIRP	15	astrocytes::Ast GRM3::AD_vs_NCI__Male__e2	astrocytes	Ast GRM3	Male	e2	M_e2x	-0.506509	9.77898e-08	1411	1186	7	6
13	B	SLIRP	16	excitatory_set3::Exc L5-6 RORB LINC02196::AD_vs_NCI__Male__e2	excitatory_set3	Exc L5-6 RORB LINC02196	Male	e2	M_e2x	-0.472231	0.0405503	363	318	7	6
13	B	SLIRP	17	opcs::OPC::AD_vs_NCI__Male__e2	opcs	OPC	Male	e2	M_e2x	-0.430203	0.00885437	1320	1404	7	6
13	B	SLIRP	18	inhibitory::Inh PVALB HTR4::AD_vs_NCI__Male__e2	inhibitory	Inh PVALB HTR4	Male	e2	M_e2x	-0.426419	0.000123255	612	545	7	6
13	B	SLIRP	19	excitatory_set2::Exc L4-5 RORB IL1RAPL2::AD_vs_NCI__Male__e2	excitatory_set2	Exc L4-5 RORB IL1RAPL2	Male	e2	M_e2x	-0.411548	9.77465e-06	1690	1874	7	6
