schema_version	candidate_id	gene	broad_network	case_id	case_label	aggregate_acat_p	aggregate_acat_q	evidence_tier	is_mtdna_gene	requested_xqtl_context
phase19_endophenotype_gwas_qtl_extension_v1	GS023	MT-CO3	Astrocytes	mt_driver	MT driver	5.4830548762413115e-12	1.5917308305728527e-08	tier1_recurrent_stable	True	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS024	MT-CO3	Inhibitory_neurons	mt_driver	MT driver	2.1270788685467672e-11	6.887580432997238e-08	tier1_recurrent_stable	True	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS025	MT-CO3	OPCs	mt_driver	MT driver	1.9131145593670764e-12	6.472066554338819e-09	tier_not_assessable	True	OPC
phase19_endophenotype_gwas_qtl_extension_v1	GS026	MT-CO3	Vasculature_cells	mt_driver	MT driver	6.440235728935366e-18	2.373870889685576e-14	tier_not_assessable	True	Brain
phase19_endophenotype_gwas_qtl_extension_v1	GS027	MT-CYB	Excitatory_neurons	mt_driver	MT driver	1.4507606558602559e-08	1.539438400949714e-05	tier1_recurrent_stable	True	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS028	MT-CYB	Inhibitory_neurons	mt_driver	MT driver	2.873816592349334e-11	6.887580432997238e-08	tier1_recurrent_stable	True	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS029	MT-ND4	Microglia	mt_driver	MT driver	6.479816248835569e-06	0.010583090913485178	tier1_recurrent_stable	True	Mic
phase19_endophenotype_gwas_qtl_extension_v1	GS030	MT-ND4	OPCs	mt_driver	MT driver	1.010941781649593e-05	0.011400053491068577	tier_not_assessable	True	OPC
phase19_endophenotype_gwas_qtl_extension_v1	GS031	MT-ND4	Oligodendrocytes	mt_driver	MT driver	4.908675543565154e-07	0.0011368492558896898	tier_not_assessable	True	Oli
phase19_endophenotype_gwas_qtl_extension_v1	GS032	MT-ND4	Vasculature_cells	mt_driver	MT driver	1.6181190579657328e-06	0.0014910967119154228	tier_not_assessable	True	Brain
phase19_endophenotype_gwas_qtl_extension_v1	GS033	MT-ND5	Inhibitory_neurons	mt_driver	MT driver	1.4975022127202945e-09	2.6917602273647295e-06	tier1_recurrent_stable	True	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS034	NCOA1	OPCs	non_mt_driver	non-MT driver	4.751138669123453e-05	0.04592314890755612	tier_not_assessable	False	OPC
phase19_endophenotype_gwas_qtl_extension_v1	GS035	RPL11	Astrocytes	non_mt_driver	non-MT driver	1.7776559635829543e-08	3.440356841520878e-05	tier1_recurrent_stable	False	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS036	RPL11	Excitatory_neurons	non_mt_driver	non-MT driver	6.503322187746793e-13	1.8402234017260841e-09	tier1_recurrent_stable	False	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS037	RPL11	Microglia	non_mt_driver	non-MT driver	8.039825966182713e-06	0.010583090913485178	tier2_localized_or_unstable	False	Mic
phase19_endophenotype_gwas_qtl_extension_v1	GS038	RPL11	Oligodendrocytes	non_mt_driver	non-MT driver	1.8158810685601265e-05	0.028037203698568353	tier_not_assessable	False	Oli
phase19_endophenotype_gwas_qtl_extension_v1	GS039	RPL15	Astrocytes	non_mt_driver	non-MT driver	5.11728522358795e-06	0.0037138697510189543	tier1_recurrent_stable	False	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS040	RPL38	Inhibitory_neurons	non_mt_driver	non-MT driver	9.132228796124589e-05	0.04103795315258487	tier1_recurrent_stable	False	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS041	RPLP1	Astrocytes	non_mt_driver	non-MT driver	2.4594995685497456e-06	0.002379975749166637	tier1_recurrent_stable	False	Ast
phase19_endophenotype_gwas_qtl_extension_v1	GS042	RPLP1	Inhibitory_neurons	non_mt_driver	non-MT driver	7.84938320591808e-06	0.0056437065250551	tier1_recurrent_stable	False	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS043	RPS13	Excitatory_neurons	non_mt_driver	non-MT driver	3.810746310662914e-09	5.3915709052029135e-06	tier1_recurrent_stable	False	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS044	RPS15	Inhibitory_neurons	non_mt_driver	non-MT driver	1.285122422488673e-06	0.0013200043168133655	tier1_recurrent_stable	False	Inh
phase19_endophenotype_gwas_qtl_extension_v1	GS045	RPS15	OPCs	non_mt_driver	non-MT driver	5.864252183499891e-16	3.967753027356026e-12	tier_not_assessable	False	OPC
phase19_endophenotype_gwas_qtl_extension_v1	GS046	SELENOW	Excitatory_neurons	non_mt_driver	non-MT driver	4.7430512286758335e-09	5.751965982889878e-06	tier1_recurrent_stable	False	Exc
phase19_endophenotype_gwas_qtl_extension_v1	GS047	UQCR10	Excitatory_neurons	mt_driver	MT driver	6.50694993955256e-14	2.761874901843084e-10	tier1_recurrent_stable	False	Exc
