schema_version	comparison_id	route_id	gene	qtl_type	requested_context	selected_dataset_id	context_match_level	gwas_signal_present	qtl_model_requested	ld_requested	requested_ld_chromosome	planned_action	selection_rule
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R018	T2R018	DYNLT1	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R019	T2R019	FTL	eQTL	OPCs	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R020	T2R020	FTL	sQTL	OPCs	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R021	T2R021	LAMTOR5	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R022	T2R022	LAMTOR5	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R023	T2R023	LAMTOR5	eQTL	Inhibitory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R024	T2R024	LAMTOR5	sQTL	Inhibitory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R025	T2R025	LAPTM4A	eQTL	Astrocytes	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R026	T2R026	LAPTM4A	sQTL	Astrocytes	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R027	T2R027	NCOA1	eQTL	OPCs	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R028	T2R028	NCOA1	sQTL	OPCs	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R029	T2R029	RPL11	eQTL	Astrocytes	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R030	T2R030	RPL11	sQTL	Astrocytes	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R031	T2R031	RPL11	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R032	T2R032	RPL11	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R033	T2R033	RPL11	eQTL	Microglia	QTD000559	exact	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R034	T2R034	RPL11	sQTL	Microglia	QTD000563	exact	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R035	T2R035	RPL11	eQTL	Oligodendrocytes	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R036	T2R036	RPL11	sQTL	Oligodendrocytes	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R037	T2R037	RPL15	eQTL	Astrocytes	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R038	T2R038	RPL15	sQTL	Astrocytes	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R039	T2R039	RPL38	eQTL	Inhibitory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R040	T2R040	RPL38	sQTL	Inhibitory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R041	T2R041	RPLP1	eQTL	Astrocytes	QTD000579	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R042	T2R042	RPLP1	sQTL	Astrocytes	QTD000583	bulk_brain_fallback	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R043	T2R043	RPLP1	eQTL	Inhibitory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R044	T2R044	RPLP1	sQTL	Inhibitory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R045	T2R045	RPS13	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R046	T2R046	RPS13	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R047	T2R047	RPS15	eQTL	Inhibitory_neurons	QTD000569	lineage	TRUE	TRUE	TRUE	19	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R048	T2R048	RPS15	sQTL	Inhibitory_neurons	QTD000573	lineage	TRUE	TRUE	TRUE	19	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R049	T2R049	RPS15	eQTL	OPCs	QTD000579	bulk_brain_fallback	TRUE	TRUE	TRUE	19	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R050	T2R050	RPS15	sQTL	OPCs	QTD000583	bulk_brain_fallback	TRUE	TRUE	TRUE	19	acquire_qtl_model_and_ld	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R051	T2R051	SELENOW	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R052	T2R052	SELENOW	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R053	T2R053	UQCR10	eQTL	Excitatory_neurons	QTD000569	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
human_genetic_support_tier2_classical_coloc_recovery_v1	REC-T2R054	T2R054	UQCR10	sQTL	Excitatory_neurons	QTD000573	lineage	FALSE	FALSE	FALSE	NA	terminal_no_regional_gwas_signal	frozen_context_hierarchy_then_gwas_gate
