schema_version	broad_network	current_symbol	case_id	out_degree	undirected_degree	requested_draws	available_match_pool	completed_draws	observed_aggregate_acat_p	degree_matched_empirical_tail_p	random_seed	blocking_gate
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	DYNLT1	case3_not_core_mito	12	13	100	7764	100	4.267541173552992e-06	0.0297029702970297	248669277458310	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	SSR2	case3_not_core_mito	5	6	100	7764	100	5.6484082798378435e-06	0.009900990099009901	189487227565773	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	PSMB6	case3_not_core_mito	11	13	100	7764	100	6.5145424132406044e-06	0.0297029702970297	27647897855573	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	RPL29	case3_not_core_mito	4	5	100	7764	100	6.9640955991762775e-06	0.009900990099009901	237423513986715	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	PRDX1	case3_not_core_mito	13	14	100	7764	100	8.085804541881517e-06	0.019801980198019802	102339724627977	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	WDR82	case3_not_core_mito	12	12	100	7764	100	9.625378895952362e-06	0.039603960396039604	167041334525711	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	SRSF7	case3_not_core_mito	3	4	100	7764	100	1.0687149676836915e-05	0.009900990099009901	46577132734738	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	GABARAPL2	case3_not_core_mito	8	11	100	7764	100	1.606729018857768e-05	0.009900990099009901	70003380178983	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	RPL6	case3_not_core_mito	5	6	100	7764	100	1.6682783664221888e-05	0.019801980198019802	254184744103606	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	MAPKAPK5-AS1	case3_not_core_mito	5	6	100	7764	100	2.0447305793335975e-05	0.019801980198019802	197192230973504	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	RPLP2	case3_not_core_mito	7	8	100	7764	100	2.4866266013813793e-05	0.019801980198019802	132537497592699	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	LAGE3	case3_not_core_mito	8	9	100	7764	100	4.558181094832599e-05	0.019801980198019802	110715999037605	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	SELENOM	case3_not_core_mito	5	7	100	7764	100	5.6138760448309835e-05	0.009900990099009901	171468979484169	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	BTF3	case3_not_core_mito	5	5	100	7764	100	6.968844323347216e-05	0.019801980198019802	202692224623356	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	TARBP1	case3_not_core_mito	17	17	100	7764	100	0.00012351229364411967	0.039603960396039604	231034781173473	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	RPS15	case3_not_core_mito	8	9	100	7764	100	0.00014284412022942872	0.019801980198019802	156153248952152	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Excitatory_neurons	PGAM1	case3_not_core_mito	6	7	100	7764	100	0.0001726347352701887	0.039603960396039604	68128706835084	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-CO2	case1_core_mito_in_query	6	6	100	523	100	1.853939668014416e-22	0.009900990099009901	40989876259226	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-CO3	case1_core_mito_in_query	5	6	100	523	100	3.0404139855877804e-12	0.009900990099009901	175453604977793	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-CYB	case1_core_mito_in_query	2	3	100	523	100	5.131816550747508e-12	0.019801980198019802	77564670729572	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-ND5	case1_core_mito_in_query	3	4	100	523	100	3.7441254000963624e-10	0.009900990099009901	200921839008587	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	COX7C	case1_core_mito_in_query	15	16	100	523	100	1.5495771446427578e-09	0.019801980198019802	204145601719191	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	COX7A2	case1_core_mito_in_query	3	3	100	523	100	1.7355200321773128e-07	0.019801980198019802	45105860104239	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	ATP5MC3	case1_core_mito_in_query	3	4	100	523	100	3.264634573418153e-07	0.0297029702970297	103905969322774	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-ND1	case1_core_mito_in_query	1	3	100	523	100	3.4199356400668586e-06	0.009900990099009901	211658131625500	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	PRDX5	case1_core_mito_in_query	5	6	100	523	100	1.1412238083860803e-05	0.039603960396039604	66806272559890	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	COX4I1	case1_core_mito_in_query	6	7	100	523	100	1.5564326412164464e-05	0.0297029702970297	132833745567859	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	NDUFB10	case1_core_mito_in_query	4	5	100	523	100	1.904946746025764e-05	0.009900990099009901	138849286893699	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	ATP5PF	case1_core_mito_in_query	8	10	100	523	100	4.2175952355602435e-05	0.019801980198019802	15470213428518	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-CO3	case2_core_mito_not_in_query	5	6	100	577	100	3.2044361569715225e-08	0.009900990099009901	259674295894973	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-ND5	case2_core_mito_not_in_query	3	4	100	577	100	1.1369237318875937e-05	0.009900990099009901	185830629990354	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-CO2	case2_core_mito_not_in_query	6	6	100	577	100	3.3672433857809134e-05	0.009900990099009901	245041868170001	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	ATP5PF	case2_core_mito_not_in_query	8	10	100	577	100	3.806857947514046e-05	0.009900990099009901	128329234296425	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	ATP5MC3	case2_core_mito_not_in_query	3	4	100	577	100	3.854890853389074e-05	0.019801980198019802	88695256665708	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	PRDX5	case2_core_mito_not_in_query	5	6	100	577	100	5.1573352811820526e-05	0.019801980198019802	113214184924149	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	COX7A2	case2_core_mito_not_in_query	3	3	100	577	100	6.620252483789745e-05	0.009900990099009901	263114647188421	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-ND1	case2_core_mito_not_in_query	1	3	100	577	100	9.807266854213476e-05	0.009900990099009901	127192842653913	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	MT-CYB	case2_core_mito_not_in_query	2	3	100	577	100	0.0001003452436428912	0.009900990099009901	180270332874188	FALSE
mitochondrial_key_driver_selection_v1_degree_sensitivity_v1	Inhibitory_neurons	RPS15	case3_not_core_mito	17	18	100	6607	100	1.285122422488673e-06	0.009900990099009901	89392200613731	FALSE
