cell_type	release_id	method	mode	exploratory	donors	searches	nodes	edges	rimbanet_source_commit	config_path	config_sha256	path	bytes	sha256
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/network_manifest.yml	1156	3166f7fb6bc998c0b8f03aabff5fbdf91b672ddc48168569ba2eac147535c98e
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/network_qc.tsv	382	5219554ada345d5687342d916f1be44bbd95a0781801eee370f6ac81c1c006f4
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/nodes.tsv	118489	ed8799e278213d93dfaaf239c16073bed69fe2435c060953058cfdefd4729e4f
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/prior_summary.tsv	267	c538137313b6e3c5da6c8313a40b181e071232a20d3217c7e1dcd56062ba6b86
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/result.links3.links.txt	117519	86dd5ccde40d3947d55b6401103c7134a32412f9a416d0b7089d01203939a16c
Excitatory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8478	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Excitatory_neurons/sample_manifest.tsv	11738	8388d8572a494d5b56344bad8cdfa9dd5188303924f95eee52374ae2d086df31
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/edge_support.tsv.gz	143612	9890c5c497efa0030101dedb45f9f1b547a874018eb1994b9318fce798140564
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/gene_manifest.tsv	1624603	953c6b781d67458c4008b82a8e772c6bd1a912adebba978dc3109fc73f48161e
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/network_manifest.yml	1156	1e0e7d277d291051741e190ca463b6c8ab472e528695f3ad4f8d023a5328ff13
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/network_qc.tsv	382	aeb1669bba10cd326eec7130343d94b866423ddeeb88af4499200adaa9277536
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/nodes.tsv	118299	ed0256aae4fd8be77441b227beb7bca868d91d3bab478b98d3df65a72bfe55df
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/prior_summary.tsv	267	2231a1c1e143f5285fe2343ae342d2c63102a703e39ff3913ca7d89d431fad45
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/result.links3.links.txt	115644	42c74e6e47c2f4251a8d001b9a19bee593dc4c419bc368c5ef5c576e95ec895a
Inhibitory_neurons	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	8421	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Inhibitory_neurons/sample_manifest.tsv	11732	827055dd05282134d106d2fb37acd67c29279b57f6866fb3a47ff7df4e62585e
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/edge_support.tsv.gz	23178	6573da97c8257a7535962add2fa57552cde8a253c9297c476c5061789b14ff54
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/gene_manifest.tsv	799692	3536f15cfb06d9315a43ea1a51aa6dbd53c44f0a31721479d1ceece2af7562db
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/network_manifest.yml	1086	bb38b78e6d4f496c5c6f44e7c7a835094b90004366e498a43e996404a824af9e
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/network_qc.tsv	296	04bf9473e7bef74d2be5e759517961f75dfa570027e4d0fb4b9a0fc3b424efc4
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/nodes.tsv	60057	7bf910ca4fc66ef0a0ed10d84d674f4c66ad9ab602737d7d6efbfd8ba347e121
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/prior_summary.tsv	251	7b14434dbd3aee9352112266104cce12e35c5bbda8fa89962f57518a3cfad1fc
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/result.links3.links.txt	18596	97c236b53b27907ff438c9dce7dace4e7c660bcf11c748f7a5eb1db6cbce9a86
Microglia	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	5000	1279	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Microglia/sample_manifest.tsv	10261	21129db9c681948b6af03e84907d7d386928407eb967daed48bdc6e31c10c859
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/edge_support.tsv.gz	69273	ebf0c3b5a1727e09d057de906852f285519b5574009ffa4b314ba6d3029317f4
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/gene_manifest.tsv	1608772	2bcf6b754db5d887e90d8d72d834eae5bf153f684a15bd2d880846c578f71358
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/network_manifest.yml	1142	3170340b72e7f63431c0782f281953402a596a6a87ff3a96b97c7f24ff995133
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/network_qc.tsv	369	c14a1d23c964b42d06614dd00ada20d17ec30670d96e93dd56dbed1c87a1c3aa
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/nodes.tsv	118922	614961798bea43d3968df580213af86e72c0c6fcbc5976da655f99f9dd4cede5
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/prior_summary.tsv	252	2e1bd4cfd8c7ef76a6eb2acdb483b82d490b6d4f4a5b7b71946d718daf707ce6
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/result.links3.links.txt	55106	a7ed03b8d57a1d2dadb4f01fbcf2afb08eff5566897a001fe2ee1db4f6280ac5
OPCs	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	3964	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	OPCs/sample_manifest.tsv	9474	7e72b33b93c8e1b51919d15329d59c3246a77679350b875c5610e99defa27a9c
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/edge_support.tsv.gz	113050	f95d5d10226f1f0f2e3aadddb1b69a5c0a6623149d46cc75963f58bf352ac88f
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/gene_manifest.tsv	1612289	0333fe1fb21ed1fa3f2286c9f74f69ffb848f9a5b3a698569311db3213969b98
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/network_manifest.yml	1154	50617ef2458e13883920e7795664381a86da6c7e8222085653f32e043ad6f211
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/network_qc.tsv	379	a03fd6a7ec7b1bbfa4ae983d66c55db9f6668213564d0b12487e181e0ddff75b
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/nodes.tsv	118263	03d4356eb9dfa36ee7ef03ee1edf91eacf379340a4ba0e3e98b19bc2dda759fc
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/prior_summary.tsv	264	2cb5fac8983afdf29a58dd2e990a1d9bf4ad5a8b53563178f787268ebaa9e336
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/result.links3.links.txt	89743	adaf273e60c11f9dbbb3e76e2fc9b76e2b40a67f9d275c935c95d20e9beeaed6
Oligodendrocytes	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	full_integrative	False	78	1000	10000	6498	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet.yml	545e8396c406f2410e82f8092aee16f6555f1c1f14c8b1d09edee9e93076a9fd	Oligodendrocytes/sample_manifest.tsv	11393	a536251e26858654a6f46349cdc7916e08d79a511760420f5088fcc9e20c00b9
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/edge_support.tsv.gz	14324	acc476cef1d9d03dea00661beea684de450a15d45c8f6c878f67f8e267b74500
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/gene_manifest.tsv	1596578	fa9a5dbec627112fcb3a395a657a7c620e27a3de3368853d40b5e4e05614249c
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/network_manifest.yml	1178	c17db9ba2ff4aaa9d9a16c7c871e541bb211b4498bef8a5010df54e296cdb918
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/network_qc.tsv	384	d20dd07a3264d05c1c9f59c7121fba4558e50d490aab2ba2fbbe3fd34d09a6e7
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/nodes.tsv	118773	5431d4d5ccea4fb8fea2ea24ac4cdcc2271f749d3e287169f518533ccc682c7f
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/prior_summary.tsv	297	a814984984c2c9b8e80f5f1ab4a11ec32136dabe0917049866095f651b86eae6
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/result.links3.links.txt	9941	3b7578e0fa71451dc991f12febc68462eedaed59489eac88eb21a2a99a67ab32
Vasculature_cells	SEAAD_A9_2024_RIMBANET_v1	RIMBANet	encode_only_exploratory	True	76	1000	10000	761	ebd5f4a6c31da22705622e71b6dc5f1eae195fdd	config/seaad_rimbanet_vasculature_encode_only.yml	ff95694086b8737f4f54d3ca765ecba84336f2fe7216b8a36a9fae96b5952344	Vasculature_cells/sample_manifest.tsv	11163	1357c2a431a1baa2fb6bc5324a09eb3efb3d271c30449b79cda7e86b39406cf4
