schema_version	analysis_id	manifest_row	category_id	kda_run_id	query_tier	contrast_id	broad_cell_type	group_id	sex	apoe_group	signature_direction	source_terminal_status	source_message	donors_ad	donors_nci	provisional_query_rows	provisional_query_genes	effective_query_genes	query_genes_lost_from_background	source_result_rows	exact_tested_genes	mapped_symbol_collision_count	mapped_symbol_collapsed_rows	full_network_edges	induced_network_edges	effective_background_genes	query_size_tier	eligibility_status	terminal_status	explicit_candidate_tests	non_mt_candidate_family_size	stock_significant_returns	relaxed_non_mt_candidates	strict_non_mt_candidates	message
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	17	Inhibitory_neurons::M_e33	broad__relaxed__Inhibitory_neurons__M_e33__AD_down_mito	relaxed	Inhibitory_neurons::AD_vs_NCI__Male__e33	Inhibitory_neurons	M_e33	Male	e33	AD_down_mito	validated_complete		27	53	0	0	0	0	23136	23103	31	33	10534	9842	9062	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	18	Inhibitory_neurons::M_e4	broad__relaxed__Inhibitory_neurons__M_e4__AD_up_mito	relaxed	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	Male	e4	AD_up_mito	validated_complete		27	10	0	0	0	0	23136	23103	31	33	10534	9842	9062	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	18	Inhibitory_neurons::M_e4	broad__relaxed__Inhibitory_neurons__M_e4__AD_down_mito	relaxed	Inhibitory_neurons::AD_vs_NCI__Male__e4	Inhibitory_neurons	M_e4	Male	e4	AD_down_mito	validated_complete		27	10	0	0	0	0	23136	23103	31	33	10534	9842	9062	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	19	Microglia::F_e2	broad__relaxed__Microglia__F_e2__AD_up_mito	relaxed	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	Female	e2	AD_up_mito	validated_complete		7	14	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	19	Microglia::F_e2	broad__relaxed__Microglia__F_e2__AD_down_mito	relaxed	Microglia::AD_vs_NCI__Female__e2	Microglia	F_e2	Female	e2	AD_down_mito	validated_complete		7	14	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	20	Microglia::F_e33	broad__relaxed__Microglia__F_e33__AD_up_mito	relaxed	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	Female	e33	AD_up_mito	validated_complete		37	45	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	20	Microglia::F_e33	broad__relaxed__Microglia__F_e33__AD_down_mito	relaxed	Microglia::AD_vs_NCI__Female__e33	Microglia	F_e33	Female	e33	AD_down_mito	validated_complete		37	45	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	21	Microglia::F_e4	broad__relaxed__Microglia__F_e4__AD_up_mito	relaxed	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	Female	e4	AD_up_mito	validated_complete		26	11	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	21	Microglia::F_e4	broad__relaxed__Microglia__F_e4__AD_down_mito	relaxed	Microglia::AD_vs_NCI__Female__e4	Microglia	F_e4	Female	e4	AD_down_mito	validated_complete		26	11	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	22	Microglia::M_e2	broad__relaxed__Microglia__M_e2__AD_up_mito	relaxed	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	Male	e2	AD_up_mito	validated_complete		7	5	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	22	Microglia::M_e2	broad__relaxed__Microglia__M_e2__AD_down_mito	relaxed	Microglia::AD_vs_NCI__Male__e2	Microglia	M_e2	Male	e2	AD_down_mito	validated_complete		7	5	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	23	Microglia::M_e33	broad__relaxed__Microglia__M_e33__AD_up_mito	relaxed	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	Male	e33	AD_up_mito	validated_complete		25	51	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	23	Microglia::M_e33	broad__relaxed__Microglia__M_e33__AD_down_mito	relaxed	Microglia::AD_vs_NCI__Male__e33	Microglia	M_e33	Male	e33	AD_down_mito	validated_complete		25	51	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	24	Microglia::M_e4	broad__relaxed__Microglia__M_e4__AD_up_mito	relaxed	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	Male	e4	AD_up_mito	validated_complete		26	9	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	24	Microglia::M_e4	broad__relaxed__Microglia__M_e4__AD_down_mito	relaxed	Microglia::AD_vs_NCI__Male__e4	Microglia	M_e4	Male	e4	AD_down_mito	validated_complete		26	9	0	0	0	0	15728	15719	9	9	6826	6512	6315	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	25	OPCs::F_e2	broad__relaxed__OPCs__F_e2__AD_up_mito	relaxed	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	Female	e2	AD_up_mito	validated_complete		8	15	0	0	0	0	18378	18364	14	14	8610	8113	7817	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	25	OPCs::F_e2	broad__relaxed__OPCs__F_e2__AD_down_mito	relaxed	OPCs::AD_vs_NCI__Female__e2	OPCs	F_e2	Female	e2	AD_down_mito	validated_complete		8	15	0	0	0	0	18378	18364	14	14	8610	8113	7817	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
phase20_broad_direction_manifest_v1	phase20_sex_apoe_kda_broad_v1	26	OPCs::F_e33	broad__relaxed__OPCs__F_e33__AD_up_mito	relaxed	OPCs::AD_vs_NCI__Female__e33	OPCs	F_e33	Female	e33	AD_up_mito	validated_complete		37	45	0	0	0	0	18378	18364	14	14	8610	8113	7817	empty	no_provisional_query	skipped_no_provisional_query	0	0	0	0	0	
