contrast_id	rds_id	fine_cell_type	broad_cell_type	signature_group	sex	apoe_group	query_mode	pathway_collection	collection_role	structural_status	structurally_available	background_size	query_size	pathway_count	testable_pathways	locally_significant_pathways	globally_significant_pathways	minimum_local_fdr_bh	top_pathway	schema_version
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	656	12	4	4	0	0	1	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	656	12	46	39	0	0	1	Metals and cofactors	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e33	astrocytes	Ast CHI3L1	Astrocytes	M_e33	Male	e33	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	656	12	149	91	0	0	1	Metals and cofactors	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	547	62	4	4	1	1	0.0172459158297503	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	547	62	46	37	0	0	0.80077664524355	Fission	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	547	62	149	79	0	0	1	Fission	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	547	23	4	4	1	1	0.000131101734988427	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	547	23	46	37	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	547	23	149	79	0	0	1	CIV subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	547	39	4	4	0	0	1	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	547	39	46	37	0	0	0.214052288790869	Fission	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast CHI3L1::AD_vs_NCI__Male__e4	astrocytes	Ast CHI3L1	Astrocytes	M_e4	Male	e4	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	547	39	149	79	0	0	0.457030562553476	Fission	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	448	18	4	4	0	0	1	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	448	18	46	35	0	0	0.257930662474875	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	448	18	149	71	0	0	0.523230772449033	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	448	9	4	4	0	0	0.405656633298394	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	448	9	46	35	0	0	1	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	448	9	149	71	0	0	1	mt-tRNA synthetases	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	448	9	4	4	0	0	1	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	448	9	46	35	0	0	0.629518992727768	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e2	astrocytes	Ast DPP10	Astrocytes	F_e2	Female	e2	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	448	9	149	71	0	0	1	Apoptosis	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	491	13	4	4	0	0	0.12453964048878	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	491	13	46	35	0	0	1	Mitochondrial central dogma	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	491	13	149	72	0	0	1	CI subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	491	6	4	4	1	1	0.0261108192050475	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	491	6	46	35	0	0	0.528283521946122	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	491	6	149	72	0	0	0.62892593938304	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	491	7	4	4	0	0	0.552479281692017	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	491	7	46	35	0	0	1	Lipid metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e33	astrocytes	Ast DPP10	Astrocytes	F_e33	Female	e33	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	491	7	149	72	0	0	1	Lipid metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	526	35	4	4	0	0	0.427627568873832	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	526	35	46	36	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	526	35	149	77	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	526	6	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	526	6	46	36	0	0	1	Electron carriers	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	526	6	149	77	0	0	1	mtRNA stability and decay	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	526	29	4	4	0	0	0.217928499992539	Nuclear structural OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	526	29	46	36	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Female__e4	astrocytes	Ast DPP10	Astrocytes	F_e4	Female	e4	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	526	29	149	77	0	0	1	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_any_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	454	102	4	4	0	0	0.594816411215692	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_any_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	454	102	46	35	0	0	1	Metals and cofactors	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_any_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	454	102	149	71	0	0	1	Coenzyme Q metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_up_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	454	71	4	4	0	0	1	Mitochondrial translation	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_up_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	454	71	46	35	0	0	0.273759218233149	Small molecule transport	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_up_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	454	71	149	71	0	0	0.277670064207908	Coenzyme Q metabolism	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_down_mito	legacy_four	compatibility_benchmark	estimable_validated	TRUE	454	31	4	4	0	0	0.0678689095717289	mtDNA-encoded OXPHOS	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_down_mito	mitocarta_broad_46	primary_expanded	estimable_validated	TRUE	454	31	46	35	0	0	0.247176153682758	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
astrocytes::Ast DPP10::AD_vs_NCI__Male__e2	astrocytes	Ast DPP10	Astrocytes	M_e2	Male	e2	AD_down_mito	mitocarta_complete_149	supplemental_complete	estimable_validated	TRUE	454	31	149	71	0	0	0.501414483185024	OXPHOS subunits	fine_deg_pathway_fine_cell_summary_v1
